uuid,model,isl,layer,K,N,cr,hit,cs,T,v256,mbpm,wpr,gpu,us_prod_nsys,us_timed_nsys,overhead,window_cyc,exact,mono,csv_pr_us,p4frac_drift_vs_9e,cyc_p1_gather_stats,frac_p1_gather_stats,us_p1_gather_stats,cyc_smem_stage,frac_smem_stage,us_smem_stage,cyc_p1b_rungs,frac_p1b_rungs,us_p1b_rungs,cyc_p2_count_admission,frac_p2_count_admission,us_p2_count_admission,cyc_p3_collect,frac_p3_collect,us_p3_collect,cyc_p4_select,frac_p4_select,us_p4_select,cyc_epilogue,frac_epilogue,us_epilogue,cyc_p4_peer_wait,frac_p4_peer_wait,us_p4_peer_wait,cyc_p4_dsmem_gather,frac_p4_dsmem_gather,us_p4_dsmem_gather,cyc_p4_minmax,frac_p4_minmax,us_p4_minmax,cyc_p4_coarse_hist,frac_p4_coarse_hist,us_p4_coarse_hist,cyc_p4_coarse_search,frac_p4_coarse_search,us_p4_coarse_search,cyc_p4_fine,frac_p4_fine,us_p4_fine,cyc_p4_scatter,frac_p4_scatter,us_p4_scatter,cyc_p4_tail,frac_p4_tail,us_p4_tail,p4share_p4_peer_wait,p4share_p4_dsmem_gather,p4share_p4_minmax,p4share_p4_coarse_hist,p4share_p4_coarse_search,p4share_p4_fine,p4share_p4_scatter,p4share_p4_tail
flash_4k_L18,flash,4k,18,512,1027,4,0.723,1,512,False,0,False,0,7.43,7.536,0.0142,12197.0,True,True,8.32,0.00618,2254.5,0.18502,1.3748,120.0,0.00985,0.0732,817.0,0.06705,0.4982,1605.0,0.13172,0.9787,1285.5,0.1055,0.7839,6081.0,0.49906,3.7081,22.0,0.00181,0.0134,23.0,0.00189,0.014,28.0,0.0023,0.0171,583.5,0.04789,0.3558,569.0,0.0467,0.347,1445.5,0.11863,0.8814,2198.5,0.18043,1.3406,763.0,0.06262,0.4653,469.0,0.03849,0.286,0.00378,0.0046,0.09595,0.09357,0.23771,0.36154,0.12547,0.07713
flash_4k_L20,flash,4k,20,512,1027,4,0.646,1,512,False,0,False,1,8.603,8.654,0.0059,13144.5,True,True,8.28,0.00141,2567.0,0.19545,1.6815,161.0,0.01226,0.1055,841.0,0.06403,0.5509,1753.0,0.13348,1.1483,1288.0,0.09807,0.8437,6503.5,0.49518,4.2601,20.0,0.00152,0.0131,23.0,0.00175,0.0151,29.0,0.00221,0.019,582.0,0.04431,0.3812,571.0,0.04348,0.374,1525.5,0.11615,0.9993,2480.0,0.18883,1.6245,768.0,0.05848,0.5031,510.0,0.03883,0.3341,0.00354,0.00446,0.08949,0.0878,0.23457,0.38133,0.11809,0.07842
flash_4k_L22,flash,4k,22,512,1027,4,0.639,1,512,False,0,False,2,8.536,8.489,-0.0054,12900.5,True,True,8.05,0.00493,2553.0,0.19785,1.6888,163.0,0.01263,0.1078,843.0,0.06533,0.5576,1744.5,0.13519,1.154,1294.5,0.10032,0.8563,6286.0,0.48714,4.1581,20.0,0.00155,0.0132,23.0,0.00178,0.0152,29.0,0.00225,0.0192,585.0,0.04533,0.387,565.5,0.04382,0.3741,1526.5,0.1183,1.0098,2292.5,0.17766,1.5165,761.5,0.05901,0.5037,511.5,0.03964,0.3383,0.00366,0.00461,0.09306,0.08996,0.24284,0.3647,0.12114,0.08137
flash_4k_L24,flash,4k,24,512,1027,4,0.553,1,512,False,0,False,3,7.626,7.726,0.0132,12584.0,True,True,8.3,0.0071,2306.5,0.18376,1.4013,124.0,0.00988,0.0753,836.0,0.06661,0.5079,1653.5,0.13174,1.0046,1295.0,0.10317,0.7868,6316.5,0.50325,3.8376,20.0,0.00159,0.0122,23.0,0.00183,0.014,26.0,0.00207,0.0158,585.5,0.04665,0.3557,575.5,0.04585,0.3496,1439.5,0.11469,0.8746,2379.5,0.18958,1.4457,993.0,0.07911,0.6033,293.0,0.02334,0.178,0.00364,0.00412,0.09269,0.09111,0.2279,0.37671,0.15721,0.04639
flash_4k_L26,flash,4k,26,512,1027,4,0.586,1,512,False,0,False,4,8.601,8.617,0.0019,13112.5,True,True,8.22,-0.00131,2583.5,0.197,1.6945,161.0,0.01228,0.1056,836.0,0.06375,0.5483,1763.0,0.13443,1.1563,1283.0,0.09783,0.8415,6468.0,0.49319,4.2422,20.0,0.00153,0.0131,23.0,0.00175,0.0151,29.0,0.00221,0.019,587.5,0.0448,0.3853,572.0,0.04362,0.3752,1501.5,0.11449,0.9848,2477.0,0.18887,1.6246,782.0,0.05963,0.5129,490.5,0.0374,0.3217,0.00356,0.00448,0.09083,0.08844,0.23214,0.38296,0.1209,0.07583
flash_4k_L28,flash,4k,28,512,1027,4,0.746,1,512,False,0,False,5,7.713,7.737,0.0031,12558.0,True,True,8.34,0.01184,2335.0,0.18622,1.4364,124.0,0.00989,0.0763,846.0,0.06747,0.5204,1916.0,0.1528,1.1786,1300.0,0.10368,0.7997,5996.0,0.47819,3.6885,22.0,0.00175,0.0135,23.0,0.00183,0.0141,29.0,0.00231,0.0178,584.0,0.04657,0.3592,566.5,0.04518,0.3485,1477.5,0.11783,0.9089,2278.5,0.18171,1.4016,763.0,0.06085,0.4694,287.0,0.02289,0.1765,0.00384,0.00484,0.0974,0.09448,0.24641,0.38,0.12725,0.04787
flash_4k_L30,flash,4k,30,512,1027,4,0.771,1,512,False,0,False,6,7.688,7.729,0.0054,12604.0,True,True,8.05,0.01089,2334.5,0.18582,1.4286,124.0,0.00987,0.0759,844.5,0.06722,0.5168,1692.0,0.13468,1.0354,1318.5,0.10495,0.8068,6227.5,0.4957,3.8108,22.0,0.00175,0.0135,23.0,0.00183,0.0141,30.0,0.00239,0.0184,581.0,0.04625,0.3555,561.0,0.04465,0.3433,1487.0,0.11836,0.9099,2284.0,0.1818,1.3977,770.0,0.06129,0.4712,491.0,0.03908,0.3005,0.00369,0.00482,0.0933,0.09008,0.23878,0.36676,0.12365,0.07884
flash_4k_L32,flash,4k,32,512,1027,4,0.633,1,512,False,0,False,7,7.36,7.473,0.0155,12100.5,True,True,8.06,0.0031,2277.0,0.18854,1.3876,122.0,0.0101,0.0743,820.0,0.0679,0.4997,1610.5,0.13335,0.9814,1290.0,0.10681,0.7861,5935.5,0.49147,3.6171,22.0,0.00182,0.0134,23.0,0.0019,0.014,27.0,0.00224,0.0165,586.5,0.04856,0.3574,568.0,0.04703,0.3461,1444.0,0.11957,0.88,2055.5,0.1702,1.2526,992.0,0.08214,0.6045,237.0,0.01962,0.1444,0.00387,0.00455,0.09881,0.0957,0.24328,0.34631,0.16713,0.03993
flash_4k_L34,flash,4k,34,512,1027,4,0.695,1,512,False,0,False,0,7.445,7.541,0.0129,12211.5,True,True,8.2,0.00124,2307.5,0.18882,1.4057,120.0,0.00982,0.0731,816.5,0.06681,0.4974,1615.0,0.13215,0.9839,1293.0,0.10581,0.7877,6048.5,0.49495,3.6847,20.0,0.00164,0.0122,23.0,0.00188,0.014,27.0,0.00221,0.0164,583.0,0.04771,0.3552,571.0,0.04672,0.3479,1446.5,0.11837,0.8812,2094.5,0.17139,1.276,763.0,0.06244,0.4648,552.0,0.04517,0.3363,0.0038,0.00446,0.09639,0.0944,0.23915,0.34628,0.12615,0.09126
flash_4k_L36,flash,4k,36,512,1027,4,0.934,1,512,False,0,False,1,9.797,9.883,0.0088,15665.5,True,True,9.73,0.00189,2563.0,0.16378,1.6044,161.0,0.01029,0.1008,835.0,0.05336,0.5227,3905.0,0.24953,2.4445,1359.0,0.08684,0.8507,6806.5,0.43493,4.2609,20.0,0.00128,0.0125,23.0,0.00147,0.0144,29.0,0.00185,0.0182,584.0,0.03732,0.3656,564.0,0.03604,0.3531,1534.5,0.09805,0.9606,2563.0,0.16378,1.6044,720.0,0.04601,0.4507,789.5,0.05045,0.4942,0.00338,0.00426,0.0858,0.08286,0.22545,0.37655,0.10578,0.11599
flash_4k_L38,flash,4k,38,512,1027,4,0.742,1,512,False,0,False,2,8.557,8.592,0.0041,13126.5,True,True,8.13,0.00818,2559.5,0.19518,1.6701,161.0,0.01228,0.1051,837.5,0.06387,0.5465,1757.0,0.13398,1.1465,1282.5,0.0978,0.8368,6496.0,0.49537,4.2387,20.0,0.00153,0.0131,23.0,0.00175,0.015,29.0,0.00221,0.0189,590.5,0.04503,0.3853,562.0,0.04286,0.3667,1536.5,0.11717,1.0026,2455.0,0.18721,1.6019,758.0,0.0578,0.4946,538.0,0.04103,0.3511,0.00354,0.00446,0.0909,0.08651,0.23653,0.37792,0.11669,0.08282
flash_4k_L40,flash,4k,40,512,1027,4,0.795,1,512,False,0,False,3,7.526,7.672,0.0194,12493.5,True,True,8.33,0.00085,2510.0,0.20183,1.519,124.0,0.00997,0.075,836.5,0.06726,0.5062,1653.5,0.13296,1.0007,1293.0,0.10397,0.7825,5999.0,0.48239,3.6305,20.0,0.00161,0.0121,23.0,0.00185,0.0139,27.0,0.00217,0.0163,586.0,0.04712,0.3546,561.0,0.04511,0.3395,1479.0,0.11893,0.8951,2281.5,0.18346,1.3807,672.0,0.05404,0.4067,361.5,0.02907,0.2188,0.00383,0.0045,0.09768,0.09352,0.24654,0.38031,0.11202,0.06026
flash_4k_L42,flash,4k,42,512,1027,4,0.932,1,512,False,0,False,4,9.512,9.638,0.0133,15074.5,True,True,9.32,-0.00205,2564.0,0.17031,1.62,161.0,0.01069,0.1017,835.0,0.05547,0.5276,3679.0,0.24438,2.3245,1354.5,0.08997,0.8558,6440.0,0.42778,4.069,21.0,0.00139,0.0133,23.0,0.00153,0.0145,30.0,0.00199,0.019,585.5,0.03889,0.3699,567.0,0.03766,0.3582,1525.5,0.10133,0.9639,2367.0,0.15723,1.4955,941.0,0.06251,0.5945,406.0,0.02697,0.2565,0.00357,0.00466,0.09092,0.08804,0.23688,0.36755,0.14612,0.06304
flash_512k_L02,flash,512k,2,512,131075,4,0.604,8,512,True,1,False,3,15.411,15.9,0.0318,28133.0,True,True,14.69,-0.00473,2466.0,0.08878,1.3682,124.0,0.00446,0.0688,743.0,0.02675,0.4122,5222.5,0.18802,2.8976,4011.5,0.14442,2.2257,15067.0,0.54245,8.3596,142.0,0.00511,0.0788,1555.0,0.05598,0.8628,4807.0,0.17306,2.6671,652.5,0.02349,0.362,689.5,0.02482,0.3826,1401.0,0.05044,0.7773,4417.5,0.15904,2.451,1201.5,0.04326,0.6666,298.5,0.01075,0.1656,0.10321,0.31904,0.04331,0.04576,0.09298,0.29319,0.07974,0.01981
flash_512k_L04,flash,512k,4,512,131075,4,0.805,8,512,True,1,False,4,15.155,16.035,0.0581,28010.5,True,True,14.75,-0.06079,2940.5,0.10707,1.6227,122.0,0.00444,0.0673,725.0,0.0264,0.4001,5269.5,0.19188,2.9079,5091.5,0.18539,2.8096,13187.5,0.48019,7.2773,127.0,0.00462,0.0701,1682.5,0.06126,0.9285,4860.0,0.17697,2.6819,637.5,0.02321,0.3518,571.5,0.02081,0.3154,1420.0,0.05171,0.7836,2792.0,0.10166,1.5407,831.0,0.03026,0.4586,370.0,0.01347,0.2042,0.12758,0.36853,0.04834,0.04334,0.10768,0.21172,0.06301,0.02806
flash_512k_L06,flash,512k,6,512,131075,4,0.748,8,512,True,1,False,5,15.448,16.275,0.0535,28510.5,True,True,14.57,0.03743,2357.5,0.0829,1.2807,124.0,0.00436,0.0674,744.0,0.02616,0.4042,5310.0,0.18673,2.8846,3906.5,0.13737,2.1221,15852.0,0.55744,8.6113,143.0,0.00503,0.0777,1760.0,0.06189,0.9561,5580.5,0.19624,3.0315,642.0,0.02258,0.3488,577.5,0.02031,0.3137,1388.0,0.04881,0.754,4349.0,0.15293,2.3625,853.0,0.03,0.4634,420.5,0.01479,0.2284,0.11103,0.35204,0.0405,0.03643,0.08756,0.27435,0.05381,0.02653
flash_512k_L08,flash,512k,8,512,131075,4,0.738,8,512,True,1,False,6,15.456,15.853,0.0257,27861.0,True,True,14.68,0.04937,2534.5,0.09151,1.4143,126.0,0.00455,0.0703,741.5,0.02677,0.4138,5252.5,0.18964,2.931,3882.0,0.14016,2.1662,15011.0,0.54196,8.3765,150.0,0.00542,0.0837,1725.0,0.06228,0.9626,5028.5,0.18155,2.806,672.0,0.02426,0.375,578.5,0.02089,0.3228,1387.5,0.05009,0.7743,4159.0,0.15016,2.3208,1055.5,0.03811,0.589,250.0,0.00903,0.1395,0.11492,0.33499,0.04477,0.03854,0.09243,0.27706,0.07032,0.01665
flash_512k_L10,flash,512k,10,512,131075,4,0.455,8,512,True,1,False,7,15.257,15.846,0.0386,27761.5,True,True,17.71,0.00025,2596.5,0.09379,1.431,124.0,0.00448,0.0683,743.5,0.02686,0.4098,5216.0,0.18842,2.8748,3903.0,0.14099,2.1511,14943.0,0.53979,8.2357,157.0,0.00567,0.0865,1607.5,0.05807,0.886,5298.0,0.19138,2.92,652.0,0.02355,0.3593,564.5,0.02039,0.3111,1312.0,0.04739,0.7231,4170.5,0.15065,2.2985,1115.5,0.0403,0.6148,234.0,0.00845,0.129,0.10758,0.35455,0.04363,0.03778,0.0878,0.27909,0.07465,0.01566
flash_512k_L12,flash,512k,12,512,131075,4,0.715,8,512,True,1,False,0,15.494,16.168,0.0435,28488.0,True,True,14.98,0.0015,2483.0,0.08778,1.3601,124.0,0.00438,0.0679,743.5,0.02628,0.4072,5180.5,0.18314,2.8376,3875.0,0.13699,2.1225,15746.0,0.55665,8.6248,135.0,0.00477,0.0739,1617.0,0.05716,0.8857,5890.5,0.20824,3.2265,642.5,0.02271,0.3519,580.5,0.02052,0.318,1385.0,0.04896,0.7586,4025.5,0.14231,2.205,844.0,0.02984,0.4623,441.5,0.01561,0.2418,0.10269,0.3741,0.0408,0.03687,0.08796,0.25565,0.0536,0.02804
flash_512k_L14,flash,512k,14,512,131075,4,0.479,8,512,True,1,False,1,16.147,16.86,0.0442,29682.0,True,True,15.48,-0.05182,3192.5,0.10815,1.7464,122.0,0.00413,0.0667,724.0,0.02453,0.396,5257.0,0.17809,2.8757,5242.5,0.1776,2.8677,14832.0,0.50247,8.1134,148.0,0.00501,0.081,1683.5,0.05703,0.9209,4861.0,0.16468,2.6591,737.5,0.02498,0.4034,812.0,0.02751,0.4442,1385.0,0.04692,0.7576,3155.5,0.1069,1.7261,1553.5,0.05263,0.8498,617.5,0.02092,0.3378,0.1135,0.32774,0.04972,0.05475,0.09338,0.21275,0.10474,0.04163
flash_512k_L16,flash,512k,16,512,131075,4,0.318,8,512,True,1,False,2,16.073,16.659,0.0364,29123.0,True,True,14.83,-0.01016,2836.5,0.09839,1.5815,122.0,0.00423,0.068,725.5,0.02517,0.4045,5222.0,0.18114,2.9115,5208.0,0.18065,2.9037,14573.5,0.50552,8.1255,141.0,0.00489,0.0786,1711.0,0.05935,0.954,5213.0,0.18083,2.9065,641.5,0.02225,0.3577,695.0,0.02411,0.3875,1408.0,0.04884,0.785,3071.0,0.10653,1.7122,1289.0,0.04471,0.7187,535.0,0.01856,0.2983,0.1174,0.3577,0.04402,0.04769,0.09661,0.21072,0.08845,0.03671
flash_512k_L18,flash,512k,18,512,131075,4,0.148,8,512,True,1,False,3,21.558,22.406,0.0393,40770.5,True,True,17.07,0.00234,2513.5,0.06206,1.3379,124.0,0.00306,0.066,744.0,0.01837,0.396,17053.0,0.42106,9.0771,3931.5,0.09707,2.0927,15991.5,0.39485,8.5121,143.0,0.00353,0.0761,1576.0,0.03891,0.8389,5966.5,0.14732,3.1759,640.0,0.0158,0.3407,574.0,0.01417,0.3055,1388.5,0.03428,0.7391,4164.5,0.10283,2.2167,1152.5,0.02846,0.6135,405.5,0.01001,0.2158,0.09855,0.3731,0.04002,0.03589,0.08683,0.26042,0.07207,0.02536
flash_512k_L20,flash,512k,20,512,131075,4,0.332,8,512,True,1,False,4,15.907,16.547,0.0402,28777.0,True,True,14.93,-0.04887,2873.0,0.10065,1.601,122.0,0.00427,0.068,723.5,0.02535,0.4032,5217.5,0.18278,2.9075,5160.5,0.18079,2.8758,14320.5,0.50169,7.9804,127.5,0.00447,0.0711,1708.5,0.05985,0.9521,5061.0,0.1773,2.8203,647.0,0.02267,0.3606,687.0,0.02407,0.3828,1425.5,0.04994,0.7944,3125.0,0.10948,1.7415,1394.5,0.04885,0.7771,220.0,0.00771,0.1226,0.1193,0.35341,0.04518,0.04797,0.09954,0.21822,0.09738,0.01536
flash_512k_L22,flash,512k,22,512,131075,4,0.057,8,512,True,1,False,5,21.902,22.635,0.0335,41114.0,True,True,20.97,0.0244,2614.0,0.06409,1.4037,124.0,0.00304,0.0666,743.0,0.01822,0.399,17545.5,0.43018,9.4218,3903.0,0.09569,2.0959,15725.0,0.38554,8.4442,132.0,0.00324,0.0709,1759.0,0.04313,0.9446,5533.0,0.13566,2.9712,647.5,0.01588,0.3477,581.5,0.01426,0.3123,1374.5,0.0337,0.7381,4281.5,0.10497,2.2991,1082.0,0.02653,0.581,411.0,0.01008,0.2207,0.11186,0.35186,0.04118,0.03698,0.08741,0.27227,0.06881,0.02614
flash_512k_L24,flash,512k,24,512,131075,4,0.023,8,512,True,1,False,6,22.529,23.06,0.0236,41970.0,True,True,21.17,0.02721,2615.0,0.06248,1.4077,124.0,0.00296,0.0668,741.0,0.01771,0.3989,17419.0,0.41621,9.3769,3886.0,0.09285,2.0919,16925.5,0.40442,9.1112,141.0,0.00337,0.0759,1735.5,0.04147,0.9342,5383.5,0.12863,2.898,688.5,0.01645,0.3706,808.0,0.01931,0.435,1413.5,0.03377,0.7609,4391.5,0.10493,2.364,1557.0,0.0372,0.8382,630.0,0.01505,0.3391,0.10254,0.31807,0.04068,0.04774,0.08351,0.25946,0.09199,0.03722
flash_512k_L26,flash,512k,26,512,131075,4,0.301,8,512,True,1,False,7,15.857,16.286,0.027,28735.0,True,True,14.53,-0.00668,2810.0,0.09811,1.5557,124.0,0.00433,0.0686,742.0,0.02591,0.4108,5179.0,0.18082,2.8672,3873.0,0.13522,2.1442,15762.5,0.55032,8.7266,152.0,0.00531,0.0842,1602.5,0.05595,0.8872,4838.0,0.16891,2.6785,695.0,0.02426,0.3848,931.5,0.03252,0.5157,1307.5,0.04565,0.7239,4448.5,0.15531,2.4628,1664.0,0.0581,0.9212,234.0,0.00817,0.1295,0.10167,0.30693,0.04409,0.0591,0.08295,0.28222,0.10557,0.01485
flash_512k_L28,flash,512k,28,512,131075,4,0.525,8,512,True,1,False,0,18.624,18.974,0.0188,33918.5,True,True,17.75,0.0026,2466.0,0.07321,1.3634,124.0,0.00368,0.0686,742.0,0.02203,0.4102,5177.5,0.1537,2.8625,3915.0,0.11622,2.1645,21117.5,0.6269,11.6751,143.5,0.00426,0.0793,1653.0,0.04907,0.9139,6250.0,0.18554,3.4554,823.0,0.02443,0.455,1401.0,0.04159,0.7746,1399.5,0.04155,0.7737,5456.0,0.16197,3.0164,3309.5,0.09825,1.8297,783.5,0.02326,0.4332,0.07828,0.29596,0.03897,0.06634,0.06627,0.25836,0.15672,0.0371
flash_512k_L30,flash,512k,30,512,131075,4,0.119,8,512,True,1,False,1,21.735,23.088,0.0622,41761.5,True,True,16.99,-0.02024,2885.0,0.06914,1.5029,122.0,0.00292,0.0636,722.0,0.0173,0.3761,17233.0,0.41301,8.977,5168.5,0.12387,2.6924,15462.5,0.37058,8.0547,132.0,0.00316,0.0688,1686.0,0.04041,0.8783,6486.5,0.15546,3.379,644.0,0.01543,0.3355,572.0,0.01371,0.298,1407.5,0.03373,0.7332,3211.5,0.07697,1.6729,835.5,0.02002,0.4352,489.5,0.01173,0.255,0.10904,0.4195,0.04165,0.03699,0.09103,0.2077,0.05403,0.03166
flash_512k_L32,flash,512k,32,512,131075,4,0.197,8,512,True,1,False,2,17.817,18.628,0.0455,33102.5,True,True,15.56,-0.01336,2956.0,0.08962,1.5967,122.0,0.0037,0.0659,726.5,0.02202,0.3924,5284.5,0.16021,2.8544,5308.0,0.16092,2.8671,18464.5,0.55978,9.9736,124.0,0.00376,0.067,1738.5,0.0527,0.9391,6006.5,0.1821,3.2444,1039.5,0.03151,0.5615,1294.0,0.03923,0.699,1370.0,0.04153,0.74,3622.0,0.10981,1.9564,3058.0,0.09271,1.6518,324.0,0.00982,0.175,0.09415,0.3253,0.0563,0.07008,0.0742,0.19616,0.16562,0.01755
flash_512k_L34,flash,512k,34,512,131075,4,0.283,8,512,True,1,False,3,15.814,16.302,0.0308,28787.5,True,True,14.9,-0.00019,2481.0,0.08706,1.3769,124.0,0.00435,0.0688,743.5,0.02609,0.4126,5245.5,0.18408,2.9111,3929.0,0.13788,2.1805,15816.0,0.55503,8.7773,157.0,0.00551,0.0871,1567.0,0.05499,0.8696,5280.0,0.18529,2.9302,647.0,0.0227,0.3591,693.5,0.02434,0.3849,1407.0,0.04938,0.7808,4370.5,0.15337,2.4255,1553.0,0.0545,0.8619,234.0,0.00821,0.1299,0.09908,0.33384,0.04091,0.04385,0.08896,0.27633,0.09819,0.0148
flash_512k_L36,flash,512k,36,512,131075,4,0.584,8,512,True,1,False,4,16.016,17.059,0.0651,29703.0,True,True,15.36,-0.05525,2927.0,0.09889,1.5838,122.0,0.00412,0.066,724.0,0.02446,0.3918,5260.5,0.17773,2.8465,5274.5,0.1782,2.8541,15166.0,0.5124,8.2064,124.0,0.00419,0.0671,1702.5,0.05752,0.9212,5065.0,0.17113,2.7407,695.5,0.0235,0.3763,812.5,0.02745,0.4396,1401.5,0.04735,0.7584,3246.0,0.10967,1.7564,1997.5,0.06749,1.0809,221.0,0.00747,0.1196,0.11226,0.33397,0.04586,0.05357,0.09241,0.21403,0.13171,0.01457
flash_512k_L38,flash,512k,38,512,131075,4,0.215,8,512,True,1,False,5,18.611,19.145,0.0287,34277.5,True,True,16.2,0.03001,2730.5,0.08029,1.4942,124.0,0.00365,0.0679,742.5,0.02183,0.4063,5323.5,0.15653,2.9131,3886.0,0.11426,2.1265,21060.0,0.61924,11.5245,143.0,0.0042,0.0783,1759.0,0.05172,0.9626,6009.5,0.1767,3.2885,813.5,0.02392,0.4452,1414.0,0.04158,0.7738,1365.5,0.04015,0.7472,5430.0,0.15966,2.9714,3431.0,0.10088,1.8775,721.5,0.02121,0.3948,0.08352,0.28535,0.03863,0.06714,0.06484,0.25783,0.16292,0.03426
flash_512k_L40,flash,512k,40,512,131075,4,0.432,8,512,True,1,False,6,17.488,18.107,0.0354,32116.5,True,True,16.67,0.02782,2615.5,0.08191,1.4325,124.0,0.00388,0.0679,742.0,0.02324,0.4064,9278.5,0.29058,5.0816,3878.0,0.12145,2.1239,15138.5,0.47411,8.2911,154.0,0.00482,0.0843,1726.0,0.05405,0.9453,5297.0,0.16589,2.9011,665.5,0.02084,0.3645,578.5,0.01812,0.3168,1391.0,0.04356,0.7618,4171.0,0.13063,2.2844,1066.0,0.03339,0.5838,226.0,0.00708,0.1238,0.11401,0.3499,0.04396,0.03821,0.09188,0.27552,0.07042,0.01493
flash_512k_L42,flash,512k,42,512,131075,4,0.611,8,512,True,1,False,7,15.661,16.233,0.0366,28423.5,True,True,15.15,-0.00076,2381.0,0.08418,1.3183,124.0,0.00438,0.0687,743.0,0.02627,0.4114,5262.0,0.18604,2.9134,3874.0,0.13696,2.1449,15765.5,0.55738,8.7289,135.5,0.00479,0.075,1601.0,0.0566,0.8864,5032.0,0.1779,2.7861,769.5,0.02721,0.426,705.0,0.02492,0.3903,1372.5,0.04852,0.7599,4284.0,0.15146,2.3719,1301.5,0.04601,0.7206,548.0,0.01937,0.3034,0.10155,0.31918,0.04881,0.04472,0.08706,0.27173,0.08255,0.03476
flash_64k_L02,flash,64k,2,512,16387,4,0.715,1,512,True,1,False,4,10.353,10.563,0.0202,16944.0,True,True,9.99,0.00783,2594.5,0.15382,1.5926,165.0,0.00978,0.1013,827.0,0.04903,0.5076,3560.5,0.21109,2.1855,3190.5,0.18916,1.9584,6509.5,0.38593,3.9957,20.0,0.00119,0.0123,23.0,0.00136,0.0141,30.0,0.00178,0.0184,592.5,0.03513,0.3637,559.5,0.03317,0.3434,1454.5,0.08623,0.8928,2514.5,0.14908,1.5435,774.5,0.04592,0.4754,567.5,0.03365,0.3483,0.00353,0.00461,0.09102,0.08595,0.22344,0.38628,0.11898,0.08718
flash_64k_L04,flash,64k,4,512,16387,4,0.766,1,512,True,1,False,5,9.873,9.961,0.0089,16783.5,True,True,9.84,-0.00683,2806.0,0.16713,1.6501,128.0,0.00762,0.0753,845.5,0.05036,0.4972,3543.0,0.21102,2.0835,3191.0,0.19006,1.8765,6254.0,0.37249,3.6778,22.0,0.00131,0.0129,23.0,0.00137,0.0135,30.0,0.00179,0.0176,594.0,0.03538,0.3493,563.0,0.03353,0.3311,1423.5,0.08479,0.8371,2419.5,0.14411,1.4228,885.0,0.05271,0.5204,315.5,0.01879,0.1855,0.00368,0.0048,0.09498,0.09002,0.22761,0.38687,0.14151,0.05045
flash_64k_L06,flash,64k,6,512,16387,4,0.705,1,512,True,1,False,6,9.833,10.475,0.0652,17809.5,True,True,10.02,0.01952,2740.0,0.15517,1.5259,128.0,0.00725,0.0713,826.0,0.04678,0.46,3481.5,0.19717,1.9388,3173.0,0.1797,1.767,7289.0,0.4128,4.0592,20.0,0.00113,0.0111,23.0,0.0013,0.0128,30.0,0.0017,0.0167,595.0,0.0337,0.3314,567.5,0.03214,0.316,1384.5,0.07841,0.771,3282.0,0.18587,1.8277,987.0,0.0559,0.5497,414.5,0.02347,0.2308,0.00316,0.00412,0.08163,0.07786,0.18994,0.45027,0.13541,0.05687
flash_64k_L08,flash,64k,8,512,16387,4,0.617,1,512,True,1,False,7,9.793,9.905,0.0114,17018.0,True,True,10.21,-0.00474,3027.0,0.17873,1.7504,122.0,0.0072,0.0705,825.5,0.04874,0.4774,3434.0,0.20276,1.9858,3191.5,0.18844,1.8455,6314.0,0.37282,3.6512,22.0,0.0013,0.0127,23.0,0.00136,0.0133,29.0,0.00171,0.0168,595.5,0.03516,0.3444,573.5,0.03386,0.3316,1363.0,0.08048,0.7882,2281.5,0.13471,1.3193,1020.5,0.06026,0.5901,428.5,0.0253,0.2478,0.00364,0.00459,0.09431,0.09083,0.21587,0.36134,0.16162,0.06787
flash_64k_L10,flash,64k,10,512,16387,4,0.582,1,512,True,1,False,0,10.117,10.683,0.056,18373.5,True,True,10.59,0.02891,2797.5,0.15336,1.5515,122.0,0.00669,0.0677,818.0,0.04484,0.4537,3441.5,0.18867,1.9087,3184.0,0.17455,1.7659,7856.0,0.43068,4.357,22.0,0.00121,0.0122,23.0,0.00126,0.0128,30.0,0.00164,0.0166,594.0,0.03256,0.3294,685.5,0.03758,0.3802,1404.5,0.077,0.779,3297.5,0.18077,1.8288,1117.5,0.06126,0.6198,696.0,0.03816,0.386,0.00293,0.00382,0.07561,0.08726,0.17878,0.41974,0.14225,0.08859
flash_64k_L12,flash,64k,12,512,16387,4,0.254,1,512,True,1,False,1,10.734,10.891,0.0146,17475.5,True,True,9.84,0.01353,2433.0,0.14028,1.5058,165.0,0.00951,0.1021,846.0,0.04878,0.5236,3572.5,0.20598,2.211,3233.5,0.18643,2.0012,7074.0,0.40786,4.3781,20.0,0.00115,0.0124,23.0,0.00133,0.0142,30.0,0.00173,0.0186,593.5,0.03422,0.3673,682.5,0.03935,0.4224,1441.5,0.08311,0.8921,2560.5,0.14763,1.5847,1187.0,0.06844,0.7346,550.0,0.03171,0.3404,0.00325,0.00424,0.0839,0.09648,0.20377,0.36196,0.1678,0.07775
