uuid,dt,cs,N,K,rung,axis,base_us,all_us,ratio
flash_16k_L18,fp32,1,4099,512,cs1-small,real,9.598,8.321,1.1534
flash_16k_L20,fp32,1,4099,512,cs1-small,real,8.598,7.501,1.1463
flash_16k_L22,fp32,1,4099,512,cs1-small,real,8.545,7.536,1.134
flash_16k_L24,fp32,1,4099,512,cs1-small,real,9.011,7.757,1.1617
flash_16k_L26,fp32,1,4099,512,cs1-small,real,8.83,7.566,1.167
flash_16k_L28,fp32,1,4099,512,cs1-small,real,8.709,7.537,1.1554
flash_16k_L30,fp32,1,4099,512,cs1-small,real,9.073,7.87,1.1529
flash_16k_L32,fp32,1,4099,512,cs1-small,real,8.8,7.665,1.148
flash_16k_L34,fp32,1,4099,512,cs1-small,real,8.691,7.637,1.1381
flash_16k_L36,fp32,1,4099,512,cs1-small,real,9.952,8.901,1.1181
flash_16k_L38,fp32,1,4099,512,cs1-small,real,9.03,7.851,1.1502
flash_16k_L40,fp32,1,4099,512,cs1-small,real,8.67,7.648,1.1337
flash_16k_L42,fp32,1,4099,512,cs1-small,real,8.507,7.531,1.1296
flash_256k_L02,fp32,4,65538,512,cs4,real,13.918,12.016,1.1583
flash_256k_L04,fp32,4,65538,512,cs4,real,15.189,13.048,1.1641
flash_256k_L06,fp32,4,65538,512,cs4,real,13.472,11.85,1.1369
flash_256k_L08,fp32,4,65538,512,cs4,real,15.134,12.944,1.1692
flash_256k_L10,fp32,4,65538,512,cs4,real,14.315,12.672,1.1297
flash_256k_L12,fp32,4,65538,512,cs4,real,16.725,13.995,1.195
flash_256k_L14,fp32,4,65538,512,cs4,real,14.949,12.979,1.1517
flash_256k_L16,fp32,4,65538,512,cs4,real,13.836,12.133,1.1404
flash_256k_L18,fp32,4,65538,512,cs4,real,13.136,11.773,1.1158
flash_256k_L20,fp32,4,65538,512,cs4,real,13.616,11.734,1.1604
flash_256k_L22,fp32,4,65538,512,cs4,real,13.747,12.001,1.1455
flash_256k_L24,fp32,4,65538,512,cs4,real,19.337,17.897,1.0805
flash_256k_L26,fp32,4,65538,512,cs4,real,14.739,12.926,1.1402
flash_256k_L28,fp32,4,65538,512,cs4,real,15.801,13.256,1.192
flash_256k_L30,fp32,4,65538,512,cs4,real,14.414,12.641,1.1402
flash_256k_L32,fp32,4,65538,512,cs4,real,16.899,14.339,1.1785
flash_256k_L34,fp32,4,65538,512,cs4,real,13.409,11.841,1.1324
flash_256k_L36,fp32,4,65538,512,cs4,real,13.086,11.517,1.1363
flash_256k_L38,fp32,4,65538,512,cs4,real,14.843,13.101,1.133
flash_256k_L40,fp32,4,65538,512,cs4,real,13.79,11.993,1.1498
flash_256k_L42,fp32,4,65538,512,cs4,real,13.438,11.854,1.1336
flash_32k_L02,fp32,1,8195,512,cs1-small,real,9.44,7.845,1.2034
flash_32k_L04,fp32,1,8195,512,cs1-small,real,9.269,7.819,1.1854
flash_32k_L06,fp32,1,8195,512,cs1-small,real,10.713,9.419,1.1374
flash_32k_L08,fp32,1,8195,512,cs1-small,real,9.317,7.989,1.1662
flash_32k_L10,fp32,1,8195,512,cs1-small,real,9.321,8.008,1.164
flash_32k_L12,fp32,1,8195,512,cs1-small,real,9.555,8.133,1.1749
flash_32k_L14,fp32,1,8195,512,cs1-small,real,9.144,7.813,1.1704
flash_32k_L16,fp32,1,8195,512,cs1-small,real,9.605,8.101,1.1856
flash_32k_L18,fp32,1,8195,512,cs1-small,real,9.214,7.937,1.1609
flash_32k_L20,fp32,1,8195,512,cs1-small,real,9.275,7.909,1.1728
flash_32k_L22,fp32,1,8195,512,cs1-small,real,9.429,7.869,1.1983
flash_32k_L24,fp32,1,8195,512,cs1-small,real,9.194,7.982,1.1517
flash_32k_L26,fp32,1,8195,512,cs1-small,real,9.339,7.944,1.1756
flash_32k_L28,fp32,1,8195,512,cs1-small,real,10.92,9.45,1.1556
flash_32k_L30,fp32,1,8195,512,cs1-small,real,9.146,7.726,1.1837
flash_32k_L32,fp32,1,8195,512,cs1-small,real,9.467,8.201,1.1543
flash_32k_L34,fp32,1,8195,512,cs1-small,real,9.323,7.971,1.1696
flash_32k_L36,fp32,1,8195,512,cs1-small,real,10.443,9.0,1.1604
flash_32k_L38,fp32,1,8195,512,cs1-small,real,9.19,7.994,1.1497
flash_32k_L40,fp32,1,8195,512,cs1-small,real,9.267,7.896,1.1737
flash_32k_L42,fp32,1,8195,512,cs1-small,real,10.898,9.498,1.1474
flash_4k_L02,fp32,1,1027,512,cs1-small,real,9.338,7.789,1.1989
flash_4k_L04,fp32,1,1027,512,cs1-small,real,8.502,7.312,1.1628
flash_4k_L06,fp32,1,1027,512,cs1-small,real,4.635,4.609,1.0056
flash_4k_L08,fp32,1,1027,512,cs1-small,real,7.505,6.414,1.1701
flash_4k_L10,fp32,1,1027,512,cs1-small,real,7.517,6.406,1.1733
flash_4k_L12,fp32,1,1027,512,cs1-small,real,7.689,6.507,1.1817
flash_4k_L14,fp32,1,1027,512,cs1-small,real,7.664,6.421,1.1936
flash_4k_L16,fp32,1,1027,512,cs1-small,real,7.705,6.403,1.2034
flash_4k_L18,fp32,1,1027,512,cs1-small,real,7.554,6.472,1.1671
flash_4k_L20,fp32,1,1027,512,cs1-small,real,7.643,6.339,1.2057
flash_4k_L22,fp32,1,1027,512,cs1-small,real,7.557,6.328,1.1942
flash_4k_L24,fp32,1,1027,512,cs1-small,real,7.579,6.406,1.1831
flash_4k_L26,fp32,1,1027,512,cs1-small,real,7.603,6.47,1.1751
flash_4k_L28,fp32,1,1027,512,cs1-small,real,7.515,6.365,1.1807
flash_4k_L30,fp32,1,1027,512,cs1-small,real,7.534,6.302,1.1955
flash_4k_L32,fp32,1,1027,512,cs1-small,real,7.523,6.379,1.1793
flash_4k_L34,fp32,1,1027,512,cs1-small,real,7.56,6.522,1.1592
flash_4k_L36,fp32,1,1027,512,cs1-small,real,8.779,7.517,1.1679
flash_4k_L38,fp32,1,1027,512,cs1-small,real,7.609,6.437,1.1822
flash_4k_L40,fp32,1,1027,512,cs1-small,real,7.464,6.32,1.181
flash_4k_L42,fp32,1,1027,512,cs1-small,real,8.569,7.432,1.1531
flash_512k_L02,fp32,8,131075,512,cs8,real,14.697,12.16,1.2087
flash_512k_L04,fp32,8,131075,512,cs8,real,14.217,12.109,1.1742
flash_512k_L06,fp32,8,131075,512,cs8,real,14.238,12.057,1.1809
flash_512k_L08,fp32,8,131075,512,cs8,real,14.264,12.014,1.1872
flash_512k_L10,fp32,8,131075,512,cs8,real,14.256,12.173,1.1711
flash_512k_L12,fp32,8,131075,512,cs8,real,14.355,12.229,1.1739
flash_512k_L14,fp32,8,131075,512,cs8,real,15.15,12.777,1.1857
flash_512k_L16,fp32,8,131075,512,cs8,real,14.897,12.513,1.1905
flash_512k_L18,fp32,8,131075,512,cs8,real,20.709,18.576,1.1148
flash_512k_L20,fp32,8,131075,512,cs8,real,14.832,12.456,1.1908
flash_512k_L22,fp32,8,131075,512,cs8,real,20.517,18.678,1.0984
flash_512k_L24,fp32,8,131075,512,cs8,real,20.992,19.289,1.0883
flash_512k_L26,fp32,8,131075,512,cs8,real,14.909,12.709,1.1731
flash_512k_L28,fp32,8,131075,512,cs8,real,17.481,14.667,1.1919
flash_512k_L30,fp32,8,131075,512,cs8,real,20.632,18.385,1.1222
flash_512k_L32,fp32,8,131075,512,cs8,real,16.707,14.045,1.1896
flash_512k_L34,fp32,8,131075,512,cs8,real,14.784,12.712,1.163
flash_512k_L36,fp32,8,131075,512,cs8,real,15.123,12.88,1.1742
flash_512k_L38,fp32,8,131075,512,cs8,real,17.379,14.648,1.1864
flash_512k_L40,fp32,8,131075,512,cs8,real,16.289,14.318,1.1377
flash_512k_L42,fp32,8,131075,512,cs8,real,14.629,12.67,1.1546
flash_64k_L02,fp32,1,16387,512,cs1-mid,real,10.162,8.59,1.1829
flash_64k_L04,fp32,1,16387,512,cs1-mid,real,9.686,8.525,1.1363
flash_64k_L06,fp32,1,16387,512,cs1-mid,real,9.816,8.715,1.1263
flash_64k_L08,fp32,1,16387,512,cs1-mid,real,9.939,8.779,1.1321
flash_64k_L10,fp32,1,16387,512,cs1-mid,real,10.357,9.131,1.1342
flash_64k_L12,fp32,1,16387,512,cs1-mid,real,10.091,8.974,1.1244
flash_64k_L14,fp32,1,16387,512,cs1-mid,real,9.795,8.514,1.1505
flash_64k_L16,fp32,1,16387,512,cs1-mid,real,10.163,9.064,1.1213
flash_64k_L18,fp32,1,16387,512,cs1-mid,real,9.8,8.745,1.1206
flash_64k_L20,fp32,1,16387,512,cs1-mid,real,10.593,9.253,1.1449
flash_64k_L22,fp32,1,16387,512,cs1-mid,real,12.021,10.763,1.1169
flash_64k_L24,fp32,1,16387,512,cs1-mid,real,12.888,11.944,1.079
flash_64k_L26,fp32,1,16387,512,cs1-mid,real,11.08,9.768,1.1343
flash_64k_L28,fp32,1,16387,512,cs1-mid,real,11.054,9.945,1.1115
flash_64k_L30,fp32,1,16387,512,cs1-mid,real,10.057,8.854,1.1359
flash_64k_L32,fp32,1,16387,512,cs1-mid,real,10.989,9.626,1.1416
flash_64k_L34,fp32,1,16387,512,cs1-mid,real,10.437,9.192,1.1354
flash_64k_L36,fp32,1,16387,512,cs1-mid,real,9.587,8.642,1.1094
flash_64k_L38,fp32,1,16387,512,cs1-mid,real,9.76,8.752,1.1152
flash_64k_L40,fp32,1,16387,512,cs1-mid,real,10.688,9.457,1.1301
flash_64k_L42,fp32,1,16387,512,cs1-mid,real,9.805,8.747,1.1209
flash_8k_L02,fp32,1,2051,512,cs1-small,real,8.528,7.04,1.2114
flash_8k_L04,fp32,1,2051,512,cs1-small,real,8.19,7.035,1.1642
flash_8k_L06,fp32,1,2051,512,cs1-small,real,8.37,7.035,1.1897
flash_8k_L08,fp32,1,2051,512,cs1-small,real,8.405,7.163,1.1733
flash_8k_L10,fp32,1,2051,512,cs1-small,real,8.086,6.834,1.1833
flash_8k_L12,fp32,1,2051,512,cs1-small,real,8.368,7.181,1.1653
flash_8k_L14,fp32,1,2051,512,cs1-small,real,7.984,6.888,1.1591
flash_8k_L16,fp32,1,2051,512,cs1-small,real,8.355,7.173,1.1648
flash_8k_L18,fp32,1,2051,512,cs1-small,real,8.653,7.366,1.1746
flash_8k_L20,fp32,1,2051,512,cs1-small,real,8.665,7.242,1.1966
flash_8k_L22,fp32,1,2051,512,cs1-small,real,8.123,6.854,1.1851
flash_8k_L24,fp32,1,2051,512,cs1-small,real,8.613,7.277,1.1836
flash_8k_L26,fp32,1,2051,512,cs1-small,real,8.088,6.878,1.1758
flash_8k_L28,fp32,1,2051,512,cs1-small,real,8.531,7.302,1.1683
flash_8k_L30,fp32,1,2051,512,cs1-small,real,8.558,7.312,1.1705
flash_8k_L32,fp32,1,2051,512,cs1-small,real,8.286,7.027,1.1792
flash_8k_L34,fp32,1,2051,512,cs1-small,real,8.411,7.232,1.1631
flash_8k_L36,fp32,1,2051,512,cs1-small,real,8.414,7.024,1.198
flash_8k_L38,fp32,1,2051,512,cs1-small,real,8.533,7.104,1.2011
flash_8k_L40,fp32,1,2051,512,cs1-small,real,8.674,7.221,1.2012
flash_8k_L42,fp32,1,2051,512,cs1-small,real,8.21,7.032,1.1675
pro_1024k_L02,fp32,8,262127,1024,cs8,real,22.87,19.948,1.1465
pro_1024k_L04,fp32,8,262127,1024,cs8,real,23.892,20.58,1.1609
pro_1024k_L06,fp32,8,262127,1024,cs8,real,23.539,20.107,1.1707
pro_1024k_L08,fp32,8,262127,1024,cs8,real,24.456,20.894,1.1705
pro_1024k_L10,fp32,8,262127,1024,cs8,real,25.633,22.509,1.1388
pro_1024k_L12,fp32,8,262127,1024,cs8,real,18.835,16.549,1.1382
pro_1024k_L14,fp32,8,262127,1024,cs8,real,19.168,17.259,1.1106
pro_1024k_L16,fp32,8,262127,1024,cs8,real,20.485,17.941,1.1418
pro_1024k_L18,fp32,8,262127,1024,cs8,real,19.371,17.128,1.131
pro_1024k_L20,fp32,8,262127,1024,cs8,real,19.161,16.992,1.1277
pro_1024k_L22,fp32,8,262127,1024,cs8,real,20.617,18.102,1.139
pro_1024k_L24,fp32,8,262127,1024,cs8,real,19.371,17.059,1.1355
pro_1024k_L26,fp32,8,262127,1024,cs8,real,21.961,19.667,1.1167
pro_1024k_L28,fp32,8,262127,1024,cs8,real,19.579,17.339,1.1292
pro_1024k_L30,fp32,8,262127,1024,cs8,real,19.675,17.35,1.134
pro_1024k_L32,fp32,8,262127,1024,cs8,real,18.985,16.881,1.1246
pro_1024k_L34,fp32,8,262127,1024,cs8,real,19.545,17.395,1.1236
pro_1024k_L36,fp32,8,262127,1024,cs8,real,27.454,25.425,1.0798
pro_1024k_L38,fp32,8,262127,1024,cs8,real,18.669,16.635,1.1222
pro_1024k_L40,fp32,8,262127,1024,cs8,real,28.564,25.905,1.1026
pro_1024k_L42,fp32,8,262127,1024,cs8,real,21.465,19.485,1.1017
pro_1024k_L44,fp32,8,262127,1024,cs8,real,21.659,18.672,1.16
pro_1024k_L46,fp32,8,262127,1024,cs8,real,20.542,17.83,1.1521
pro_1024k_L48,fp32,8,262127,1024,cs8,real,27.454,25.564,1.0739
pro_1024k_L50,fp32,8,262127,1024,cs8,real,18.896,16.75,1.1281
pro_1024k_L52,fp32,8,262127,1024,cs8,real,19.894,17.459,1.1395
pro_1024k_L54,fp32,8,262127,1024,cs8,real,19.854,17.337,1.1452
pro_1024k_L56,fp32,8,262127,1024,cs8,real,19.776,17.184,1.1508
pro_1024k_L58,fp32,8,262127,1024,cs8,real,19.438,17.117,1.1356
pro_1024k_L60,fp32,8,262127,1024,cs8,real,24.78,21.165,1.1708
pro_128k_L02,fp32,1,32771,1024,cs1-mid,real,14.491,12.902,1.1231
pro_128k_L04,fp32,1,32771,1024,cs1-mid,real,12.926,11.64,1.1105
pro_128k_L06,fp32,1,32771,1024,cs1-mid,real,16.176,14.03,1.1529
pro_128k_L08,fp32,1,32771,1024,cs1-mid,real,14.72,13.464,1.0933
pro_128k_L10,fp32,1,32771,1024,cs1-mid,real,15.425,14.062,1.0969
pro_128k_L12,fp32,1,32771,1024,cs1-mid,real,12.466,11.302,1.1029
pro_128k_L14,fp32,1,32771,1024,cs1-mid,real,12.321,11.288,1.0916
pro_128k_L16,fp32,1,32771,1024,cs1-mid,real,12.941,11.685,1.1075
pro_128k_L18,fp32,1,32771,1024,cs1-mid,real,12.914,11.691,1.1046
pro_128k_L20,fp32,1,32771,1024,cs1-mid,real,12.336,11.11,1.1103
pro_128k_L22,fp32,1,32771,1024,cs1-mid,real,13.745,12.513,1.0985
pro_128k_L24,fp32,1,32771,1024,cs1-mid,real,12.862,11.502,1.1182
pro_128k_L26,fp32,1,32771,1024,cs1-mid,real,13.766,12.641,1.089
pro_128k_L28,fp32,1,32771,1024,cs1-mid,real,12.749,11.352,1.1231
pro_128k_L30,fp32,1,32771,1024,cs1-mid,real,12.691,11.521,1.1015
pro_128k_L32,fp32,1,32771,1024,cs1-mid,real,13.987,12.614,1.1088
pro_128k_L34,fp32,1,32771,1024,cs1-mid,real,13.333,12.121,1.0999
pro_128k_L36,fp32,1,32771,1024,cs1-mid,real,12.515,11.181,1.1193
pro_128k_L38,fp32,1,32771,1024,cs1-mid,real,13.907,12.531,1.1098
pro_128k_L40,fp32,1,32771,1024,cs1-mid,real,12.216,11.061,1.1045
pro_128k_L42,fp32,1,32771,1024,cs1-mid,real,14.755,13.373,1.1034
pro_128k_L44,fp32,1,32771,1024,cs1-mid,real,12.641,11.118,1.137
pro_128k_L46,fp32,1,32771,1024,cs1-mid,real,13.541,12.153,1.1141
pro_128k_L48,fp32,1,32771,1024,cs1-mid,real,12.637,11.376,1.1108
pro_128k_L50,fp32,1,32771,1024,cs1-mid,real,13.269,12.099,1.0967
pro_128k_L52,fp32,1,32771,1024,cs1-mid,real,13.901,12.472,1.1146
pro_128k_L54,fp32,1,32771,1024,cs1-mid,real,12.729,11.384,1.1182
pro_128k_L56,fp32,1,32771,1024,cs1-mid,real,14.163,12.611,1.1231
pro_128k_L58,fp32,1,32771,1024,cs1-mid,real,12.921,11.547,1.119
pro_128k_L60,fp32,1,32771,1024,cs1-mid,real,12.344,11.158,1.1062
pro_16k_L02,fp32,1,4099,1024,cs1-small,real,9.851,8.198,1.2016
pro_16k_L04,fp32,1,4099,1024,cs1-small,real,9.501,8.282,1.1472
pro_16k_L06,fp32,1,4099,1024,cs1-small,real,9.36,7.995,1.1707
pro_16k_L08,fp32,1,4099,1024,cs1-small,real,11.685,9.894,1.181
pro_16k_L10,fp32,1,4099,1024,cs1-small,real,11.52,9.688,1.1891
pro_16k_L12,fp32,1,4099,1024,cs1-small,real,9.106,7.822,1.164
pro_16k_L14,fp32,1,4099,1024,cs1-small,real,9.318,7.876,1.1831
pro_16k_L16,fp32,1,4099,1024,cs1-small,real,8.933,7.611,1.1736
pro_16k_L18,fp32,1,4099,1024,cs1-small,real,9.288,7.995,1.1617
pro_16k_L20,fp32,1,4099,1024,cs1-small,real,9.023,7.645,1.1804
pro_16k_L22,fp32,1,4099,1024,cs1-small,real,9.403,8.024,1.1719
pro_16k_L24,fp32,1,4099,1024,cs1-small,real,9.194,7.784,1.1811
pro_16k_L26,fp32,1,4099,1024,cs1-small,real,9.027,7.827,1.1533
pro_16k_L28,fp32,1,4099,1024,cs1-small,real,8.973,7.699,1.1654
pro_16k_L30,fp32,1,4099,1024,cs1-small,real,9.366,7.882,1.1884
pro_16k_L32,fp32,1,4099,1024,cs1-small,real,9.021,7.715,1.1692
pro_16k_L34,fp32,1,4099,1024,cs1-small,real,9.062,7.785,1.164
pro_16k_L36,fp32,1,4099,1024,cs1-small,real,8.909,7.709,1.1557
pro_16k_L38,fp32,1,4099,1024,cs1-small,real,10.912,8.921,1.2231
pro_16k_L40,fp32,1,4099,1024,cs1-small,real,11.429,9.573,1.1939
pro_16k_L42,fp32,1,4099,1024,cs1-small,real,11.253,9.283,1.2122
pro_16k_L44,fp32,1,4099,1024,cs1-small,real,11.393,9.461,1.2043
pro_16k_L46,fp32,1,4099,1024,cs1-small,real,9.006,7.736,1.1642
pro_16k_L48,fp32,1,4099,1024,cs1-small,real,9.088,7.609,1.1943
pro_16k_L50,fp32,1,4099,1024,cs1-small,real,11.078,9.249,1.1977
pro_16k_L52,fp32,1,4099,1024,cs1-small,real,11.587,9.744,1.1892
pro_16k_L54,fp32,1,4099,1024,cs1-small,real,11.68,9.781,1.1942
pro_16k_L56,fp32,1,4099,1024,cs1-small,real,11.619,9.629,1.2067
pro_16k_L58,fp32,1,4099,1024,cs1-small,real,11.072,9.229,1.1997
pro_16k_L60,fp32,1,4099,1024,cs1-small,real,11.658,9.592,1.2154
pro_256k_L02,fp32,4,65539,1024,cs4,real,16.598,14.669,1.1316
pro_256k_L04,fp32,4,65539,1024,cs4,real,18.094,15.797,1.1454
pro_256k_L06,fp32,4,65539,1024,cs4,real,16.747,14.785,1.1327
pro_256k_L08,fp32,4,65539,1024,cs4,real,17.577,15.256,1.1521
pro_256k_L10,fp32,4,65539,1024,cs4,real,18.59,16.332,1.1382
pro_256k_L12,fp32,4,65539,1024,cs4,real,13.744,12.235,1.1233
pro_256k_L14,fp32,4,65539,1024,cs4,real,14.006,12.301,1.1387
pro_256k_L16,fp32,4,65539,1024,cs4,real,14.717,12.976,1.1342
pro_256k_L18,fp32,4,65539,1024,cs4,real,14.585,12.829,1.1369
pro_256k_L20,fp32,4,65539,1024,cs4,real,13.861,12.281,1.1286
pro_256k_L22,fp32,4,65539,1024,cs4,real,13.469,12.009,1.1215
pro_256k_L24,fp32,4,65539,1024,cs4,real,15.073,12.958,1.1632
pro_256k_L26,fp32,4,65539,1024,cs4,real,15.891,14.149,1.1231
pro_256k_L28,fp32,4,65539,1024,cs4,real,14.552,12.914,1.1269
pro_256k_L30,fp32,4,65539,1024,cs4,real,14.533,12.841,1.1317
pro_256k_L32,fp32,4,65539,1024,cs4,real,15.601,14.226,1.0967
pro_256k_L34,fp32,4,65539,1024,cs4,real,16.305,14.265,1.143
pro_256k_L36,fp32,4,65539,1024,cs4,real,13.597,11.921,1.1405
pro_256k_L38,fp32,4,65539,1024,cs4,real,15.739,13.293,1.184
pro_256k_L40,fp32,4,65539,1024,cs4,real,16.285,13.769,1.1827
pro_256k_L42,fp32,4,65539,1024,cs4,real,13.681,12.093,1.1314
pro_256k_L44,fp32,4,65539,1024,cs4,real,15.779,14.419,1.0943
pro_256k_L46,fp32,4,65539,1024,cs4,real,14.051,12.59,1.116
pro_256k_L48,fp32,4,65539,1024,cs4,real,17.225,14.509,1.1873
pro_256k_L50,fp32,4,65539,1024,cs4,real,15.856,14.198,1.1167
pro_256k_L52,fp32,4,65539,1024,cs4,real,16.291,14.072,1.1577
pro_256k_L54,fp32,4,65539,1024,cs4,real,14.005,12.478,1.1223
pro_256k_L56,fp32,4,65539,1024,cs4,real,15.278,13.358,1.1437
pro_256k_L58,fp32,4,65539,1024,cs4,real,14.064,12.475,1.1274
pro_256k_L60,fp32,4,65539,1024,cs4,real,13.629,12.342,1.1042
pro_32k_L02,fp32,1,8195,1024,cs1-small,real,11.157,9.725,1.1472
pro_32k_L04,fp32,1,8195,1024,cs1-small,real,11.384,9.818,1.1596
pro_32k_L06,fp32,1,8195,1024,cs1-small,real,11.497,9.92,1.159
pro_32k_L08,fp32,1,8195,1024,cs1-small,real,11.126,9.462,1.1758
pro_32k_L10,fp32,1,8195,1024,cs1-small,real,11.601,9.934,1.1678
pro_32k_L12,fp32,1,8195,1024,cs1-small,real,9.146,8.083,1.1314
pro_32k_L14,fp32,1,8195,1024,cs1-small,real,11.413,10.104,1.1295
pro_32k_L16,fp32,1,8195,1024,cs1-small,real,9.678,8.406,1.1513
pro_32k_L18,fp32,1,8195,1024,cs1-small,real,9.883,8.672,1.1397
pro_32k_L20,fp32,1,8195,1024,cs1-small,real,9.158,8.017,1.1423
pro_32k_L22,fp32,1,8195,1024,cs1-small,real,10.035,8.774,1.1437
pro_32k_L24,fp32,1,8195,1024,cs1-small,real,9.213,8.051,1.1443
pro_32k_L26,fp32,1,8195,1024,cs1-small,real,10.723,9.325,1.15
pro_32k_L28,fp32,1,8195,1024,cs1-small,real,9.357,8.117,1.1528
pro_32k_L30,fp32,1,8195,1024,cs1-small,real,10.737,9.483,1.1323
pro_32k_L32,fp32,1,8195,1024,cs1-small,real,10.8,9.354,1.1546
pro_32k_L34,fp32,1,8195,1024,cs1-small,real,9.365,8.12,1.1533
pro_32k_L36,fp32,1,8195,1024,cs1-small,real,10.36,9.115,1.1366
pro_32k_L38,fp32,1,8195,1024,cs1-small,real,9.731,8.451,1.1515
pro_32k_L40,fp32,1,8195,1024,cs1-small,real,10.595,9.377,1.1299
pro_32k_L42,fp32,1,8195,1024,cs1-small,real,10.094,8.718,1.1578
pro_32k_L44,fp32,1,8195,1024,cs1-small,real,9.509,8.192,1.1608
pro_32k_L46,fp32,1,8195,1024,cs1-small,real,9.325,8.137,1.1459
pro_32k_L48,fp32,1,8195,1024,cs1-small,real,10.158,8.739,1.1624
pro_32k_L50,fp32,1,8195,1024,cs1-small,real,9.397,8.329,1.1281
pro_32k_L52,fp32,1,8195,1024,cs1-small,real,9.611,8.338,1.1527
pro_32k_L54,fp32,1,8195,1024,cs1-small,real,9.179,8.03,1.143
pro_32k_L56,fp32,1,8195,1024,cs1-small,real,9.539,8.264,1.1543
pro_32k_L58,fp32,1,8195,1024,cs1-small,real,9.275,8.093,1.1461
pro_32k_L60,fp32,1,8195,1024,cs1-small,real,11.499,9.888,1.1629
pro_4k_L02,fp32,1,1027,1024,cs1-small,real,6.022,6.043,0.9966
pro_4k_L04,fp32,1,1027,1024,cs1-small,real,9.952,8.286,1.201
pro_4k_L06,fp32,1,1027,1024,cs1-small,real,10.07,8.235,1.2229
pro_4k_L08,fp32,1,1027,1024,cs1-small,real,10.384,8.456,1.228
pro_4k_L10,fp32,1,1027,1024,cs1-small,real,10.089,8.28,1.2185
pro_4k_L12,fp32,1,1027,1024,cs1-small,real,9.858,8.045,1.2253
pro_4k_L14,fp32,1,1027,1024,cs1-small,real,9.888,8.054,1.2276
pro_4k_L16,fp32,1,1027,1024,cs1-small,real,5.785,5.818,0.9945
pro_4k_L18,fp32,1,1027,1024,cs1-small,real,9.952,8.075,1.2324
pro_4k_L20,fp32,1,1027,1024,cs1-small,real,9.915,8.024,1.2357
pro_4k_L22,fp32,1,1027,1024,cs1-small,real,9.834,8.064,1.2194
pro_4k_L24,fp32,1,1027,1024,cs1-small,real,9.94,8.056,1.2339
pro_4k_L26,fp32,1,1027,1024,cs1-small,real,9.933,8.078,1.2296
pro_4k_L28,fp32,1,1027,1024,cs1-small,real,9.862,8.029,1.2283
pro_4k_L30,fp32,1,1027,1024,cs1-small,real,9.867,8.083,1.2207
pro_4k_L32,fp32,1,1027,1024,cs1-small,real,9.838,8.026,1.2259
pro_4k_L34,fp32,1,1027,1024,cs1-small,real,9.915,8.024,1.2357
pro_4k_L36,fp32,1,1027,1024,cs1-small,real,9.862,8.065,1.2227
pro_4k_L38,fp32,1,1027,1024,cs1-small,real,9.856,8.064,1.2223
pro_4k_L40,fp32,1,1027,1024,cs1-small,real,9.906,8.073,1.2269
pro_4k_L42,fp32,1,1027,1024,cs1-small,real,9.922,8.03,1.2355
pro_4k_L44,fp32,1,1027,1024,cs1-small,real,9.954,8.155,1.2207
pro_4k_L46,fp32,1,1027,1024,cs1-small,real,9.862,8.072,1.2218
pro_4k_L48,fp32,1,1027,1024,cs1-small,real,10.069,8.134,1.2378
pro_4k_L50,fp32,1,1027,1024,cs1-small,real,10.054,8.197,1.2266
pro_4k_L52,fp32,1,1027,1024,cs1-small,real,9.85,8.066,1.2212
pro_4k_L54,fp32,1,1027,1024,cs1-small,real,9.804,8.078,1.2136
pro_4k_L56,fp32,1,1027,1024,cs1-small,real,9.921,8.045,1.2333
pro_4k_L58,fp32,1,1027,1024,cs1-small,real,9.955,8.042,1.238
pro_4k_L60,fp32,1,1027,1024,cs1-small,real,9.902,8.067,1.2275
pro_512k_L02,fp32,8,131075,1024,cs8,real,18.317,15.374,1.1914
pro_512k_L04,fp32,8,131075,1024,cs8,real,21.413,17.221,1.2434
pro_512k_L06,fp32,8,131075,1024,cs8,real,18.616,15.609,1.1926
pro_512k_L08,fp32,8,131075,1024,cs8,real,19.097,15.899,1.2012
pro_512k_L10,fp32,8,131075,1024,cs8,real,20.269,17.254,1.1747
pro_512k_L12,fp32,8,131075,1024,cs8,real,20.672,17.334,1.1926
pro_512k_L14,fp32,8,131075,1024,cs8,real,15.238,13.195,1.1548
pro_512k_L16,fp32,8,131075,1024,cs8,real,17.005,14.424,1.1789
pro_512k_L18,fp32,8,131075,1024,cs8,real,15.731,13.746,1.1445
pro_512k_L20,fp32,8,131075,1024,cs8,real,15.115,13.016,1.1613
pro_512k_L22,fp32,8,131075,1024,cs8,real,14.939,12.89,1.159
pro_512k_L24,fp32,8,131075,1024,cs8,real,16.344,13.709,1.1922
pro_512k_L26,fp32,8,131075,1024,cs8,real,17.237,15.074,1.1435
pro_512k_L28,fp32,8,131075,1024,cs8,real,16.427,13.738,1.1958
pro_512k_L30,fp32,8,131075,1024,cs8,real,17.098,13.71,1.247
pro_512k_L32,fp32,8,131075,1024,cs8,real,15.146,12.835,1.1801
pro_512k_L34,fp32,8,131075,1024,cs8,real,16.114,13.734,1.1733
pro_512k_L36,fp32,8,131075,1024,cs8,real,15.77,13.517,1.1667
pro_512k_L38,fp32,8,131075,1024,cs8,real,16.82,14.138,1.1898
pro_512k_L40,fp32,8,131075,1024,cs8,real,15.009,12.674,1.1843
pro_512k_L42,fp32,8,131075,1024,cs8,real,16.468,13.894,1.1853
