uuid,dt,cs,N,K,rung,axis,base_us,all_us,ratio
v32_4k_L26,fp32,1,4111,2048,cs1-small,real,10.406,9.577,1.0865
v32_4k_L27,fp32,1,4111,2048,cs1-small,real,10.662,9.632,1.107
v32_4k_L28,fp32,1,4111,2048,cs1-small,real,10.432,9.811,1.0633
v32_4k_L29,fp32,1,4111,2048,cs1-small,real,10.342,9.469,1.0923
v32_4k_L30,fp32,1,4111,2048,cs1-small,real,10.457,9.702,1.0778
v32_4k_L31,fp32,1,4111,2048,cs1-small,real,10.281,9.483,1.0842
v32_4k_L32,fp32,1,4111,2048,cs1-small,real,11.272,9.51,1.1852
v32_4k_L33,fp32,1,4111,2048,cs1-small,real,10.304,9.213,1.1185
v32_4k_L34,fp32,1,4111,2048,cs1-small,real,10.338,9.259,1.1165
v32_4k_L35,fp32,1,4111,2048,cs1-small,real,10.184,9.168,1.1108
v32_4k_L36,fp32,1,4111,2048,cs1-small,real,12.969,11.819,1.0973
v32_4k_L37,fp32,1,4111,2048,cs1-small,real,11.062,9.339,1.1845
v32_4k_L38,fp32,1,4111,2048,cs1-small,real,13.041,12.254,1.0642
v32_4k_L39,fp32,1,4111,2048,cs1-small,real,13.251,12.11,1.0942
v32_4k_L40,fp32,1,4111,2048,cs1-small,real,12.892,11.981,1.0761
v32_4k_L41,fp32,1,4111,2048,cs1-small,real,13.179,12.149,1.0848
v32_4k_L42,fp32,1,4111,2048,cs1-small,real,12.821,12.029,1.0658
v32_4k_L43,fp32,1,4111,2048,cs1-small,real,13.528,12.425,1.0887
v32_4k_L44,fp32,1,4111,2048,cs1-small,real,12.806,11.63,1.1011
v32_4k_L45,fp32,1,4111,2048,cs1-small,real,12.853,11.629,1.1053
v32_4k_L46,fp32,1,4111,2048,cs1-small,real,13.32,12.323,1.0809
v32_4k_L47,fp32,1,4111,2048,cs1-small,real,10.061,9.259,1.0866
v32_4k_L48,fp32,1,4111,2048,cs1-small,real,13.081,11.933,1.0963
v32_4k_L49,fp32,1,4111,2048,cs1-small,real,12.862,11.925,1.0786
v32_4k_L50,fp32,1,4111,2048,cs1-small,real,12.797,11.685,1.0952
v32_4k_L51,fp32,1,4111,2048,cs1-small,real,13.163,12.312,1.0691
v32_4k_L52,fp32,1,4111,2048,cs1-small,real,13.057,12.126,1.0768
v32_4k_L53,fp32,1,4111,2048,cs1-small,real,13.168,11.984,1.0988
v32_4k_L54,fp32,1,4111,2048,cs1-small,real,13.379,12.093,1.1064
v32_4k_L55,fp32,1,4111,2048,cs1-small,real,12.533,11.595,1.0809
v32_4k_L56,fp32,1,4111,2048,cs1-small,real,12.744,11.838,1.0765
v32_4k_L57,fp32,1,4111,2048,cs1-small,real,12.869,12.102,1.0633
v32_4k_L58,fp32,1,4111,2048,cs1-small,real,13.035,12.189,1.0694
v32_4k_L59,fp32,1,4111,2048,cs1-small,real,13.11,11.97,1.0953
v32_4k_L60,fp32,1,4111,2048,cs1-small,real,12.953,11.918,1.0869
v32_64k_L03,fp32,4,65551,2048,cs4,real,16.696,15.373,1.0861
v32_64k_L04,fp32,4,65551,2048,cs4,real,17.499,15.441,1.1333
v32_64k_L05,fp32,4,65551,2048,cs4,real,17.79,15.501,1.1477
v32_64k_L06,fp32,4,65551,2048,cs4,real,16.347,15.027,1.0878
v32_64k_L07,fp32,4,65551,2048,cs4,real,16.185,15.296,1.0582
v32_64k_L08,fp32,4,65551,2048,cs4,real,22.835,21.093,1.0826
v32_64k_L09,fp32,4,65551,2048,cs4,real,16.232,15.361,1.0567
v32_64k_L10,fp32,4,65551,2048,cs4,real,16.445,15.285,1.0759
v32_64k_L11,fp32,4,65551,2048,cs4,real,16.445,15.219,1.0805
v32_64k_L12,fp32,4,65551,2048,cs4,real,23.422,21.763,1.0762
v32_64k_L13,fp32,4,65551,2048,cs4,real,16.337,14.865,1.099
v32_64k_L14,fp32,4,65551,2048,cs4,real,16.312,15.323,1.0645
v32_64k_L15,fp32,4,65551,2048,cs4,real,16.897,15.715,1.0752
v32_64k_L16,fp32,4,65551,2048,cs4,real,17.734,15.408,1.151
v32_64k_L17,fp32,4,65551,2048,cs4,real,17.814,15.582,1.1432
v32_64k_L18,fp32,4,65551,2048,cs4,real,22.227,20.92,1.0625
v32_64k_L19,fp32,4,65551,2048,cs4,real,16.536,15.317,1.0796
v32_64k_L20,fp32,4,65551,2048,cs4,real,17.357,15.773,1.1004
v32_64k_L21,fp32,4,65551,2048,cs4,real,20.147,17.12,1.1768
v32_64k_L22,fp32,4,65551,2048,cs4,real,17.16,16.0,1.0725
v32_64k_L23,fp32,4,65551,2048,cs4,real,18.733,17.331,1.0809
v32_64k_L24,fp32,4,65551,2048,cs4,real,23.611,22.142,1.0663
v32_64k_L25,fp32,4,65551,2048,cs4,real,20.721,19.684,1.0527
v32_64k_L26,fp32,4,65551,2048,cs4,real,23.923,22.772,1.0505
v32_64k_L27,fp32,4,65551,2048,cs4,real,23.574,22.425,1.0512
v32_64k_L28,fp32,4,65551,2048,cs4,real,24.043,22.777,1.0556
v32_64k_L29,fp32,4,65551,2048,cs4,real,23.432,22.064,1.062
v32_64k_L30,fp32,4,65551,2048,cs4,real,17.141,15.582,1.1
v32_64k_L31,fp32,4,65551,2048,cs4,real,21.686,20.437,1.0611
v32_64k_L32,fp32,4,65551,2048,cs4,real,21.203,19.812,1.0702
v32_64k_L33,fp32,4,65551,2048,cs4,real,21.558,20.432,1.0551
v32_64k_L34,fp32,4,65551,2048,cs4,real,20.15,18.536,1.0871
v32_64k_L35,fp32,4,65551,2048,cs4,real,18.681,17.193,1.0865
v32_64k_L36,fp32,4,65551,2048,cs4,real,19.926,17.11,1.1646
v32_64k_L37,fp32,4,65551,2048,cs4,real,17.147,15.921,1.077
