uuid,dt,arm,K,N,cs,exact
v32_8k_L03,fp32,base,2048,8207,1,True
v32_8k_L03,fp32,all,2048,8207,1,True
v32_8k_L04,fp32,base,2048,8207,1,True
v32_8k_L04,fp32,all,2048,8207,1,True
v32_8k_L05,fp32,base,2048,8207,1,True
v32_8k_L05,fp32,all,2048,8207,1,True
v32_8k_L06,fp32,base,2048,8207,1,True
v32_8k_L06,fp32,all,2048,8207,1,True
v32_8k_L07,fp32,base,2048,8207,1,True
v32_8k_L07,fp32,all,2048,8207,1,True
v32_8k_L08,fp32,base,2048,8207,1,True
v32_8k_L08,fp32,all,2048,8207,1,True
v32_8k_L09,fp32,base,2048,8207,1,True
v32_8k_L09,fp32,all,2048,8207,1,True
v32_8k_L10,fp32,base,2048,8207,1,True
v32_8k_L10,fp32,all,2048,8207,1,True
v32_8k_L11,fp32,base,2048,8207,1,True
v32_8k_L11,fp32,all,2048,8207,1,True
v32_8k_L12,fp32,base,2048,8207,1,True
v32_8k_L12,fp32,all,2048,8207,1,True
v32_8k_L13,fp32,base,2048,8207,1,True
v32_8k_L13,fp32,all,2048,8207,1,True
v32_8k_L14,fp32,base,2048,8207,1,True
v32_8k_L14,fp32,all,2048,8207,1,True
v32_8k_L15,fp32,base,2048,8207,1,True
v32_8k_L15,fp32,all,2048,8207,1,True
v32_8k_L16,fp32,base,2048,8207,1,True
v32_8k_L16,fp32,all,2048,8207,1,True
v32_8k_L17,fp32,base,2048,8207,1,True
v32_8k_L17,fp32,all,2048,8207,1,True
v32_8k_L18,fp32,base,2048,8207,1,True
v32_8k_L18,fp32,all,2048,8207,1,True
v32_8k_L19,fp32,base,2048,8207,1,True
v32_8k_L19,fp32,all,2048,8207,1,True
v32_8k_L20,fp32,base,2048,8207,1,True
v32_8k_L20,fp32,all,2048,8207,1,True
v32_8k_L21,fp32,base,2048,8207,1,True
v32_8k_L21,fp32,all,2048,8207,1,True
v32_8k_L22,fp32,base,2048,8207,1,True
v32_8k_L22,fp32,all,2048,8207,1,True
v32_8k_L23,fp32,base,2048,8207,1,True
v32_8k_L23,fp32,all,2048,8207,1,True
v32_8k_L24,fp32,base,2048,8207,1,True
v32_8k_L24,fp32,all,2048,8207,1,True
v32_8k_L25,fp32,base,2048,8207,1,True
v32_8k_L25,fp32,all,2048,8207,1,True
v32_8k_L26,fp32,base,2048,8207,1,True
v32_8k_L26,fp32,all,2048,8207,1,True
v32_8k_L27,fp32,base,2048,8207,1,True
v32_8k_L27,fp32,all,2048,8207,1,True
v32_8k_L28,fp32,base,2048,8207,1,True
v32_8k_L28,fp32,all,2048,8207,1,True
