uuid,dt,arm,K,N,cs,exact
v32_128k_L03,fp32,base,2048,131087,8,True
v32_128k_L03,fp32,all,2048,131087,8,True
v32_128k_L04,fp32,base,2048,131087,8,True
v32_128k_L04,fp32,all,2048,131087,8,True
v32_128k_L05,fp32,base,2048,131087,8,True
v32_128k_L05,fp32,all,2048,131087,8,True
v32_128k_L06,fp32,base,2048,131087,8,True
v32_128k_L06,fp32,all,2048,131087,8,True
v32_128k_L07,fp32,base,2048,131087,8,True
v32_128k_L07,fp32,all,2048,131087,8,True
v32_128k_L08,fp32,base,2048,131087,8,True
v32_128k_L08,fp32,all,2048,131087,8,True
v32_128k_L09,fp32,base,2048,131087,8,True
v32_128k_L09,fp32,all,2048,131087,8,True
v32_128k_L10,fp32,base,2048,131087,8,True
v32_128k_L10,fp32,all,2048,131087,8,True
v32_128k_L11,fp32,base,2048,131087,8,True
v32_128k_L11,fp32,all,2048,131087,8,True
v32_128k_L12,fp32,base,2048,131087,8,True
v32_128k_L12,fp32,all,2048,131087,8,True
v32_128k_L13,fp32,base,2048,131087,8,True
v32_128k_L13,fp32,all,2048,131087,8,True
v32_128k_L14,fp32,base,2048,131087,8,True
v32_128k_L14,fp32,all,2048,131087,8,True
v32_128k_L15,fp32,base,2048,131087,8,True
v32_128k_L15,fp32,all,2048,131087,8,True
v32_128k_L16,fp32,base,2048,131087,8,True
v32_128k_L16,fp32,all,2048,131087,8,True
v32_128k_L17,fp32,base,2048,131087,8,True
v32_128k_L17,fp32,all,2048,131087,8,True
v32_128k_L18,fp32,base,2048,131087,8,True
v32_128k_L18,fp32,all,2048,131087,8,True
v32_128k_L19,fp32,base,2048,131087,8,True
v32_128k_L19,fp32,all,2048,131087,8,True
v32_128k_L20,fp32,base,2048,131087,8,True
v32_128k_L20,fp32,all,2048,131087,8,True
v32_128k_L21,fp32,base,2048,131087,8,True
v32_128k_L21,fp32,all,2048,131087,8,True
v32_128k_L22,fp32,base,2048,131087,8,True
v32_128k_L22,fp32,all,2048,131087,8,True
v32_128k_L23,fp32,base,2048,131087,8,True
v32_128k_L23,fp32,all,2048,131087,8,True
