uuid,dt,arm,K,N,cs,exact
pro_256k_L02,fp32,base,1024,65539,4,True
pro_256k_L02,fp32,all,1024,65539,4,True
pro_256k_L04,fp32,base,1024,65539,4,True
pro_256k_L04,fp32,all,1024,65539,4,True
pro_256k_L06,fp32,base,1024,65539,4,True
pro_256k_L06,fp32,all,1024,65539,4,True
pro_256k_L08,fp32,base,1024,65539,4,True
pro_256k_L08,fp32,all,1024,65539,4,True
pro_256k_L10,fp32,base,1024,65539,4,True
pro_256k_L10,fp32,all,1024,65539,4,True
pro_256k_L12,fp32,base,1024,65539,4,True
pro_256k_L12,fp32,all,1024,65539,4,True
pro_256k_L14,fp32,base,1024,65539,4,True
pro_256k_L14,fp32,all,1024,65539,4,True
pro_256k_L16,fp32,base,1024,65539,4,True
pro_256k_L16,fp32,all,1024,65539,4,True
pro_256k_L18,fp32,base,1024,65539,4,True
pro_256k_L18,fp32,all,1024,65539,4,True
pro_256k_L20,fp32,base,1024,65539,4,True
pro_256k_L20,fp32,all,1024,65539,4,True
pro_256k_L22,fp32,base,1024,65539,4,True
pro_256k_L22,fp32,all,1024,65539,4,True
pro_256k_L24,fp32,base,1024,65539,4,True
pro_256k_L24,fp32,all,1024,65539,4,True
pro_256k_L26,fp32,base,1024,65539,4,True
pro_256k_L26,fp32,all,1024,65539,4,True
pro_256k_L28,fp32,base,1024,65539,4,True
pro_256k_L28,fp32,all,1024,65539,4,True
pro_256k_L30,fp32,base,1024,65539,4,True
pro_256k_L30,fp32,all,1024,65539,4,True
pro_256k_L32,fp32,base,1024,65539,4,True
pro_256k_L32,fp32,all,1024,65539,4,True
pro_256k_L34,fp32,base,1024,65539,4,True
pro_256k_L34,fp32,all,1024,65539,4,True
pro_256k_L36,fp32,base,1024,65539,4,True
pro_256k_L36,fp32,all,1024,65539,4,True
pro_256k_L38,fp32,base,1024,65539,4,True
pro_256k_L38,fp32,all,1024,65539,4,True
pro_256k_L40,fp32,base,1024,65539,4,True
pro_256k_L40,fp32,all,1024,65539,4,True
pro_256k_L42,fp32,base,1024,65539,4,True
pro_256k_L42,fp32,all,1024,65539,4,True
pro_256k_L44,fp32,base,1024,65539,4,True
pro_256k_L44,fp32,all,1024,65539,4,True
pro_256k_L46,fp32,base,1024,65539,4,True
pro_256k_L46,fp32,all,1024,65539,4,True
pro_256k_L48,fp32,base,1024,65539,4,True
pro_256k_L48,fp32,all,1024,65539,4,True
pro_256k_L50,fp32,base,1024,65539,4,True
pro_256k_L50,fp32,all,1024,65539,4,True
pro_256k_L52,fp32,base,1024,65539,4,True
pro_256k_L52,fp32,all,1024,65539,4,True
pro_256k_L54,fp32,base,1024,65539,4,True
pro_256k_L54,fp32,all,1024,65539,4,True
pro_256k_L56,fp32,base,1024,65539,4,True
pro_256k_L56,fp32,all,1024,65539,4,True
pro_256k_L58,fp32,base,1024,65539,4,True
pro_256k_L58,fp32,all,1024,65539,4,True
pro_256k_L60,fp32,base,1024,65539,4,True
pro_256k_L60,fp32,all,1024,65539,4,True
