uuid,dt,arm,K,N,cs,exact
pro_16k_L02,fp32,base,1024,4099,1,True
pro_16k_L02,fp32,all,1024,4099,1,True
pro_16k_L04,fp32,base,1024,4099,1,True
pro_16k_L04,fp32,all,1024,4099,1,True
pro_16k_L06,fp32,base,1024,4099,1,True
pro_16k_L06,fp32,all,1024,4099,1,True
pro_16k_L08,fp32,base,1024,4099,1,True
pro_16k_L08,fp32,all,1024,4099,1,True
pro_16k_L10,fp32,base,1024,4099,1,True
pro_16k_L10,fp32,all,1024,4099,1,True
pro_16k_L12,fp32,base,1024,4099,1,True
pro_16k_L12,fp32,all,1024,4099,1,True
pro_16k_L14,fp32,base,1024,4099,1,True
pro_16k_L14,fp32,all,1024,4099,1,True
pro_16k_L16,fp32,base,1024,4099,1,True
pro_16k_L16,fp32,all,1024,4099,1,True
pro_16k_L18,fp32,base,1024,4099,1,True
pro_16k_L18,fp32,all,1024,4099,1,True
pro_16k_L20,fp32,base,1024,4099,1,True
pro_16k_L20,fp32,all,1024,4099,1,True
pro_16k_L22,fp32,base,1024,4099,1,True
pro_16k_L22,fp32,all,1024,4099,1,True
pro_16k_L24,fp32,base,1024,4099,1,True
pro_16k_L24,fp32,all,1024,4099,1,True
pro_16k_L26,fp32,base,1024,4099,1,True
pro_16k_L26,fp32,all,1024,4099,1,True
pro_16k_L28,fp32,base,1024,4099,1,True
pro_16k_L28,fp32,all,1024,4099,1,True
pro_16k_L30,fp32,base,1024,4099,1,True
pro_16k_L30,fp32,all,1024,4099,1,True
pro_16k_L32,fp32,base,1024,4099,1,True
pro_16k_L32,fp32,all,1024,4099,1,True
pro_16k_L34,fp32,base,1024,4099,1,True
pro_16k_L34,fp32,all,1024,4099,1,True
pro_16k_L36,fp32,base,1024,4099,1,True
pro_16k_L36,fp32,all,1024,4099,1,True
pro_16k_L38,fp32,base,1024,4099,1,True
pro_16k_L38,fp32,all,1024,4099,1,True
pro_16k_L40,fp32,base,1024,4099,1,True
pro_16k_L40,fp32,all,1024,4099,1,True
pro_16k_L42,fp32,base,1024,4099,1,True
pro_16k_L42,fp32,all,1024,4099,1,True
pro_16k_L44,fp32,base,1024,4099,1,True
pro_16k_L44,fp32,all,1024,4099,1,True
pro_16k_L46,fp32,base,1024,4099,1,True
pro_16k_L46,fp32,all,1024,4099,1,True
pro_16k_L48,fp32,base,1024,4099,1,True
pro_16k_L48,fp32,all,1024,4099,1,True
pro_16k_L50,fp32,base,1024,4099,1,True
pro_16k_L50,fp32,all,1024,4099,1,True
pro_16k_L52,fp32,base,1024,4099,1,True
pro_16k_L52,fp32,all,1024,4099,1,True
pro_16k_L54,fp32,base,1024,4099,1,True
pro_16k_L54,fp32,all,1024,4099,1,True
pro_16k_L56,fp32,base,1024,4099,1,True
pro_16k_L56,fp32,all,1024,4099,1,True
pro_16k_L58,fp32,base,1024,4099,1,True
pro_16k_L58,fp32,all,1024,4099,1,True
pro_16k_L60,fp32,base,1024,4099,1,True
pro_16k_L60,fp32,all,1024,4099,1,True
