uuid,model,isl,BS,arm,K,N,cs,exact
pro_16k_L30_bs1,pro,16k,1,base,1024,4099,1,True
pro_16k_L30_bs1,pro,16k,1,opt,1024,4099,1,True
pro_16k_L30_bs2,pro,16k,2,base,1024,4099,1,True
pro_16k_L30_bs2,pro,16k,2,opt,1024,4099,1,True
pro_16k_L30_bs4,pro,16k,4,base,1024,4099,1,True
pro_16k_L30_bs4,pro,16k,4,opt,1024,4099,1,True
pro_16k_L30_bs8,pro,16k,8,base,1024,4099,1,True
pro_16k_L30_bs8,pro,16k,8,opt,1024,4099,1,True
pro_16k_L30_bs16,pro,16k,16,base,1024,4099,1,True
pro_16k_L30_bs16,pro,16k,16,opt,1024,4099,1,True
pro_16k_L30_bs32,pro,16k,32,base,1024,4099,1,True
pro_16k_L30_bs32,pro,16k,32,opt,1024,4099,1,True
pro_16k_L30_bs64,pro,16k,64,base,1024,4099,1,True
pro_16k_L30_bs64,pro,16k,64,opt,1024,4099,1,True
pro_16k_L30_bs128,pro,16k,128,base,1024,4099,1,True
pro_16k_L30_bs128,pro,16k,128,opt,1024,4099,1,True
pro_16k_L30_bs256,pro,16k,256,base,1024,4099,1,True
pro_16k_L30_bs256,pro,16k,256,opt,1024,4099,1,True
pro_16k_L30_bs512,pro,16k,512,base,1024,4099,1,True
pro_16k_L30_bs512,pro,16k,512,opt,1024,4099,1,True
pro_16k_L30_bs1024,pro,16k,1024,base,1024,4099,1,True
pro_16k_L30_bs1024,pro,16k,1024,opt,1024,4099,1,True
