cuuid,uuid,bs,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_16k_L10_bs2,flash_16k_L10,2,flash,16k,10,4099,512,0.648,8.669866666666667,9.471666666666666,0.9153475277142357,7.2095,8.32,True
flash_16k_L10_bs256,flash_16k_L10,256,flash,16k,10,4099,512,0.648,11.4876,11.622200000000001,0.9884187159057665,9.2128,10.006200000000002,True
flash_16k_L10_bs32,flash_16k_L10,32,flash,16k,10,4099,512,0.648,9.354666666666667,9.992533333333332,0.9361656703672077,7.7568,8.7262,True
flash_16k_L10_bs4,flash_16k_L10,4,flash,16k,10,4099,512,0.648,9.023866666666667,9.548733333333333,0.9450328490340779,7.1998,8.2813,True
flash_16k_L10_bs512,flash_16k_L10,512,flash,16k,10,4099,512,0.648,20.8232,14.7968,1.4072772491349481,17.052599999999998,13.1039,True
flash_16k_L10_bs64,flash_16k_L10,64,flash,16k,10,4099,512,0.648,9.521066666666668,10.1866,0.9346658027866676,7.8366999999999996,8.7965,True
flash_16k_L10_bs8,flash_16k_L10,8,flash,16k,10,4099,512,0.648,9.053600000000001,9.6106,0.9420431606767529,7.4527,8.3392,True
flash_16k_L22_bs1024,flash_16k_L22,1024,flash,16k,22,4099,512,0.344,36.11266666666666,25.8834,1.3952056788005696,30.6429,22.0988,True
flash_16k_L22_bs128,flash_16k_L22,128,flash,16k,22,4099,512,0.344,9.580733333333333,10.594066666666668,0.9043489752125402,7.9455,9.068700000000002,True
flash_16k_L22_bs16,flash_16k_L22,16,flash,16k,22,4099,512,0.344,8.962066666666667,10.088466666666667,0.8883477502362433,7.4655,8.8,True
flash_16k_L22_bs2,flash_16k_L22,2,flash,16k,22,4099,512,0.344,8.302866666666667,9.7386,0.8525729228705016,7.1328000000000005,8.4574,True
flash_16k_L22_bs256,flash_16k_L22,256,flash,16k,22,4099,512,0.344,11.1678,11.7972,0.9466483572373106,9.1392,10.1631,True
flash_16k_L22_bs32,flash_16k_L22,32,flash,16k,22,4099,512,0.344,9.074933333333332,10.141733333333333,0.8948108804543601,7.7183,8.9088,True
flash_16k_L22_bs4,flash_16k_L22,4,flash,16k,22,4099,512,0.344,8.846666666666666,9.608466666666667,0.9207157576304231,7.3152,8.4798,True
flash_16k_L22_bs512,flash_16k_L22,512,flash,16k,22,4099,512,0.344,20.0744,14.839266666666667,1.3527892213900956,16.771,13.2287,True
flash_16k_L22_bs64,flash_16k_L22,64,flash,16k,22,4099,512,0.344,9.2286,10.335933333333333,0.8928656660582176,7.7215,8.9376,True
flash_16k_L22_bs8,flash_16k_L22,8,flash,16k,22,4099,512,0.344,8.5076,9.8026,0.8678921918674637,7.1998999999999995,8.4735,True
flash_16k_L34_bs1024,flash_16k_L34,1024,flash,16k,34,4099,512,0.348,36.99573333333333,25.9346,1.426501019230423,30.934,22.2397,True
flash_16k_L34_bs128,flash_16k_L34,128,flash,16k,34,4099,512,0.348,9.873,10.670733333333333,0.9252410018680378,8.0,9.1104,True
flash_16k_L34_bs16,flash_16k_L34,16,flash,16k,34,4099,512,0.348,9.211733333333333,10.039399999999999,0.9175581542057627,7.7279,8.896,True
flash_16k_L34_bs2,flash_16k_L34,2,flash,16k,34,4099,512,0.348,9.0048,9.574200000000001,0.9405276681080402,7.3824,8.4895,True
flash_16k_L34_bs256,flash_16k_L34,256,flash,16k,34,4099,512,0.348,11.2808,11.848533333333332,0.9520840835433921,9.1519,10.2271,True
flash_16k_L34_bs32,flash_16k_L34,32,flash,16k,34,4099,512,0.348,9.262866666666667,10.1738,0.9104628228062934,7.7184,8.870299999999999,True
flash_16k_L34_bs4,flash_16k_L34,4,flash,16k,34,4099,512,0.348,8.802133333333334,9.604133333333333,0.9164942871819078,7.1807,8.4255,True
flash_16k_L34_bs512,flash_16k_L34,512,flash,16k,34,4099,512,0.348,20.4798,14.843399999999999,1.379724321920854,16.7742,13.3278,True
flash_16k_L34_bs64,flash_16k_L34,64,flash,16k,34,4099,512,0.348,9.414399999999999,10.293133333333333,0.9146291702558986,7.7726999999999995,8.9375,True
flash_16k_L34_bs8,flash_16k_L34,8,flash,16k,34,4099,512,0.348,8.940733333333334,9.710799999999999,0.9206999766582913,7.1807,8.479700000000001,True
