cuuid,uuid,bs,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L10_bs1024,flash_1024k_L10,1024,flash,1024k,10,262127,512,0.385,374.5766,747.6106666666666,0.501031642138154,361.60179999999997,732.6115,True
flash_1024k_L10_bs128,flash_1024k_L10,128,flash,1024k,10,262127,512,0.385,62.84073333333333,124.51053333333334,0.5047021456819182,53.3465,113.9122,True
flash_1024k_L10_bs16,flash_1024k_L10,16,flash,1024k,10,262127,512,0.385,21.715066666666665,37.025666666666666,0.5864868514633992,18.7775,33.545199999999994,True
flash_1024k_L10_bs2,flash_1024k_L10,2,flash,1024k,10,262127,512,0.385,18.794400000000003,16.488333333333333,1.1398605074294959,16.5216,15.7726,True
flash_1024k_L10_bs256,flash_1024k_L10,256,flash,1024k,10,262127,512,0.385,108.19953333333333,200.2579333333333,0.5403008586592825,93.90610000000001,188.5259,True
flash_1024k_L10_bs32,flash_1024k_L10,32,flash,1024k,10,262127,512,0.385,24.592733333333335,31.63253333333333,0.7774506415336111,19.5072,26.8188,True
flash_1024k_L10_bs4,flash_1024k_L10,4,flash,1024k,10,262127,512,0.385,19.5006,16.927733333333332,1.151991209691394,16.8062,15.8015,True
flash_1024k_L10_bs512,flash_1024k_L10,512,flash,1024k,10,262127,512,0.385,197.75126666666665,384.8062,0.5138983380898402,184.2185,372.463,True
flash_1024k_L10_bs64,flash_1024k_L10,64,flash,1024k,10,262127,512,0.385,36.82933333333334,55.32946666666667,0.6656368758298773,24.659,44.6619,True
flash_1024k_L10_bs8,flash_1024k_L10,8,flash,1024k,10,262127,512,0.385,21.279733333333333,26.770866666666667,0.7948839908059259,18.7615,24.5597,True
flash_1024k_L22_bs1024,flash_1024k_L22,1024,flash,1024k,22,262127,512,0.422,372.0576,739.262,0.5032824627804486,359.28229999999996,724.0944000000001,True
flash_1024k_L22_bs128,flash_1024k_L22,128,flash,1024k,22,262127,512,0.422,62.196666666666665,122.8402,0.5063217632881309,52.9818,112.3636,True
flash_1024k_L22_bs16,flash_1024k_L22,16,flash,1024k,22,262127,512,0.422,21.687266666666666,40.32386666666667,0.5378270602356255,18.7454,36.774,True
flash_1024k_L22_bs2,flash_1024k_L22,2,flash,1024k,22,262127,512,0.422,18.414933333333334,18.461599999999997,0.9974722306481203,16.3068,17.6892,True
flash_1024k_L22_bs256,flash_1024k_L22,256,flash,1024k,22,262127,512,0.422,107.20106666666666,197.91126666666668,0.5416622735643482,93.54769999999999,186.7434,True
flash_1024k_L22_bs32,flash_1024k_L22,32,flash,1024k,22,262127,512,0.422,24.799666666666667,29.953866666666666,0.8279287259519083,19.4973,25.026799999999998,True
flash_1024k_L22_bs4,flash_1024k_L22,4,flash,1024k,22,262127,512,0.422,19.155133333333335,18.7838,1.0197688078734515,16.860599999999998,17.7085,True
flash_1024k_L22_bs512,flash_1024k_L22,512,flash,1024k,22,262127,512,0.422,196.9254,382.329,0.5150679127139192,182.41029999999998,369.1345,True
flash_1024k_L22_bs64,flash_1024k_L22,64,flash,1024k,22,262127,512,0.422,36.5968,50.3632,0.7266575594878801,24.3774,40.6301,True
flash_1024k_L22_bs8,flash_1024k_L22,8,flash,1024k,22,262127,512,0.422,20.844733333333334,29.253400000000003,0.7125576286289229,18.5567,27.110400000000002,True
flash_1024k_L34_bs1024,flash_1024k_L34,1024,flash,1024k,34,262127,512,0.379,378.4106,747.9386666666667,0.5059380091772231,365.8902,733.1436,True
flash_1024k_L34_bs128,flash_1024k_L34,128,flash,1024k,34,262127,512,0.379,63.3912,124.47013333333334,0.50928843974351,53.8362,114.1618,True
flash_1024k_L34_bs16,flash_1024k_L34,16,flash,1024k,34,262127,512,0.379,22.724,34.5212,0.6582621693336269,19.8175,31.1196,True
flash_1024k_L34_bs2,flash_1024k_L34,2,flash,1024k,34,262127,512,0.379,19.869466666666668,14.493666666666666,1.3709068328695293,17.5518,13.7246,True
flash_1024k_L34_bs256,flash_1024k_L34,256,flash,1024k,34,262127,512,0.379,109.00986666666667,200.47546666666668,0.5437566425417972,94.9171,188.3079,True
flash_1024k_L34_bs32,flash_1024k_L34,32,flash,1024k,34,262127,512,0.379,25.761866666666666,31.607466666666667,0.8150563579913607,20.528,26.6075,True
flash_1024k_L34_bs4,flash_1024k_L34,4,flash,1024k,34,262127,512,0.379,20.0658,15.240333333333334,1.3166247457404692,17.9357,14.019200000000001,True
flash_1024k_L34_bs512,flash_1024k_L34,512,flash,1024k,34,262127,512,0.379,200.1086,385.2350666666666,0.5194454433535473,186.4844,372.30940000000004,True
flash_1024k_L34_bs64,flash_1024k_L34,64,flash,1024k,34,262127,512,0.379,38.00066666666667,51.9438,0.7315727125598563,26.179,42.2203,True
flash_1024k_L34_bs8,flash_1024k_L34,8,flash,1024k,34,262127,512,0.379,21.8474,24.584266666666668,0.8886740571205431,19.657400000000003,22.434900000000003,True
flash_128k_L10_bs1024,flash_128k_L10,1024,flash,128k,10,32771,512,0.523,68.06086666666667,92.90973333333334,0.7325482941866156,61.352599999999995,84.5589,True
flash_128k_L10_bs128,flash_128k_L10,128,flash,128k,10,32771,512,0.523,15.325733333333334,21.429,0.7151865851571858,11.891200000000001,18.3614,True
flash_128k_L10_bs16,flash_128k_L10,16,flash,128k,10,32771,512,0.523,13.335333333333335,15.2296,0.8756194078198597,11.331100000000001,14.4412,True
flash_128k_L10_bs2,flash_128k_L10,2,flash,128k,10,32771,512,0.523,12.673933333333332,12.609866666666667,1.0050806775646584,10.9439,12.0511,True
flash_128k_L10_bs256,flash_128k_L10,256,flash,128k,10,32771,512,0.523,20.799666666666667,26.034866666666666,0.7989158128970637,16.2399,21.2509,True
flash_128k_L10_bs32,flash_128k_L10,32,flash,128k,10,32771,512,0.523,13.674533333333333,15.997733333333333,0.8547794270855038,11.5135,14.9758,True
flash_128k_L10_bs4,flash_128k_L10,4,flash,128k,10,32771,512,0.523,12.663333333333334,12.936533333333333,0.9788815138522428,10.9151,12.399899999999999,True
flash_128k_L10_bs512,flash_128k_L10,512,flash,128k,10,32771,512,0.523,39.17593333333333,49.940599999999996,0.7844505939723058,30.4924,40.3004,True
flash_128k_L10_bs64,flash_128k_L10,64,flash,128k,10,32771,512,0.523,14.414733333333334,26.948,0.5349092078571075,11.7181,25.3566,False
flash_128k_L10_bs8,flash_128k_L10,8,flash,128k,10,32771,512,0.523,13.130600000000001,13.232866666666666,0.9922717677701481,11.2448,12.5054,True
flash_128k_L22_bs1024,flash_128k_L22,1024,flash,128k,22,32771,512,0.701,63.965133333333334,95.96473333333334,0.6665483361596031,56.8984,88.0886,True
flash_128k_L22_bs128,flash_128k_L22,128,flash,128k,22,32771,512,0.701,14.515,22.186533333333333,0.6542256864524426,11.027,19.0365,True
flash_128k_L22_bs16,flash_128k_L22,16,flash,128k,22,32771,512,0.701,12.428666666666667,13.378,0.9290377236258534,10.396700000000001,12.668700000000001,True
flash_128k_L22_bs2,flash_128k_L22,2,flash,128k,22,32771,512,0.701,11.852666666666666,11.4666,1.0336688004000023,9.9839,10.8288,True
flash_128k_L22_bs256,flash_128k_L22,256,flash,128k,22,32771,512,0.701,19.722466666666666,27.225266666666666,0.7244177589934839,15.219,22.201400000000003,True
