cuuid,uuid,bs,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
pro_64k_L30_bs4,pro_64k_L30,4,pro,64k,30,16387,1024,0.312,11.413066666666667,14.143733333333333,0.8069345198815966,9.8236,13.6605,True
pro_64k_L30_bs512,pro_64k_L30,512,pro,64k,30,16387,1024,0.312,29.744666666666667,44.26613333333333,0.6719508668779143,25.1675,39.8459,True
pro_64k_L30_bs64,pro_64k_L30,64,pro,64k,30,16387,1024,0.312,12.2624,17.040733333333332,0.7195934447265572,10.3134,15.852799999999998,True
pro_64k_L30_bs8,pro_64k_L30,8,pro,64k,30,16387,1024,0.312,11.091,14.224866666666667,0.7796909637114349,9.5679,13.651,True
pro_64k_L46_bs1024,pro_64k_L46,1024,pro,64k,46,16387,1024,0.519,58.998666666666665,82.89393333333334,0.7117368460418092,49.442699999999995,74.2358,True
pro_64k_L46_bs128,pro_64k_L46,128,pro,64k,46,16387,1024,0.519,14.124533333333332,16.7314,0.8441931537906769,11.5421,14.8416,True
pro_64k_L46_bs16,pro_64k_L46,16,pro,64k,46,16387,1024,0.519,12.812666666666667,14.756133333333333,0.8682943137768703,11.2159,14.192,True
pro_64k_L46_bs2,pro_64k_L46,2,pro,64k,46,16387,1024,0.519,12.053066666666668,12.6292,0.9543808528383957,10.6528,12.111799999999999,True
pro_64k_L46_bs256,pro_64k_L46,256,pro,64k,46,16387,1024,0.519,17.962466666666668,24.168200000000002,0.7432273262661955,15.1168,21.516599999999997,True
pro_64k_L46_bs32,pro_64k_L46,32,pro,64k,46,16387,1024,0.519,12.887333333333334,15.0762,0.8548131049822458,11.2192,14.1725,True
pro_64k_L46_bs4,pro_64k_L46,4,pro,64k,46,16387,1024,0.519,12.567333333333334,12.981266666666667,0.9681130244095338,10.9791,12.524799999999999,True
pro_64k_L46_bs512,pro_64k_L46,512,pro,64k,46,16387,1024,0.519,32.882933333333334,45.15313333333333,0.7282536317154809,28.2237,40.9754,True
pro_64k_L46_bs64,pro_64k_L46,64,pro,64k,46,16387,1024,0.519,13.41,15.769333333333334,0.8503847129449564,11.36,14.5824,True
pro_64k_L46_bs8,pro_64k_L46,8,pro,64k,46,16387,1024,0.519,12.330466666666668,13.154,0.9373929349754195,10.694,12.559899999999999,True
pro_8k_L14_bs1024,pro_8k_L14,1024,pro,8k,14,2051,1024,0.83,34.4402,18.064733333333333,1.9064881481782183,31.1229,16.1981,True
pro_8k_L14_bs128,pro_8k_L14,128,pro,8k,14,2051,1024,0.83,9.134866666666667,8.012733333333333,1.140043763676149,7.8783,6.847899999999999,True
pro_8k_L14_bs16,pro_8k_L14,16,pro,8k,14,2051,1024,0.83,8.718866666666667,7.5027333333333335,1.1620920375685306,7.6223,6.7295,True
pro_8k_L14_bs2,pro_8k_L14,2,pro,8k,14,2051,1024,0.83,8.096,7.199866666666667,1.124465267875331,7.0846,6.304,True
pro_8k_L14_bs256,pro_8k_L14,256,pro,8k,14,2051,1024,0.83,10.369933333333332,8.780733333333334,1.1809871612849343,9.0654,7.6861999999999995,True
pro_8k_L14_bs32,pro_8k_L14,32,pro,8k,14,2051,1024,0.83,8.750933333333332,7.660733333333334,1.142310135670214,7.6255,6.7646999999999995,True
pro_8k_L14_bs4,pro_8k_L14,4,pro,8k,14,2051,1024,0.83,8.435066666666668,7.236133333333333,1.1656870151646368,7.3086,6.3295,True
pro_8k_L14_bs512,pro_8k_L14,512,pro,8k,14,2051,1024,0.83,18.854133333333333,10.7946,1.7466263996195628,16.5951,9.6959,True
pro_8k_L14_bs64,pro_8k_L14,64,pro,8k,14,2051,1024,0.83,8.885266666666666,7.780266666666666,1.1420259802577462,7.7631000000000006,6.7966999999999995,True
pro_8k_L14_bs8,pro_8k_L14,8,pro,8k,14,2051,1024,0.83,8.339066666666668,7.240466666666666,1.1517305514377527,7.1008000000000004,6.3135,True
pro_8k_L30_bs1024,pro_8k_L30,1024,pro,8k,30,2051,1024,0.461,36.12973333333333,17.99866666666667,2.0073561004518847,32.6492,16.1054,True
pro_8k_L30_bs128,pro_8k_L30,128,pro,8k,30,2051,1024,0.461,9.491133333333334,7.9594,1.1924433164978936,8.2111,6.8224,True
pro_8k_L30_bs16,pro_8k_L30,16,pro,8k,30,2051,1024,0.461,9.083733333333333,7.5838,1.1977812354404564,8.0095,6.6494,True
pro_8k_L30_bs2,pro_8k_L30,2,pro,8k,30,2051,1024,0.461,8.462933333333332,7.110399999999999,1.1902190219021902,7.4847,6.2623999999999995,True
