cell_id,uuid,model,isl,layer,N,K,Npad,hit,n_mand,n_tie,file
59,v32_16k_L54,v32,16k,54,16399,2048,16448,0.676,2047,1,cell_v32_16k_L54.safetensors
60,v32_256k_L14,v32,256k,14,163775,2048,163776,0.913,2047,1,cell_v32_256k_L14.safetensors
61,v32_256k_L34,v32,256k,34,163775,2048,163776,0.865,2047,1,cell_v32_256k_L34.safetensors
62,v32_256k_L54,v32,256k,54,163775,2048,163776,0.865,2047,1,cell_v32_256k_L54.safetensors
63,v32_32k_L14,v32,32k,14,32783,2048,32832,0.758,2047,1,cell_v32_32k_L14.safetensors
64,v32_32k_L34,v32,32k,34,32783,2048,32832,0.429,2047,1,cell_v32_32k_L34.safetensors
65,v32_32k_L54,v32,32k,54,32783,2048,32832,0.512,2047,1,cell_v32_32k_L54.safetensors
66,v32_4k_L14,v32,4k,14,4111,2048,4160,0.81,2047,1,cell_v32_4k_L14.safetensors
67,v32_4k_L34,v32,4k,34,4111,2048,4160,0.729,2047,1,cell_v32_4k_L34.safetensors
68,v32_4k_L54,v32,4k,54,4111,2048,4160,0.719,2047,1,cell_v32_4k_L54.safetensors
69,v32_64k_L14,v32,64k,14,65551,2048,65600,0.854,2047,1,cell_v32_64k_L14.safetensors
70,v32_64k_L34,v32,64k,34,65551,2048,65600,0.406,2047,1,cell_v32_64k_L34.safetensors
71,v32_64k_L54,v32,64k,54,65551,2048,65600,0.745,2047,1,cell_v32_64k_L54.safetensors
72,v32_8k_L14,v32,8k,14,8207,2048,8256,0.923,2047,1,cell_v32_8k_L14.safetensors
73,v32_8k_L34,v32,8k,34,8207,2048,8256,0.842,2047,1,cell_v32_8k_L34.safetensors
74,v32_8k_L54,v32,8k,54,8207,2048,8256,0.908,2047,1,cell_v32_8k_L54.safetensors
