uuid,arm,K,N,cs,exact
flash_8k_L02,base,512,2051,1,True
flash_8k_L02,d2a,512,2051,1,True
flash_8k_L02,d2b,512,2051,1,True
flash_8k_L02,d2ab,512,2051,1,True
flash_8k_L02,d1a,512,2051,1,True
flash_8k_L02,all,512,2051,1,True
flash_32k_L02,base,512,8195,1,True
flash_32k_L02,d2a,512,8195,1,True
flash_32k_L02,d2b,512,8195,1,True
flash_32k_L02,d2ab,512,8195,1,True
flash_32k_L02,d1a,512,8195,1,True
flash_32k_L02,all,512,8195,1,True
flash_128k_L02,base,512,32771,1,True
flash_128k_L02,d2a,512,32771,1,True
flash_128k_L02,d2b,512,32771,1,True
flash_128k_L02,d2ab,512,32771,1,True
flash_128k_L02,d1a,512,32771,1,True
flash_128k_L02,all,512,32771,1,True
flash_512k_L02,base,512,131075,8,True
flash_512k_L02,d2a,512,131075,8,True
flash_512k_L02,d2b,512,131075,8,True
flash_512k_L02,d2ab,512,131075,8,True
flash_512k_L02,d1a,512,131075,8,True
flash_512k_L02,all,512,131075,8,True
flash_128k_L42,base,512,32771,1,True
flash_128k_L42,d2a,512,32771,1,True
flash_128k_L42,d2b,512,32771,1,True
flash_128k_L42,d2ab,512,32771,1,True
flash_128k_L42,d1a,512,32771,1,True
flash_128k_L42,all,512,32771,1,True
pro_8k_L30,base,1024,2051,1,True
pro_8k_L30,d2a,1024,2051,1,True
pro_8k_L30,d2b,1024,2051,1,True
pro_8k_L30,d2ab,1024,2051,1,True
pro_8k_L30,d1a,1024,2051,1,True
pro_8k_L30,all,1024,2051,1,True
pro_32k_L30,base,1024,8195,1,True
pro_32k_L30,d2a,1024,8195,1,True
pro_32k_L30,d2b,1024,8195,1,True
pro_32k_L30,d2ab,1024,8195,1,True
pro_32k_L30,d1a,1024,8195,1,True
pro_32k_L30,all,1024,8195,1,True
pro_128k_L30,base,1024,32771,1,True
pro_128k_L30,d2a,1024,32771,1,True
pro_128k_L30,d2b,1024,32771,1,True
pro_128k_L30,d2ab,1024,32771,1,True
pro_128k_L30,d1a,1024,32771,1,True
pro_128k_L30,all,1024,32771,1,True
pro_512k_L30,base,1024,131075,8,True
pro_512k_L30,d2a,1024,131075,8,True
pro_512k_L30,d2b,1024,131075,8,True
pro_512k_L30,d2ab,1024,131075,8,True
pro_512k_L30,d1a,1024,131075,8,True
pro_512k_L30,all,1024,131075,8,True
v32_4k_L34,base,2048,4111,1,True
v32_4k_L34,d2a,2048,4111,1,True
v32_4k_L34,d2b,2048,4111,1,True
v32_4k_L34,d2ab,2048,4111,1,True
v32_4k_L34,d1a,2048,4111,1,True
v32_4k_L34,all,2048,4111,1,True
v32_16k_L34,base,2048,16399,1,True
v32_16k_L34,d2a,2048,16399,1,True
v32_16k_L34,d2b,2048,16399,1,True
v32_16k_L34,d2ab,2048,16399,1,True
v32_16k_L34,d1a,2048,16399,1,True
v32_16k_L34,all,2048,16399,1,True
v32_64k_L34,base,2048,65551,4,True
v32_64k_L34,d2a,2048,65551,4,True
v32_64k_L34,d2b,2048,65551,4,True
v32_64k_L34,d2ab,2048,65551,4,True
v32_64k_L34,d1a,2048,65551,4,True
v32_64k_L34,all,2048,65551,4,True
v32_256k_L34,base,2048,163775,8,True
v32_256k_L34,d2a,2048,163775,8,True
v32_256k_L34,d2b,2048,163775,8,True
v32_256k_L34,d2ab,2048,163775,8,True
v32_256k_L34,d1a,2048,163775,8,True
v32_256k_L34,all,2048,163775,8,True
