uuid,cs,N,K,rung,us_base,us_d2a,us_d2b,us_d2ab,us_d1a,us_all,sp_d2a,sp_d2b,sp_d2ab,sp_d1a,sp_all
flash_1024k_L02,8,262127,512,cs8,20.062,18.523,19.148,18.654,18.093,17.592,1.0831,1.0477,1.0755,1.1089,1.1404
flash_128k_L02,1,32771,512,cs1-mid,12.509,11.662,12.486,11.931,12.558,11.864,1.0726,1.0018,1.0484,0.996,1.0543
flash_128k_L42,1,32771,512,cs1-mid,15.523,14.893,11.678,10.882,16.089,10.869,1.0423,1.3292,1.4265,0.9648,1.4282
flash_16k_L02,1,4099,512,cs1-small,8.755,8.07,8.568,8.141,8.745,8.001,1.0849,1.0219,1.0755,1.0011,1.0942
flash_256k_L02,4,65538,512,cs4,13.673,13.078,13.24,12.702,13.226,12.256,1.0455,1.0327,1.0765,1.0339,1.1157
flash_32k_L02,1,8195,512,cs1-small,9.509,8.659,9.432,8.752,9.501,8.803,1.0981,1.0081,1.0865,1.0008,1.0801
flash_4k_L02,1,1027,512,cs1-small,9.152,8.242,8.744,8.102,8.939,8.201,1.1105,1.0467,1.1296,1.0238,1.1159
flash_512k_L02,8,131075,512,cs8,15.203,13.891,14.249,13.48,13.683,12.549,1.0945,1.0669,1.1278,1.1111,1.2115
flash_64k_L02,1,16387,512,cs1-mid,9.363,8.781,9.125,8.633,9.513,8.649,1.0663,1.0261,1.0845,0.9842,1.0825
flash_8k_L02,1,2051,512,cs1-small,8.853,7.757,8.955,8.262,8.637,8.283,1.1413,0.9886,1.0714,1.025,1.0688
pro_1024k_L30,8,262127,1024,cs8,19.961,19.27,20.547,19.977,18.814,18.856,1.0359,0.9715,0.9992,1.061,1.0586
pro_128k_L30,1,32771,1024,cs1-mid,13.824,13.005,14.216,13.548,13.757,13.497,1.063,0.9724,1.0203,1.0049,1.0242
pro_16k_L30,1,4099,1024,cs1-small,8.809,8.217,9.757,9.299,8.808,9.281,1.072,0.9029,0.9473,1.0002,0.9491
pro_256k_L30,4,65539,1024,cs4,14.779,14.096,17.753,17.187,14.456,16.923,1.0485,0.8325,0.8599,1.0223,0.8733
pro_32k_L30,1,8195,1024,cs1-small,11.417,10.902,11.322,10.558,11.446,10.589,1.0472,1.0084,1.0813,0.9975,1.0782
pro_4k_L30,1,1027,1024,cs1-small,8.971,8.357,8.486,7.877,9.824,7.893,1.0735,1.0571,1.1389,0.9132,1.1366
pro_512k_L30,8,131075,1024,cs8,17.832,17.27,15.985,15.51,16.728,14.512,1.0325,1.1155,1.1497,1.066,1.2288
pro_64k_L30,1,16387,1024,cs1-mid,10.765,10.163,12.761,12.233,10.819,12.185,1.0592,0.8435,0.8799,0.995,0.8834
pro_8k_L30,1,2051,1024,cs1-small,9.208,8.36,9.827,9.123,9.178,9.213,1.1015,0.937,1.0093,1.0032,0.9995
v32_128k_L34,8,131087,2048,cs8,18.035,17.651,24.048,23.672,16.923,22.616,1.0217,0.75,0.7619,1.0657,0.7975
v32_16k_L34,1,16399,2048,cs1-mid,13.728,13.31,20.985,20.656,13.656,20.638,1.0314,0.6542,0.6646,1.0053,0.6652
v32_256k_L34,8,163775,2048,cs8,18.83,18.558,21.558,21.308,17.635,20.108,1.0147,0.8735,0.8837,1.0678,0.9364
v32_32k_L34,1,32783,2048,cs1-mid,15.912,15.526,22.568,22.222,15.893,22.241,1.0248,0.7051,0.716,1.0012,0.7154
v32_4k_L34,1,4111,2048,cs1-small,10.954,10.373,18.545,18.166,10.918,18.139,1.056,0.5906,0.603,1.0032,0.6039
v32_64k_L34,4,65551,2048,cs4,20.416,20.067,30.153,29.894,20.754,30.056,1.0174,0.6771,0.6829,0.9837,0.6793
v32_8k_L34,1,8207,2048,cs1-small,11.115,10.789,17.481,17.129,11.088,17.144,1.0302,0.6358,0.6489,1.0024,0.6483
