cs,nt,vec_w,thr_admitted,cand,kC,skipB,skipC,skipA,family,scen,model,isl,K,N
1,512,4,True,1326,5120,0.3125,0.0,0.3125,real,,pro,16k,1024,4099
1,512,4,True,3197,5120,0.1875,0.0,0.1875,real,,pro,32k,1024,8195
1,512,8,True,1854,5120,0.1875,0.0,0.1875,real,,pro,64k,1024,16387
1,512,8,True,1589,5120,0.1597222222222222,0.0,0.10416666666666663,real,,pro,128k,1024,32771
4,512,8,True,1617,5120,0.4473684210526316,0.10526315789473684,0.22697368421052633,real,,pro,256k,1024,65539
8,512,8,True,2595,5120,0.20892857142857144,0.05714285714285714,0.11964285714285716,real,,pro,512k,1024,131075
8,512,8,True,2354,5120,0.5546875,0.015625,0.1904296875,real,,pro,1024k,1024,262127
1,512,4,True,2690,6144,0.3125,0.0,0.3125,real,,v32,4k,2048,4111
1,512,4,True,2085,6144,0.1875,0.0,0.1875,real,,v32,8k,2048,8207
1,512,8,True,5386,6144,0.1875,0.0,0.1875,real,,v32,16k,2048,16399
1,512,8,True,2510,6144,0.18055555555555555,0.0,0.10416666666666663,real,,v32,32k,2048,32783
4,512,8,True,4007,6144,0.353125,0.1,0.24062499999999998,real,,v32,64k,2048,65551
8,512,8,True,4677,6144,0.5640625,0.175,0.36406249999999996,real,,v32,128k,2048,131087
8,512,8,False,2048,6144,0.7421875,0.0,0.41718750000000004,real,,v32,256k,2048,163775
