scenario,K,dtype,N,BS,hit_rate,layer,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,op25_hls_cold_us,op25_hls_warm_us,op27_hls_cold_us,op27_hls_warm_us,op26_r0auto_cold_us,op26_r0auto_warm_us,sglang_v2_cold_us,sglang_v2_warm_us,flashinfer_topk_cold_us,flashinfer_topk_warm_us,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_radix_cutedsl,speedup_vs_base_radix_single_cuda,speedup_vs_base_radix_multi_cuda,speedup_vs_base_op25_hls,speedup_vs_base_op27_hls,speedup_vs_base_op26_r0auto,speedup_vs_base_sglang_v2,speedup_vs_base_flashinfer_topk,mc_cluster_size,op25_ms_path,op27_ms_path,r0_arm,sglang_v2_cold_span_us
worst,512,bf16,1048576,1,0.9004,12,113.159,109.436,41.651,38.775,15.496,14.298,341.825,283.682,70.709,61.415,18.992,15.974,19.17,15.987,58.517,56.673,,,,,2.717,7.302,0.331,1.6,5.958,5.903,1.934,,,4,msc_C8,msc_C8,mc,
worst,512,fp16,4096,1,0.9004,22,11.166,9.874,11.035,10.079,5.21,4.333,13.654,12.978,36.168,30.874,8.406,7.457,8.554,7.443,10.936,9.953,,,,,1.012,2.143,0.818,0.309,1.328,1.305,1.021,,,1,ms_1cta,ms_1cta,plain,
worst,512,fp16,8192,1,0.9004,10,11.328,9.892,11.442,10.052,6.352,5.677,15.296,14.397,35.827,31.208,9.427,8.214,9.618,8.221,11.893,9.983,,,,,0.99,1.783,0.741,0.316,1.202,1.178,0.953,,,1,ms_1cta,ms_1cta,plain,
worst,512,fp16,16384,1,0.9004,22,17.027,15.127,16.03,14.679,8.894,8.383,18.149,16.783,36.086,31.717,10.803,9.138,10.594,9.125,15.672,13.681,,,,,1.062,1.914,0.938,0.472,1.576,1.607,1.086,,,1,ms_1cta,ms_1cta,1cta,
worst,512,fp16,32768,1,0.9004,12,20.597,18.847,21.426,19.302,11.73,10.895,23.019,20.869,37.549,33.144,13.13,10.594,12.85,10.585,15.253,13.585,,,,,0.961,1.756,0.895,0.549,1.569,1.603,1.35,,,1,ms_1cta,ms_1cta,1cta,
worst,512,fp16,65536,1,0.9004,32,28.496,27.037,25.278,23.426,11.944,10.938,32.23,28.847,38.846,34.303,12.816,11.078,12.723,11.259,18.182,16.497,,,,,1.127,2.386,0.884,0.734,2.223,2.24,1.567,,,4,msc_C8,msc_C8,mc,
worst,512,fp16,131072,1,0.9004,14,22.504,20.768,16.0,14.424,13.578,12.72,52.794,46.092,41.29,36.497,12.699,11.087,13.09,11.27,20.053,18.346,,,,,1.406,1.657,0.426,0.545,1.772,1.719,1.122,,,4,msc_C8,msc_C8,mc,
worst,512,fp16,262144,1,0.9004,22,65.904,63.469,32.52,30.703,13.77,12.928,93.245,80.964,44.762,39.567,13.699,11.614,13.618,11.805,25.683,23.783,,,,,2.027,4.786,0.707,1.472,4.811,4.84,2.566,,,4,msc_C8,msc_C8,mc,
worst,512,fp16,524288,1,0.9004,2,61.637,59.073,29.254,26.819,13.942,13.012,174.729,151.56,51.979,45.325,15.624,13.009,15.472,13.091,36.533,34.389,,,,,2.107,4.421,0.353,1.186,3.945,3.984,1.687,,,4,msc_C8,msc_C8,mc,
worst,512,fp16,1048576,1,0.9004,12,109.326,105.855,41.893,38.673,14.483,13.269,338.2,292.227,69.142,60.213,18.534,15.251,18.366,15.252,58.542,55.7,,,,,2.61,7.548,0.323,1.581,5.899,5.953,1.867,,,4,msc_C8,msc_C8,mc,
worst,512,fp32,4096,1,0.9004,22,13.789,11.885,13.651,11.83,6.779,6.006,14.714,13.67,36.475,31.667,10.739,9.327,10.637,9.313,10.002,8.259,5.064,4.175,6.742,6.179,1.01,2.034,0.937,0.378,1.284,1.296,1.379,2.723,2.045,1,ms_1cta,ms_1cta,plain,5.064
