scenario,K,dtype,N,BS,hit_rate,layer,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,op25_hls_cold_us,op25_hls_warm_us,op27_hls_cold_us,op27_hls_warm_us,op26_r0auto_cold_us,op26_r0auto_warm_us,sglang_v2_cold_us,sglang_v2_warm_us,flashinfer_topk_cold_us,flashinfer_topk_warm_us,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_radix_cutedsl,speedup_vs_base_radix_single_cuda,speedup_vs_base_radix_multi_cuda,speedup_vs_base_op25_hls,speedup_vs_base_op27_hls,speedup_vs_base_op26_r0auto,speedup_vs_base_sglang_v2,speedup_vs_base_flashinfer_topk,mc_cluster_size,op25_ms_path,op27_ms_path,r0_arm,sglang_v2_cold_span_us
worst,1024,fp32,524288,8,0.8496,26,69.709,64.077,33.056,29.743,30.47,27.845,246.561,178.806,67.54,56.442,21.366,19.048,21.315,18.931,25.901,22.967,21.795,17.191,27.501,21.788,2.109,2.288,0.283,1.032,3.263,3.27,2.691,3.198,2.535,4,msc_C8,msc_C8,mc,21.795
worst,1024,fp32,524288,16,0.8496,26,70.646,64.155,35.542,30.18,57.587,54.033,246.695,178.763,70.741,58.974,26.162,23.777,26.254,23.767,27.741,23.399,27.531,26.509,39.24,31.736,1.988,1.227,0.286,0.999,2.7,2.691,2.547,2.566,1.8,4,msc_C4,msc_C4,mc,27.531
worst,1024,fp32,524288,32,0.8496,26,79.257,64.263,53.29,42.598,111.595,105.35,259.438,179.444,84.928,71.468,28.776,24.127,28.856,24.117,44.141,34.115,92.152,67.785,45.046,33.864,1.487,0.71,0.305,0.933,2.754,2.747,1.796,0.86,1.759,2,msc_C4,msc_C4,mc,49.517
worst,1024,fp32,524288,64,0.8496,26,114.813,103.495,88.755,77.494,193.518,188.979,321.167,311.57,139.96,130.898,63.203,61.819,63.248,61.796,65.056,53.972,143.756,122.564,80.272,70.113,1.294,0.593,0.357,0.82,1.817,1.815,1.765,0.799,1.43,2,ms_1cta,ms_1cta,mc,75.638
worst,1024,fp32,1048576,2,0.8496,46,117.593,108.989,41.333,37.699,23.456,21.59,474.966,338.576,93.005,73.253,26.816,24.909,26.827,24.923,36.669,33.597,32.251,25.526,40.965,31.763,2.845,5.013,0.248,1.264,4.385,4.383,3.207,3.646,2.871,4,msc_C8,msc_C8,mc,32.251
worst,1024,fp32,1048576,4,0.8496,46,117.917,109.244,41.728,37.78,30.419,27.987,474.647,338.62,92.349,72.908,27.026,24.922,27.096,24.936,37.066,33.643,32.616,25.567,41.35,31.833,2.826,3.876,0.248,1.277,4.363,4.352,3.181,3.615,2.852,4,msc_C8,msc_C8,mc,32.616
worst,1024,fp32,1048576,8,0.8496,46,118.233,109.353,43.171,38.086,57.795,54.074,474.714,339.643,93.493,73.296,27.858,25.249,27.752,25.246,38.211,33.947,34.155,25.841,42.698,32.345,2.739,2.046,0.249,1.265,4.244,4.26,3.094,3.462,2.769,4,msc_C8,msc_C8,mc,34.155
worst,1024,fp32,1048576,16,0.8496,46,129.971,109.409,50.542,38.632,113.168,106.036,491.825,338.77,103.406,77.357,38.606,35.51,38.643,35.471,45.074,34.385,44.181,41.354,65.547,49.814,2.572,1.148,0.264,1.257,3.367,3.363,2.884,2.942,1.983,4,msc_C4,msc_C4,mc,44.181
worst,1024,fp32,1048576,32,0.8496,46,180.62,171.736,104.584,93.314,222.025,215.144,613.106,601.687,135.39,128.19,42.382,38.8,42.446,38.851,85.134,75.074,175.497,154.481,79.741,69.282,1.727,0.814,0.295,1.334,4.262,4.255,2.122,1.029,2.265,2,msc_C4,msc_C4,mc,91.269
worst,1024,fp32,1048576,64,0.8496,46,202.331,188.097,154.56,133.052,434.526,427.554,616.402,607.145,216.163,212.764,112.534,111.236,112.529,111.226,109.313,95.016,274.953,248.178,135.67,124.862,1.309,0.466,0.328,0.936,1.798,1.798,1.851,0.736,1.491,2,ms_1cta,ms_1cta,mc,141.011
worst,2048,bf16,524288,2,0.8501,41,90.282,87.704,38.818,36.636,15.037,13.859,176.347,146.872,60.454,55.205,30.733,26.042,29.478,26.035,27.008,24.792,,,,,2.326,6.004,0.512,1.493,2.938,3.063,3.343,,,4,msc_C8,msc_C8,mc,
worst,2048,bf16,524288,4,0.8501,41,90.099,87.711,38.994,36.969,17.758,16.601,176.655,147.093,60.6,55.54,29.659,26.406,29.28,26.415,27.093,25.121,,,,,2.311,5.074,0.51,1.487,3.038,3.077,3.326,,,4,msc_C8,msc_C8,mc,
worst,2048,bf16,524288,8,0.8501,41,90.466,87.738,39.613,37.112,23.285,21.495,176.982,147.628,60.867,55.968,29.888,26.653,29.867,26.566,27.664,25.273,,,,,2.284,3.885,0.511,1.486,3.027,3.029,3.27,,,4,msc_C8,msc_C8,mc,
worst,2048,bf16,524288,16,0.8501,41,91.181,88.185,40.203,37.205,33.323,31.208,177.214,148.965,63.73,58.64,57.947,51.498,57.534,51.462,28.218,25.331,,,,,2.268,2.736,0.515,1.431,1.574,1.585,3.231,,,4,msc_C8,msc_C8,mc,
worst,2048,bf16,524288,32,0.8501,41,92.459,88.419,61.811,57.163,63.366,60.212,182.778,154.14,78.63,75.785,40.552,35.097,40.502,35.076,40.912,37.118,,,,,1.496,1.459,0.506,1.176,2.28,2.283,2.26,,,2,msc_C4,msc_C4,mc,
worst,2048,bf16,524288,64,0.8501,41,96.138,88.758,67.32,57.969,123.65,117.914,188.187,154.677,123.048,117.054,93.518,88.721,93.68,88.678,45.629,37.645,,,,,1.428,0.778,0.511,0.781,1.028,1.026,2.107,,,2,ms_1cta,ms_1cta,mc,
worst,2048,bf16,1048576,2,0.8501,40,166.946,163.679,60.754,57.805,17.318,16.109,337.311,278.59,80.319,71.88,42.381,33.416,41.595,33.427,39.997,37.361,,,,,2.748,9.64,0.495,2.079,3.939,4.014,4.174,,,4,msc_C8,msc_C8,mc,
