cell,BS,arm_us,pr_us,x_arm,x_v3,exact
flash_1024k_L10,2,28.583,21.1133,0.7387,2.0048,OK
flash_1024k_L10,4,29.933,21.658900000000003,0.7236,1.9016,OK
flash_1024k_L10,8,32.12,23.148400000000002,0.7207,1.6653,OK
flash_1024k_L10,16,35.083,23.990099999999998,0.6838,1.0553,OK
flash_1024k_L10,32,38.03,27.13085,0.7134,1.063,OK
flash_1024k_L10,64,43.83,39.78515,0.9077,1.1784,OK
flash_1024k_L10,128,55.295,81.6164,1.476,1.3063,OK
flash_1024k_L10,256,79.792,151.95795,1.9044,1.3018,OK
flash_1024k_L10,512,138.515,271.70509999999996,1.9616,1.2914,OK
flash_1024k_L10,1024,231.755,519.713,2.2425,1.2959,OK
flash_1024k_L22,2,28.061,20.81905,0.7419,1.8004,OK
flash_1024k_L22,4,28.478,21.433349999999997,0.7526,1.7498,OK
flash_1024k_L22,8,30.326,23.1869,0.7646,1.6818,OK
flash_1024k_L22,16,33.285,24.12295,0.7247,1.0595,OK
flash_1024k_L22,32,35.663,27.1644,0.7617,1.079,OK
flash_1024k_L22,64,41.977,39.0539,0.9304,1.1574,OK
flash_1024k_L22,128,53.89,80.88865,1.501,1.298,OK
flash_1024k_L22,256,79.242,151.04935,1.9062,1.2953,OK
flash_1024k_L22,512,135.527,271.1442,2.0007,1.2878,OK
flash_1024k_L22,1024,231.243,517.36995,2.2373,1.2875,OK
flash_1024k_L34,2,26.407,19.4157,0.7353,1.8401,OK
flash_1024k_L34,4,27.561,20.09095,0.729,1.7547,OK
flash_1024k_L34,8,30.407,22.1757,0.7293,1.5964,OK
flash_1024k_L34,16,33.212,23.011,0.6929,1.016,OK
flash_1024k_L34,32,35.23,26.01725,0.7385,1.0291,OK
flash_1024k_L34,64,40.859,38.305099999999996,0.9375,1.1283,OK
flash_1024k_L34,128,52.249,62.27285,1.1918,0.993,OK
flash_1024k_L34,256,76.935,108.2084,1.4065,0.9264,OK
flash_1024k_L34,512,131.601,198.40570000000002,1.5076,0.9411,OK
flash_1024k_L34,1024,225.229,374.5765,1.6631,0.9301,OK
flash_128k_L10,2,21.641,12.479899999999999,0.5767,1.4962,OK
flash_128k_L10,4,21.603,12.77915,0.5915,1.4783,OK
flash_128k_L10,8,22.555,12.736,0.5647,1.4388,OK
flash_128k_L10,16,22.844,13.23335,0.5793,1.2497,OK
flash_128k_L10,32,23.826,13.70825,0.5754,1.2263,OK
flash_128k_L10,64,25.938,14.2942,0.5511,1.1956,OK
flash_128k_L10,128,29.047,15.33735,0.528,1.1352,OK
flash_128k_L10,256,33.939,20.934099999999997,0.6168,0.9655,OK
flash_128k_L10,512,57.969,38.92275,0.6714,1.0195,OK
flash_128k_L10,1024,93.835,67.77515,0.7223,1.0945,OK
flash_128k_L22,2,21.27,11.468549999999999,0.5392,1.4856,OK
flash_128k_L22,4,21.636,11.788549999999999,0.5449,1.4648,OK
flash_128k_L22,8,21.751,11.82855,0.5438,1.4305,OK
flash_128k_L22,16,22.408,12.331,0.5503,1.2383,OK
flash_128k_L22,32,23.66,12.731,0.5381,1.2156,OK
flash_128k_L22,64,24.592,13.3615,0.5433,1.1836,OK
flash_128k_L22,128,27.81,14.383799999999999,0.5172,1.1112,OK
flash_128k_L22,256,32.903,19.747,0.6002,0.9453,OK
flash_128k_L22,512,56.011,36.876349999999995,0.6584,1.009,OK
flash_128k_L22,1024,92.267,63.5673,0.689,1.0793,OK
flash_128k_L34,2,21.349,11.815850000000001,0.5534,1.5248,OK
flash_128k_L34,4,21.387,11.9599,0.5592,1.5241,OK
flash_128k_L34,8,22.165,12.0271,0.5426,1.4947,OK
flash_128k_L34,16,22.43,12.483,0.5565,1.2304,OK
flash_128k_L34,32,23.139,12.7757,0.5521,1.2084,OK
flash_128k_L34,64,24.723,13.423950000000001,0.543,1.1763,OK
flash_128k_L34,128,28.039,14.4527,0.5155,1.1113,OK
flash_128k_L34,256,32.589,19.69565,0.6044,0.9377,OK
flash_128k_L34,512,55.172,36.83945,0.6677,0.9971,OK
flash_128k_L34,1024,90.964,63.7624,0.701,1.0746,OK
flash_16k_L10,2,15.111,8.92,0.5903,1.9616,OK
flash_16k_L10,4,15.04,8.820450000000001,0.5865,1.8965,OK
flash_16k_L10,8,15.163,9.02075,0.5949,1.9247,OK
flash_16k_L10,16,15.646,9.211,0.5887,1.8213,OK
flash_16k_L10,32,15.679,9.288,0.5924,1.8159,OK
flash_16k_L10,64,15.913,9.54195,0.5996,1.8002,OK
flash_16k_L10,128,16.16,9.77735,0.605,1.7615,OK
flash_16k_L10,256,19.812,11.379100000000001,0.5744,1.0861,OK
flash_16k_L10,512,34.915,20.5533,0.5887,1.0974,OK
flash_16k_L10,1024,54.639,36.89395,0.6752,1.0934,OK
flash_16k_L22,2,16.299,8.52635,0.5231,1.3441,OK
flash_16k_L22,4,16.259,8.705549999999999,0.5354,1.3671,OK
flash_16k_L22,8,16.319,8.67665,0.5317,1.3584,OK
flash_16k_L22,16,16.679,8.9086,0.5341,1.3897,OK
flash_16k_L22,32,16.768,9.02535,0.5383,1.3975,OK
flash_16k_L22,64,16.949,9.211049999999998,0.5435,1.3998,OK
