cell,BS,arm_us,pr_us,x_arm,x_v3,exact
flash_1024k_L10,2,29.041,21.1133,0.727,2.0048,OK
flash_1024k_L10,4,30.259,21.658900000000003,0.7158,1.9016,OK
flash_1024k_L10,8,32.21,23.148400000000002,0.7187,1.6653,OK
flash_1024k_L10,16,35.49,23.990099999999998,0.676,1.0553,OK
flash_1024k_L10,32,38.657,27.13085,0.7018,1.063,OK
flash_1024k_L10,64,45.348,39.78515,0.8773,1.1784,OK
flash_1024k_L10,128,59.262,81.6164,1.3772,1.3063,OK
flash_1024k_L10,256,88.275,151.95795,1.7214,1.3018,OK
flash_1024k_L10,512,157.261,271.70509999999996,1.7277,1.2914,OK
flash_1024k_L10,1024,268.42,519.713,1.9362,1.2959,OK
flash_1024k_L22,2,28.482,20.81905,0.731,1.8004,OK
flash_1024k_L22,4,29.177,21.433349999999997,0.7346,1.7498,OK
flash_1024k_L22,8,30.724,23.1869,0.7547,1.6818,OK
flash_1024k_L22,16,33.167,24.12295,0.7273,1.0595,OK
flash_1024k_L22,32,36.392,27.1644,0.7464,1.079,OK
flash_1024k_L22,64,42.793,39.0539,0.9126,1.1574,OK
flash_1024k_L22,128,56.688,80.88865,1.4269,1.298,OK
flash_1024k_L22,256,87.153,151.04935,1.7332,1.2953,OK
flash_1024k_L22,512,156.512,271.1442,1.7324,1.2878,OK
flash_1024k_L22,1024,266.677,517.36995,1.9401,1.2875,OK
flash_1024k_L34,2,26.374,19.4157,0.7362,1.8401,OK
flash_1024k_L34,4,27.564,20.09095,0.7289,1.7547,OK
flash_1024k_L34,8,29.958,22.1757,0.7402,1.5964,OK
flash_1024k_L34,16,32.983,23.011,0.6977,1.016,OK
flash_1024k_L34,32,36.018,26.01725,0.7223,1.0291,OK
flash_1024k_L34,64,42.254,38.305099999999996,0.9065,1.1283,OK
flash_1024k_L34,128,56.285,62.27285,1.1064,0.993,OK
flash_1024k_L34,256,86.618,108.2084,1.2493,0.9264,OK
flash_1024k_L34,512,152.063,198.40570000000002,1.3048,0.9411,OK
flash_1024k_L34,1024,259.229,374.5765,1.445,0.9301,OK
flash_128k_L10,2,21.679,12.479899999999999,0.5757,1.4962,OK
flash_128k_L10,4,21.585,12.77915,0.592,1.4783,OK
flash_128k_L10,8,23.259,12.736,0.5476,1.4388,OK
flash_128k_L10,16,22.832,13.23335,0.5796,1.2497,OK
flash_128k_L10,32,24.03,13.70825,0.5705,1.2263,OK
flash_128k_L10,64,25.833,14.2942,0.5533,1.1956,OK
flash_128k_L10,128,29.05,15.33735,0.528,1.1352,OK
flash_128k_L10,256,33.924,20.934099999999997,0.6171,0.9655,OK
flash_128k_L10,512,59.807,38.92275,0.6508,1.0195,OK
flash_128k_L10,1024,98.667,67.77515,0.6869,1.0945,OK
flash_128k_L22,2,21.344,11.468549999999999,0.5373,1.4856,OK
flash_128k_L22,4,21.86,11.788549999999999,0.5393,1.4648,OK
flash_128k_L22,8,21.849,11.82855,0.5414,1.4305,OK
flash_128k_L22,16,23.264,12.331,0.5301,1.2383,OK
flash_128k_L22,32,23.638,12.731,0.5386,1.2156,OK
flash_128k_L22,64,24.655,13.3615,0.5419,1.1836,OK
flash_128k_L22,128,27.815,14.383799999999999,0.5171,1.1112,OK
flash_128k_L22,256,32.877,19.747,0.6006,0.9453,OK
flash_128k_L22,512,59.225,36.876349999999995,0.6227,1.009,OK
flash_128k_L22,1024,96.997,63.5673,0.6554,1.0793,OK
flash_128k_L34,2,21.466,11.815850000000001,0.5504,1.5248,OK
flash_128k_L34,4,21.362,11.9599,0.5599,1.5241,OK
flash_128k_L34,8,22.169,12.0271,0.5425,1.4947,OK
flash_128k_L34,16,22.515,12.483,0.5544,1.2304,OK
flash_128k_L34,32,23.524,12.7757,0.5431,1.2084,OK
flash_128k_L34,64,25.164,13.423950000000001,0.5335,1.1763,OK
flash_128k_L34,128,27.74,14.4527,0.521,1.1113,OK
flash_128k_L34,256,32.545,19.69565,0.6052,0.9377,OK
flash_128k_L34,512,57.511,36.83945,0.6406,0.9971,OK
flash_128k_L34,1024,95.355,63.7624,0.6687,1.0746,OK
flash_16k_L10,2,15.12,8.92,0.5899,1.9616,OK
flash_16k_L10,4,15.083,8.820450000000001,0.5848,1.8965,OK
flash_16k_L10,8,15.151,9.02075,0.5954,1.9247,OK
flash_16k_L10,16,15.605,9.211,0.5902,1.8213,OK
flash_16k_L10,32,15.641,9.288,0.5938,1.8159,OK
flash_16k_L10,64,15.902,9.54195,0.6001,1.8002,OK
flash_16k_L10,128,16.212,9.77735,0.6031,1.7615,OK
flash_16k_L10,256,19.794,11.379100000000001,0.5749,1.0861,OK
flash_16k_L10,512,34.893,20.5533,0.589,1.0974,OK
flash_16k_L10,1024,54.636,36.89395,0.6753,1.0934,OK
flash_16k_L22,2,16.307,8.52635,0.5229,1.3441,OK
flash_16k_L22,4,16.256,8.705549999999999,0.5355,1.3671,OK
flash_16k_L22,8,16.359,8.67665,0.5304,1.3584,OK
flash_16k_L22,16,16.608,8.9086,0.5364,1.3897,OK
flash_16k_L22,32,16.729,9.02535,0.5395,1.3975,OK
flash_16k_L22,64,16.91,9.211049999999998,0.5447,1.3998,OK
flash_16k_L22,128,17.211,9.54235,0.5544,1.3903,OK
flash_16k_L22,256,21.293,10.961549999999999,0.5148,0.9202,OK
flash_16k_L22,512,37.892,19.926099999999998,0.5259,0.9269,OK
flash_16k_L22,1024,59.347,35.79475,0.6031,0.9181,OK
flash_16k_L34,2,15.131,8.51665,0.5629,1.3724,OK
flash_16k_L34,4,15.291,8.61585,0.5634,1.3907,OK
flash_16k_L34,8,15.39,8.73745,0.5677,1.4092,OK
flash_16k_L34,16,15.36,8.7711,0.571,1.4104,OK
flash_16k_L34,32,15.51,9.02225,0.5817,1.4392,OK
flash_16k_L34,64,15.651,9.251,0.5911,1.4462,OK
flash_16k_L34,128,15.945,9.52465,0.5973,1.4452,OK
flash_16k_L34,256,20.019,10.9566,0.5473,0.922,OK
flash_16k_L34,512,35.421,19.78855,0.5587,0.9254,OK
flash_16k_L34,1024,55.645,35.564099999999996,0.6391,0.9149,OK
flash_256k_L10,2,23.329,14.06705,0.603,1.3909,OK
flash_256k_L10,4,22.933,14.307,0.6239,1.3647,OK
flash_256k_L10,8,24.996,14.61895,0.5848,1.3495,OK
flash_256k_L10,16,25.203,14.9888,0.5947,1.1135,OK
flash_256k_L10,32,26.49,15.8542,0.5985,0.9483,OK
flash_256k_L10,64,29.002,18.2238,0.6284,0.9947,OK
flash_256k_L10,128,33.571,20.356450000000002,0.6064,0.9697,OK
flash_256k_L10,256,42.402,31.7261,0.7482,0.9393,OK
flash_256k_L10,512,82.796,60.22005,0.7273,0.9615,OK
flash_256k_L10,1024,133.388,100.51065,0.7535,0.9983,OK
flash_256k_L22,2,22.969,13.26705,0.5776,1.1542,OK
flash_256k_L22,4,23.66,13.42855,0.5676,1.1617,OK
flash_256k_L22,8,24.238,13.74385,0.567,1.1557,OK
flash_256k_L22,16,24.943,14.052700000000002,0.5634,1.042,OK
flash_256k_L22,32,25.771,14.9806,0.5813,0.9461,OK
flash_256k_L22,64,28.005,17.699,0.632,1.0236,OK
flash_256k_L22,128,31.895,19.811,0.6211,0.881,OK
flash_256k_L22,256,41.567,31.057599999999997,0.7472,0.8414,OK
flash_256k_L22,512,80.884,58.86645,0.7278,0.8576,OK
flash_256k_L22,1024,130.121,98.39245,0.7562,0.8887,OK
flash_256k_L34,2,23.151,13.8094,0.5965,1.4586,OK
flash_256k_L34,4,23.44,13.9502,0.5952,1.4563,OK
flash_256k_L34,8,23.503,14.3919,0.6123,1.4556,OK
flash_256k_L34,16,24.123,14.6814,0.6086,1.1968,OK
flash_256k_L34,32,26.305,15.647950000000002,0.5949,1.0271,OK
flash_256k_L34,64,28.554,18.10705,0.6341,1.0945,OK
flash_256k_L34,128,33.054,20.236549999999998,0.6122,1.0133,OK
flash_256k_L34,256,41.275,31.5598,0.7646,0.9643,OK
flash_256k_L34,512,80.508,59.455349999999996,0.7385,0.9815,OK
flash_256k_L34,1024,129.461,99.66755,0.7699,1.0248,OK
flash_32k_L10,2,20.922,8.9424,0.4274,1.1381,OK
flash_32k_L10,4,22.123,8.763200000000001,0.3961,1.1049,OK
flash_32k_L10,8,21.786,9.13115,0.4191,1.1449,OK
flash_32k_L10,16,21.729,9.2608,0.4262,1.1613,OK
flash_32k_L10,32,22.355,9.366299999999999,0.419,1.1545,OK
flash_32k_L10,64,22.612,9.683200000000001,0.4282,1.165,OK
flash_32k_L10,128,24.976,10.235149999999999,0.4098,1.1653,OK
flash_32k_L10,256,27.837,12.3757,0.4446,0.9084,OK
flash_32k_L10,512,46.059,22.095650000000003,0.4797,0.9223,OK
flash_32k_L10,1024,70.506,39.53385,0.5607,0.945,OK
flash_32k_L22,2,20.822,9.032,0.4338,1.2037,OK
flash_32k_L22,4,21.108,8.870149999999999,0.4202,1.1782,OK
flash_32k_L22,8,21.789,9.17905,0.4213,1.2161,OK
flash_32k_L22,16,21.44,9.337549999999998,0.4355,1.2249,OK
flash_32k_L22,32,21.887,9.60625,0.4389,1.2395,OK
flash_32k_L22,64,22.15,9.7488,0.4401,1.2356,OK
flash_32k_L22,128,24.8,10.3264,0.4164,1.2232,OK
flash_32k_L22,256,27.278,12.5022,0.4583,1.0515,OK
flash_32k_L22,512,44.133,22.29255,0.5051,1.0938,OK
flash_32k_L22,1024,68.133,40.1356,0.5891,1.1321,OK
flash_32k_L34,2,20.604,9.23985,0.4484,1.3185,OK
flash_32k_L34,4,20.986,8.996649999999999,0.4287,1.2828,OK
flash_32k_L34,8,21.372,9.3087,0.4355,1.3195,OK
flash_32k_L34,16,21.289,9.2815,0.436,1.2664,OK
flash_32k_L34,32,21.753,9.5695,0.4399,1.2596,OK
flash_32k_L34,64,23.242,9.68795,0.4168,1.2425,OK
flash_32k_L34,128,24.373,10.22065,0.4193,1.2333,OK
flash_32k_L34,256,27.436,12.40925,0.4523,1.1063,OK
flash_32k_L34,512,45.16,22.0861,0.4891,1.1519,OK
