cell,BS,arm_us,pr_us,x_arm,x_v3,exact
flash_1024k_L10,2,28.847,21.1133,0.7319,2.0048,OK
flash_1024k_L10,4,30.336,21.658900000000003,0.714,1.9016,OK
flash_1024k_L10,8,32.288,23.148400000000002,0.7169,1.6653,OK
flash_1024k_L10,16,35.231,23.990099999999998,0.6809,1.0553,OK
flash_1024k_L10,32,38.165,27.13085,0.7109,1.063,OK
flash_1024k_L10,64,46.292,39.78515,0.8594,1.1784,OK
flash_1024k_L10,128,61.675,81.6164,1.3233,1.3063,OK
flash_1024k_L10,256,90.562,151.95795,1.678,1.3018,OK
flash_1024k_L10,512,147.349,271.70509999999996,1.844,1.2914,OK
flash_1024k_L10,1024,246.009,519.713,2.1126,1.2959,OK
flash_1024k_L22,2,27.885,20.81905,0.7466,1.8004,OK
flash_1024k_L22,4,29.127,21.433349999999997,0.7359,1.7498,OK
flash_1024k_L22,8,30.931,23.1869,0.7496,1.6818,OK
flash_1024k_L22,16,33.221,24.12295,0.7261,1.0595,OK
flash_1024k_L22,32,36.017,27.1644,0.7542,1.079,OK
flash_1024k_L22,64,44.104,39.0539,0.8855,1.1574,OK
flash_1024k_L22,128,59.943,80.88865,1.3494,1.298,OK
flash_1024k_L22,256,89.633,151.04935,1.6852,1.2953,OK
flash_1024k_L22,512,145.782,271.1442,1.8599,1.2878,OK
flash_1024k_L22,1024,244.145,517.36995,2.1191,1.2875,OK
flash_1024k_L34,2,26.407,19.4157,0.7352,1.8401,OK
flash_1024k_L34,4,28.103,20.09095,0.7149,1.7547,OK
flash_1024k_L34,8,30.639,22.1757,0.7238,1.5964,OK
flash_1024k_L34,16,33.011,23.011,0.6971,1.016,OK
flash_1024k_L34,32,35.713,26.01725,0.7285,1.0291,OK
flash_1024k_L34,64,43.28,38.305099999999996,0.8851,1.1283,OK
flash_1024k_L34,128,58.921,62.27285,1.0569,0.993,OK
flash_1024k_L34,256,87.676,108.2084,1.2342,0.9264,OK
flash_1024k_L34,512,142.213,198.40570000000002,1.3951,0.9411,OK
flash_1024k_L34,1024,236.752,374.5765,1.5822,0.9301,OK
flash_128k_L10,2,22.036,12.479899999999999,0.5663,1.4962,OK
flash_128k_L10,4,21.546,12.77915,0.5931,1.4783,OK
flash_128k_L10,8,22.696,12.736,0.5611,1.4388,OK
flash_128k_L10,16,23.133,13.23335,0.572,1.2497,OK
flash_128k_L10,32,23.416,13.70825,0.5854,1.2263,OK
flash_128k_L10,64,26.508,14.2942,0.5393,1.1956,OK
flash_128k_L10,128,29.12,15.33735,0.5267,1.1352,OK
flash_128k_L10,256,34.308,20.934099999999997,0.6102,0.9655,OK
flash_128k_L10,512,58.492,38.92275,0.6654,1.0195,OK
flash_128k_L10,1024,94.282,67.77515,0.7189,1.0945,OK
flash_128k_L22,2,20.36,11.468549999999999,0.5633,1.4856,OK
flash_128k_L22,4,21.719,11.788549999999999,0.5428,1.4648,OK
flash_128k_L22,8,21.79,11.82855,0.5428,1.4305,OK
flash_128k_L22,16,22.23,12.331,0.5547,1.2383,OK
flash_128k_L22,32,23.168,12.731,0.5495,1.2156,OK
flash_128k_L22,64,25.01,13.3615,0.5342,1.1836,OK
flash_128k_L22,128,28.035,14.383799999999999,0.5131,1.1112,OK
flash_128k_L22,256,33.354,19.747,0.592,0.9453,OK
flash_128k_L22,512,56.227,36.876349999999995,0.6558,1.009,OK
flash_128k_L22,1024,92.713,63.5673,0.6856,1.0793,OK
flash_128k_L34,2,22.131,11.815850000000001,0.5339,1.5248,OK
flash_128k_L34,4,21.792,11.9599,0.5488,1.5241,OK
flash_128k_L34,8,22.293,12.0271,0.5395,1.4947,OK
flash_128k_L34,16,22.653,12.483,0.5511,1.2304,OK
flash_128k_L34,32,22.662,12.7757,0.5637,1.2084,OK
flash_128k_L34,64,25.154,13.423950000000001,0.5337,1.1763,OK
flash_128k_L34,128,27.843,14.4527,0.5191,1.1113,OK
flash_128k_L34,256,33.071,19.69565,0.5956,0.9377,OK
flash_128k_L34,512,55.453,36.83945,0.6643,0.9971,OK
flash_128k_L34,1024,91.072,63.7624,0.7001,1.0746,OK
flash_16k_L10,2,15.146,8.92,0.5889,1.9616,OK
flash_16k_L10,4,15.11,8.820450000000001,0.5837,1.8965,OK
flash_16k_L10,8,15.238,9.02075,0.592,1.9247,OK
flash_16k_L10,16,15.583,9.211,0.5911,1.8213,OK
flash_16k_L10,32,15.633,9.288,0.5941,1.8159,OK
flash_16k_L10,64,15.909,9.54195,0.5998,1.8002,OK
flash_16k_L10,128,16.15,9.77735,0.6054,1.7615,OK
flash_16k_L10,256,19.772,11.379100000000001,0.5755,1.0861,OK
flash_16k_L10,512,34.925,20.5533,0.5885,1.0974,OK
flash_16k_L10,1024,54.645,36.89395,0.6752,1.0934,OK
flash_16k_L22,2,16.368,8.52635,0.5209,1.3441,OK
flash_16k_L22,4,16.547,8.705549999999999,0.5261,1.3671,OK
flash_16k_L22,8,16.708,8.67665,0.5193,1.3584,OK
flash_16k_L22,16,16.685,8.9086,0.5339,1.3897,OK
flash_16k_L22,32,16.819,9.02535,0.5366,1.3975,OK
flash_16k_L22,64,16.924,9.211049999999998,0.5443,1.3998,OK
flash_16k_L22,128,17.199,9.54235,0.5548,1.3903,OK
flash_16k_L22,256,21.24,10.961549999999999,0.5161,0.9202,OK
flash_16k_L22,512,37.85,19.926099999999998,0.5264,0.9269,OK
flash_16k_L22,1024,59.237,35.79475,0.6043,0.9181,OK
flash_16k_L34,2,15.216,8.51665,0.5597,1.3724,OK
flash_16k_L34,4,15.372,8.61585,0.5605,1.3907,OK
flash_16k_L34,8,15.372,8.73745,0.5684,1.4092,OK
flash_16k_L34,16,15.417,8.7711,0.5689,1.4104,OK
flash_16k_L34,32,15.585,9.02225,0.5789,1.4392,OK
flash_16k_L34,64,15.675,9.251,0.5902,1.4462,OK
flash_16k_L34,128,15.94,9.52465,0.5975,1.4452,OK
flash_16k_L34,256,20.013,10.9566,0.5475,0.922,OK
flash_16k_L34,512,35.356,19.78855,0.5597,0.9254,OK
flash_16k_L34,1024,55.453,35.564099999999996,0.6413,0.9149,OK
flash_256k_L10,2,23.903,14.06705,0.5885,1.3909,OK
flash_256k_L10,4,22.806,14.307,0.6273,1.3647,OK
flash_256k_L10,8,24.318,14.61895,0.6012,1.3495,OK
flash_256k_L10,16,25.318,14.9888,0.592,1.1135,OK
flash_256k_L10,32,26.411,15.8542,0.6003,0.9483,OK
flash_256k_L10,64,28.905,18.2238,0.6305,0.9947,OK
flash_256k_L10,128,33.954,20.356450000000002,0.5995,0.9697,OK
flash_256k_L10,256,44.372,31.7261,0.715,0.9393,OK
flash_256k_L10,512,77.078,60.22005,0.7813,0.9615,OK
flash_256k_L10,1024,126.151,100.51065,0.7968,0.9983,OK
flash_256k_L22,2,23.116,13.26705,0.5739,1.1542,OK
flash_256k_L22,4,23.658,13.42855,0.5676,1.1617,OK
flash_256k_L22,8,24.265,13.74385,0.5664,1.1557,OK
flash_256k_L22,16,25.055,14.052700000000002,0.5609,1.042,OK
flash_256k_L22,32,26.106,14.9806,0.5738,0.9461,OK
flash_256k_L22,64,28.148,17.699,0.6288,1.0236,OK
flash_256k_L22,128,32.492,19.811,0.6097,0.881,OK
flash_256k_L22,256,43.501,31.057599999999997,0.714,0.8414,OK
flash_256k_L22,512,75.566,58.86645,0.779,0.8576,OK
flash_256k_L22,1024,123.208,98.39245,0.7986,0.8887,OK
flash_256k_L34,2,22.916,13.8094,0.6026,1.4586,OK
flash_256k_L34,4,23.4,13.9502,0.5962,1.4563,OK
flash_256k_L34,8,23.543,14.3919,0.6113,1.4556,OK
flash_256k_L34,16,23.851,14.6814,0.6156,1.1968,OK
flash_256k_L34,32,26.25,15.647950000000002,0.5961,1.0271,OK
flash_256k_L34,64,28.387,18.10705,0.6379,1.0945,OK
flash_256k_L34,128,33.428,20.236549999999998,0.6054,1.0133,OK
flash_256k_L34,256,42.916,31.5598,0.7354,0.9643,OK
flash_256k_L34,512,74.866,59.455349999999996,0.7942,0.9815,OK
flash_256k_L34,1024,122.51,99.66755,0.8135,1.0248,OK
flash_32k_L10,2,21.116,8.9424,0.4235,1.1381,OK
flash_32k_L10,4,21.56,8.763200000000001,0.4065,1.1049,OK
flash_32k_L10,8,21.972,9.13115,0.4156,1.1449,OK
flash_32k_L10,16,22.234,9.2608,0.4165,1.1613,OK
flash_32k_L10,32,22.162,9.366299999999999,0.4226,1.1545,OK
flash_32k_L10,64,22.525,9.683200000000001,0.4299,1.165,OK
