cell,BS,arm_us,pr_us,x_arm,x_v3,exact
flash_256k_L10,16,25.125,14.9888,0.5966,1.1135,OK
flash_256k_L10,32,26.553,15.8542,0.5971,0.9483,OK
flash_256k_L10,64,28.949,18.2238,0.6295,0.9947,OK
flash_256k_L10,128,33.495,20.356450000000002,0.6077,0.9697,OK
flash_256k_L10,256,42.437,31.7261,0.7476,0.9393,OK
flash_256k_L10,512,77.084,60.22005,0.7812,0.9615,OK
flash_256k_L10,1024,125.281,100.51065,0.8023,0.9983,OK
flash_256k_L22,2,22.954,13.26705,0.578,1.1542,OK
flash_256k_L22,4,23.596,13.42855,0.5691,1.1617,OK
flash_256k_L22,8,24.129,13.74385,0.5696,1.1557,OK
flash_256k_L22,16,24.923,14.052700000000002,0.5638,1.042,OK
flash_256k_L22,32,25.802,14.9806,0.5806,0.9461,OK
flash_256k_L22,64,28.007,17.699,0.6319,1.0236,OK
flash_256k_L22,128,31.907,19.811,0.6209,0.881,OK
flash_256k_L22,256,41.441,31.057599999999997,0.7494,0.8414,OK
flash_256k_L22,512,75.292,58.86645,0.7818,0.8576,OK
flash_256k_L22,1024,122.616,98.39245,0.8024,0.8887,OK
flash_256k_L34,2,23.167,13.8094,0.5961,1.4586,OK
flash_256k_L34,4,23.527,13.9502,0.5929,1.4563,OK
flash_256k_L34,8,23.571,14.3919,0.6106,1.4556,OK
flash_256k_L34,16,24.668,14.6814,0.5952,1.1968,OK
flash_256k_L34,32,26.275,15.647950000000002,0.5955,1.0271,OK
flash_256k_L34,64,28.552,18.10705,0.6342,1.0945,OK
flash_256k_L34,128,33.034,20.236549999999998,0.6126,1.0133,OK
flash_256k_L34,256,41.288,31.5598,0.7644,0.9643,OK
flash_256k_L34,512,75.054,59.455349999999996,0.7922,0.9815,OK
flash_256k_L34,1024,122.161,99.66755,0.8159,1.0248,OK
flash_32k_L10,2,21.082,8.9424,0.4242,1.1381,OK
flash_32k_L10,4,21.46,8.763200000000001,0.4083,1.1049,OK
flash_32k_L10,8,21.718,9.13115,0.4204,1.1449,OK
flash_32k_L10,16,21.693,9.2608,0.4269,1.1613,OK
flash_32k_L10,32,22.298,9.366299999999999,0.42,1.1545,OK
flash_32k_L10,64,22.695,9.683200000000001,0.4267,1.165,OK
flash_32k_L10,128,24.638,10.235149999999999,0.4154,1.1653,OK
flash_32k_L10,256,27.875,12.3757,0.444,0.9084,OK
flash_32k_L10,512,45.722,22.095650000000003,0.4833,0.9223,OK
flash_32k_L10,1024,69.946,39.53385,0.5652,0.945,OK
flash_32k_L22,2,20.682,9.032,0.4367,1.2037,OK
flash_32k_L22,4,20.58,8.870149999999999,0.431,1.1782,OK
flash_32k_L22,8,21.798,9.17905,0.4211,1.2161,OK
flash_32k_L22,16,21.435,9.337549999999998,0.4356,1.2249,OK
flash_32k_L22,32,21.82,9.60625,0.4403,1.2395,OK
flash_32k_L22,64,22.203,9.7488,0.4391,1.2356,OK
flash_32k_L22,128,24.143,10.3264,0.4277,1.2232,OK
flash_32k_L22,256,27.289,12.5022,0.4581,1.0515,OK
flash_32k_L22,512,43.465,22.29255,0.5129,1.0938,OK
flash_32k_L22,1024,67.635,40.1356,0.5934,1.1321,OK
flash_32k_L34,2,20.631,9.23985,0.4479,1.3185,OK
flash_32k_L34,4,21.702,8.996649999999999,0.4146,1.2828,OK
flash_32k_L34,8,21.224,9.3087,0.4386,1.3195,OK
flash_32k_L34,16,21.54,9.2815,0.4309,1.2664,OK
flash_32k_L34,32,21.984,9.5695,0.4353,1.2596,OK
flash_32k_L34,64,22.275,9.68795,0.4349,1.2425,OK
flash_32k_L34,128,24.38,10.22065,0.4192,1.2333,OK
flash_32k_L34,256,27.45,12.40925,0.4521,1.1063,OK
flash_32k_L34,512,44.681,22.0861,0.4943,1.1519,OK
flash_32k_L34,1024,68.328,39.83175,0.5829,1.2056,OK
flash_4k_L10,2,9.108,7.69435,0.8448,1.7005,OK
flash_4k_L10,4,9.284,7.50535,0.8084,1.6655,OK
flash_4k_L10,8,9.372,7.5855500000000005,0.8094,1.6769,OK
flash_4k_L10,16,9.382,7.93915,0.8462,1.7563,OK
flash_4k_L10,32,9.451,8.0496,0.8517,1.7648,OK
flash_4k_L10,64,9.526,8.0448,0.8445,1.7345,OK
flash_4k_L10,128,9.684,8.327950000000001,0.8599,1.7596,OK
flash_4k_L10,256,11.079,9.343950000000001,0.8434,1.4391,OK
flash_4k_L10,512,19.264,17.1677,0.8912,1.5039,OK
flash_4k_L10,1024,29.76,31.7323,1.0663,1.5359,OK
flash_4k_L22,2,8.917,7.6223,0.8548,1.9071,OK
flash_4k_L22,4,8.949,7.44475,0.8319,1.8756,OK
flash_4k_L22,8,9.017,7.56155,0.8385,1.8748,OK
flash_4k_L22,16,9.191,7.95665,0.8657,1.8094,OK
flash_4k_L22,32,9.434,7.95185,0.8429,1.7801,OK
flash_4k_L22,64,9.424,8.04945,0.8541,1.7835,OK
flash_4k_L22,128,9.611,8.3632,0.8702,1.8059,OK
flash_4k_L22,256,11.177,9.33105,0.8348,1.5889,OK
flash_4k_L22,512,19.268,17.166150000000002,0.8909,1.6854,OK
flash_4k_L22,1024,29.762,31.5517,1.0601,1.7352,OK
flash_4k_L34,2,8.889,7.89595,0.8882,1.9405,OK
flash_4k_L34,4,8.941,7.75835,0.8678,1.89,OK
flash_4k_L34,8,9.082,7.7166999999999994,0.8497,1.8778,OK
flash_4k_L34,16,9.227,8.02395,0.8696,1.8265,OK
flash_4k_L34,32,9.39,8.1824,0.8714,1.8107,OK
flash_4k_L34,64,9.528,8.14705,0.855,1.7702,OK
flash_4k_L34,128,9.702,8.3455,0.8602,1.7739,OK
flash_4k_L34,256,11.238,9.43515,0.8396,1.4537,OK
flash_4k_L34,512,19.385,17.2845,0.8917,1.5133,OK
flash_4k_L34,1024,29.989,31.91755,1.0643,1.5402,OK
flash_512k_L10,2,25.101,17.79495,0.7089,1.8626,OK
flash_512k_L10,4,25.713,18.29895,0.7116,1.8351,OK
flash_512k_L10,8,26.715,19.623849999999997,0.7346,1.5881,OK
flash_512k_L10,16,28.545,20.145349999999997,0.7057,1.2913,OK
