uuid,model,cs,N,K,band,base_us
v32_128k_L12,v32,8,131087,2048,32k-1M,24.67
v32_128k_L13,v32,8,131087,2048,32k-1M,25.781
v32_128k_L14,v32,8,131087,2048,32k-1M,18.31
v32_128k_L15,v32,8,131087,2048,32k-1M,18.838
v32_128k_L16,v32,8,131087,2048,32k-1M,17.95
v32_128k_L17,v32,8,131087,2048,32k-1M,20.493
v32_128k_L18,v32,8,131087,2048,32k-1M,24.634
v32_128k_L19,v32,8,131087,2048,32k-1M,18.037
v32_128k_L20,v32,8,131087,2048,32k-1M,18.229
v32_128k_L21,v32,8,131087,2048,32k-1M,18.818
v32_128k_L22,v32,8,131087,2048,32k-1M,24.741
v32_128k_L23,v32,8,131087,2048,32k-1M,18.798
v32_128k_L24,v32,8,131087,2048,32k-1M,19.637
v32_128k_L25,v32,8,131087,2048,32k-1M,19.48
v32_128k_L26,v32,8,131087,2048,32k-1M,21.237
v32_128k_L27,v32,8,131087,2048,32k-1M,20.542
v32_128k_L28,v32,8,131087,2048,32k-1M,20.893
v32_128k_L29,v32,8,131087,2048,32k-1M,20.706
v32_128k_L30,v32,8,131087,2048,32k-1M,20.555
v32_128k_L31,v32,8,131087,2048,32k-1M,17.976
v32_128k_L32,v32,8,131087,2048,32k-1M,18.475
v32_128k_L33,v32,8,131087,2048,32k-1M,19.304
v32_128k_L34,v32,8,131087,2048,32k-1M,18.378
v32_128k_L35,v32,8,131087,2048,32k-1M,19.931
v32_128k_L36,v32,8,131087,2048,32k-1M,25.475
v32_128k_L37,v32,8,131087,2048,32k-1M,18.104
v32_128k_L38,v32,8,131087,2048,32k-1M,18.224
v32_128k_L39,v32,8,131087,2048,32k-1M,18.406
v32_128k_L40,v32,8,131087,2048,32k-1M,18.088
v32_128k_L41,v32,8,131087,2048,32k-1M,19.214
v32_128k_L42,v32,8,131087,2048,32k-1M,18.309
v32_128k_L43,v32,8,131087,2048,32k-1M,18.773
v32_128k_L44,v32,8,131087,2048,32k-1M,26.024
v32_128k_L45,v32,8,131087,2048,32k-1M,24.699
v32_128k_L46,v32,8,131087,2048,32k-1M,18.549
v32_128k_L47,v32,8,131087,2048,32k-1M,18.926
v32_128k_L48,v32,8,131087,2048,32k-1M,18.414
v32_128k_L49,v32,8,131087,2048,32k-1M,25.115
v32_128k_L50,v32,8,131087,2048,32k-1M,19.402
v32_128k_L51,v32,8,131087,2048,32k-1M,18.04
v32_128k_L52,v32,8,131087,2048,32k-1M,24.792
v32_128k_L53,v32,8,131087,2048,32k-1M,24.914
v32_128k_L54,v32,8,131087,2048,32k-1M,25.888
v32_128k_L55,v32,8,131087,2048,32k-1M,24.718
v32_128k_L56,v32,8,131087,2048,32k-1M,18.507
v32_128k_L57,v32,8,131087,2048,32k-1M,18.877
v32_128k_L58,v32,8,131087,2048,32k-1M,25.064
v32_128k_L59,v32,8,131087,2048,32k-1M,25.248
v32_128k_L60,v32,8,131087,2048,32k-1M,25.419
v32_16k_L03,v32,1,16399,2048,4k-32k,13.291
v32_16k_L04,v32,1,16399,2048,4k-32k,13.066
v32_16k_L05,v32,1,16399,2048,4k-32k,12.683
v32_16k_L06,v32,1,16399,2048,4k-32k,12.134
v32_16k_L07,v32,1,16399,2048,4k-32k,12.718
v32_16k_L08,v32,1,16399,2048,4k-32k,15.874
v32_16k_L09,v32,1,16399,2048,4k-32k,12.797
v32_16k_L10,v32,1,16399,2048,4k-32k,13.139
v32_16k_L11,v32,1,16399,2048,4k-32k,13.022
v32_16k_L12,v32,1,16399,2048,4k-32k,15.106
v32_16k_L13,v32,1,16399,2048,4k-32k,15.334
v32_16k_L14,v32,1,16399,2048,4k-32k,12.659
v32_16k_L15,v32,1,16399,2048,4k-32k,12.509
v32_16k_L16,v32,1,16399,2048,4k-32k,12.653
v32_16k_L17,v32,1,16399,2048,4k-32k,13.2
v32_16k_L18,v32,1,16399,2048,4k-32k,15.099
v32_16k_L19,v32,1,16399,2048,4k-32k,12.573
v32_16k_L20,v32,1,16399,2048,4k-32k,12.71
v32_16k_L21,v32,1,16399,2048,4k-32k,14.11
v32_16k_L22,v32,1,16399,2048,4k-32k,12.608
v32_16k_L23,v32,1,16399,2048,4k-32k,12.606
v32_16k_L24,v32,1,16399,2048,4k-32k,12.338
v32_16k_L25,v32,1,16399,2048,4k-32k,13.336
v32_16k_L26,v32,1,16399,2048,4k-32k,12.47
v32_16k_L27,v32,1,16399,2048,4k-32k,12.963
v32_16k_L28,v32,1,16399,2048,4k-32k,12.81
v32_16k_L29,v32,1,16399,2048,4k-32k,13.429
v32_16k_L30,v32,1,16399,2048,4k-32k,12.086
v32_16k_L31,v32,1,16399,2048,4k-32k,13.088
v32_16k_L32,v32,1,16399,2048,4k-32k,12.906
v32_16k_L33,v32,1,16399,2048,4k-32k,13.387
v32_16k_L34,v32,1,16399,2048,4k-32k,13.229
v32_16k_L35,v32,1,16399,2048,4k-32k,13.594
v32_16k_L36,v32,1,16399,2048,4k-32k,12.605
v32_16k_L37,v32,1,16399,2048,4k-32k,12.509
v32_16k_L38,v32,1,16399,2048,4k-32k,13.514
v32_16k_L39,v32,1,16399,2048,4k-32k,12.603
v32_16k_L40,v32,1,16399,2048,4k-32k,12.514
v32_16k_L41,v32,1,16399,2048,4k-32k,15.315
v32_16k_L42,v32,1,16399,2048,4k-32k,15.256
v32_16k_L43,v32,1,16399,2048,4k-32k,13.0
v32_16k_L44,v32,1,16399,2048,4k-32k,15.198
v32_16k_L45,v32,1,16399,2048,4k-32k,15.379
v32_16k_L46,v32,1,16399,2048,4k-32k,14.094
v32_16k_L47,v32,1,16399,2048,4k-32k,12.771
v32_16k_L48,v32,1,16399,2048,4k-32k,12.581
v32_16k_L49,v32,1,16399,2048,4k-32k,13.178
v32_16k_L50,v32,1,16399,2048,4k-32k,13.088
v32_16k_L51,v32,1,16399,2048,4k-32k,13.339
v32_16k_L52,v32,1,16399,2048,4k-32k,16.472
v32_16k_L53,v32,1,16399,2048,4k-32k,12.691
v32_16k_L54,v32,1,16399,2048,4k-32k,13.274
v32_16k_L55,v32,1,16399,2048,4k-32k,12.632
v32_16k_L56,v32,1,16399,2048,4k-32k,12.825
v32_16k_L57,v32,1,16399,2048,4k-32k,13.688
v32_16k_L58,v32,1,16399,2048,4k-32k,15.456
v32_16k_L59,v32,1,16399,2048,4k-32k,12.936
v32_16k_L60,v32,1,16399,2048,4k-32k,15.408
v32_256k_L03,v32,8,163775,2048,32k-1M,19.954
v32_256k_L04,v32,8,163775,2048,32k-1M,19.733
v32_256k_L05,v32,8,163775,2048,32k-1M,20.026
v32_256k_L06,v32,8,163775,2048,32k-1M,19.002
v32_256k_L07,v32,8,163775,2048,32k-1M,19.678
v32_256k_L08,v32,8,163775,2048,32k-1M,29.902
v32_256k_L09,v32,8,163775,2048,32k-1M,19.763
v32_256k_L10,v32,8,163775,2048,32k-1M,18.613
v32_256k_L11,v32,8,163775,2048,32k-1M,18.56
v32_256k_L12,v32,8,163775,2048,32k-1M,17.794
v32_256k_L13,v32,8,163775,2048,32k-1M,19.654
v32_256k_L14,v32,8,163775,2048,32k-1M,19.259
v32_256k_L15,v32,8,163775,2048,32k-1M,19.438
v32_256k_L16,v32,8,163775,2048,32k-1M,18.422
v32_256k_L17,v32,8,163775,2048,32k-1M,22.17
v32_256k_L18,v32,8,163775,2048,32k-1M,26.355
v32_256k_L19,v32,8,163775,2048,32k-1M,19.374
v32_256k_L20,v32,8,163775,2048,32k-1M,19.136
v32_256k_L21,v32,8,163775,2048,32k-1M,20.158
v32_256k_L22,v32,8,163775,2048,32k-1M,25.043
v32_256k_L23,v32,8,163775,2048,32k-1M,18.673
v32_256k_L24,v32,8,163775,2048,32k-1M,20.776
v32_256k_L25,v32,8,163775,2048,32k-1M,26.766
v32_256k_L26,v32,8,163775,2048,32k-1M,19.648
v32_256k_L27,v32,8,163775,2048,32k-1M,25.6
v32_256k_L28,v32,8,163775,2048,32k-1M,19.021
v32_256k_L29,v32,8,163775,2048,32k-1M,19.035
v32_256k_L30,v32,8,163775,2048,32k-1M,19.71
v32_256k_L31,v32,8,163775,2048,32k-1M,19.118
v32_256k_L32,v32,8,163775,2048,32k-1M,19.725
v32_256k_L33,v32,8,163775,2048,32k-1M,19.259
v32_256k_L34,v32,8,163775,2048,32k-1M,18.922
v32_256k_L35,v32,8,163775,2048,32k-1M,19.877
v32_256k_L36,v32,8,163775,2048,32k-1M,27.661
v32_256k_L37,v32,8,163775,2048,32k-1M,20.014
v32_256k_L38,v32,8,163775,2048,32k-1M,19.046
v32_256k_L39,v32,8,163775,2048,32k-1M,19.459
v32_256k_L40,v32,8,163775,2048,32k-1M,18.874
v32_256k_L41,v32,8,163775,2048,32k-1M,19.133
v32_256k_L42,v32,8,163775,2048,32k-1M,29.416
v32_256k_L43,v32,8,163775,2048,32k-1M,19.638
v32_256k_L44,v32,8,163775,2048,32k-1M,27.926
v32_256k_L45,v32,8,163775,2048,32k-1M,19.294
v32_256k_L46,v32,8,163775,2048,32k-1M,18.733
v32_256k_L47,v32,8,163775,2048,32k-1M,19.741
v32_256k_L48,v32,8,163775,2048,32k-1M,27.357
v32_256k_L49,v32,8,163775,2048,32k-1M,27.381
v32_256k_L50,v32,8,163775,2048,32k-1M,19.15
v32_256k_L51,v32,8,163775,2048,32k-1M,19.501
v32_256k_L52,v32,8,163775,2048,32k-1M,26.593
v32_256k_L53,v32,8,163775,2048,32k-1M,26.905
v32_256k_L54,v32,8,163775,2048,32k-1M,27.88
v32_256k_L55,v32,8,163775,2048,32k-1M,27.2
v32_256k_L56,v32,8,163775,2048,32k-1M,27.581
v32_256k_L57,v32,8,163775,2048,32k-1M,19.253
v32_256k_L58,v32,8,163775,2048,32k-1M,26.717
v32_256k_L59,v32,8,163775,2048,32k-1M,27.624
v32_256k_L60,v32,8,163775,2048,32k-1M,27.605
v32_32k_L03,v32,1,32783,2048,32k-1M,16.181
v32_32k_L04,v32,1,32783,2048,32k-1M,16.333
v32_32k_L05,v32,1,32783,2048,32k-1M,15.382
v32_32k_L06,v32,1,32783,2048,32k-1M,15.141
v32_32k_L07,v32,1,32783,2048,32k-1M,15.174
v32_32k_L08,v32,1,32783,2048,32k-1M,19.541
v32_32k_L09,v32,1,32783,2048,32k-1M,15.842
v32_32k_L10,v32,1,32783,2048,32k-1M,15.579
v32_32k_L11,v32,1,32783,2048,32k-1M,15.667
v32_32k_L12,v32,1,32783,2048,32k-1M,15.467
v32_32k_L13,v32,1,32783,2048,32k-1M,15.102
v32_32k_L14,v32,1,32783,2048,32k-1M,15.576
v32_32k_L15,v32,1,32783,2048,32k-1M,15.722
v32_32k_L16,v32,1,32783,2048,32k-1M,15.597
v32_32k_L17,v32,1,32783,2048,32k-1M,15.864
v32_32k_L18,v32,1,32783,2048,32k-1M,15.233
v32_32k_L19,v32,1,32783,2048,32k-1M,15.269
v32_32k_L20,v32,1,32783,2048,32k-1M,16.118
v32_32k_L21,v32,1,32783,2048,32k-1M,15.493
v32_32k_L22,v32,1,32783,2048,32k-1M,15.349
v32_32k_L23,v32,1,32783,2048,32k-1M,15.739
v32_32k_L24,v32,1,32783,2048,32k-1M,15.918
v32_32k_L25,v32,1,32783,2048,32k-1M,16.074
v32_32k_L26,v32,1,32783,2048,32k-1M,16.625
v32_32k_L27,v32,1,32783,2048,32k-1M,16.957
v32_32k_L28,v32,1,32783,2048,32k-1M,16.005
v32_32k_L29,v32,1,32783,2048,32k-1M,16.029
v32_32k_L30,v32,1,32783,2048,32k-1M,15.232
v32_32k_L31,v32,1,32783,2048,32k-1M,16.136
v32_32k_L32,v32,1,32783,2048,32k-1M,16.704
v32_32k_L33,v32,1,32783,2048,32k-1M,18.417
v32_32k_L34,v32,1,32783,2048,32k-1M,16.696
v32_32k_L35,v32,1,32783,2048,32k-1M,15.238
v32_32k_L36,v32,1,32783,2048,32k-1M,15.832
v32_32k_L37,v32,1,32783,2048,32k-1M,15.142
v32_32k_L38,v32,1,32783,2048,32k-1M,15.547
v32_32k_L39,v32,1,32783,2048,32k-1M,15.806
v32_32k_L40,v32,1,32783,2048,32k-1M,15.235
v32_32k_L41,v32,1,32783,2048,32k-1M,16.176
v32_32k_L42,v32,1,32783,2048,32k-1M,15.326
v32_32k_L43,v32,1,32783,2048,32k-1M,16.789
v32_32k_L44,v32,1,32783,2048,32k-1M,15.406
v32_32k_L45,v32,1,32783,2048,32k-1M,15.39
v32_32k_L46,v32,1,32783,2048,32k-1M,17.753
v32_32k_L47,v32,1,32783,2048,32k-1M,16.517
v32_32k_L48,v32,1,32783,2048,32k-1M,15.301
v32_32k_L49,v32,1,32783,2048,32k-1M,15.704
v32_32k_L50,v32,1,32783,2048,32k-1M,16.139
v32_32k_L51,v32,1,32783,2048,32k-1M,15.758
v32_32k_L52,v32,1,32783,2048,32k-1M,16.094
v32_32k_L53,v32,1,32783,2048,32k-1M,15.301
v32_32k_L54,v32,1,32783,2048,32k-1M,16.102
v32_32k_L55,v32,1,32783,2048,32k-1M,15.242
v32_32k_L56,v32,1,32783,2048,32k-1M,15.13
v32_32k_L57,v32,1,32783,2048,32k-1M,15.33
v32_32k_L58,v32,1,32783,2048,32k-1M,18.542
v32_32k_L59,v32,1,32783,2048,32k-1M,15.624
v32_32k_L60,v32,1,32783,2048,32k-1M,19.346
v32_4k_L03,v32,1,4111,2048,4k-32k,13.038
v32_4k_L04,v32,1,4111,2048,4k-32k,13.267
v32_4k_L05,v32,1,4111,2048,4k-32k,12.485
v32_4k_L06,v32,1,4111,2048,4k-32k,12.845
v32_4k_L07,v32,1,4111,2048,4k-32k,12.57
v32_4k_L08,v32,1,4111,2048,4k-32k,13.261
v32_4k_L09,v32,1,4111,2048,4k-32k,9.872
v32_4k_L10,v32,1,4111,2048,4k-32k,13.211
v32_4k_L11,v32,1,4111,2048,4k-32k,12.486
v32_4k_L12,v32,1,4111,2048,4k-32k,12.618
v32_4k_L13,v32,1,4111,2048,4k-32k,13.192
v32_4k_L14,v32,1,4111,2048,4k-32k,13.07
v32_4k_L15,v32,1,4111,2048,4k-32k,13.517
v32_4k_L16,v32,1,4111,2048,4k-32k,12.779
v32_4k_L17,v32,1,4111,2048,4k-32k,9.918
v32_4k_L18,v32,1,4111,2048,4k-32k,13.147
v32_4k_L19,v32,1,4111,2048,4k-32k,12.597
v32_4k_L20,v32,1,4111,2048,4k-32k,10.87
v32_4k_L21,v32,1,4111,2048,4k-32k,12.81
v32_4k_L22,v32,1,4111,2048,4k-32k,12.715
v32_4k_L23,v32,1,4111,2048,4k-32k,9.702
v32_4k_L24,v32,1,4111,2048,4k-32k,10.128
v32_4k_L25,v32,1,4111,2048,4k-32k,13.44
v32_4k_L26,v32,1,4111,2048,4k-32k,10.229
v32_4k_L27,v32,1,4111,2048,4k-32k,10.286
v32_4k_L28,v32,1,4111,2048,4k-32k,10.28
v32_4k_L29,v32,1,4111,2048,4k-32k,10.018
v32_4k_L30,v32,1,4111,2048,4k-32k,10.363
v32_4k_L31,v32,1,4111,2048,4k-32k,9.918
v32_4k_L32,v32,1,4111,2048,4k-32k,11.142
v32_4k_L33,v32,1,4111,2048,4k-32k,9.923
v32_4k_L34,v32,1,4111,2048,4k-32k,10.235
v32_4k_L35,v32,1,4111,2048,4k-32k,9.861
v32_4k_L36,v32,1,4111,2048,4k-32k,12.754
v32_4k_L37,v32,1,4111,2048,4k-32k,10.666
v32_4k_L38,v32,1,4111,2048,4k-32k,12.89
v32_4k_L39,v32,1,4111,2048,4k-32k,12.862
v32_4k_L40,v32,1,4111,2048,4k-32k,12.787
v32_4k_L41,v32,1,4111,2048,4k-32k,12.779
v32_4k_L42,v32,1,4111,2048,4k-32k,12.722
v32_4k_L43,v32,1,4111,2048,4k-32k,13.136
v32_4k_L44,v32,1,4111,2048,4k-32k,12.602
v32_4k_L45,v32,1,4111,2048,4k-32k,12.554
v32_4k_L46,v32,1,4111,2048,4k-32k,13.158
v32_4k_L47,v32,1,4111,2048,4k-32k,9.688
v32_4k_L48,v32,1,4111,2048,4k-32k,12.933
v32_4k_L49,v32,1,4111,2048,4k-32k,12.418
v32_4k_L50,v32,1,4111,2048,4k-32k,12.738
v32_4k_L51,v32,1,4111,2048,4k-32k,12.762
v32_4k_L52,v32,1,4111,2048,4k-32k,12.915
v32_4k_L53,v32,1,4111,2048,4k-32k,12.776
v32_4k_L54,v32,1,4111,2048,4k-32k,13.15
v32_4k_L55,v32,1,4111,2048,4k-32k,12.136
v32_4k_L56,v32,1,4111,2048,4k-32k,12.573
v32_4k_L57,v32,1,4111,2048,4k-32k,12.528
v32_4k_L58,v32,1,4111,2048,4k-32k,12.87
v32_4k_L59,v32,1,4111,2048,4k-32k,12.757
v32_4k_L60,v32,1,4111,2048,4k-32k,12.832
v32_64k_L03,v32,4,65551,2048,32k-1M,17.078
v32_64k_L04,v32,4,65551,2048,32k-1M,18.011
v32_64k_L05,v32,4,65551,2048,32k-1M,18.114
v32_64k_L06,v32,4,65551,2048,32k-1M,16.776
v32_64k_L07,v32,4,65551,2048,32k-1M,16.675
v32_64k_L08,v32,4,65551,2048,32k-1M,23.435
v32_64k_L09,v32,4,65551,2048,32k-1M,16.624
v32_64k_L10,v32,4,65551,2048,32k-1M,17.16
v32_64k_L11,v32,4,65551,2048,32k-1M,16.774
v32_64k_L12,v32,4,65551,2048,32k-1M,24.088
v32_64k_L13,v32,4,65551,2048,32k-1M,16.79
v32_64k_L14,v32,4,65551,2048,32k-1M,16.992
v32_64k_L15,v32,4,65551,2048,32k-1M,17.374
v32_64k_L16,v32,4,65551,2048,32k-1M,18.413
v32_64k_L17,v32,4,65551,2048,32k-1M,18.312
v32_64k_L18,v32,4,65551,2048,32k-1M,22.891
v32_64k_L19,v32,4,65551,2048,32k-1M,17.027
v32_64k_L20,v32,4,65551,2048,32k-1M,17.963
v32_64k_L21,v32,4,65551,2048,32k-1M,20.547
v32_64k_L22,v32,4,65551,2048,32k-1M,17.75
v32_64k_L23,v32,4,65551,2048,32k-1M,19.179
v32_64k_L24,v32,4,65551,2048,32k-1M,24.142
v32_64k_L25,v32,4,65551,2048,32k-1M,21.03
v32_64k_L26,v32,4,65551,2048,32k-1M,24.52
v32_64k_L27,v32,4,65551,2048,32k-1M,23.878
v32_64k_L28,v32,4,65551,2048,32k-1M,24.592
v32_64k_L29,v32,4,65551,2048,32k-1M,23.806
v32_64k_L30,v32,4,65551,2048,32k-1M,17.73
v32_64k_L31,v32,4,65551,2048,32k-1M,22.046
v32_64k_L32,v32,4,65551,2048,32k-1M,21.822
v32_64k_L33,v32,4,65551,2048,32k-1M,22.035
v32_64k_L34,v32,4,65551,2048,32k-1M,20.803
v32_64k_L35,v32,4,65551,2048,32k-1M,19.029
v32_64k_L36,v32,4,65551,2048,32k-1M,20.525
v32_64k_L37,v32,4,65551,2048,32k-1M,17.515
v32_64k_L38,v32,4,65551,2048,32k-1M,17.877
v32_64k_L39,v32,4,65551,2048,32k-1M,17.651
v32_64k_L40,v32,4,65551,2048,32k-1M,19.917
v32_64k_L41,v32,4,65551,2048,32k-1M,16.72
v32_64k_L42,v32,4,65551,2048,32k-1M,17.81
v32_64k_L43,v32,4,65551,2048,32k-1M,17.928
v32_64k_L44,v32,4,65551,2048,32k-1M,23.56
v32_64k_L45,v32,4,65551,2048,32k-1M,17.781
v32_64k_L46,v32,4,65551,2048,32k-1M,18.469
v32_64k_L47,v32,4,65551,2048,32k-1M,24.194
v32_64k_L48,v32,4,65551,2048,32k-1M,18.118
v32_64k_L49,v32,4,65551,2048,32k-1M,17.73
v32_64k_L50,v32,4,65551,2048,32k-1M,19.944
v32_64k_L51,v32,4,65551,2048,32k-1M,17.859
v32_64k_L52,v32,4,65551,2048,32k-1M,16.795
v32_64k_L53,v32,4,65551,2048,32k-1M,17.512
v32_64k_L54,v32,4,65551,2048,32k-1M,17.152
v32_64k_L55,v32,4,65551,2048,32k-1M,16.752
v32_64k_L56,v32,4,65551,2048,32k-1M,22.746
v32_64k_L57,v32,4,65551,2048,32k-1M,16.811
v32_64k_L58,v32,4,65551,2048,32k-1M,25.36
v32_64k_L59,v32,4,65551,2048,32k-1M,22.683
v32_64k_L60,v32,4,65551,2048,32k-1M,23.59
v32_8k_L03,v32,1,8207,2048,4k-32k,11.925
v32_8k_L04,v32,1,8207,2048,4k-32k,11.51
v32_8k_L05,v32,1,8207,2048,4k-32k,11.571
v32_8k_L06,v32,1,8207,2048,4k-32k,13.822
v32_8k_L07,v32,1,8207,2048,4k-32k,14.882
v32_8k_L08,v32,1,8207,2048,4k-32k,15.49
v32_8k_L09,v32,1,8207,2048,4k-32k,11.277
v32_8k_L10,v32,1,8207,2048,4k-32k,11.429
v32_8k_L11,v32,1,8207,2048,4k-32k,11.562
v32_8k_L12,v32,1,8207,2048,4k-32k,14.462
v32_8k_L13,v32,1,8207,2048,4k-32k,14.026
v32_8k_L14,v32,1,8207,2048,4k-32k,14.147
v32_8k_L15,v32,1,8207,2048,4k-32k,11.566
v32_8k_L16,v32,1,8207,2048,4k-32k,14.446
v32_8k_L17,v32,1,8207,2048,4k-32k,11.678
v32_8k_L18,v32,1,8207,2048,4k-32k,14.15
v32_8k_L19,v32,1,8207,2048,4k-32k,11.467
v32_8k_L20,v32,1,8207,2048,4k-32k,11.926
v32_8k_L21,v32,1,8207,2048,4k-32k,11.52
v32_8k_L22,v32,1,8207,2048,4k-32k,14.237
v32_8k_L23,v32,1,8207,2048,4k-32k,12.366
v32_8k_L24,v32,1,8207,2048,4k-32k,11.818
v32_8k_L25,v32,1,8207,2048,4k-32k,11.344
v32_8k_L26,v32,1,8207,2048,4k-32k,11.525
v32_8k_L27,v32,1,8207,2048,4k-32k,11.286
v32_8k_L28,v32,1,8207,2048,4k-32k,12.166
v32_8k_L29,v32,1,8207,2048,4k-32k,11.19
v32_8k_L30,v32,1,8207,2048,4k-32k,11.586
v32_8k_L31,v32,1,8207,2048,4k-32k,11.298
v32_8k_L32,v32,1,8207,2048,4k-32k,11.331
v32_8k_L33,v32,1,8207,2048,4k-32k,15.104
v32_8k_L34,v32,1,8207,2048,4k-32k,12.029
v32_8k_L35,v32,1,8207,2048,4k-32k,11.808
v32_8k_L36,v32,1,8207,2048,4k-32k,14.186
v32_8k_L37,v32,1,8207,2048,4k-32k,11.442
v32_8k_L38,v32,1,8207,2048,4k-32k,14.635
v32_8k_L39,v32,1,8207,2048,4k-32k,12.182
v32_8k_L40,v32,1,8207,2048,4k-32k,14.131
v32_8k_L41,v32,1,8207,2048,4k-32k,12.442
v32_8k_L42,v32,1,8207,2048,4k-32k,14.395
v32_8k_L43,v32,1,8207,2048,4k-32k,11.624
v32_8k_L44,v32,1,8207,2048,4k-32k,14.259
v32_8k_L45,v32,1,8207,2048,4k-32k,13.864
v32_8k_L46,v32,1,8207,2048,4k-32k,14.213
v32_8k_L47,v32,1,8207,2048,4k-32k,11.403
v32_8k_L48,v32,1,8207,2048,4k-32k,11.598
v32_8k_L49,v32,1,8207,2048,4k-32k,13.821
v32_8k_L50,v32,1,8207,2048,4k-32k,11.752
v32_8k_L51,v32,1,8207,2048,4k-32k,14.584
v32_8k_L52,v32,1,8207,2048,4k-32k,14.355
v32_8k_L53,v32,1,8207,2048,4k-32k,13.941
v32_8k_L54,v32,1,8207,2048,4k-32k,14.203
v32_8k_L55,v32,1,8207,2048,4k-32k,14.213
v32_8k_L56,v32,1,8207,2048,4k-32k,14.398
v32_8k_L57,v32,1,8207,2048,4k-32k,14.37
v32_8k_L58,v32,1,8207,2048,4k-32k,15.496
v32_8k_L59,v32,1,8207,2048,4k-32k,14.43
v32_8k_L60,v32,1,8207,2048,4k-32k,14.07
