uuid,model,cs,N,K,band,base_us
flash_4k_L08,flash,1,1027,512,4k-32k,8.304
flash_4k_L10,flash,1,1027,512,4k-32k,8.302
flash_4k_L12,flash,1,1027,512,4k-32k,8.413
flash_4k_L14,flash,1,1027,512,4k-32k,8.435
flash_4k_L16,flash,1,1027,512,4k-32k,8.472
flash_4k_L18,flash,1,1027,512,4k-32k,8.326
flash_4k_L20,flash,1,1027,512,4k-32k,8.403
flash_4k_L22,flash,1,1027,512,4k-32k,8.245
flash_4k_L24,flash,1,1027,512,4k-32k,8.371
flash_4k_L26,flash,1,1027,512,4k-32k,8.402
flash_4k_L28,flash,1,1027,512,4k-32k,8.328
flash_4k_L30,flash,1,1027,512,4k-32k,8.314
flash_4k_L32,flash,1,1027,512,4k-32k,8.283
flash_4k_L34,flash,1,1027,512,4k-32k,8.312
flash_4k_L36,flash,1,1027,512,4k-32k,9.626
flash_4k_L38,flash,1,1027,512,4k-32k,8.349
flash_4k_L40,flash,1,1027,512,4k-32k,8.222
flash_4k_L42,flash,1,1027,512,4k-32k,9.35
flash_512k_L02,flash,8,131075,512,32k-1M,15.014
flash_512k_L04,flash,8,131075,512,32k-1M,14.662
flash_512k_L06,flash,8,131075,512,32k-1M,14.608
flash_512k_L08,flash,8,131075,512,32k-1M,14.614
flash_512k_L10,flash,8,131075,512,32k-1M,14.544
flash_512k_L12,flash,8,131075,512,32k-1M,14.696
flash_512k_L14,flash,8,131075,512,32k-1M,15.478
flash_512k_L16,flash,8,131075,512,32k-1M,15.31
flash_512k_L18,flash,8,131075,512,32k-1M,21.08
flash_512k_L20,flash,8,131075,512,32k-1M,15.158
flash_512k_L22,flash,8,131075,512,32k-1M,20.834
flash_512k_L24,flash,8,131075,512,32k-1M,21.493
flash_512k_L26,flash,8,131075,512,32k-1M,15.162
flash_512k_L28,flash,8,131075,512,32k-1M,17.934
flash_512k_L30,flash,8,131075,512,32k-1M,20.987
flash_512k_L32,flash,8,131075,512,32k-1M,17.093
flash_512k_L34,flash,8,131075,512,32k-1M,15.154
flash_512k_L36,flash,8,131075,512,32k-1M,15.637
flash_512k_L38,flash,8,131075,512,32k-1M,17.709
flash_512k_L40,flash,8,131075,512,32k-1M,16.595
flash_512k_L42,flash,8,131075,512,32k-1M,14.994
flash_64k_L02,flash,1,16387,512,32k-1M,10.39
flash_64k_L04,flash,1,16387,512,32k-1M,9.922
flash_64k_L06,flash,1,16387,512,32k-1M,10.053
flash_64k_L08,flash,1,16387,512,32k-1M,10.137
flash_64k_L10,flash,1,16387,512,32k-1M,10.504
flash_64k_L12,flash,1,16387,512,32k-1M,10.29
flash_64k_L14,flash,1,16387,512,32k-1M,10.073
flash_64k_L16,flash,1,16387,512,32k-1M,10.394
flash_64k_L18,flash,1,16387,512,32k-1M,9.998
flash_64k_L20,flash,1,16387,512,32k-1M,10.8
flash_64k_L22,flash,1,16387,512,32k-1M,12.155
flash_64k_L24,flash,1,16387,512,32k-1M,12.979
flash_64k_L26,flash,1,16387,512,32k-1M,11.274
flash_64k_L28,flash,1,16387,512,32k-1M,11.213
flash_64k_L30,flash,1,16387,512,32k-1M,10.266
flash_64k_L32,flash,1,16387,512,32k-1M,11.258
flash_64k_L34,flash,1,16387,512,32k-1M,10.605
flash_64k_L36,flash,1,16387,512,32k-1M,9.821
flash_64k_L38,flash,1,16387,512,32k-1M,9.965
flash_64k_L40,flash,1,16387,512,32k-1M,10.885
flash_64k_L42,flash,1,16387,512,32k-1M,10.014
flash_8k_L02,flash,1,2051,512,4k-32k,8.885
flash_8k_L04,flash,1,2051,512,4k-32k,8.504
flash_8k_L06,flash,1,2051,512,4k-32k,8.653
flash_8k_L08,flash,1,2051,512,4k-32k,8.56
flash_8k_L10,flash,1,2051,512,4k-32k,8.502
flash_8k_L12,flash,1,2051,512,4k-32k,8.949
flash_8k_L14,flash,1,2051,512,4k-32k,8.558
flash_8k_L16,flash,1,2051,512,4k-32k,8.923
flash_8k_L18,flash,1,2051,512,4k-32k,8.907
flash_8k_L20,flash,1,2051,512,4k-32k,9.206
flash_8k_L22,flash,1,2051,512,4k-32k,8.638
flash_8k_L24,flash,1,2051,512,4k-32k,9.014
flash_8k_L26,flash,1,2051,512,4k-32k,8.563
flash_8k_L28,flash,1,2051,512,4k-32k,8.974
flash_8k_L30,flash,1,2051,512,4k-32k,8.91
flash_8k_L32,flash,1,2051,512,4k-32k,8.71
flash_8k_L34,flash,1,2051,512,4k-32k,8.61
flash_8k_L36,flash,1,2051,512,4k-32k,8.701
flash_8k_L38,flash,1,2051,512,4k-32k,8.848
flash_8k_L40,flash,1,2051,512,4k-32k,9.054
flash_8k_L42,flash,1,2051,512,4k-32k,8.666
pro_1024k_L02,pro,8,262127,1024,32k-1M,23.31
pro_1024k_L04,pro,8,262127,1024,32k-1M,24.571
pro_1024k_L06,pro,8,262127,1024,32k-1M,24.286
pro_1024k_L08,pro,8,262127,1024,32k-1M,25.389
pro_1024k_L10,pro,8,262127,1024,32k-1M,26.56
pro_1024k_L12,pro,8,262127,1024,32k-1M,19.544
pro_1024k_L14,pro,8,262127,1024,32k-1M,19.688
pro_1024k_L16,pro,8,262127,1024,32k-1M,21.254
pro_1024k_L18,pro,8,262127,1024,32k-1M,19.886
pro_1024k_L20,pro,8,262127,1024,32k-1M,19.824
pro_1024k_L22,pro,8,262127,1024,32k-1M,21.083
pro_1024k_L24,pro,8,262127,1024,32k-1M,20.152
pro_1024k_L26,pro,8,262127,1024,32k-1M,22.557
pro_1024k_L28,pro,8,262127,1024,32k-1M,20.346
pro_1024k_L30,pro,8,262127,1024,32k-1M,20.221
pro_1024k_L32,pro,8,262127,1024,32k-1M,19.731
pro_1024k_L34,pro,8,262127,1024,32k-1M,20.011
pro_1024k_L36,pro,8,262127,1024,32k-1M,28.154
pro_1024k_L38,pro,8,262127,1024,32k-1M,19.226
pro_1024k_L40,pro,8,262127,1024,32k-1M,29.221
pro_1024k_L42,pro,8,262127,1024,32k-1M,22.038
pro_1024k_L44,pro,8,262127,1024,32k-1M,22.341
pro_1024k_L46,pro,8,262127,1024,32k-1M,21.03
pro_1024k_L48,pro,8,262127,1024,32k-1M,28.15
pro_1024k_L50,pro,8,262127,1024,32k-1M,19.427
pro_1024k_L52,pro,8,262127,1024,32k-1M,20.634
