model,isl,layer,dtype,N,K,s,z,mode,admit,band,miss
pro,8k,4,bf16,2051,1024,2048,3.0,iid,1.080078125,0.13671875,0
pro,8k,6,fp32,2051,1024,1024,3.0,strat,1.086669921875,0.191650390625,0
pro,8k,6,fp32,2051,1024,1024,3.0,iid,1.1016845703125,0.1893310546875,0
pro,8k,6,fp32,2051,1024,2048,3.0,strat,1.065673828125,0.1317138671875,0
pro,8k,6,fp32,2051,1024,2048,3.0,iid,1.06689453125,0.1339111328125,0
pro,8k,6,bf16,2051,1024,1024,3.0,strat,1.094970703125,0.196044921875,0
pro,8k,6,bf16,2051,1024,1024,3.0,iid,1.106201171875,0.189208984375,0
pro,8k,6,bf16,2051,1024,2048,3.0,strat,1.0689697265625,0.1292724609375,0
pro,8k,6,bf16,2051,1024,2048,3.0,iid,1.0732421875,0.1322021484375,0
flash,16k,2,fp32,4099,512,1024,3.0,strat,1.2314453125,0.4873046875,0
flash,16k,2,fp32,4099,512,1024,3.0,iid,1.22802734375,0.49951171875,0
flash,16k,2,fp32,4099,512,2048,3.0,strat,1.1923828125,0.352783203125,0
flash,16k,2,fp32,4099,512,2048,3.0,iid,1.174560546875,0.359375,0
flash,16k,2,fp32,4099,512,4096,3.0,strat,1.125732421875,0.246337890625,0
flash,16k,2,fp32,4099,512,4096,3.0,iid,1.125732421875,0.25,0
flash,16k,2,bf16,4099,512,1024,3.0,strat,1.248046875,0.489013671875,0
flash,16k,2,bf16,4099,512,1024,3.0,iid,1.235107421875,0.5009765625,0
flash,16k,2,bf16,4099,512,2048,3.0,strat,1.207763671875,0.3525390625,0
flash,16k,2,bf16,4099,512,2048,3.0,iid,1.188232421875,0.363037109375,0
flash,16k,2,bf16,4099,512,4096,3.0,strat,1.142578125,0.250732421875,0
flash,16k,2,bf16,4099,512,4096,3.0,iid,1.13671875,0.255859375,0
flash,16k,4,fp32,4099,512,1024,3.0,strat,1.2255859375,0.5029296875,0
flash,16k,4,fp32,4099,512,1024,3.0,iid,1.289794921875,0.4921875,0
flash,16k,4,fp32,4099,512,2048,3.0,strat,1.1826171875,0.336181640625,0
flash,16k,4,fp32,4099,512,2048,3.0,iid,1.193359375,0.3515625,0
flash,16k,4,fp32,4099,512,4096,3.0,strat,1.126220703125,0.24853515625,0
flash,16k,4,fp32,4099,512,4096,3.0,iid,1.125,0.25,0
flash,16k,4,bf16,4099,512,1024,3.0,strat,1.23046875,0.506591796875,0
flash,16k,4,bf16,4099,512,1024,3.0,iid,1.2939453125,0.494140625,0
flash,16k,4,bf16,4099,512,2048,3.0,strat,1.185791015625,0.3359375,0
flash,16k,4,bf16,4099,512,2048,3.0,iid,1.196533203125,0.3505859375,0
flash,16k,4,bf16,4099,512,4096,3.0,strat,1.1279296875,0.24609375,0
flash,16k,4,bf16,4099,512,4096,3.0,iid,1.12890625,0.25,0
flash,16k,6,fp32,4099,512,1024,3.0,strat,1.22900390625,0.489990234375,0
flash,16k,6,fp32,4099,512,1024,3.0,iid,1.254150390625,0.487060546875,0
flash,16k,6,fp32,4099,512,2048,3.0,strat,1.186279296875,0.341796875,0
flash,16k,6,fp32,4099,512,2048,3.0,iid,1.1650390625,0.347900390625,0
flash,16k,6,fp32,4099,512,4096,3.0,strat,1.126220703125,0.250244140625,0
flash,16k,6,fp32,4099,512,4096,3.0,iid,1.125244140625,0.25,0
flash,16k,6,bf16,4099,512,1024,3.0,strat,1.2353515625,0.494873046875,0
flash,16k,6,bf16,4099,512,1024,3.0,iid,1.2587890625,0.48974609375,0
flash,16k,6,bf16,4099,512,2048,3.0,strat,1.19140625,0.3447265625,0
flash,16k,6,bf16,4099,512,2048,3.0,iid,1.170166015625,0.351806640625,0
flash,16k,6,bf16,4099,512,4096,3.0,strat,1.13134765625,0.254150390625,0
flash,16k,6,bf16,4099,512,4096,3.0,iid,1.134765625,0.2578125,0
pro,16k,2,fp32,4099,1024,1024,3.0,strat,1.16015625,0.331787109375,0
pro,16k,2,fp32,4099,1024,1024,3.0,iid,1.1917724609375,0.357421875,0
pro,16k,2,fp32,4099,1024,2048,3.0,strat,1.130615234375,0.2401123046875,0
pro,16k,2,fp32,4099,1024,2048,3.0,iid,1.132568359375,0.2374267578125,0
pro,16k,2,fp32,4099,1024,4096,3.0,strat,1.077880859375,0.1641845703125,0
pro,16k,2,fp32,4099,1024,4096,3.0,iid,1.0811767578125,0.1630859375,0
pro,16k,2,bf16,4099,1024,1024,3.0,strat,1.162353515625,0.3328857421875,0
pro,16k,2,bf16,4099,1024,1024,3.0,iid,1.1961669921875,0.3609619140625,0
pro,16k,2,bf16,4099,1024,2048,3.0,strat,1.13623046875,0.2437744140625,0
pro,16k,2,bf16,4099,1024,2048,3.0,iid,1.13671875,0.2384033203125,0
pro,16k,2,bf16,4099,1024,4096,3.0,strat,1.07958984375,0.163818359375,0
pro,16k,2,bf16,4099,1024,4096,3.0,iid,1.0814208984375,0.1624755859375,0
pro,16k,4,fp32,4099,1024,1024,3.0,strat,1.1632080078125,0.3385009765625,0
pro,16k,4,fp32,4099,1024,1024,3.0,iid,1.1976318359375,0.3511962890625,0
pro,16k,4,fp32,4099,1024,2048,3.0,strat,1.1341552734375,0.2353515625,0
pro,16k,4,fp32,4099,1024,2048,3.0,iid,1.1234130859375,0.23974609375,0
pro,16k,4,fp32,4099,1024,4096,3.0,strat,1.077880859375,0.164306640625,0
pro,16k,4,fp32,4099,1024,4096,3.0,iid,1.08154296875,0.1630859375,0
pro,16k,4,bf16,4099,1024,1024,3.0,strat,1.1744384765625,0.3453369140625,0
pro,16k,4,bf16,4099,1024,1024,3.0,iid,1.2086181640625,0.354736328125,0
pro,16k,4,bf16,4099,1024,2048,3.0,strat,1.14599609375,0.239013671875,0
pro,16k,4,bf16,4099,1024,2048,3.0,iid,1.1357421875,0.2452392578125,0
pro,16k,4,bf16,4099,1024,4096,3.0,strat,1.089111328125,0.166748046875,0
pro,16k,4,bf16,4099,1024,4096,3.0,iid,1.0908203125,0.154296875,0
pro,16k,6,fp32,4099,1024,1024,3.0,strat,1.1304931640625,0.3070068359375,0
pro,16k,6,fp32,4099,1024,1024,3.0,iid,1.1754150390625,0.336669921875,0
pro,16k,6,fp32,4099,1024,2048,3.0,strat,1.1463623046875,0.2403564453125,0
pro,16k,6,fp32,4099,1024,2048,3.0,iid,1.1246337890625,0.2322998046875,0
pro,16k,6,fp32,4099,1024,4096,3.0,strat,1.075439453125,0.160400390625,0
pro,16k,6,fp32,4099,1024,4096,3.0,iid,1.0814208984375,0.1634521484375,0
pro,16k,6,bf16,4099,1024,1024,3.0,strat,1.135498046875,0.309814453125,0
pro,16k,6,bf16,4099,1024,1024,3.0,iid,1.1796875,0.3375244140625,0
pro,16k,6,bf16,4099,1024,2048,3.0,strat,1.1495361328125,0.2408447265625,0
pro,16k,6,bf16,4099,1024,2048,3.0,iid,1.1270751953125,0.2315673828125,0
pro,16k,6,bf16,4099,1024,4096,3.0,strat,1.076904296875,0.157958984375,0
pro,16k,6,bf16,4099,1024,4096,3.0,iid,1.0828857421875,0.1600341796875,0
flash,32k,2,fp32,8195,512,1024,3.0,strat,1.34423828125,0.699462890625,0
flash,32k,2,fp32,8195,512,1024,3.0,iid,1.399169921875,0.730224609375,0
flash,32k,2,fp32,8195,512,2048,3.0,strat,1.263671875,0.505859375,0
flash,32k,2,fp32,8195,512,2048,3.0,iid,1.316162109375,0.53662109375,0
flash,32k,2,fp32,8195,512,4096,3.0,strat,1.181884765625,0.3671875,0
flash,32k,2,fp32,8195,512,4096,3.0,iid,1.2080078125,0.3818359375,0
flash,32k,2,bf16,8195,512,1024,3.0,strat,1.36328125,0.708984375,0
flash,32k,2,bf16,8195,512,1024,3.0,iid,1.4091796875,0.724609375,0
flash,32k,2,bf16,8195,512,2048,3.0,strat,1.290283203125,0.51953125,0
flash,32k,2,bf16,8195,512,2048,3.0,iid,1.338134765625,0.5478515625,0
flash,32k,2,bf16,8195,512,4096,3.0,strat,1.2060546875,0.380859375,0
flash,32k,2,bf16,8195,512,4096,3.0,iid,1.228271484375,0.38720703125,0
flash,32k,4,fp32,8195,512,1024,3.0,strat,1.40283203125,0.754638671875,0
flash,32k,4,fp32,8195,512,1024,3.0,iid,1.47314453125,0.83349609375,0
flash,32k,4,fp32,8195,512,2048,3.0,strat,1.294189453125,0.52001953125,0
flash,32k,4,fp32,8195,512,2048,3.0,iid,1.294677734375,0.538330078125,0
flash,32k,4,fp32,8195,512,4096,3.0,strat,1.20361328125,0.361572265625,0
flash,32k,4,fp32,8195,512,4096,3.0,iid,1.216552734375,0.37939453125,0
flash,32k,4,bf16,8195,512,1024,3.0,strat,1.414306640625,0.7626953125,0
flash,32k,4,bf16,8195,512,1024,3.0,iid,1.485595703125,0.839111328125,0
flash,32k,4,bf16,8195,512,2048,3.0,strat,1.301025390625,0.519775390625,0
flash,32k,4,bf16,8195,512,2048,3.0,iid,1.30224609375,0.542236328125,0
flash,32k,4,bf16,8195,512,4096,3.0,strat,1.21142578125,0.360107421875,0
