uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
v32_64k_L08,v32,64k,8,65551,2048,0.867,22.5998,15.031799999999999,1.5034659854441916,21.286,14.447799999999999,True
v32_64k_L09,v32,64k,9,65551,2048,0.745,16.38055,17.4542,0.9384875846501128,14.687899999999999,16.8446,True
v32_64k_L10,v32,64k,10,65551,2048,0.802,16.3534,16.83645,0.9713092724416371,14.9965,16.131,True
v32_64k_L11,v32,64k,11,65551,2048,0.777,16.47985,17.315150000000003,0.9517590087293495,14.97105,16.759700000000002,True
v32_64k_L12,v32,64k,12,65551,2048,0.9,23.27495,13.675049999999999,1.702001089575541,21.913349999999998,13.09105,True
v32_64k_L13,v32,64k,13,65551,2048,0.878,16.50535,15.6623,1.0538267048900865,14.8303,15.043149999999999,True
v32_64k_L14,v32,64k,14,65551,2048,0.854,16.2222,15.0368,1.0788332623962547,14.803,14.465399999999999,True
v32_64k_L15,v32,64k,15,65551,2048,0.829,17.03025,12.75345,1.3353445538266115,15.4542,12.12785,True
v32_64k_L16,v32,64k,16,65551,2048,0.867,17.62705,12.70875,1.38700108193174,16.215799999999998,12.08465,True
v32_64k_L17,v32,64k,17,65551,2048,0.514,18.00955,16.92155,1.0642967104077345,16.3887,16.35965,True
v32_64k_L18,v32,64k,18,65551,2048,0.886,22.03965,15.5984,1.4129429941532465,20.7486,14.982149999999999,True
v32_64k_L19,v32,64k,19,65551,2048,0.733,16.748549999999998,19.6222,0.8535510798992977,15.07835,19.04625,True
v32_64k_L20,v32,64k,20,65551,2048,0.485,17.2672,15.6944,1.1002140891018453,15.834950000000001,15.1454,True
v32_64k_L21,v32,64k,21,65551,2048,0.478,20.2862,16.87665,1.2020276535923895,18.6494,16.27995,True
v32_64k_L22,v32,64k,22,65551,2048,0.694,17.1006,15.85115,1.078823933910158,15.639899999999999,15.1647,True
v32_64k_L23,v32,64k,23,65551,2048,0.542,18.91825,15.8032,1.1971151412372179,17.3119,15.266950000000001,True
v32_64k_L24,v32,64k,24,65551,2048,0.501,23.327650000000002,13.433399999999999,1.7365410097220364,22.06375,12.8911,True
