uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
v32_4k_L23,v32,4k,23,4111,2048,0.664,10.363100000000001,7.10555,1.4584514921434655,9.286299999999999,6.5743,True
v32_4k_L24,v32,4k,24,4111,2048,0.702,10.747,7.1935,1.4939876277194688,9.478200000000001,6.6559,True
v32_4k_L25,v32,4k,25,4111,2048,0.69,13.929350000000001,6.740600000000001,2.0664851793608876,12.625399999999999,6.16955,True
v32_4k_L26,v32,4k,26,4111,2048,0.522,10.15985,6.72135,1.5115787750972647,8.7391,6.1391,True
v32_4k_L27,v32,4k,27,4111,2048,0.547,10.77745,6.8447,1.5745686443525648,9.39035,6.30555,True
v32_4k_L28,v32,4k,28,4111,2048,0.674,10.71185,7.15195,1.4977523612441361,9.31835,6.63995,True
v32_4k_L29,v32,4k,29,4111,2048,0.568,10.26705,6.83025,1.5031733831118919,8.9743,6.2959,True
v32_4k_L30,v32,4k,30,4111,2048,0.679,10.764700000000001,6.84635,1.572326860297823,9.1536,6.2943500000000006,True
v32_4k_L31,v32,4k,31,4111,2048,0.64,10.9695,7.11035,1.5427510600743986,9.43985,6.5488,True
v32_4k_L32,v32,4k,32,4111,2048,0.688,11.8143,7.1935,1.642357684020296,10.37275,6.635050000000001,True
v32_4k_L33,v32,4k,33,4111,2048,0.514,10.02385,6.71195,1.4934333539433398,8.8624,6.16155,True
v32_4k_L34,v32,4k,34,4111,2048,0.729,10.3279,6.8384,1.5102801824988301,9.0239,6.2223500000000005,True
v32_4k_L35,v32,4k,35,4111,2048,0.705,10.10875,6.816,1.4830912558685447,9.0239,6.260800000000001,True
v32_4k_L36,v32,4k,36,4111,2048,0.788,13.395100000000001,7.07195,1.8941168984509225,11.963049999999999,6.54555,True
v32_4k_L37,v32,4k,37,4111,2048,0.734,11.11985,6.73435,1.651213554389065,9.82545,6.166300000000001,True
v32_4k_L38,v32,4k,38,4111,2048,0.717,13.14395,6.8128,1.9293021958666041,11.8991,6.23355,True
v32_4k_L39,v32,4k,39,4111,2048,0.767,13.6575,7.08305,1.9281947748498176,12.60465,6.587149999999999,True
v32_4k_L40,v32,4k,40,4111,2048,0.796,13.473450000000001,7.20315,1.8704941588055228,12.287799999999999,6.63835,True
v32_4k_L41,v32,4k,41,4111,2048,0.762,13.216,6.7744,1.9508738781294284,11.945350000000001,6.2335,True
v32_4k_L42,v32,4k,42,4111,2048,0.833,12.707049999999999,6.7456000000000005,1.883753854364326,11.443100000000001,6.19675,True
v32_4k_L43,v32,4k,43,4111,2048,0.743,13.71505,6.755199999999999,2.030295180009474,12.297600000000001,6.2223999999999995,True
v32_4k_L44,v32,4k,44,4111,2048,0.866,12.961450000000001,7.05435,1.8373698498089832,11.68945,6.5359,True
v32_4k_L45,v32,4k,45,4111,2048,0.805,12.62695,6.71665,1.879947592922067,11.5822,6.1327,True
v32_4k_L46,v32,4k,46,4111,2048,0.776,13.718200000000001,6.896,1.9892981438515083,12.108649999999999,6.28315,True
v32_4k_L47,v32,4k,47,4111,2048,0.793,10.414299999999999,7.2927,1.4280444828390033,9.299100000000001,6.80315,True
v32_4k_L48,v32,4k,48,4111,2048,0.869,13.82225,7.15515,1.9317903887409769,12.252600000000001,6.635149999999999,True
v32_4k_L49,v32,4k,49,4111,2048,0.784,12.5984,6.7311000000000005,1.8716703064877953,11.63665,6.1695,True
v32_4k_L50,v32,4k,50,4111,2048,0.808,12.8527,6.79515,1.8914519914939334,11.561350000000001,6.2255,True
v32_4k_L51,v32,4k,51,4111,2048,0.82,13.39505,6.84795,1.9560671441818354,12.08765,6.3183,True
v32_4k_L52,v32,4k,52,4111,2048,0.825,13.267100000000001,7.1103000000000005,1.8658987665780629,12.211049999999998,6.5759,True
v32_4k_L53,v32,4k,53,4111,2048,0.869,13.070200000000002,6.78545,1.9262097576431927,11.907,6.1471,True
v32_4k_L54,v32,4k,54,4111,2048,0.719,13.23025,6.8128,1.941969527947393,11.98075,6.2719499999999995,True
v32_4k_L55,v32,4k,55,4111,2048,0.788,13.07505,7.01595,1.8636178992153591,11.8864,6.48475,True
v32_4k_L56,v32,4k,56,4111,2048,0.831,13.36945,7.112,1.87984392575928,12.137450000000001,6.595149999999999,True
v32_4k_L57,v32,4k,57,4111,2048,0.77,12.88275,6.83515,1.884779412302583,11.73105,6.26065,True
v32_4k_L58,v32,4k,58,4111,2048,0.881,13.01585,6.7855,1.9181858374474985,11.64625,6.22075,True
v32_4k_L59,v32,4k,59,4111,2048,0.751,13.3118,6.7951999999999995,1.95900047092065,11.985299999999999,6.20315,True
v32_4k_L60,v32,4k,60,4111,2048,0.775,13.1599,7.1055,1.852072338329463,12.04945,6.6383,True
v32_64k_L03,v32,64k,3,65551,2048,0.826,16.30855,9.1823,1.776085512344402,14.948649999999999,8.35825,True
v32_64k_L04,v32,64k,4,65551,2048,0.729,18.051,12.67985,1.4235972823022354,16.50385,11.8894,True
v32_64k_L05,v32,64k,5,65551,2048,0.887,17.8158,12.3438,1.4432994701793613,16.3165,11.1838,True
v32_64k_L06,v32,64k,6,65551,2048,0.875,16.19985,9.6592,1.6771419993374193,14.74545,8.6448,True
v32_64k_L07,v32,64k,7,65551,2048,0.875,16.489349999999998,12.3007,1.3405212711471703,15.08925,11.09905,True
v32_64k_L08,v32,64k,8,65551,2048,0.867,23.00945,9.53585,2.4129416884703514,21.6988,8.929549999999999,True
v32_64k_L09,v32,64k,9,65551,2048,0.745,16.31015,9.40145,1.7348547298555008,14.9086,8.4703,True
v32_64k_L10,v32,64k,10,65551,2048,0.802,16.64785,11.9534,1.3927292653136345,15.08955,10.940700000000001,True
v32_64k_L11,v32,64k,11,65551,2048,0.777,16.4414,12.255799999999999,1.3415199334192793,15.019,11.0127,True
v32_64k_L12,v32,64k,12,65551,2048,0.9,24.105150000000002,9.8095,2.4573270808909733,22.4478,8.83995,True
v32_64k_L13,v32,64k,13,65551,2048,0.878,16.44295,12.28935,1.3379837013348956,14.91975,11.204649999999999,True
v32_64k_L14,v32,64k,14,65551,2048,0.854,16.27665,9.5456,1.705146873952397,14.867049999999999,8.619200000000001,True
v32_64k_L15,v32,64k,15,65551,2048,0.829,17.209349999999997,9.604700000000001,1.7917634074984117,15.87025,8.779,True
v32_64k_L16,v32,64k,16,65551,2048,0.867,18.105400000000003,12.671850000000001,1.4287890087082786,16.7662,11.54545,True
v32_64k_L17,v32,64k,17,65551,2048,0.514,18.1966,12.44945,1.4616388675804954,16.5437,11.257549999999998,True
v32_64k_L18,v32,64k,18,65551,2048,0.886,22.20465,9.48955,2.3399054749698354,20.748450000000002,8.696,True
v32_64k_L19,v32,64k,19,65551,2048,0.733,16.6525,9.233450000000001,1.803497067726581,15.08785,8.4032,True
v32_64k_L20,v32,64k,20,65551,2048,0.485,17.8543,9.812700000000001,1.8195094112731456,16.51035,9.1455,True
v32_64k_L21,v32,64k,21,65551,2048,0.478,20.3662,12.75345,1.5969169126785299,18.764650000000003,11.636700000000001,True
v32_64k_L22,v32,64k,22,65551,2048,0.694,17.094150000000003,12.2815,1.3918617432724019,15.7536,10.9743,True
v32_64k_L23,v32,64k,23,65551,2048,0.542,19.222099999999998,9.59025,2.004337738849352,17.715049999999998,8.80795,True
v32_64k_L24,v32,64k,24,65551,2048,0.501,24.017400000000002,12.6398,1.9001408250130543,22.5245,11.7086,True
v32_64k_L25,v32,64k,25,65551,2048,0.513,20.79315,12.10705,1.7174414907016988,19.38045,10.70525,True
v32_64k_L26,v32,64k,26,65551,2048,0.358,24.21245,9.5839,2.526367136551926,22.518099999999997,8.84795,True
v32_64k_L27,v32,64k,27,65551,2048,0.428,23.604650000000003,9.56955,2.466641587117472,22.08605,8.5807,True
v32_64k_L28,v32,64k,28,65551,2048,0.41,24.3182,9.55035,2.5463150565162533,23.04775,8.812700000000001,True
v32_64k_L29,v32,64k,29,65551,2048,0.357,23.537200000000002,12.19345,1.9303150461928331,21.94855,11.03345,True
v32_64k_L30,v32,64k,30,65551,2048,0.479,17.112,12.27515,1.394035918094687,15.755049999999999,10.89275,True
v32_64k_L31,v32,64k,31,65551,2048,0.184,22.25555,9.407950000000001,2.365610999208116,20.57255,8.49595,True
v32_64k_L32,v32,64k,32,65551,2048,0.261,21.785349999999998,9.72945,2.2391142356453857,20.222150000000003,8.82715,True
v32_64k_L33,v32,64k,33,65551,2048,0.157,21.6941,9.2591,2.343003099653314,20.27655,8.23675,True
v32_64k_L34,v32,64k,34,65551,2048,0.406,20.326400000000003,9.507100000000001,2.138023161637092,18.75495,8.7311,True
v32_64k_L35,v32,64k,35,65551,2048,0.448,18.73895,9.2127,2.034034539277302,17.2686,8.273549999999998,True
v32_64k_L36,v32,64k,36,65551,2048,0.556,20.43505,12.7935,1.5972994098565678,19.1007,11.670200000000001,True
v32_64k_L37,v32,64k,37,65551,2048,0.5,17.20155,9.52465,1.80600337020258,15.727649999999999,8.57585,True
v32_64k_L38,v32,64k,38,65551,2048,0.511,17.31345,9.5903,1.8053084887855437,15.9279,8.7456,True
v32_64k_L39,v32,64k,39,65551,2048,0.447,17.66395,9.643049999999999,1.8317804014290087,16.218899999999998,8.72475,True
