uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
v32_64k_L10,v32,64k,10,65551,2048,0.802,16.417450000000002,13.31665,1.2328513552582672,15.0255,12.5374,True
v32_64k_L11,v32,64k,11,65551,2048,0.777,16.55325,13.60615,1.216600581354755,15.0575,12.80935,True
v32_64k_L12,v32,64k,12,65551,2048,0.9,23.4094,12.82225,1.825685819571448,22.02055,11.927950000000001,True
v32_64k_L13,v32,64k,13,65551,2048,0.878,16.2655,12.9134,1.2595830687502905,14.819,11.9486,True
v32_64k_L14,v32,64k,14,65551,2048,0.854,16.36625,13.69745,1.194839185395822,14.9244,12.87335,True
v32_64k_L15,v32,64k,15,65551,2048,0.829,16.849400000000003,12.7471,1.3218222183869275,15.42065,11.9423,True
v32_64k_L16,v32,64k,16,65551,2048,0.867,17.7342,12.90235,1.374493793766252,16.27335,12.12625,True
v32_64k_L17,v32,64k,17,65551,2048,0.514,17.993299999999998,16.23345,1.1084088718048226,16.51655,15.430200000000001,True
v32_64k_L18,v32,64k,18,65551,2048,0.886,22.114849999999997,13.052700000000002,1.6942739816283217,20.83835,12.0895,True
v32_64k_L19,v32,64k,19,65551,2048,0.733,16.50555,14.022200000000002,1.1771013107786223,15.0446,13.0654,True
v32_64k_L20,v32,64k,20,65551,2048,0.485,17.5326,12.641399999999999,1.3869191703450567,16.012700000000002,11.945350000000001,True
v32_64k_L21,v32,64k,21,65551,2048,0.478,20.10995,15.847700000000001,1.2689506994705857,18.646150000000002,14.9984,True
v32_64k_L22,v32,64k,22,65551,2048,0.694,17.15975,12.929549999999999,1.3271730261300665,15.6925,12.15505,True
v32_64k_L23,v32,64k,23,65551,2048,0.542,18.9054,14.20135,1.33123963566844,17.40945,13.459,True
v32_64k_L24,v32,64k,24,65551,2048,0.501,23.54205,15.5503,1.5139289917236323,22.22535,14.76775,True
v32_64k_L25,v32,64k,25,65551,2048,0.513,20.57245,16.2254,1.2679163533718736,19.21415,15.3454,True
v32_64k_L26,v32,64k,26,65551,2048,0.358,24.097150000000003,15.99335,1.506698096396315,22.7149,15.23825,True
v32_64k_L27,v32,64k,27,65551,2048,0.428,23.5485,12.9294,1.8213142141166645,22.18695,12.21425,True
v32_64k_L28,v32,64k,28,65551,2048,0.41,23.8654,13.8158,1.7273990648388078,22.5789,13.09275,True
v32_64k_L29,v32,64k,29,65551,2048,0.357,23.467,15.5229,1.5117664869322098,22.126150000000003,14.679799999999998,True
v32_64k_L30,v32,64k,30,65551,2048,0.479,17.07665,12.7455,1.3398179749715586,15.6718,11.995,True
v32_64k_L31,v32,64k,31,65551,2048,0.184,21.55975,17.9406,1.2017295965575288,20.161450000000002,17.0014,True
v32_64k_L32,v32,64k,32,65551,2048,0.261,21.4173,13.0574,1.640242314702774,19.963150000000002,12.2207,True
v32_64k_L33,v32,64k,33,65551,2048,0.157,21.508599999999998,17.499,1.2291330933196183,20.1725,16.6814,True
v32_64k_L34,v32,64k,34,65551,2048,0.406,20.1453,13.85905,1.4535844808987628,18.69905,13.0814,True
v32_64k_L35,v32,64k,35,65551,2048,0.448,18.80445,13.71345,1.3712413725211379,17.31655,12.9406,True
v32_64k_L36,v32,64k,36,65551,2048,0.556,19.94545,13.902149999999999,1.4347025460090708,18.4911,13.089450000000001,True
v32_64k_L37,v32,64k,37,65551,2048,0.5,17.03505,15.686200000000001,1.0859895959505805,15.58225,14.8671,True
v32_64k_L38,v32,64k,38,65551,2048,0.511,17.50535,16.23175,1.0784635051673417,16.0031,15.4894,True
v32_64k_L39,v32,64k,39,65551,2048,0.447,17.249299999999998,13.318200000000001,1.295167515129672,15.7455,12.55185,True
v32_64k_L40,v32,64k,40,65551,2048,0.513,19.345299999999998,15.85425,1.2201964772852705,17.85755,15.0511,True
v32_64k_L41,v32,64k,41,65551,2048,0.595,16.35335,13.14375,1.244192106514503,14.9069,12.3133,True
v32_64k_L42,v32,64k,42,65551,2048,0.586,17.21575,13.7006,1.2565690553698379,15.7295,12.8687,True
v32_64k_L43,v32,64k,43,65551,2048,0.396,17.3805,13.875,1.2526486486486488,16.0351,13.01905,True
v32_64k_L44,v32,64k,44,65551,2048,0.792,23.04145,13.323049999999999,1.7294425825918243,21.6382,12.48955,True
v32_64k_L45,v32,64k,45,65551,2048,0.579,17.252650000000003,15.54695,1.1097128375662109,15.807799999999999,14.792,True
