uuid,model,isl,layer,K,N,cr,hit,cs,T,v256,mbpm,wpr,gpu,us_prod_nsys,us_timed_nsys,overhead,window_cyc,exact,mono,csv_pr_us,cyc_p1_gather_stats,frac_p1_gather_stats,us_p1_gather_stats,cyc_smem_stage,frac_smem_stage,us_smem_stage,cyc_p1b_rungs,frac_p1b_rungs,us_p1b_rungs,cyc_p2_count_admission,frac_p2_count_admission,us_p2_count_admission,cyc_p3_collect,frac_p3_collect,us_p3_collect,cyc_p4_select,frac_p4_select,us_p4_select,cyc_epilogue,frac_epilogue,us_epilogue
flash_64k_L14,flash,64k,14,512,16387,4,0.311,1,512,True,1,False,2,10.568,10.597,0.0027,16885.0,True,True,10.29,2647.0,0.15683,1.6574,165.0,0.00978,0.1033,864.0,0.05119,0.541,3460.0,0.20499,2.1664,3214.5,0.19045,2.0127,6507.5,0.38555,4.0745,20.5,0.00121,0.0128
flash_64k_L16,flash,64k,16,512,16387,4,0.227,1,512,True,1,False,3,10.298,10.29,-0.0008,17462.0,True,True,10.1,2804.5,0.16101,1.658,130.0,0.00746,0.0769,856.0,0.04914,0.5061,3446.0,0.19784,2.0373,3206.0,0.18406,1.8954,6954.5,0.39927,4.1116,21.0,0.00121,0.0124
flash_64k_L18,flash,64k,18,512,16387,4,0.412,1,512,True,1,False,4,10.238,10.155,-0.0081,17277.0,True,True,11.36,3057.0,0.17714,1.8136,166.0,0.00962,0.0985,861.0,0.04989,0.5108,3444.5,0.19959,2.0435,3214.5,0.18627,1.9071,6493.5,0.37627,3.8524,21.0,0.00122,0.0125
flash_64k_L20,flash,64k,20,512,16387,4,0.178,1,512,True,1,False,5,11.112,11.114,0.0001,18165.0,True,True,10.41,2820.0,0.15578,1.7311,128.0,0.00707,0.0786,874.5,0.04831,0.5368,3249.5,0.17951,1.9947,3249.0,0.17948,1.9944,7761.0,0.42874,4.7641,20.0,0.0011,0.0123
flash_64k_L22,flash,64k,22,512,16387,4,0.076,1,512,True,1,False,6,12.664,12.69,0.002,21027.0,True,True,11.98,2505.0,0.11908,1.508,165.0,0.00784,0.0993,852.5,0.04053,0.5132,7624.0,0.36243,4.5898,3223.0,0.15321,1.9403,6645.5,0.31591,4.0007,21.0,0.001,0.0126
flash_64k_L24,flash,64k,24,512,16387,4,0.107,1,512,True,1,False,7,13.114,12.701,-0.0315,22405.0,True,True,11.35,2968.0,0.13244,1.7368,122.0,0.00544,0.0714,817.0,0.03646,0.4781,9344.0,0.41696,5.4678,3178.5,0.14183,1.86,5960.5,0.26598,3.4879,20.0,0.00089,0.0117
flash_64k_L26,flash,64k,26,512,16387,4,0.156,1,512,True,1,False,0,10.965,10.939,-0.0023,18926.0,True,True,10.89,2814.5,0.14939,1.638,122.0,0.00648,0.071,818.0,0.04342,0.4761,3367.5,0.17874,1.9598,3245.5,0.17226,1.8888,8453.0,0.44866,4.9195,20.0,0.00106,0.0116
flash_64k_L28,flash,64k,28,512,16387,4,0.41,1,512,True,1,False,1,11.066,11.059,-0.0006,19206.5,True,True,11.42,3019.0,0.15805,1.7489,128.0,0.0067,0.0741,838.0,0.04387,0.4854,5513.0,0.28861,3.1936,3173.0,0.16611,1.8381,6410.0,0.33557,3.7133,21.0,0.0011,0.0122
flash_64k_L30,flash,64k,30,512,16387,4,0.256,1,512,True,1,False,2,10.656,10.728,0.0068,17326.0,True,True,10.36,2605.0,0.15174,1.6169,165.0,0.00961,0.1024,843.0,0.0491,0.5232,3466.5,0.20192,2.1516,3218.0,0.18744,1.9974,6849.5,0.39897,4.2514,21.0,0.00122,0.013
flash_64k_L32,flash,64k,32,512,16387,4,0.148,1,512,True,1,False,3,11.611,11.158,-0.039,19231.0,True,True,10.41,2783.5,0.14578,1.6927,128.0,0.0067,0.0778,833.5,0.04365,0.5069,3434.0,0.17985,2.0883,3323.5,0.17406,2.0211,8571.0,0.4489,5.2122,20.0,0.00105,0.0122
flash_64k_L34,flash,64k,34,512,16387,4,0.145,1,512,True,1,False,4,10.942,10.709,-0.0214,18194.0,True,True,10.51,2834.5,0.15587,1.7056,166.0,0.00913,0.0999,859.0,0.04724,0.5169,3446.5,0.18953,2.0739,3264.0,0.17949,1.9641,7594.5,0.41764,4.57,20.0,0.0011,0.012
flash_64k_L36,flash,64k,36,512,16387,4,0.779,1,512,True,1,False,5,10.061,10.067,0.0006,15927.5,True,True,9.78,2441.5,0.15335,1.5428,128.0,0.00804,0.0809,839.0,0.0527,0.5302,3387.0,0.21273,2.1402,3187.5,0.2002,2.0142,5918.5,0.37173,3.7399,20.0,0.00126,0.0126
flash_64k_L38,flash,64k,38,512,16387,4,0.336,1,512,True,1,False,6,10.491,10.453,-0.0037,16827.0,True,True,10.06,2506.5,0.15072,1.5812,165.0,0.00992,0.1041,841.5,0.0506,0.5309,3489.0,0.2098,2.201,3203.5,0.19263,2.0209,6405.0,0.38514,4.0405,20.0,0.0012,0.0126
flash_64k_L40,flash,64k,40,512,16387,4,0.406,1,512,True,1,False,7,10.811,10.533,-0.0258,18044.5,True,True,10.75,2772.0,0.15373,1.662,122.0,0.00677,0.0731,829.0,0.04597,0.497,3390.0,0.188,2.0325,3255.0,0.18051,1.9516,7644.0,0.42391,4.583,20.0,0.00111,0.012
flash_64k_L42,flash,64k,42,512,16387,4,0.779,1,512,True,1,False,0,9.592,9.69,0.0102,16541.5,True,True,9.97,2942.5,0.17939,1.7207,122.0,0.00744,0.0713,803.0,0.04896,0.4696,3346.0,0.20399,1.9567,3172.0,0.19339,1.855,5997.0,0.36561,3.507,20.0,0.00122,0.0117
flash_8k_L02,flash,8k,2,512,2051,4,0.84,1,512,False,0,False,5,8.584,8.65,0.0076,13515.5,True,True,8.25,2724.0,0.20196,1.7336,126.0,0.00934,0.0802,846.5,0.06276,0.5387,2142.0,0.15881,1.3632,1462.5,0.10843,0.9308,6167.0,0.45722,3.9248,20.0,0.00148,0.0127
flash_8k_L04,flash,8k,4,512,2051,4,0.844,1,512,False,0,False,6,8.578,8.656,0.0091,13553.0,True,True,8.35,2744.0,0.20265,1.7383,162.0,0.01196,0.1026,850.0,0.06277,0.5385,2223.5,0.16421,1.4085,1476.0,0.10901,0.935,6065.0,0.44792,3.842,20.0,0.00148,0.0127
flash_8k_L06,flash,8k,6,512,2051,4,0.75,1,512,False,0,False,7,8.042,8.141,0.0123,13103.5,True,True,8.42,2366.0,0.18156,1.46,120.0,0.00921,0.0741,819.5,0.06289,0.5057,2482.5,0.1905,1.5319,1407.5,0.10801,0.8686,5816.0,0.4463,3.589,20.0,0.00153,0.0123
