hw,K,dtype,N,BS,gvr_cuda_cold_us,gvr_cuda_warm_us,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_cutedsl_rs_cold_us,gvr_cutedsl_rs_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,gvr_op8_cold_us,gvr_op8_warm_us,gvr_port_cold_us,gvr_port_warm_us,gvr_mt_cold_us,gvr_mt_warm_us,gvr_sandwich_cold_us,gvr_sandwich_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_cutedsl_single_cold_us,radix_cutedsl_single_warm_us,radix_cutedsl_multi_cold_us,radix_cutedsl_multi_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,gvr_cold_speedup_vs_gvr_cutedsl,gvr_cold_speedup_vs_gvr_cutedsl_rs,gvr_cold_speedup_vs_gvr_multicta_cutedsl,gvr_cold_speedup_vs_gvr_op8,gvr_cold_speedup_vs_gvr_port,gvr_cold_speedup_vs_gvr_mt,gvr_cold_speedup_vs_gvr_sandwich,gvr_cold_speedup_vs_radix_single_cuda,gvr_cold_speedup_vs_radix_multi_cuda,gvr_cold_speedup_vs_radix_cutedsl,gvr_cold_speedup_vs_radix_cutedsl_single,gvr_cold_speedup_vs_radix_cutedsl_multi,gvr_cold_speedup_vs_sglang_streaming
B200,1024,fp32,4096,1,11.232,9.38,11.009,9.794,10.144,8.9,11.13,9.73,10.118,8.962,10.793,8.172,10.789,,10.631,,15.224,14.25,36.381,32.818,6.626,6.024,6.906,6.345,17.48,16.419,7.702,6.765,0.98,0.903,0.991,0.901,0.961,0.961,0.946,1.355,3.239,0.59,0.615,1.556,0.686
B200,1024,fp32,8192,1,13.798,11.935,13.79,12.541,11.413,10.035,13.834,12.549,11.362,10.023,11.496,10.754,10.905,,11.042,,17.49,15.917,37.29,33.469,8.333,7.814,8.334,7.82,18.235,17.117,8.92,7.997,0.999,0.827,1.003,0.823,0.833,0.79,0.8,1.268,2.702,0.604,0.604,1.322,0.646
B200,1024,fp32,16384,1,14.35,11.979,13.242,11.948,12.328,10.905,13.218,11.954,12.342,10.903,11.261,8.545,11.951,,12.113,,21.707,18.804,38.346,34.765,12.518,11.889,12.538,11.889,20.238,19.496,11.638,10.65,0.923,0.859,0.921,0.86,0.785,0.833,0.844,1.513,2.672,0.872,0.874,1.41,0.811
B200,1024,fp32,32768,1,25.491,22.819,22.483,20.727,17.629,15.891,22.358,20.737,17.654,15.889,18.826,16.967,17.336,,16.322,,29.397,25.054,40.495,36.403,19.922,19.078,19.11,18.287,19.877,19.08,16.882,16.014,0.882,0.692,0.877,0.693,0.739,0.68,0.64,1.153,1.589,0.782,0.75,0.78,0.662
B200,1024,fp32,65536,1,28.566,23.46,24.016,22.13,19.464,17.575,21.344,19.496,17.011,15.193,19.551,16.6,20.914,,18.402,,46.093,36.801,43.096,38.827,20.002,19.267,,,19.883,19.21,26.693,26.063,0.841,0.681,0.747,0.595,0.684,0.732,0.644,1.614,1.509,0.7,,0.696,0.934
B200,1024,fp32,131072,1,37.747,30.056,26.997,24.802,25.656,23.433,19.138,17.86,18.189,16.885,23.433,20.987,24.731,,23.286,,75.909,57.619,46.206,41.089,19.941,19.062,,,19.938,19.037,44.798,44.384,0.715,0.68,0.507,0.482,0.621,0.655,0.617,2.011,1.224,0.528,,0.528,1.187
B200,1024,fp32,262144,1,63.675,48.985,42.291,38.827,37.426,34.123,24.232,22.52,20.36,18.706,34.263,29.142,37.416,,35.252,,133.942,97.764,51.75,45.019,20.043,19.148,,,20.117,19.173,80.517,80.718,0.664,0.588,0.381,0.32,0.538,0.588,0.554,2.104,0.813,0.315,,0.316,1.264
B200,2048,bf16,8192,1,16.462,15.344,14.762,13.623,13.69,12.589,14.95,13.733,13.513,12.335,12.916,10.646,13.17,,12.234,,16.736,15.778,27.024,23.553,6.957,6.383,7.003,6.382,13.795,12.824,,,0.897,0.832,0.908,0.821,0.785,0.8,0.743,1.017,1.642,0.423,0.425,0.838,
B200,2048,bf16,16384,1,16.008,14.708,15.726,14.402,14.509,13.177,15.184,13.905,13.973,12.663,13.949,12.607,14.883,,13.594,,20.158,18.577,29.704,26.449,10.366,9.618,10.352,9.624,15.691,14.466,,,0.982,0.906,0.949,0.873,0.871,0.93,0.849,1.259,1.856,0.648,0.647,0.98,
B200,2048,bf16,32768,1,17.853,16.225,17.266,15.897,15.898,14.618,17.808,16.177,16.57,14.986,15.875,12.377,17.266,,15.869,,26.326,23.817,44.651,41.44,14.834,14.067,15.795,14.848,14.805,14.075,,,0.967,0.89,0.997,0.928,0.889,0.967,0.889,1.475,2.501,0.831,0.885,0.829,
B200,2048,bf16,65536,1,21.973,20.055,21.47,20.03,20.336,18.872,19.355,17.581,18.123,16.394,18.888,16.399,18.738,,18.753,,37.066,32.919,45.555,42.248,14.818,14.007,24.875,23.635,14.789,13.986,,,0.977,0.926,0.881,0.825,0.86,0.853,0.853,1.687,2.073,0.674,1.132,0.673,
B200,2048,bf16,131072,1,35.496,31.441,29.765,28.03,29.344,27.528,20.218,18.71,19.482,18.067,22.892,21.175,28.619,,23.123,,60.091,51.687,48.665,44.782,14.774,13.942,,,14.765,13.928,,,0.839,0.827,0.57,0.549,0.645,0.806,0.651,1.693,1.371,0.416,,0.416,
B200,2048,bf16,262144,1,60.798,54.009,46.017,43.851,45.769,43.675,25.027,23.189,24.266,22.584,33.33,31.255,37.556,,32.916,,99.812,83.84,53.909,49.19,14.835,13.933,,,14.789,13.89,,,0.757,0.753,0.412,0.399,0.548,0.618,0.541,1.642,0.887,0.244,,0.243,
B200,2048,fp16,8192,1,17.534,16.37,15.746,14.653,13.413,12.183,15.968,14.86,13.354,12.251,13.567,10.989,12.676,,12.942,,16.715,15.711,26.629,23.57,6.928,6.328,6.917,6.333,13.76,12.817,,,0.898,0.765,0.911,0.762,0.774,0.723,0.738,0.953,1.519,0.395,0.394,0.785,
B200,2048,fp16,16384,1,16.408,15.078,16.014,14.72,14.216,12.9,15.717,14.373,13.856,12.577,13.682,12.883,14.703,,13.893,,20.168,18.618,29.31,26.458,9.966,9.226,9.974,9.224,15.378,14.321,,,0.976,0.866,0.958,0.844,0.834,0.896,0.847,1.229,1.786,0.607,0.608,0.937,
B200,2048,fp16,32768,1,18.318,16.657,17.645,16.33,15.89,14.584,18.354,16.721,16.534,15.018,15.732,13.724,16.685,,16.304,,26.314,23.986,45.123,41.383,14.685,13.93,15.12,14.175,14.704,13.925,,,0.963,0.867,1.002,0.903,0.859,0.911,0.89,1.436,2.463,0.802,0.825,0.803,
B200,2048,fp16,65536,1,23.624,21.674,22.862,21.459,19.987,18.513,20.992,19.287,17.928,16.212,19.979,18.277,19.171,,19.21,,37.0,33.479,46.353,42.196,14.723,13.926,24.419,23.168,14.744,13.896,,,0.968,0.846,0.889,0.759,0.846,0.812,0.813,1.566,1.962,0.623,1.034,0.624,
B200,2048,fp16,131072,1,36.07,32.152,30.576,28.873,28.797,27.109,21.066,19.558,19.342,17.826,22.232,21.176,27.719,,23.728,,59.955,52.532,49.209,44.818,14.709,13.842,,,14.661,13.791,,,0.848,0.798,0.584,0.536,0.616,0.768,0.658,1.662,1.364,0.408,,0.406,
B200,2048,fp16,262144,1,60.813,54.006,46.059,43.939,44.872,42.648,25.285,23.521,24.113,22.379,33.122,31.934,36.356,,31.655,,99.469,85.926,54.222,49.095,14.595,13.766,,,14.547,13.765,,,0.757,0.738,0.416,0.397,0.545,0.598,0.521,1.636,0.892,0.24,,0.239,
B200,2048,fp32,8192,1,15.155,14.214,13.966,12.874,12.334,11.206,14.045,12.877,12.266,11.211,12.483,11.04,12.839,,12.543,,17.624,16.132,26.083,23.565,8.365,7.835,8.36,7.828,18.048,17.057,,,0.922,0.814,0.927,0.809,0.824,0.847,0.828,1.163,1.721,0.552,0.552,1.191,
B200,2048,fp32,16384,1,19.517,17.609,14.742,13.384,13.771,12.359,14.688,13.389,13.744,12.363,13.249,13.383,14.589,,13.719,,22.022,19.423,28.873,26.417,12.757,12.159,12.779,12.16,19.832,19.006,,,0.755,0.706,0.753,0.704,0.679,0.748,0.703,1.128,1.479,0.654,0.655,1.016,
B200,2048,fp32,32768,1,24.77,21.125,18.625,16.897,17.093,15.425,18.642,16.902,17.077,15.358,16.114,15.011,17.913,,17.045,,31.136,26.815,45.659,41.112,20.104,19.203,19.865,18.879,20.045,19.181,,,0.752,0.69,0.753,0.689,0.651,0.723,0.688,1.257,1.843,0.812,0.802,0.809,
B200,2048,fp32,65536,1,35.665,29.8,25.664,23.983,22.075,20.401,21.417,19.692,17.798,16.098,19.308,16.709,19.547,,19.921,,48.259,38.808,47.557,42.857,19.69,19.098,,,19.792,19.07,,,0.72,0.619,0.601,0.499,0.541,0.548,0.559,1.353,1.333,0.552,,0.555,
B200,2048,fp32,131072,1,52.792,43.488,34.074,31.766,30.016,27.612,23.225,21.732,19.083,17.631,24.939,21.836,29.247,,26.056,,79.441,61.177,50.667,45.04,20.072,19.185,,,20.122,19.183,,,0.645,0.569,0.44,0.361,0.472,0.554,0.494,1.505,0.96,0.38,,0.381,
B200,2048,fp32,262144,1,94.342,78.345,51.934,48.653,51.065,48.052,27.118,25.464,26.147,24.502,35.01,31.827,38.635,,38.256,,138.166,102.368,56.921,49.695,19.771,19.08,,,19.757,19.075,,,0.55,0.541,0.287,0.277,0.371,0.41,0.406,1.465,0.603,0.21,,0.209,
