hw,K,dtype,N,BS,gvr_cuda_cold_us,gvr_cuda_warm_us,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_cutedsl_rs_cold_us,gvr_cutedsl_rs_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,gvr_op8_cold_us,gvr_op8_warm_us,gvr_port_cold_us,gvr_port_warm_us,gvr_mt_cold_us,gvr_mt_warm_us,gvr_sandwich_cold_us,gvr_sandwich_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_cutedsl_single_cold_us,radix_cutedsl_single_warm_us,radix_cutedsl_multi_cold_us,radix_cutedsl_multi_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,gvr_cold_speedup_vs_gvr_cutedsl,gvr_cold_speedup_vs_gvr_cutedsl_rs,gvr_cold_speedup_vs_gvr_multicta_cutedsl,gvr_cold_speedup_vs_gvr_op8,gvr_cold_speedup_vs_gvr_port,gvr_cold_speedup_vs_gvr_mt,gvr_cold_speedup_vs_gvr_sandwich,gvr_cold_speedup_vs_radix_single_cuda,gvr_cold_speedup_vs_radix_multi_cuda,gvr_cold_speedup_vs_radix_cutedsl,gvr_cold_speedup_vs_radix_cutedsl_single,gvr_cold_speedup_vs_radix_cutedsl_multi,gvr_cold_speedup_vs_sglang_streaming
B300,512,fp32,262144,1,62.288,48.559,37.686,34.079,35.002,31.684,20.51,18.751,18.85,17.16,32.798,30.045,,,,,127.264,91.886,47.795,40.564,18.893,18.197,,,18.827,18.131,75.667,75.708,0.605,0.562,0.329,0.303,0.527,,,2.043,0.767,0.303,,0.302,1.215
B300,1024,bf16,4096,1,10.197,8.664,9.718,8.64,9.451,8.033,9.758,8.525,8.99,7.943,9.02,6.918,,,,,14.002,13.379,36.926,31.597,5.104,4.492,5.198,4.604,12.56,11.635,,,0.953,0.927,0.957,0.882,0.885,,,1.373,3.621,0.501,0.51,1.232,
B300,1024,bf16,8192,1,12.493,10.842,12.104,10.956,10.432,9.285,12.152,10.929,10.266,9.112,10.162,9.129,,,,,15.907,14.758,37.322,31.983,6.698,5.866,6.664,5.866,13.81,12.763,,,0.969,0.835,0.973,0.822,0.813,,,1.273,2.987,0.536,0.533,1.105,
B300,1024,bf16,16384,1,14.706,12.401,14.725,13.156,11.69,10.026,14.416,12.871,11.298,9.856,12.16,11.273,,,,,18.784,17.159,38.525,33.269,9.534,8.772,9.613,8.764,15.496,14.207,,,1.001,0.795,0.98,0.768,0.827,,,1.277,2.62,0.648,0.654,1.054,
B300,1024,bf16,32768,1,18.147,15.681,17.698,16.178,16.789,15.197,18.23,16.534,17.277,15.603,14.336,12.668,,,,,23.293,21.064,39.382,34.807,14.706,13.864,14.28,13.538,14.73,13.813,,,0.975,0.925,1.005,0.952,0.79,,,1.284,2.17,0.81,0.787,0.812,
B300,1024,bf16,65536,1,21.966,19.076,17.819,16.588,16.536,15.329,16.734,15.327,15.523,14.189,16.126,14.738,,,,,33.512,29.844,41.118,36.341,14.28,13.404,23.272,21.864,14.272,13.434,,,0.811,0.753,0.762,0.707,0.734,,,1.526,1.872,0.65,1.059,0.65,
B300,1024,bf16,131072,1,31.758,27.684,24.83,23.366,23.246,21.816,17.917,16.73,16.602,15.433,20.201,17.817,,,,,53.997,46.083,44.046,38.621,14.152,13.395,,,14.208,13.428,,,0.782,0.732,0.564,0.523,0.636,,,1.7,1.387,0.446,,0.447,
B300,1024,bf16,262144,1,49.726,42.675,36.528,34.548,35.661,33.762,20.376,18.651,19.693,18.061,30.037,26.897,,,,,92.667,76.481,47.979,42.073,14.298,13.372,,,14.243,13.324,,,0.735,0.717,0.41,0.396,0.604,,,1.864,0.965,0.288,,0.286,
B300,1024,fp16,4096,1,10.77,9.224,10.746,9.521,9.421,7.958,10.806,9.615,9.12,7.973,9.475,9.51,,,,,14.024,13.341,37.003,31.524,5.078,4.431,5.179,4.55,12.565,11.679,,,0.998,0.875,1.003,0.847,0.88,,,1.302,3.436,0.472,0.481,1.167,
B300,1024,fp16,8192,1,12.672,10.97,12.627,11.501,10.835,9.645,12.739,11.564,10.843,9.665,11.069,9.586,,,,,15.99,14.778,37.21,31.94,6.55,5.74,6.579,5.744,13.858,12.71,,,0.996,0.855,1.005,0.856,0.873,,,1.262,2.936,0.517,0.519,1.094,
B300,1024,fp16,16384,1,15.584,13.194,16.093,14.525,11.944,10.412,15.654,14.152,11.464,10.033,12.673,9.093,,,,,18.749,17.213,38.266,33.259,9.19,8.365,9.171,8.377,15.306,14.095,,,1.033,0.766,1.005,0.736,0.813,,,1.203,2.455,0.59,0.589,0.982,
B300,1024,fp16,32768,1,20.36,17.802,20.448,18.893,16.907,15.389,21.099,19.288,17.45,15.785,16.687,13.248,,,,,23.251,21.2,39.123,34.817,14.424,13.436,13.754,12.993,14.33,13.48,,,1.004,0.83,1.036,0.857,0.82,,,1.142,1.922,0.708,0.676,0.704,
B300,1024,fp16,65536,1,22.014,19.51,19.115,17.883,16.47,15.316,18.072,16.677,15.702,14.337,15.98,15.882,,,,,33.302,29.994,41.018,36.379,14.125,13.21,22.085,20.682,14.064,13.265,,,0.868,0.748,0.821,0.713,0.726,,,1.513,1.863,0.642,1.003,0.639,
B300,1024,fp16,131072,1,30.728,26.574,23.912,22.447,23.306,21.891,17.291,16.176,16.942,15.746,20.231,18.724,,,,,53.858,46.695,43.574,38.684,14.078,13.212,,,14.019,13.277,,,0.778,0.758,0.563,0.551,0.658,,,1.753,1.418,0.458,,0.456,
B300,1024,fp16,262144,1,50.035,43.166,37.406,35.275,35.221,33.314,21.334,19.724,19.552,17.896,29.37,27.433,,,,,92.003,77.904,47.651,41.985,14.128,13.258,,,14.162,13.284,,,0.748,0.704,0.426,0.391,0.587,,,1.839,0.952,0.282,,0.283,
B300,1024,fp32,4096,1,10.712,8.854,10.418,9.204,9.395,8.168,10.52,9.178,9.366,8.25,10.396,9.201,,,,,14.507,13.517,34.651,31.144,6.234,5.645,6.619,6.009,17.152,16.009,7.205,6.333,0.973,0.877,0.982,0.874,0.97,,,1.354,3.235,0.582,0.618,1.601,0.673
B300,1024,fp32,8192,1,13.242,11.334,13.17,11.892,10.846,9.199,13.101,11.896,10.946,9.192,11.63,11.367,,,,,16.787,15.075,35.93,31.777,7.893,7.357,7.845,7.361,17.768,16.873,8.421,7.489,0.995,0.819,0.989,0.827,0.878,,,1.268,2.713,0.596,0.592,1.342,0.636
B300,1024,fp32,16384,1,13.699,11.35,12.55,11.299,11.67,10.124,12.61,11.299,11.651,10.125,11.327,9.419,,,,,20.762,17.955,37.146,33.021,12.045,11.462,12.029,11.462,19.962,19.103,10.955,10.04,0.916,0.852,0.92,0.851,0.827,,,1.516,2.712,0.879,0.878,1.457,0.8
B300,1024,fp32,32768,1,24.392,21.575,21.557,19.827,16.966,14.972,21.502,19.837,17.022,14.977,18.373,15.876,,,,,27.989,23.995,39.181,34.957,19.446,18.742,18.371,17.613,19.605,18.727,16.062,15.235,0.884,0.696,0.882,0.698,0.753,,,1.147,1.606,0.797,0.753,0.804,0.659
B300,1024,fp32,65536,1,27.608,22.481,22.971,21.124,18.302,16.484,20.267,18.518,15.99,14.298,18.403,16.742,,,,,44.299,35.259,41.229,37.103,19.573,18.699,,,19.57,18.684,25.59,24.902,0.832,0.663,0.734,0.579,0.667,,,1.605,1.493,0.709,,0.709,0.927
B300,1024,fp32,131072,1,35.962,28.183,25.923,23.699,24.245,22.065,18.328,16.984,17.221,15.912,22.315,19.777,,,,,73.182,55.354,44.434,39.301,19.475,18.609,,,19.384,18.657,43.074,42.613,0.721,0.674,0.51,0.479,0.621,,,2.035,1.236,0.542,,0.539,1.198
B300,1024,fp32,262144,1,61.542,47.154,40.813,37.243,36.038,32.423,23.083,21.449,19.552,17.721,32.782,29.402,,,,,129.72,94.114,49.669,43.08,19.632,18.791,,,19.558,18.684,77.674,77.765,0.663,0.586,0.375,0.318,0.533,,,2.108,0.807,0.319,,0.318,1.262
B300,2048,bf16,8192,1,15.733,14.621,14.104,12.989,12.958,11.581,14.21,13.009,12.514,11.352,12.168,11.127,,,,,16.003,14.978,25.278,21.999,6.461,5.843,6.453,5.849,13.174,12.246,,,0.896,0.824,0.903,0.795,0.773,,,1.017,1.607,0.411,0.41,0.837,
B300,2048,bf16,16384,1,15.35,14.005,14.99,13.651,13.386,12.125,14.491,13.197,12.938,11.624,13.96,13.304,,,,,19.264,17.647,28.006,24.616,9.832,9.088,9.854,9.092,14.965,13.832,,,0.977,0.872,0.944,0.843,0.909,,,1.255,1.824,0.641,0.642,0.975,
B300,2048,bf16,32768,1,17.102,15.457,16.477,15.101,14.84,13.56,16.928,15.407,15.581,13.946,15.253,13.214,,,,,25.296,22.662,42.352,39.418,14.715,13.668,15.069,14.147,14.734,13.644,,,0.963,0.868,0.99,0.911,0.892,,,1.479,2.476,0.86,0.881,0.862,
B300,2048,bf16,65536,1,21.269,19.333,20.544,19.101,19.251,17.743,18.446,16.698,17.229,15.526,18.471,17.181,,,,,35.696,31.596,43.478,40.238,14.619,13.428,23.837,22.499,14.478,13.409,,,0.966,0.905,0.867,0.81,0.868,,,1.678,2.044,0.687,1.121,0.681,
B300,2048,bf16,131072,1,34.278,30.266,28.517,26.811,27.8,26.049,19.269,17.789,18.528,17.108,22.572,19.176,,,,,57.926,49.263,46.166,42.575,14.253,13.443,,,14.362,13.412,,,0.832,0.811,0.562,0.541,0.659,,,1.69,1.347,0.416,,0.419,
B300,2048,bf16,262144,1,58.821,52.095,44.274,42.096,43.606,41.615,23.872,22.105,23.214,21.457,32.065,30.067,,,,,95.923,79.965,51.118,46.607,14.331,13.438,,,14.31,13.424,,,0.753,0.741,0.406,0.395,0.545,,,1.631,0.869,0.244,,0.243,
B300,2048,fp16,8192,1,16.768,15.614,15.038,13.944,12.549,11.247,15.182,14.089,12.395,11.256,12.37,11.936,,,,,15.902,14.935,25.637,22.029,6.366,5.784,6.35,5.788,12.978,12.233,,,0.897,0.748,0.905,0.739,0.738,,,0.948,1.529,0.38,0.379,0.774,
B300,2048,fp16,16384,1,15.643,14.35,15.24,13.924,13.069,11.883,14.936,13.667,12.81,11.567,13.917,11.938,,,,,19.264,17.654,28.077,24.618,9.474,8.705,9.45,8.709,14.73,13.661,,,0.974,0.835,0.955,0.819,0.89,,,1.231,1.795,0.606,0.604,0.942,
B300,2048,fp16,32768,1,17.502,15.864,16.867,15.491,14.797,13.539,17.517,15.924,15.485,13.931,15.528,13.556,,,,,25.139,22.769,42.933,39.391,14.64,13.574,14.478,13.497,14.614,13.587,,,0.964,0.845,1.001,0.885,0.887,,,1.436,2.453,0.836,0.827,0.835,
B300,2048,fp16,65536,1,22.742,20.842,21.939,20.474,18.728,17.37,20.019,18.305,17.035,15.35,19.981,16.77,,,,,35.285,31.612,44.294,40.17,14.446,13.341,23.435,22.042,14.426,13.362,,,0.965,0.823,0.88,0.749,0.879,,,1.551,1.948,0.635,1.03,0.634,
B300,2048,fp16,131072,1,34.882,30.932,29.435,27.649,27.355,25.626,20.077,18.602,18.397,16.895,22.459,19.752,,,,,57.6,49.903,46.89,42.601,14.04,13.266,,,14.104,13.257,,,0.844,0.784,0.576,0.527,0.644,,,1.651,1.344,0.403,,0.404,
B300,2048,fp16,262144,1,58.747,52.09,44.342,42.152,42.586,40.592,24.226,22.415,23.04,21.284,32.768,30.113,,,,,95.536,81.701,51.626,46.563,14.03,13.271,,,14.099,13.265,,,0.755,0.725,0.412,0.392,0.558,,,1.626,0.879,0.239,,0.24,
B300,2048,fp32,8192,1,14.531,13.48,13.266,12.182,11.405,10.29,13.36,12.172,11.357,10.297,12.074,12.157,,,,,16.866,15.341,24.568,22.043,7.846,7.366,7.896,7.361,17.637,16.737,,,0.913,0.785,0.919,0.782,0.831,,,1.161,1.691,0.54,0.543,1.214,
B300,2048,fp32,16384,1,18.51,16.779,13.984,12.694,12.723,11.372,13.995,12.692,12.693,11.368,13.49,12.678,,,,,21.093,18.469,27.272,24.74,12.296,11.715,12.307,11.709,19.477,18.649,,,0.755,0.687,0.756,0.686,0.729,,,1.14,1.473,0.664,0.665,1.052,
B300,2048,fp32,32768,1,23.853,20.201,18.715,17.054,15.806,14.221,18.688,17.13,15.853,14.278,16.328,13.271,,,,,29.925,25.401,43.4,39.275,19.757,18.799,19.059,18.167,19.808,18.854,,,0.785,0.663,0.783,0.665,0.685,,,1.255,1.819,0.828,0.799,0.83,
B300,2048,fp32,65536,1,34.259,28.588,24.541,22.903,21.131,19.162,20.261,18.7,17.187,15.281,18.745,17.137,,,,,46.333,37.069,44.989,40.645,19.382,18.719,,,19.419,18.669,,,0.716,0.617,0.591,0.502,0.547,,,1.352,1.313,0.566,,0.567,
B300,2048,fp32,131072,1,51.014,41.869,32.848,30.424,28.552,26.193,22.144,20.723,18.179,16.779,24.566,22.02,,,,,76.413,58.655,48.392,42.935,19.694,18.727,,,19.65,18.736,,,0.644,0.56,0.434,0.356,0.482,,,1.498,0.949,0.386,,0.385,
B300,2048,fp32,262144,1,91.195,75.666,50.027,46.726,49.158,45.709,25.901,24.263,25.123,23.409,34.401,30.41,,,,,133.774,98.379,54.146,47.359,19.699,18.773,,,19.722,18.73,,,0.549,0.539,0.284,0.275,0.377,,,1.467,0.594,0.216,,0.216,
B200,512,bf16,4096,1,9.858,8.728,9.781,8.616,9.33,8.088,9.982,8.823,9.486,8.321,9.079,6.898,9.051,,9.582,,14.621,14.004,37.704,33.01,5.57,4.913,5.734,5.065,13.194,12.346,,,0.992,0.946,1.013,0.962,0.921,0.918,0.972,1.483,3.825,0.565,0.582,1.338,
B200,512,bf16,8192,1,12.008,9.843,10.949,9.704,9.811,8.576,11.174,9.933,10.15,8.827,9.466,6.484,9.285,,9.927,,16.419,15.363,37.926,33.506,6.926,6.186,6.957,6.177,13.904,12.648,,,0.912,0.817,0.931,0.845,0.788,0.773,0.827,1.367,3.158,0.577,0.579,1.158,
B200,512,bf16,16384,1,11.517,9.939,11.827,10.154,11.066,9.439,11.51,10.011,10.926,9.357,10.792,8.462,10.797,,11.572,,19.347,17.813,37.681,33.947,9.813,9.189,9.862,9.19,15.166,14.024,,,1.027,0.961,0.999,0.949,0.937,0.937,1.005,1.68,3.272,0.852,0.856,1.317,
B200,512,bf16,32768,1,14.554,11.659,14.218,12.407,13.11,11.362,14.59,12.591,13.518,11.409,12.105,10.639,12.754,,12.936,,24.422,21.697,39.526,35.479,14.538,13.67,14.034,13.132,14.56,13.681,,,0.977,0.901,1.003,0.929,0.832,0.876,0.889,1.678,2.716,0.999,0.964,1.0,
B200,512,bf16,65536,1,20.082,17.341,16.774,15.166,16.706,15.111,15.733,13.793,15.373,13.456,14.34,13.267,16.644,,15.149,,33.755,30.006,40.939,36.952,14.546,13.718,22.366,21.163,14.648,13.748,,,0.835,0.832,0.783,0.766,0.714,0.829,0.754,1.681,2.039,0.724,1.114,0.729,
B200,512,bf16,131072,1,29.549,25.537,23.68,21.92,23.525,21.848,16.205,14.748,15.958,14.591,20.179,16.448,21.118,,19.511,,54.985,46.767,43.067,38.593,14.368,13.418,,,14.35,13.455,,,0.801,0.796,0.548,0.54,0.683,0.715,0.66,1.861,1.457,0.486,,0.486,
B200,512,bf16,262144,1,49.877,43.093,37.059,35.207,35.936,34.292,20.68,19.193,19.478,18.096,29.888,27.402,33.437,,29.502,,96.041,80.178,46.779,41.873,14.512,13.623,,,14.56,13.661,,,0.743,0.72,0.415,0.391,0.599,0.67,0.591,1.926,0.938,0.291,,0.292,
B200,512,fp16,4096,1,9.714,8.525,9.571,8.454,9.251,8.117,9.84,8.632,9.298,8.136,9.043,6.771,8.577,,9.593,,14.573,13.999,37.648,33.08,5.52,4.86,5.627,5.019,13.053,12.085,,,0.985,0.952,1.013,0.957,0.931,0.883,0.988,1.5,3.876,0.568,0.579,1.344,
B200,512,fp16,8192,1,11.23,9.937,10.843,9.583,10.003,8.759,11.086,9.745,10.038,8.739,9.534,9.506,10.23,,10.17,,16.251,15.302,38.16,33.527,6.795,6.045,6.856,6.04,13.862,12.602,,,0.966,0.891,0.987,0.894,0.849,0.911,0.906,1.447,3.398,0.605,0.61,1.234,
B200,512,fp16,16384,1,12.398,10.82,12.736,11.142,11.158,9.556,12.397,10.842,10.846,9.359,11.278,10.101,12.59,,12.332,,19.152,17.713,37.856,33.94,9.389,8.745,9.4,8.741,14.997,13.911,,,1.027,0.9,1.0,0.875,0.91,1.015,0.995,1.545,3.053,0.757,0.758,1.21,
B200,512,fp16,32768,1,15.456,13.603,15.939,14.205,12.899,11.162,16.472,14.344,13.472,11.412,12.386,8.886,14.325,,13.132,,24.208,21.827,39.515,35.492,14.467,13.482,13.677,12.748,14.494,13.524,,,1.031,0.835,1.066,0.872,0.801,0.927,0.85,1.566,2.557,0.936,0.885,0.938,
B200,512,fp16,65536,1,21.576,18.888,18.221,16.582,16.562,14.957,17.248,15.322,15.218,13.393,16.036,12.902,16.977,,14.836,,33.464,30.218,41.146,37.005,14.341,13.516,21.451,20.193,14.371,13.56,,,0.844,0.768,0.799,0.705,0.743,0.787,0.688,1.551,1.907,0.665,0.994,0.666,
B200,512,fp16,131072,1,31.149,27.219,24.979,23.128,23.464,21.67,17.83,16.388,15.899,14.432,20.315,17.581,22.306,,19.539,,54.752,47.674,43.114,38.561,14.33,13.389,,,14.32,13.41,,,0.802,0.753,0.572,0.51,0.652,0.716,0.627,1.758,1.384,0.46,,0.46,
B200,512,fp16,262144,1,52.297,45.922,38.518,36.502,35.91,34.224,22.822,21.419,19.502,18.078,31.698,28.832,32.88,,28.497,,95.766,82.233,46.621,41.69,14.55,13.582,,,14.522,13.624,,,0.737,0.687,0.436,0.373,0.606,0.629,0.545,1.831,0.891,0.278,,0.278,
B200,512,fp32,4096,1,11.112,9.396,11.434,9.674,10.301,8.505,11.522,9.633,10.354,8.506,9.857,8.063,11.088,,11.087,,15.275,14.186,37.097,32.58,6.786,5.987,7.104,6.326,14.803,13.64,8.178,6.861,1.029,0.927,1.037,0.932,0.887,0.998,0.998,1.375,3.339,0.611,0.639,1.332,0.736
B200,512,fp32,8192,1,11.658,10.139,11.554,9.891,10.258,8.557,11.45,9.892,10.256,8.567,9.529,8.202,10.19,,11.504,,17.235,15.7,38.105,33.24,8.19,7.668,8.192,7.669,15.157,14.34,8.914,7.78,0.991,0.88,0.982,0.88,0.817,0.874,0.987,1.478,3.269,0.703,0.703,1.3,0.765
B200,512,fp32,16384,1,16.405,14.532,16.04,14.644,10.918,9.443,16.083,14.652,10.976,9.44,11.321,9.166,12.448,,12.961,,21.203,18.352,38.01,33.561,12.342,11.692,12.334,11.693,16.646,15.768,11.744,10.62,0.978,0.666,0.98,0.669,0.69,0.759,0.79,1.292,2.317,0.752,0.752,1.015,0.716
B200,512,fp32,32768,1,17.104,14.327,15.254,13.403,13.55,11.665,15.219,13.402,13.584,11.648,13.546,11.48,13.183,,14.268,,28.536,24.329,40.426,35.684,19.354,18.569,18.088,17.24,19.35,18.626,16.342,15.27,0.892,0.792,0.89,0.794,0.792,0.771,0.834,1.668,2.364,1.132,1.058,1.131,0.955
B200,512,fp32,65536,1,23.968,19.73,18.864,17.183,17.989,16.234,16.206,14.467,15.32,13.601,15.653,13.366,16.952,,17.185,,44.574,35.172,42.051,37.19,19.282,18.377,,,19.232,18.438,25.318,24.435,0.787,0.751,0.676,0.639,0.653,0.707,0.717,1.86,1.754,0.804,,0.802,1.056
B200,512,fp32,131072,1,36.269,28.84,24.619,22.332,24.251,21.996,16.518,15.247,16.216,14.922,21.106,18.55,23.276,,22.878,,73.593,55.43,44.365,38.627,19.058,18.349,,,19.062,18.354,43.133,42.504,0.679,0.669,0.455,0.447,0.582,0.642,0.631,2.029,1.223,0.525,,0.526,1.189
