hw,K,dtype,N,BS,gvr_cuda_cold_us,gvr_cuda_warm_us,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_cutedsl_rs_cold_us,gvr_cutedsl_rs_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,gvr_op8_cold_us,gvr_op8_warm_us,gvr_port_cold_us,gvr_port_warm_us,gvr_mt_cold_us,gvr_mt_warm_us,gvr_sandwich_cold_us,gvr_sandwich_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_cutedsl_single_cold_us,radix_cutedsl_single_warm_us,radix_cutedsl_multi_cold_us,radix_cutedsl_multi_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,gvr_cold_speedup_vs_gvr_cutedsl,gvr_cold_speedup_vs_gvr_cutedsl_rs,gvr_cold_speedup_vs_gvr_multicta_cutedsl,gvr_cold_speedup_vs_gvr_op8,gvr_cold_speedup_vs_gvr_port,gvr_cold_speedup_vs_gvr_mt,gvr_cold_speedup_vs_gvr_sandwich,gvr_cold_speedup_vs_radix_single_cuda,gvr_cold_speedup_vs_radix_multi_cuda,gvr_cold_speedup_vs_radix_cutedsl,gvr_cold_speedup_vs_radix_cutedsl_single,gvr_cold_speedup_vs_radix_cutedsl_multi,gvr_cold_speedup_vs_sglang_streaming
B300,512,bf16,8192,16,11.736,9.809,10.466,9.142,9.349,8.015,10.794,9.407,9.651,8.284,9.138,7.319,,,,,15.763,14.65,34.158,32.164,6.47,5.755,6.483,5.754,13.443,12.282,,,0.892,0.797,0.92,0.822,0.779,,,1.343,2.911,0.551,0.552,1.145,
B300,512,bf16,8192,32,12.074,10.302,10.635,9.166,9.422,8.083,10.752,9.426,9.63,8.384,10.722,9.163,,,,,15.773,14.692,34.238,32.307,6.531,5.779,6.522,5.781,13.726,12.557,,,0.881,0.78,0.891,0.798,0.888,,,1.306,2.836,0.541,0.54,1.137,
B300,512,bf16,8192,64,12.554,10.805,10.662,9.279,9.706,8.216,10.95,9.529,9.85,8.458,10.662,9.282,,,,,15.893,14.741,34.042,31.916,6.64,5.841,6.642,5.841,13.763,12.625,,,0.849,0.773,0.872,0.785,0.849,,,1.266,2.712,0.529,0.529,1.096,
B300,512,bf16,8192,128,13.296,11.384,10.824,9.364,9.814,8.328,11.088,9.619,10.006,8.583,10.911,9.367,,,,,16.037,14.87,40.443,39.556,6.939,5.914,6.891,5.921,25.005,23.193,,,0.814,0.738,0.834,0.753,0.821,,,1.206,3.042,0.522,0.518,1.881,
B300,512,bf16,8192,256,17.187,14.906,13.322,11.552,12.026,10.3,13.293,11.551,11.957,10.295,13.229,11.569,,,,,23.616,22.612,75.014,73.552,12.136,10.6,12.157,10.602,47.373,44.586,,,0.775,0.7,0.773,0.696,0.77,,,1.374,4.365,0.706,0.707,2.756,
B300,512,bf16,8192,512,26.714,24.308,22.814,20.147,20.555,17.918,22.867,20.131,20.728,17.919,23.029,20.145,,,,,42.05,40.881,134.323,132.86,22.312,19.784,22.296,19.789,81.474,76.852,,,0.854,0.769,0.856,0.776,0.862,,,1.574,5.028,0.835,0.835,3.05,
B300,512,bf16,8192,1024,41.589,39.263,35.202,32.025,31.456,28.076,35.208,32.055,31.51,28.056,35.09,32.887,,,,,69.302,68.042,246.171,244.713,37.811,33.686,37.781,33.69,160.09,151.851,,,0.846,0.756,0.847,0.758,0.844,,,1.666,5.919,0.909,0.908,3.849,
B300,512,bf16,8192,2048,77.406,73.048,63.856,59.708,56.33,51.771,63.899,59.693,56.288,51.742,63.414,59.702,,,,,132.822,131.581,484.762,482.849,72.989,65.94,73.002,65.958,317.8,301.775,,,0.825,0.728,0.826,0.727,0.819,,,1.716,6.263,0.943,0.943,4.106,
B300,512,bf16,16384,1,10.902,9.382,11.208,9.549,10.397,8.703,10.832,9.399,10.184,8.58,10.078,9.541,,,,,18.456,16.883,36.198,31.969,9.381,8.67,9.36,8.669,14.451,13.429,,,1.028,0.954,0.994,0.934,0.924,,,1.693,3.32,0.86,0.859,1.326,
B300,512,bf16,16384,2,10.798,9.361,11.154,9.516,10.253,8.686,10.939,9.352,10.102,8.548,10.134,9.506,,,,,18.6,16.882,35.656,32.264,9.44,8.677,9.494,8.684,14.76,13.493,,,1.033,0.949,1.013,0.936,0.938,,,1.722,3.302,0.874,0.879,1.367,
