scenario,sweep,K,dtype,N,BS,r0_arm,op26r_cold_us_local,op26r_warm_us_local,base_cold_us_local,base_warm_us_local,radix_cold_us_local,radix_warm_us_local,speedup_vs_base_same_node_cold,speedup_vs_radix_same_node_cold
best,bs,2048,fp16,8192,2048,plain,87.135,82.306,129.557,125.616,79.653,72.556,1.4869,0.9141
best,bs,2048,fp16,16384,1,1cta,15.765,13.45,15.414,14.15,10.35,9.644,0.9777,0.6565
best,bs,2048,fp16,16384,2,1cta,14.933,13.329,15.367,14.102,10.277,9.675,1.0291,0.6882
best,bs,2048,fp16,16384,4,1cta,14.563,13.322,15.368,14.108,10.202,9.695,1.0553,0.7005
best,bs,2048,fp16,16384,8,1cta,15.365,13.334,15.389,14.135,10.251,9.707,1.0016,0.6672
best,bs,2048,fp16,16384,16,1cta,15.184,13.32,15.406,14.158,10.283,9.713,1.0146,0.6772
best,bs,2048,fp16,16384,32,1cta,14.986,13.342,15.422,14.138,10.315,9.724,1.0291,0.6883
best,bs,2048,fp16,16384,64,1cta,15.294,13.413,15.589,14.218,10.518,9.791,1.0193,0.6877
best,bs,2048,fp16,16384,128,1cta,15.552,13.59,16.21,14.406,11.066,9.927,1.0423,0.7115
best,bs,2048,fp16,16384,256,1cta,20.794,18.238,20.848,18.846,20.182,18.376,1.0026,0.9706
best,bs,2048,fp16,16384,512,1cta,36.179,32.739,37.187,34.355,37.794,35.271,1.0279,1.0446
best,bs,2048,fp16,16384,1024,1cta,57.035,52.308,58.899,54.954,64.376,60.688,1.0327,1.1287
best,bs,2048,fp16,16384,2048,1cta,104.165,100.443,108.106,105.23,126.421,119.442,1.0378,1.2137
best,bs,2048,fp16,32768,1,1cta,16.382,15.037,18.117,16.639,13.539,12.641,1.1059,0.8265
best,bs,2048,fp16,32768,2,1cta,18.285,15.041,17.797,16.517,13.646,12.635,0.9733,0.7463
best,bs,2048,fp16,32768,4,1cta,17.95,15.0,17.778,16.512,15.426,14.198,0.9904,0.8594
best,bs,2048,fp16,32768,8,1cta,18.389,15.012,17.637,16.553,15.539,14.479,0.9591,0.845
best,bs,2048,fp16,32768,16,1cta,16.835,15.021,17.765,16.591,15.568,14.615,1.0552,0.9247
best,bs,2048,fp16,32768,32,1cta,17.064,15.046,17.875,16.604,16.04,14.773,1.0475,0.94
best,bs,2048,fp16,32768,64,1cta,18.082,15.134,18.51,16.709,15.933,14.975,1.0237,0.8812
best,bs,2048,fp16,32768,128,1cta,17.838,15.35,19.298,16.919,16.683,15.185,1.0818,0.9353
best,bs,2048,fp16,32768,256,1cta,26.587,21.542,28.522,25.126,30.803,28.609,1.0728,1.1586
best,bs,2048,fp16,32768,512,1cta,46.063,38.663,49.096,43.585,58.965,55.434,1.0658,1.2801
best,bs,2048,fp16,32768,1024,1cta,73.976,64.153,77.939,71.084,102.677,96.183,1.0536,1.388
best,bs,2048,fp16,32768,2048,1cta,134.012,130.094,142.412,139.814,201.94,198.371,1.0627,1.5069
best,bs,2048,fp16,65536,1,mc,17.149,15.418,20.539,19.173,13.955,12.639,1.1977,0.8138
best,bs,2048,fp16,65536,2,mc,16.981,15.434,20.426,19.192,15.24,14.334,1.2029,0.8975
best,bs,2048,fp16,65536,4,mc,16.827,15.414,20.651,19.177,15.246,14.494,1.2273,0.906
best,bs,2048,fp16,65536,8,mc,17.149,15.655,20.669,19.228,15.52,14.491,1.2053,0.905
best,bs,2048,fp16,65536,16,mc,17.395,15.915,20.555,19.222,16.002,14.726,1.1817,0.9199
best,bs,2048,fp16,65536,32,mc,17.733,16.076,20.722,19.243,18.976,17.601,1.1686,1.0701
best,bs,2048,fp16,65536,64,mc,18.406,16.329,21.642,19.354,24.898,23.237,1.1758,1.3527
best,bs,2048,fp16,65536,128,1cta,21.306,18.026,22.947,19.669,27.832,25.868,1.077,1.3063
best,bs,2048,fp16,65536,256,1cta,36.952,29.326,38.186,32.07,52.759,49.634,1.0334,1.4278
best,bs,2048,fp16,65536,512,1cta,66.586,51.831,66.96,55.21,103.978,97.133,1.0056,1.5616
best,bs,2048,fp16,65536,1024,1cta,106.725,99.903,106.299,100.585,181.337,175.704,0.996,1.6991
best,bs,2048,fp16,65536,2048,1cta,195.341,188.951,191.418,185.819,354.329,348.561,0.9799,1.8139
best,bs,2048,fp16,131072,1,mc,17.006,15.498,29.995,28.319,14.475,13.607,1.7638,0.8512
best,bs,2048,fp16,131072,2,mc,16.957,15.512,29.818,28.299,15.006,14.154,1.7584,0.8849
best,bs,2048,fp16,131072,4,mc,17.014,15.519,29.999,28.276,15.438,14.373,1.7632,0.9074
best,bs,2048,fp16,131072,8,mc,17.226,15.743,30.042,28.302,15.883,14.634,1.744,0.922
best,bs,2048,fp16,131072,16,mc,17.782,16.028,30.095,28.307,18.659,17.411,1.6924,1.0493
best,bs,2048,fp16,131072,32,mc,20.893,18.589,30.747,28.362,24.018,22.37,1.4716,1.1496
best,bs,2048,fp16,131072,64,mc,21.979,18.844,31.568,28.533,34.818,32.68,1.4363,1.5841
best,bs,2048,fp16,131072,128,1cta,28.165,23.266,34.07,28.924,66.13,62.949,1.2097,2.3479
best,bs,2048,fp16,131072,256,1cta,53.263,40.324,61.707,50.467,128.59,123.339,1.1585,2.4142
best,bs,2048,fp16,131072,512,1cta,98.746,86.351,132.056,110.573,223.049,221.11,1.3373,2.2588
best,bs,2048,fp16,131072,1024,1cta,156.068,145.665,207.143,184.81,441.96,440.253,1.3273,2.8318
best,bs,2048,fp16,131072,2048,1cta,285.375,275.306,349.508,332.21,879.471,878.529,1.2247,3.0818
best,bs,2048,fp16,262144,1,mc,21.067,19.215,46.128,44.112,14.349,13.477,2.1896,0.6811
best,bs,2048,fp16,262144,2,mc,20.894,19.247,45.925,44.067,14.797,13.83,2.198,0.7082
best,bs,2048,fp16,262144,4,mc,21.11,19.284,46.046,44.126,15.44,14.175,2.1812,0.7314
best,bs,2048,fp16,262144,8,mc,21.523,19.487,46.122,44.131,18.256,16.945,2.1429,0.8482
best,bs,2048,fp16,262144,16,mc,21.96,19.718,46.389,44.154,23.274,21.777,2.1124,1.0598
best,bs,2048,fp16,262144,32,mc,28.026,25.052,47.091,44.224,33.765,31.685,1.6803,1.2048
best,bs,2048,fp16,262144,64,mc,29.611,25.438,48.587,44.423,64.28,60.99,1.6408,2.1708
best,bs,2048,fp16,262144,128,1cta,42.776,35.231,54.362,44.942,117.602,109.952,1.2709,2.7493
best,bs,2048,fp16,262144,256,1cta,89.84,77.372,127.312,113.778,230.745,227.177,1.4171,2.5684
best,bs,2048,fp16,262144,512,1cta,158.268,145.703,231.986,214.142,419.203,415.757,1.4658,2.6487
best,bs,2048,fp16,262144,1024,1cta,261.268,249.206,406.403,374.194,794.662,791.559,1.5555,3.0416
best,bs,2048,fp16,262144,2048,1cta,479.363,467.253,743.265,722.455,1587.275,1584.941,1.5505,3.3112
best,bs,2048,fp16,524288,2,mc,31.59,29.573,77.232,74.713,15.392,14.295,2.4448,0.4872
best,bs,2048,fp16,524288,4,mc,31.72,29.592,77.01,74.715,17.835,16.684,2.4278,0.5623
best,bs,2048,fp16,524288,8,mc,32.179,29.845,77.128,74.782,23.146,21.569,2.3968,0.7193
best,bs,2048,fp16,524288,16,mc,33.086,30.206,77.767,74.78,33.685,31.429,2.3505,1.0181
best,bs,2048,fp16,524288,32,mc,48.291,44.532,78.709,74.918,63.73,60.413,1.6299,1.3197
best,bs,2048,fp16,524288,64,mc,52.506,45.147,82.491,75.187,124.488,118.484,1.5711,2.3709
best,bs,2048,fp16,1048576,2,mc,40.882,38.184,140.423,137.238,18.192,16.942,3.4348,0.445
best,bs,2048,fp16,1048576,4,mc,41.042,38.233,140.49,137.276,22.941,21.321,3.4231,0.559
best,bs,2048,fp16,1048576,8,mc,41.768,38.573,140.636,137.352,33.269,31.059,3.3671,0.7965
best,bs,2048,fp16,1048576,16,mc,42.57,38.815,141.127,137.388,63.269,59.937,3.3152,1.4862
best,bs,2048,fp16,1048576,32,mc,68.349,61.05,143.261,137.538,123.951,117.84,2.096,1.8135
best,bs,2048,fp16,1048576,64,mc,86.682,77.547,162.809,154.428,243.695,240.002,1.8782,2.8114
best,bs,2048,fp32,8192,1,plain,11.352,10.052,13.168,11.804,8.122,7.414,1.16,0.7155
best,bs,2048,fp32,8192,2,plain,11.357,10.025,13.173,11.774,8.184,7.452,1.1599,0.7206
best,bs,2048,fp32,8192,4,plain,11.342,10.04,13.019,11.786,8.179,7.477,1.1479,0.7211
best,bs,2048,fp32,8192,8,plain,11.395,10.057,13.23,11.81,8.31,7.494,1.161,0.7293
best,bs,2048,fp32,8192,16,plain,11.539,10.323,13.278,12.044,8.44,7.836,1.1507,0.7314
best,bs,2048,fp32,8192,32,plain,11.734,10.514,13.501,12.257,8.541,7.923,1.1506,0.7279
best,bs,2048,fp32,8192,64,plain,12.01,10.61,13.73,12.415,8.85,7.958,1.1432,0.7369
best,bs,2048,fp32,8192,128,plain,12.699,10.941,14.634,12.772,9.437,8.115,1.1524,0.7431
best,bs,2048,fp32,8192,256,plain,16.221,14.257,19.851,17.321,16.59,14.764,1.2238,1.0227
best,bs,2048,fp32,8192,512,plain,28.926,25.891,34.482,30.913,30.81,28.128,1.1921,1.0651
best,bs,2048,fp32,8192,1024,plain,45.448,40.901,54.466,49.272,52.229,47.982,1.1984,1.1492
best,bs,2048,fp32,8192,2048,plain,81.989,78.104,98.432,94.425,102.11,94.565,1.2006,1.2454
best,bs,2048,fp32,16384,1,plain,12.71,11.474,16.362,14.885,12.702,11.887,1.2873,0.9994
best,bs,2048,fp32,16384,2,plain,12.778,11.453,16.29,14.872,12.579,11.906,1.2748,0.9844
best,bs,2048,fp32,16384,4,plain,12.728,11.484,16.117,14.875,12.64,11.924,1.2663,0.9931
best,bs,2048,fp32,16384,8,plain,12.811,11.512,16.163,14.877,12.67,11.951,1.2617,0.989
best,bs,2048,fp32,16384,16,plain,13.094,11.781,16.491,15.133,13.027,12.31,1.2594,0.9949
best,bs,2048,fp32,16384,32,plain,13.534,11.997,16.806,15.352,13.197,12.399,1.2418,0.9751
best,bs,2048,fp32,16384,64,plain,13.984,12.063,17.389,15.516,13.63,12.445,1.2435,0.9747
best,bs,2048,fp32,16384,128,plain,14.944,12.388,18.501,15.885,14.584,12.632,1.238,0.9759
best,bs,2048,fp32,16384,256,plain,21.531,17.886,27.442,22.499,26.195,23.768,1.2745,1.2166
best,bs,2048,fp32,16384,512,plain,36.31,30.914,48.272,41.16,49.582,45.755,1.3294,1.3655
best,bs,2048,fp32,16384,1024,plain,58.677,50.38,77.514,65.992,86.654,78.821,1.321,1.4768
best,bs,2048,fp32,16384,2048,plain,104.84,100.14,138.043,133.423,167.262,163.514,1.3167,1.5954
best,bs,2048,fp32,32768,1,plain,19.795,18.298,18.794,16.985,19.789,18.925,0.9494,0.9997
best,bs,2048,fp32,32768,2,plain,19.898,18.34,18.912,17.023,20.344,19.437,0.9504,1.0224
best,bs,2048,fp32,32768,4,plain,19.821,18.383,18.765,17.022,20.243,19.537,0.9467,1.0213
best,bs,2048,fp32,32768,8,plain,19.909,18.471,18.883,17.019,20.61,19.773,0.9485,1.0352
best,bs,2048,fp32,32768,16,plain,20.33,18.692,19.136,17.254,21.181,20.122,0.9413,1.0419
best,bs,2048,fp32,32768,32,plain,20.978,18.95,19.614,17.503,21.662,20.303,0.935,1.0326
best,bs,2048,fp32,32768,64,plain,21.573,19.075,20.373,17.677,21.389,19.692,0.9444,0.9915
best,bs,2048,fp32,32768,128,plain,23.192,19.548,22.141,18.098,22.398,19.949,0.9547,0.9658
best,bs,2048,fp32,32768,256,plain,35.23,28.176,37.696,29.283,42.179,38.239,1.07,1.1972
best,bs,2048,fp32,32768,512,plain,66.784,54.262,74.437,56.557,82.872,74.55,1.1146,1.2409
best,bs,2048,fp32,32768,1024,plain,103.066,96.178,115.133,106.829,144.755,137.741,1.1171,1.4045
best,bs,2048,fp32,32768,2048,plain,177.851,170.511,202.461,194.628,278.091,271.517,1.1384,1.5636
best,bs,2048,fp32,65536,1,mc,17.283,15.367,23.19,21.437,19.858,18.887,1.3418,1.149
best,bs,2048,fp32,65536,2,mc,17.112,15.343,23.501,21.479,20.286,19.396,1.3734,1.1855
best,bs,2048,fp32,65536,4,mc,17.275,15.624,23.371,21.583,20.211,19.393,1.3529,1.17
best,bs,2048,fp32,65536,8,mc,17.552,15.783,23.485,21.609,20.642,19.636,1.338,1.176
best,bs,2048,fp32,65536,16,mc,17.798,15.827,23.85,21.893,21.594,20.193,1.34,1.2133
best,bs,2048,fp32,65536,32,mc,18.696,16.343,24.634,22.066,25.842,23.964,1.3176,1.3822
best,bs,2048,fp32,65536,64,mc,19.894,16.769,25.507,22.309,33.766,31.392,1.2821,1.6973
best,bs,2048,fp32,65536,128,1cta,25.198,19.665,28.738,23.038,63.682,60.298,1.1405,2.5273
best,bs,2048,fp32,65536,256,1cta,47.022,32.433,50.787,35.059,123.422,118.024,1.0801,2.6248
best,bs,2048,fp32,65536,512,1cta,105.454,91.762,133.208,117.35,213.71,210.622,1.2632,2.0266
best,bs,2048,fp32,65536,1024,1cta,158.814,145.995,209.712,197.044,421.995,419.449,1.3205,2.6572
best,bs,2048,fp32,65536,2048,1cta,262.624,250.325,359.288,345.635,837.12,834.591,1.3681,3.1875
best,bs,2048,fp32,131072,1,mc,16.677,15.178,30.112,27.92,19.974,19.375,1.8056,1.1977
best,bs,2048,fp32,131072,2,mc,16.869,15.16,30.306,27.889,20.091,19.362,1.7965,1.191
best,bs,2048,fp32,131072,4,mc,17.16,15.484,30.221,27.896,20.648,19.775,1.7611,1.2033
best,bs,2048,fp32,131072,8,mc,17.499,15.6,30.544,27.94,21.586,20.101,1.7455,1.2336
best,bs,2048,fp32,131072,16,mc,18.134,15.683,31.106,28.219,25.76,23.898,1.7153,1.4205
best,bs,2048,fp32,131072,32,mc,21.605,18.278,32.078,28.465,33.296,30.84,1.4847,1.5411
best,bs,2048,fp32,131072,64,mc,23.704,18.8,34.197,28.776,62.902,59.542,1.4427,2.6536
best,bs,2048,fp32,131072,128,1cta,35.946,24.804,41.296,30.358,108.405,101.517,1.1488,3.0158
best,bs,2048,fp32,131072,256,1cta,79.941,65.418,117.57,103.139,212.542,207.942,1.4707,2.6587
best,bs,2048,fp32,131072,512,1cta,163.067,148.643,225.03,210.678,384.269,379.895,1.38,2.3565
best,bs,2048,fp32,131072,1024,1cta,257.645,244.147,376.645,362.401,727.413,722.256,1.4619,2.8233
best,bs,2048,fp32,131072,2048,1cta,455.749,441.88,717.886,704.635,1449.861,1445.157,1.5752,3.1813
best,bs,2048,fp32,262144,1,mc,20.656,18.799,45.578,42.328,19.73,18.937,2.2065,0.9552
best,bs,2048,fp32,262144,2,mc,20.853,18.841,45.621,42.33,20.085,19.235,2.1877,0.9632
best,bs,2048,fp32,262144,4,mc,21.101,19.1,45.725,42.31,20.714,19.551,2.167,0.9817
best,bs,2048,fp32,262144,8,mc,21.699,19.27,46.11,42.387,25.134,23.155,2.125,1.1583
best,bs,2048,fp32,262144,16,mc,22.472,19.354,46.885,42.674,32.554,30.159,2.0864,1.4486
best,bs,2048,fp32,262144,32,mc,28.968,24.651,48.419,42.937,61.445,57.983,1.6715,2.1211
best,bs,2048,fp32,262144,64,mc,37.083,25.293,54.432,43.406,119.768,113.263,1.4678,3.2297
best,bs,2048,fp32,262144,128,1cta,68.786,55.089,102.069,88.974,199.93,193.966,1.4839,2.9066
best,bs,2048,fp32,262144,256,1cta,131.6,113.297,209.458,192.57,353.816,348.31,1.5916,2.6886
best,bs,2048,fp32,262144,512,1cta,264.08,245.581,405.442,383.738,698.778,692.939,1.5353,2.6461
best,bs,2048,fp32,262144,1024,1cta,440.89,423.138,732.441,716.86,1390.646,1385.342,1.6613,3.1542
best,bs,2048,fp32,262144,2048,1cta,795.043,769.3,1347.216,1321.335,2739.465,2734.288,1.6945,3.4457
best,bs,2048,fp32,524288,2,mc,27.384,25.265,74.738,69.829,20.579,19.219,2.7293,0.7515
best,bs,2048,fp32,524288,4,mc,28.064,25.617,74.973,69.845,24.186,22.417,2.6715,0.8618
best,bs,2048,fp32,524288,8,mc,28.718,25.817,75.41,69.996,32.352,29.958,2.6259,1.1265
best,bs,2048,fp32,524288,16,mc,30.067,25.937,77.014,70.325,61.707,57.877,2.5614,2.0523
best,bs,2048,fp32,524288,32,mc,46.344,36.633,82.141,70.663,120.659,112.995,1.7724,2.6036
best,bs,2048,fp32,524288,64,mc,68.024,56.126,121.558,109.307,235.934,225.823,1.787,3.4684
best,bs,2048,fp32,1048576,2,mc,39.157,36.314,136.293,127.69,24.526,22.544,3.4807,0.6264
best,bs,2048,fp32,1048576,4,mc,39.685,36.687,136.394,127.729,31.502,29.042,3.4369,0.7938
best,bs,2048,fp32,1048576,8,mc,40.614,36.906,136.941,127.891,60.054,56.353,3.3718,1.4787
best,bs,2048,fp32,1048576,16,mc,46.566,37.043,143.765,131.664,118.414,110.892,3.0873,2.5429
best,bs,2048,fp32,1048576,32,mc,85.533,76.559,186.987,177.77,233.086,225.614,2.1861,2.7251
best,bs,2048,fp32,1048576,64,mc,112.352,97.733,224.4,206.395,456.619,448.281,1.9973,4.0642
best,seq,512,bf16,4096,1,plain,9.283,8.296,9.645,8.369,5.261,4.383,1.039,0.5667
best,seq,512,bf16,8192,1,plain,12.618,11.309,12.573,11.304,6.544,5.668,0.9964,0.5186
best,seq,512,bf16,16384,1,1cta,11.291,9.621,12.174,10.334,9.242,8.732,1.0782,0.8185
best,seq,512,bf16,32768,1,1cta,11.574,10.103,14.203,12.341,12.045,11.028,1.2271,1.0407
best,seq,512,bf16,65536,1,mc,14.322,12.733,23.518,21.891,12.01,10.979,1.6421,0.8386
best,seq,512,bf16,131072,1,mc,14.642,13.373,24.106,22.257,13.61,12.784,1.6464,0.9295
best,seq,512,bf16,262144,1,mc,17.789,16.455,35.502,33.597,13.851,13.055,1.9957,0.7786
best,seq,512,bf16,524288,1,mc,23.875,22.335,60.514,58.121,14.043,13.185,2.5346,0.5882
best,seq,512,bf16,1048576,1,mc,37.019,34.957,112.693,109.019,14.781,13.498,3.0442,0.3993
best,seq,512,fp16,4096,1,plain,11.112,9.833,11.077,9.78,5.182,4.331,0.9969,0.4663
best,seq,512,fp16,8192,1,plain,13.824,12.497,13.712,12.372,6.437,5.577,0.9919,0.4656
best,seq,512,fp16,16384,1,1cta,12.282,10.479,14.749,12.94,8.885,8.365,1.2009,0.7234
best,seq,512,fp16,32768,1,1cta,12.619,11.146,14.086,12.276,11.883,10.835,1.1163,0.9417
best,seq,512,fp16,65536,1,mc,13.754,12.091,23.203,21.523,11.794,10.807,1.687,0.8575
best,seq,512,fp16,131072,1,mc,14.192,12.872,25.314,23.135,13.517,12.751,1.7837,0.9524
best,seq,512,fp16,262144,1,mc,17.424,15.963,35.381,33.293,13.648,12.93,2.0306,0.7833
best,seq,512,fp16,524288,1,mc,23.114,21.364,60.575,57.934,13.866,12.945,2.6207,0.5999
best,seq,512,fp16,1048576,1,mc,35.987,33.307,109.511,105.329,14.498,13.279,3.0431,0.4029
best,seq,512,fp32,4096,1,plain,10.262,8.438,11.674,9.768,6.766,6.02,1.1376,0.6593
best,seq,512,fp32,8192,1,plain,10.168,8.587,11.376,9.876,8.389,7.672,1.1188,0.825
best,seq,512,fp32,16384,1,plain,11.101,9.511,13.262,11.631,12.566,11.825,1.1947,1.132
best,seq,512,fp32,32768,1,plain,13.63,11.698,15.69,13.779,20.336,19.563,1.1511,1.492
best,seq,512,fp32,65536,1,mc,14.334,12.668,28.786,27.069,20.01,19.326,2.0082,1.396
best,seq,512,fp32,131072,1,mc,15.134,13.662,26.189,23.695,19.947,19.196,1.7305,1.318
best,seq,512,fp32,262144,1,mc,18.168,16.58,37.661,34.158,19.994,19.162,2.0729,1.1005
best,seq,512,fp32,524288,1,mc,23.994,21.659,65.717,59.988,19.742,18.918,2.7389,0.8228
best,seq,512,fp32,1048576,1,mc,36.408,33.208,118.724,109.257,20.992,19.698,3.2609,0.5766
best,seq,1024,bf16,4096,1,plain,17.041,9.896,16.413,9.85,5.79,4.996,0.9631,0.3398
best,seq,1024,bf16,8192,1,plain,11.325,8.961,13.107,11.639,6.56,5.95,1.1574,0.5792
best,seq,1024,bf16,16384,1,1cta,11.299,10.479,12.363,10.604,9.552,8.751,1.0942,0.8454
best,seq,1024,bf16,32768,1,1cta,12.896,11.087,13.694,12.397,12.955,11.921,1.0619,1.0046
best,seq,1024,bf16,65536,1,mc,16.581,13.772,26.675,25.224,13.048,11.969,1.6088,0.7869
best,seq,1024,bf16,131072,1,mc,14.382,13.211,24.645,23.11,14.064,13.222,1.7136,0.9779
best,seq,1024,bf16,262144,1,mc,18.194,16.748,38.875,37.024,13.992,13.913,2.1367,0.769
best,seq,1024,bf16,524288,1,mc,24.363,22.845,62.985,60.994,14.059,13.093,2.5853,0.5771
best,seq,1024,bf16,1048576,1,mc,44.299,40.926,121.908,118.61,14.77,14.383,2.7519,0.3334
best,seq,1024,fp16,4096,1,plain,10.784,9.65,11.221,9.645,5.744,4.882,1.0405,0.5326
best,seq,1024,fp16,8192,1,plain,21.585,18.358,14.904,12.868,7.322,7.027,0.6905,0.3392
best,seq,1024,fp16,16384,1,1cta,24.261,19.972,28.467,23.546,9.696,9.532,1.1734,0.3997
best,seq,1024,fp16,32768,1,1cta,13.929,12.344,26.31,19.21,14.617,14.274,1.8889,1.0494
best,seq,1024,fp16,65536,1,mc,21.899,14.156,35.574,26.507,14.574,14.061,1.6245,0.6655
best,seq,1024,fp16,131072,1,mc,15.318,17.337,34.168,29.724,14.267,14.453,2.2306,0.9314
best,seq,1024,fp16,262144,1,mc,18.355,16.746,41.366,39.188,14.358,13.521,2.2537,0.7822
best,seq,1024,fp16,524288,1,mc,24.717,22.756,63.748,61.414,14.4,13.601,2.5791,0.5826
best,seq,1024,fp16,1048576,1,mc,36.854,34.316,115.084,111.791,14.941,13.734,3.1227,0.4054
best,seq,1024,fp32,4096,1,plain,10.03,8.713,9.875,8.676,6.413,5.592,0.9845,0.6394
best,seq,1024,fp32,8192,1,plain,11.051,9.446,13.891,12.322,8.122,7.382,1.257,0.735
best,seq,1024,fp32,16384,1,plain,12.093,10.249,17.861,16.244,12.128,11.298,1.477,1.0029
best,seq,1024,fp32,32768,1,plain,14.105,12.163,23.441,21.559,17.875,16.794,1.6619,1.2673
best,seq,1024,fp32,65536,1,mc,14.385,12.528,32.12,30.087,17.505,16.503,2.2329,1.2169
best,seq,1024,fp32,131072,1,mc,14.993,13.512,27.051,24.606,18.889,18.082,1.8042,1.2599
best,seq,1024,fp32,262144,1,mc,18.037,16.31,41.844,38.322,19.141,18.332,2.3199,1.0612
best,seq,1024,fp32,524288,1,mc,24.381,22.217,69.301,63.946,19.11,18.169,2.8424,0.7838
best,seq,1024,fp32,1048576,1,mc,36.532,33.431,120.637,111.68,20.467,18.771,3.3022,0.5602
best,seq,2048,bf16,8192,1,plain,25.949,15.492,14.427,15.404,7.266,6.405,0.556,0.28
best,seq,2048,bf16,16384,1,1cta,14.611,13.339,15.264,13.994,9.966,9.398,1.0447,0.6821
best,seq,2048,bf16,32768,1,1cta,33.803,26.006,22.475,17.412,13.856,13.38,0.6649,0.4099
best,seq,2048,bf16,65536,1,mc,17.203,15.446,29.112,25.504,13.579,12.434,1.6923,0.7893
best,seq,2048,bf16,131072,1,mc,25.478,16.565,36.678,29.451,14.394,13.574,1.4396,0.565
best,seq,2048,bf16,262144,1,mc,28.992,20.518,53.733,53.016,14.264,13.63,1.8534,0.492
best,seq,2048,bf16,524288,1,mc,39.98,39.488,85.844,84.833,14.848,14.929,2.1472,0.3714
best,seq,2048,bf16,1048576,1,mc,41.069,38.699,141.692,138.741,15.744,14.481,3.4501,0.3834
best,seq,2048,fp16,8192,1,plain,16.454,15.213,19.054,17.547,6.862,6.285,1.158,0.417
best,seq,2048,fp16,16384,1,1cta,15.462,13.453,15.733,14.164,10.289,9.651,1.0175,0.6654
best,seq,2048,fp16,32768,1,1cta,16.901,15.107,17.729,16.589,15.344,14.213,1.049,0.9079
best,seq,2048,fp16,65536,1,mc,16.627,15.202,20.624,19.173,15.072,14.169,1.2404,0.9065
best,seq,2048,fp16,131072,1,mc,17.129,15.358,30.136,28.366,14.995,14.02,1.7594,0.8754
best,seq,2048,fp16,262144,1,mc,20.816,19.005,46.076,44.087,14.509,13.77,2.2135,0.697
best,seq,2048,fp16,524288,1,mc,31.705,29.388,77.258,74.735,14.933,13.884,2.4368,0.471
best,seq,2048,fp16,1048576,1,mc,40.955,37.986,140.633,137.311,16.049,14.815,3.4338,0.3919
best,seq,2048,fp32,8192,1,plain,11.333,10.074,13.085,11.826,8.113,7.448,1.1546,0.7159
best,seq,2048,fp32,16384,1,plain,12.902,11.517,16.349,14.919,12.697,11.873,1.2672,0.9841
best,seq,2048,fp32,32768,1,plain,20.417,18.405,19.019,17.038,19.878,18.912,0.9315,0.9736
best,seq,2048,fp32,65536,1,mc,17.256,15.03,23.47,21.435,19.509,18.777,1.3601,1.1306
best,seq,2048,fp32,131072,1,mc,16.528,14.864,30.537,27.93,19.803,19.1,1.8476,1.1981
best,seq,2048,fp32,262144,1,mc,21.353,19.671,45.932,42.416,19.582,18.825,2.1511,0.9171
best,seq,2048,fp32,524288,1,mc,27.024,24.979,74.828,69.867,19.801,18.936,2.7689,0.7327
best,seq,2048,fp32,1048576,1,mc,38.395,35.985,135.673,127.806,21.313,19.779,3.5336,0.5551
real,bs,512,bf16,4096,1,plain,12.158,11.131,12.458,11.194,5.237,4.384,1.0247,0.4307
real,bs,512,bf16,4096,2,plain,12.131,11.145,12.251,11.192,5.147,4.409,1.0099,0.4243
real,bs,512,bf16,4096,4,plain,12.322,11.276,12.544,11.342,5.162,4.447,1.018,0.4189
real,bs,512,bf16,4096,8,plain,12.394,11.277,12.477,11.359,5.202,4.465,1.0067,0.4197
real,bs,512,bf16,4096,16,plain,12.778,11.643,12.698,11.706,5.57,4.826,0.9937,0.4359
real,bs,512,bf16,4096,32,plain,12.832,11.767,12.888,11.848,5.728,4.904,1.0044,0.4464
real,bs,512,bf16,4096,64,plain,12.974,11.885,12.926,11.949,5.808,4.941,0.9963,0.4477
real,bs,512,bf16,4096,128,plain,13.264,12.109,13.342,12.158,6.165,5.165,1.0059,0.4648
real,bs,512,bf16,4096,256,plain,11.741,10.389,16.598,15.399,10.475,8.972,1.4137,0.8922
real,bs,512,bf16,4096,512,plain,20.155,18.232,28.632,26.991,19.17,16.608,1.4206,0.9511
real,bs,512,bf16,4096,1024,plain,30.768,28.435,45.061,43.215,32.021,28.126,1.4645,1.0407
real,bs,512,bf16,4096,2048,plain,55.683,52.436,83.578,80.945,62.725,54.673,1.501,1.1265
real,bs,512,bf16,8192,1,plain,10.688,9.581,10.811,9.629,6.322,5.686,1.0115,0.5915
real,bs,512,bf16,8192,2,plain,10.672,9.554,11.246,9.585,6.301,5.704,1.0538,0.5904
real,bs,512,bf16,8192,4,plain,10.802,9.69,11.285,9.734,6.438,5.753,1.0447,0.596
real,bs,512,bf16,8192,8,plain,11.053,9.709,11.186,9.752,6.438,5.775,1.012,0.5825
real,bs,512,bf16,8192,16,plain,11.467,10.068,11.557,10.119,6.88,6.127,1.0078,0.6
real,bs,512,bf16,8192,32,plain,11.557,10.216,11.638,10.254,6.994,6.209,1.007,0.6052
real,bs,512,bf16,8192,64,plain,11.755,10.31,11.664,10.346,7.09,6.253,0.9923,0.6031
real,bs,512,bf16,8192,128,plain,12.048,10.511,12.027,10.566,7.402,6.36,0.9983,0.6144
real,bs,512,bf16,8192,256,plain,13.514,11.745,14.707,13.064,12.822,11.325,1.0883,0.9488
