scenario,sweep,K,dtype,N,BS,r0_arm,op26r_cold_us_local,op26r_warm_us_local,base_cold_us_local,base_warm_us_local,radix_cold_us_local,radix_warm_us_local,speedup_vs_base_same_node_cold,speedup_vs_radix_same_node_cold
best,bs,1024,fp32,4096,2,plain,10.379,9.228,10.317,9.255,6.659,6.044,0.994,0.6416
best,bs,1024,fp32,4096,4,plain,10.283,9.226,10.285,9.222,6.712,6.064,1.0002,0.6527
best,bs,1024,fp32,4096,8,plain,10.285,9.268,10.36,9.249,6.69,6.055,1.0073,0.6505
best,bs,1024,fp32,4096,16,plain,10.464,9.264,10.4,9.237,6.706,6.049,0.9939,0.6409
best,bs,1024,fp32,4096,32,plain,10.435,9.292,10.469,9.265,6.806,6.104,1.0033,0.6522
best,bs,1024,fp32,4096,64,plain,10.53,9.327,10.45,9.331,6.982,6.134,0.9924,0.6631
best,bs,1024,fp32,4096,128,plain,10.803,9.455,10.68,9.464,7.55,6.522,0.9886,0.6989
best,bs,1024,fp32,4096,256,plain,13.744,12.181,13.104,11.513,13.208,11.581,0.9534,0.961
best,bs,1024,fp32,4096,512,plain,23.88,21.009,23.685,20.941,24.424,21.715,0.9918,1.0228
best,bs,1024,fp32,4096,1024,plain,37.325,33.724,36.621,33.254,41.133,37.028,0.9811,1.102
best,bs,1024,fp32,4096,2048,plain,64.974,60.334,64.904,60.518,80.181,72.442,0.9989,1.234
best,bs,1024,fp32,8192,1,plain,11.427,9.976,14.27,12.909,8.355,7.849,1.2488,0.7312
best,bs,1024,fp32,8192,2,plain,11.406,9.971,14.267,12.897,8.386,7.844,1.2508,0.7352
best,bs,1024,fp32,8192,4,plain,11.485,9.956,14.248,12.891,8.358,7.847,1.2406,0.7277
best,bs,1024,fp32,8192,8,plain,11.342,9.971,14.163,12.925,8.438,7.875,1.2487,0.744
best,bs,1024,fp32,8192,16,plain,11.41,9.999,14.229,12.956,8.462,7.894,1.2471,0.7416
best,bs,1024,fp32,8192,32,plain,11.419,10.028,14.309,12.986,8.506,7.922,1.2531,0.7449
best,bs,1024,fp32,8192,64,plain,11.605,10.06,14.498,13.035,8.778,7.974,1.2493,0.7564
best,bs,1024,fp32,8192,128,plain,12.182,10.17,15.218,13.155,9.41,8.058,1.2492,0.7725
best,bs,1024,fp32,8192,256,plain,16.042,13.7,20.277,17.887,16.691,14.673,1.264,1.0405
best,bs,1024,fp32,8192,512,plain,29.813,25.087,35.35,31.898,30.595,27.834,1.1857,1.0262
best,bs,1024,fp32,8192,1024,plain,45.866,39.859,55.32,51.303,51.646,47.462,1.2061,1.126
best,bs,1024,fp32,8192,2048,plain,79.301,73.167,101.159,96.253,100.918,93.122,1.2756,1.2726
best,bs,1024,fp32,16384,1,plain,12.205,10.732,18.283,16.845,12.374,11.773,1.498,1.0138
best,bs,1024,fp32,16384,2,plain,12.038,10.72,18.216,16.802,12.416,11.78,1.5132,1.0314
best,bs,1024,fp32,16384,4,plain,12.142,10.719,18.173,16.842,12.482,11.803,1.4967,1.028
best,bs,1024,fp32,16384,8,plain,12.147,10.75,18.307,16.879,12.531,11.815,1.5071,1.0316
best,bs,1024,fp32,16384,16,plain,12.288,10.751,18.387,16.871,12.462,11.823,1.4963,1.0142
best,bs,1024,fp32,16384,32,plain,12.286,10.773,18.411,16.879,12.574,11.862,1.4985,1.0234
best,bs,1024,fp32,16384,64,plain,12.92,10.848,18.923,16.955,13.014,11.916,1.4646,1.0073
best,bs,1024,fp32,16384,128,plain,13.526,10.974,19.709,17.123,13.8,12.058,1.4571,1.0203
best,bs,1024,fp32,16384,256,plain,20.474,16.59,30.027,26.094,25.138,22.525,1.4666,1.2278
