scenario,K,N,BS,arm,us_cold,us_warm
best,512,4096,1024,radix_single_cuda,64.44319999999999,63.12258
best,512,4096,1024,radix_multi_cuda,243.41775,241.89832
best,512,4096,1024,op27_hls,36.296,31.12128
best,512,4096,1024,op26_r0auto,34.48,29.866259999999997
best,512,4096,1024,sglang_v2,18.3424,16.30208
best,512,4096,1024,flashinfer_topk,28.44,26.46146
best,512,4096,2048,gvr_cutedsl,76.55845,71.12964
best,512,4096,2048,radix_cutedsl,76.2801,69.11426
best,512,4096,2048,gvr_multicta_cutedsl,91.36805,82.71618
best,512,4096,2048,radix_single_cuda,123.35364999999999,121.5527
best,512,4096,2048,radix_multi_cuda,479.65945,477.55992
best,512,4096,2048,op27_hls,61.688,55.39906
best,512,4096,2048,op26_r0auto,60.9552,54.33986
best,512,4096,2048,sglang_v2,32.688,30.1312
best,512,4096,2048,flashinfer_topk,52.587199999999996,49.6109
best,512,8192,1,gvr_cutedsl,12.788799999999998,11.14624
best,512,8192,1,radix_cutedsl,7.704,7.18464
best,512,8192,1,gvr_multicta_cutedsl,12.6256,11.13344
best,512,8192,1,radix_single_cuda,16.88,15.39328
best,512,8192,1,radix_multi_cuda,37.66405,32.60608
best,512,8192,1,op27_hls,12.489600000000001,11.12512
best,512,8192,1,op26_r0auto,9.872,8.334100000000001
best,512,8192,1,sglang_v2,5.496,4.8045
best,512,8192,1,flashinfer_topk,11.384,10.64578
best,512,8192,2,gvr_cutedsl,12.5168,11.13344
best,512,8192,2,radix_cutedsl,7.7216000000000005,7.2198400000000005
best,512,8192,2,gvr_multicta_cutedsl,12.3952,11.13472
best,512,8192,2,radix_single_cuda,17.03845,15.42336
best,512,8192,2,radix_multi_cuda,37.9728,32.944019999999995
best,512,8192,2,op27_hls,12.3344,11.11168
best,512,8192,2,op26_r0auto,9.686399999999999,8.34432
best,512,8192,2,sglang_v2,5.5488,4.83266
best,512,8192,2,flashinfer_topk,11.393600000000001,10.707840000000001
best,512,8192,4,gvr_cutedsl,12.539200000000001,11.1277
best,512,8192,4,radix_cutedsl,7.7328,7.22112
best,512,8192,4,gvr_multicta_cutedsl,12.512049999999999,11.1424
best,512,8192,4,radix_single_cuda,16.9136,15.44002
best,512,8192,4,radix_multi_cuda,35.6416,32.9184
best,512,8192,4,op27_hls,12.45125,11.09378
best,512,8192,4,op26_r0auto,9.8336,8.349440000000001
best,512,8192,4,sglang_v2,5.4288,4.8511999999999995
best,512,8192,4,flashinfer_topk,11.425600000000001,10.70528
best,512,8192,8,gvr_cutedsl,12.6256,11.14048
best,512,8192,8,radix_cutedsl,7.736,7.220479999999999
best,512,8192,8,gvr_multicta_cutedsl,12.6656,11.14944
best,512,8192,8,radix_single_cuda,17.072,15.431040000000001
best,512,8192,8,radix_multi_cuda,35.44005,33.00096
best,512,8192,8,op27_hls,12.4848,11.08418
best,512,8192,8,op26_r0auto,10.0176,8.346879999999999
best,512,8192,8,sglang_v2,5.44,4.83968
best,512,8192,8,flashinfer_topk,11.6624,10.85698
best,512,8192,16,gvr_cutedsl,12.68,11.15072
best,512,8192,16,radix_cutedsl,7.8208,7.229439999999999
best,512,8192,16,gvr_multicta_cutedsl,12.734399999999999,11.145620000000001
best,512,8192,16,radix_single_cuda,17.09925,15.44448
best,512,8192,16,radix_multi_cuda,35.41765,32.938900000000004
best,512,8192,16,op27_hls,12.414399999999999,11.08416
best,512,8192,16,op26_r0auto,10.0208,8.35264
best,512,8192,16,sglang_v2,5.5168,4.8326400000000005
best,512,8192,16,flashinfer_topk,13.7568,13.0733
best,512,8192,32,gvr_cutedsl,12.936,11.23392
best,512,8192,32,radix_cutedsl,7.904,7.276800000000001
best,512,8192,32,gvr_multicta_cutedsl,12.780850000000001,11.239040000000001
best,512,8192,32,radix_single_cuda,17.148799999999998,15.511059999999999
best,512,8192,32,radix_multi_cuda,35.39845,33.21984
best,512,8192,32,op27_hls,12.712,11.16992
best,512,8192,32,op26_r0auto,10.168,8.41986
best,512,8192,32,sglang_v2,5.6192,4.86912
best,512,8192,32,flashinfer_topk,14.6048,14.00898
best,512,8192,64,gvr_cutedsl,13.1072,11.32672
best,512,8192,64,radix_cutedsl,8.216,7.31968
best,512,8192,64,gvr_multicta_cutedsl,13.0208,11.32608
best,512,8192,64,radix_single_cuda,17.328,15.571219999999999
best,512,8192,64,radix_multi_cuda,36.24,33.53601999999999
best,512,8192,64,op27_hls,12.872,11.35552
best,512,8192,64,op26_r0auto,10.411200000000001,8.47554
best,512,8192,64,sglang_v2,5.752,4.91072
best,512,8192,64,flashinfer_topk,13.884799999999998,12.86208
best,512,8192,128,gvr_cutedsl,13.635200000000001,11.53856
best,512,8192,128,radix_cutedsl,8.7873,7.42528
best,512,8192,128,gvr_multicta_cutedsl,13.49445,11.542399999999999
best,512,8192,128,radix_single_cuda,17.7648,15.7376
best,512,8192,128,radix_multi_cuda,42.78885,41.11298
best,512,8192,128,op27_hls,13.329600000000001,11.61152
best,512,8192,128,op26_r0auto,10.8608,8.67136
best,512,8192,128,sglang_v2,6.3216,5.03296
best,512,8192,128,flashinfer_topk,13.5648,12.59842
best,512,8192,256,gvr_cutedsl,17.6576,14.99008
best,512,8192,256,radix_cutedsl,15.460799999999999,13.446399999999999
best,512,8192,256,gvr_multicta_cutedsl,17.011200000000002,14.32256
best,512,8192,256,radix_single_cuda,25.312,23.41378
best,512,8192,256,radix_multi_cuda,78.3841,76.16388
best,512,8192,256,op27_hls,15.0656,12.898579999999999
best,512,8192,256,op26_r0auto,13.8352,10.97282
best,512,8192,256,sglang_v2,8.072,6.8608199999999995
best,512,8192,256,flashinfer_topk,11.8656,10.19968
best,512,8192,512,gvr_cutedsl,29.9648,26.68864
best,512,8192,512,radix_cutedsl,28.1281,25.2576
best,512,8192,512,gvr_multicta_cutedsl,30.888,27.057299999999998
best,512,8192,512,radix_single_cuda,44.2576,41.67298
best,512,8192,512,radix_multi_cuda,139.27365,137.03688
best,512,8192,512,op27_hls,27.961650000000002,22.80578
best,512,8192,512,op26_r0auto,24.19375,19.762580000000003
best,512,8192,512,sglang_v2,13.608,12.0109
best,512,8192,512,flashinfer_topk,20.84805,18.349439999999998
best,512,8192,1024,gvr_cutedsl,46.75685,42.3501
best,512,8192,1024,radix_cutedsl,47.5856,43.230760000000004
best,512,8192,1024,gvr_multicta_cutedsl,53.83525,47.55716
best,512,8192,1024,radix_single_cuda,71.632,68.69254
best,512,8192,1024,radix_multi_cuda,254.1361,251.7902
best,512,8192,1024,op27_hls,41.93285,35.555879999999995
best,512,8192,1024,op26_r0auto,37.34245,31.11234
best,512,8192,1024,sglang_v2,22.11045,19.74464
best,512,8192,1024,flashinfer_topk,35.352,31.046400000000002
best,512,8192,2048,gvr_cutedsl,84.18405,79.29216000000001
best,512,8192,2048,radix_cutedsl,92.10095,84.62722
best,512,8192,2048,gvr_multicta_cutedsl,99.7072,90.85124
best,512,8192,2048,radix_single_cuda,135.57770000000002,132.13768
best,512,8192,2048,radix_multi_cuda,500.14905,498.77724
best,512,8192,2048,op27_hls,71.38725,64.53636
best,512,8192,2048,op26_r0auto,64.14569999999999,57.67618
best,512,8192,2048,sglang_v2,40.10085,36.56192
best,512,8192,2048,flashinfer_topk,66.8369,58.77058
best,512,16384,1,gvr_cutedsl,13.5328,12.138879999999999
best,512,16384,1,radix_cutedsl,11.1968,10.616959999999999
best,512,16384,1,gvr_multicta_cutedsl,13.491200000000001,12.13378
best,512,16384,1,radix_single_cuda,20.0352,17.32738
best,512,16384,1,radix_multi_cuda,37.74245,32.55744
best,512,16384,1,op27_hls,15.3072,14.08706
best,512,16384,1,op26_r0auto,11.804799999999998,10.43712
best,512,16384,1,sglang_v2,6.9872,6.13826
best,512,16384,1,flashinfer_topk,11.9264,10.88898
best,512,16384,2,gvr_cutedsl,13.446399999999999,12.1389
best,512,16384,2,radix_cutedsl,11.246450000000001,10.65216
best,512,16384,2,gvr_multicta_cutedsl,13.6576,12.12416
best,512,16384,2,radix_single_cuda,20.04,17.366400000000002
best,512,16384,2,radix_multi_cuda,37.3376,32.54144
best,512,16384,2,op27_hls,15.264,14.07874
best,512,16384,2,op26_r0auto,11.8736,10.4333
best,512,16384,2,sglang_v2,6.968,6.17728
best,512,16384,2,flashinfer_topk,11.8864,10.92992
best,512,16384,4,gvr_cutedsl,13.702399999999999,12.147860000000001
best,512,16384,4,radix_cutedsl,11.265600000000001,10.64512
best,512,16384,4,gvr_multicta_cutedsl,13.5344,12.141440000000001
best,512,16384,4,radix_single_cuda,19.860799999999998,17.36002
best,512,16384,4,radix_multi_cuda,35.5296,32.5773
best,512,16384,4,op27_hls,15.246450000000001,14.05824
best,512,16384,4,op26_r0auto,11.7712,10.43264
best,512,16384,4,sglang_v2,6.97925,6.18304
best,512,16384,4,flashinfer_topk,11.9616,10.95552
best,512,16384,8,gvr_cutedsl,13.568,12.12608
best,512,16384,8,radix_cutedsl,11.345600000000001,10.647680000000001
best,512,16384,8,gvr_multicta_cutedsl,13.555200000000001,12.11392
best,512,16384,8,radix_single_cuda,19.889599999999998,17.3997
best,512,16384,8,radix_multi_cuda,35.056,32.41474
best,512,16384,8,op27_hls,15.2992,14.061459999999999
best,512,16384,8,op26_r0auto,11.9056,10.41216
best,512,16384,8,sglang_v2,6.9152,6.166399999999999
best,512,16384,8,flashinfer_topk,12.0624,11.00674
best,512,16384,16,gvr_cutedsl,13.768,12.129280000000001
best,512,16384,16,radix_cutedsl,11.313600000000001,10.65602
best,512,16384,16,gvr_multicta_cutedsl,13.7856,12.141440000000001
best,512,16384,16,radix_single_cuda,20.025599999999997,17.39074
best,512,16384,16,radix_multi_cuda,35.2,32.686099999999996
best,512,16384,16,op27_hls,15.3408,14.03968
best,512,16384,16,op26_r0auto,12.099200000000002,10.42816
best,512,16384,16,sglang_v2,7.001600000000001,6.174720000000001
best,512,16384,16,flashinfer_topk,14.4816,13.555200000000001
best,512,16384,32,gvr_cutedsl,13.9888,12.224020000000001
best,512,16384,32,radix_cutedsl,11.478399999999999,10.69568
best,512,16384,32,gvr_multicta_cutedsl,14.01445,12.233600000000001
best,512,16384,32,radix_single_cuda,20.2192,17.489279999999997
best,512,16384,32,radix_multi_cuda,35.444849999999995,32.92096
best,512,16384,32,op27_hls,15.5488,14.1184
best,512,16384,32,op26_r0auto,12.22405,10.48576
best,512,16384,32,sglang_v2,7.110399999999999,6.24896
best,512,16384,32,flashinfer_topk,15.2624,14.15168
best,512,16384,64,gvr_cutedsl,14.3392,12.34432
best,512,16384,64,radix_cutedsl,11.9184,10.771840000000001
best,512,16384,64,gvr_multicta_cutedsl,14.2768,12.33024
best,512,16384,64,radix_single_cuda,20.504,17.5789
best,512,16384,64,radix_multi_cuda,37.2992,33.952
best,512,16384,64,op27_hls,15.9904,14.380180000000001
best,512,16384,64,op26_r0auto,12.5952,10.62592
best,512,16384,64,sglang_v2,7.5952,6.29952
best,512,16384,64,flashinfer_topk,14.264,13.21986
best,512,16384,128,gvr_cutedsl,15.1072,12.6752
best,512,16384,128,radix_cutedsl,12.688,10.91776
best,512,16384,128,gvr_multicta_cutedsl,15.1424,12.67136
best,512,16384,128,radix_single_cuda,21.072,17.775380000000002
best,512,16384,128,radix_multi_cuda,44.2,41.83938
best,512,16384,128,op27_hls,16.6,14.704
best,512,16384,128,op26_r0auto,13.464,10.94272
best,512,16384,128,sglang_v2,8.3248,6.5670399999999995
best,512,16384,128,flashinfer_topk,16.6816,14.93312
best,512,16384,256,gvr_cutedsl,21.9872,18.503700000000002
best,512,16384,256,radix_cutedsl,22.89445,20.374419999999997
best,512,16384,256,gvr_multicta_cutedsl,20.616,17.16864
best,512,16384,256,radix_single_cuda,29.6816,26.43906
best,512,16384,256,radix_multi_cuda,80.82719999999999,77.12964
best,512,16384,256,op27_hls,19.4256,16.33538
best,512,16384,256,op26_r0auto,20.1952,16.79296
best,512,16384,256,sglang_v2,11.6208,9.367059999999999
best,512,16384,256,flashinfer_topk,17.328,14.70018
best,512,16384,512,gvr_cutedsl,41.476800000000004,32.7693
best,512,16384,512,radix_cutedsl,42.958400000000005,38.973440000000004
best,512,16384,512,gvr_multicta_cutedsl,37.0976,32.60546
best,512,16384,512,radix_single_cuda,51.731199999999994,47.03748
best,512,16384,512,radix_multi_cuda,141.51695,137.76520000000002
best,512,16384,512,op27_hls,36.6416,29.38052
best,512,16384,512,op26_r0auto,36.9632,28.11456
best,512,16384,512,sglang_v2,18.1248,16.52418
best,512,16384,512,flashinfer_topk,31.144,26.62082
best,512,16384,1024,gvr_cutedsl,63.816,52.96132
best,512,16384,1024,radix_cutedsl,75.12,67.14372
best,512,16384,1024,gvr_multicta_cutedsl,67.832,56.86404
best,512,16384,1024,radix_single_cuda,83.02244999999999,77.32036
best,512,16384,1024,radix_multi_cuda,258.3186,254.2606
best,512,16384,1024,op27_hls,56.184,45.86564
best,512,16384,1024,op26_r0auto,57.3856,46.05314
best,512,16384,1024,sglang_v2,30.4464,27.04258
best,512,16384,1024,flashinfer_topk,53.51205,44.63234
best,512,16384,2048,gvr_cutedsl,107.7264,102.86276
best,512,16384,2048,radix_cutedsl,145.77925,139.84326000000001
best,512,16384,2048,gvr_multicta_cutedsl,118.8721,115.56166
best,512,16384,2048,radix_single_cuda,155.22414999999998,153.48998
best,512,16384,2048,radix_multi_cuda,511.157,509.96754
best,512,16384,2048,op27_hls,94.6752,90.21508
best,512,16384,2048,op26_r0auto,96.7808,91.7063
best,512,16384,2048,sglang_v2,55.4224,54.03204
best,512,16384,2048,flashinfer_topk,100.1505,97.23653999999999
best,512,32768,1,gvr_cutedsl,13.980799999999999,12.20226
best,512,32768,1,radix_cutedsl,18.769650000000002,18.05058
best,512,32768,1,gvr_multicta_cutedsl,14.008049999999999,12.211200000000002
best,512,32768,1,radix_single_cuda,27.174400000000002,22.570880000000002
best,512,32768,1,radix_multi_cuda,39.1616,33.98912
best,512,32768,1,op27_hls,19.070400000000003,17.74208
best,512,32768,1,op26_r0auto,13.5664,11.671040000000001
best,512,32768,1,sglang_v2,10.52645,8.4717
best,512,32768,1,flashinfer_topk,11.6,10.92544
best,512,32768,2,gvr_cutedsl,14.04,12.221440000000001
best,512,32768,2,radix_cutedsl,18.856,18.07104
best,512,32768,2,gvr_multicta_cutedsl,13.836799999999998,12.193299999999999
best,512,32768,2,radix_single_cuda,26.96,22.92098
best,512,32768,2,radix_multi_cuda,38.5296,33.7581
best,512,32768,2,op27_hls,18.9344,17.66336
best,512,32768,2,op26_r0auto,13.36645,11.666559999999999
best,512,32768,2,sglang_v2,10.5632,8.53378
best,512,32768,2,flashinfer_topk,11.6736,10.96384
best,512,32768,4,gvr_cutedsl,14.0752,12.20354
best,512,32768,4,radix_cutedsl,18.792,18.042240000000003
best,512,32768,4,gvr_multicta_cutedsl,14.035200000000001,12.208020000000001
best,512,32768,4,radix_single_cuda,26.9904,22.87298
best,512,32768,4,radix_multi_cuda,36.6304,33.97633999999999
best,512,32768,4,op27_hls,19.025599999999997,17.618560000000002
best,512,32768,4,op26_r0auto,13.427200000000001,11.67746
best,512,32768,4,sglang_v2,10.4976,8.5197
best,512,32768,4,flashinfer_topk,11.7088,10.96832
best,512,32768,8,gvr_cutedsl,14.1392,12.187520000000001
best,512,32768,8,radix_cutedsl,19.7248,18.9344
best,512,32768,8,gvr_multicta_cutedsl,14.0464,12.192020000000001
best,512,32768,8,radix_single_cuda,27.038400000000003,23.040020000000002
best,512,32768,8,radix_multi_cuda,36.617650000000005,34.0845
best,512,32768,8,op27_hls,19.206400000000002,17.66018
best,512,32768,8,op26_r0auto,13.569600000000001,11.64352
best,512,32768,8,sglang_v2,10.443200000000001,8.521600000000001
best,512,32768,8,flashinfer_topk,11.827200000000001,11.02464
best,512,32768,16,gvr_cutedsl,14.1616,12.1805
best,512,32768,16,radix_cutedsl,20.096,19.040020000000002
best,512,32768,16,gvr_multicta_cutedsl,14.1216,12.190719999999999
best,512,32768,16,radix_single_cuda,27.2464,23.09122
best,512,32768,16,radix_multi_cuda,36.65605,34.39426
best,512,32768,16,op27_hls,19.1232,17.649279999999997
best,512,32768,16,op26_r0auto,13.6528,11.66146
best,512,32768,16,sglang_v2,10.603200000000001,8.52864
best,512,32768,16,flashinfer_topk,14.5504,13.66658
best,512,32768,32,gvr_cutedsl,14.6256,12.285440000000001
best,512,32768,32,radix_cutedsl,20.8304,19.33568
best,512,32768,32,gvr_multicta_cutedsl,14.5984,12.287360000000001
best,512,32768,32,radix_single_cuda,27.30245,23.31776
best,512,32768,32,radix_multi_cuda,43.6112,42.31936
best,512,32768,32,op27_hls,19.4768,17.7664
best,512,32768,32,op26_r0auto,14.124799999999999,11.72096
best,512,32768,32,sglang_v2,10.824,8.60672
best,512,32768,32,flashinfer_topk,15.622399999999999,14.54336
best,512,32768,64,gvr_cutedsl,15.179200000000002,12.439680000000001
best,512,32768,64,radix_cutedsl,17.7344,16.03714
best,512,32768,64,gvr_multicta_cutedsl,15.0976,12.43264
best,512,32768,64,radix_single_cuda,27.8736,23.45026
best,512,32768,64,radix_multi_cuda,61.38415,59.91874
best,512,32768,64,op27_hls,19.982400000000002,18.03586
best,512,32768,64,op26_r0auto,14.568,11.888639999999999
best,512,32768,64,sglang_v2,11.424,8.682879999999999
best,512,32768,64,flashinfer_topk,16.9072,15.2992
best,512,32768,128,gvr_cutedsl,16.436799999999998,12.85698
best,512,32768,128,radix_cutedsl,18.6496,16.2349
best,512,32768,128,gvr_multicta_cutedsl,16.4272,12.84674
best,512,32768,128,radix_single_cuda,28.665599999999998,23.66272
best,512,32768,128,radix_multi_cuda,48.82405,45.025940000000006
best,512,32768,128,op27_hls,20.9872,18.46338
best,512,32768,128,op26_r0auto,15.95365,12.31808
best,512,32768,128,sglang_v2,12.4368,8.9408
best,512,32768,128,flashinfer_topk,20.7312,17.872
best,512,32768,256,gvr_cutedsl,24.32325,18.47552
best,512,32768,256,radix_cutedsl,34.9056,30.87748
best,512,32768,256,gvr_multicta_cutedsl,23.1376,17.74848
best,512,32768,256,radix_single_cuda,38.907199999999996,32.80194
best,512,32768,256,radix_multi_cuda,88.89760000000001,83.20902000000001
best,512,32768,256,op27_hls,24.6048,20.14018
best,512,32768,256,op26_r0auto,25.056099999999997,19.31072
best,512,32768,256,sglang_v2,16.5936,13.985940000000001
best,512,32768,256,flashinfer_topk,24.552049999999998,19.80352
best,512,32768,512,gvr_cutedsl,46.6352,34.203540000000004
best,512,32768,512,radix_cutedsl,68.36489999999999,59.91233999999999
best,512,32768,512,gvr_multicta_cutedsl,43.088,33.37986
best,512,32768,512,radix_single_cuda,69.52165,58.90498
best,512,32768,512,radix_multi_cuda,153.6241,147.18854000000002
best,512,32768,512,op27_hls,48.836800000000004,35.83554
best,512,32768,512,op26_r0auto,49.3808,35.87714
best,512,32768,512,sglang_v2,31.4144,24.736639999999998
best,512,32768,512,flashinfer_topk,45.1952,36.0794
best,512,32768,1024,gvr_cutedsl,72.24964999999999,65.081
best,512,32768,1024,radix_cutedsl,119.73445,111.51428
best,512,32768,1024,gvr_multicta_cutedsl,75.7296,67.65889999999999
best,512,32768,1024,radix_single_cuda,109.79365,104.52932000000001
best,512,32768,1024,radix_multi_cuda,279.75534999999996,277.84654
best,512,32768,1024,op27_hls,74.5648,65.79394
best,512,32768,1024,op26_r0auto,75.37445,68.52162
best,512,32768,1024,sglang_v2,54.4432,47.16612
best,512,32768,1024,flashinfer_topk,75.83845,70.81089999999999
best,512,32768,2048,gvr_cutedsl,120.10405,112.4551
best,512,32768,2048,radix_cutedsl,227.36335,219.2481
best,512,32768,2048,gvr_multicta_cutedsl,128.73925,122.32194
best,512,32768,2048,radix_single_cuda,200.26895000000002,194.94666
best,512,32768,2048,radix_multi_cuda,548.8466,547.64698
best,512,32768,2048,op27_hls,122.9728,115.90661999999999
best,512,32768,2048,op26_r0auto,123.56005,116.2951
best,512,32768,2048,sglang_v2,93.544,86.49412
best,512,32768,2048,flashinfer_topk,139.8176,134.87304
best,512,65536,1,gvr_cutedsl,23.5664,22.094099999999997
best,512,65536,1,radix_cutedsl,18.71845,17.9949
best,512,65536,1,gvr_multicta_cutedsl,18.972849999999998,17.237119999999997
best,512,65536,1,radix_single_cuda,42.2288,33.34464
