model,K,dtype,op,BS,gm_us_cold,gm_us_warm,ratio_vs_base_cold,ratio_vs_base_warm
pro,1024,bf16,op26_r0auto,16,14.665,12.843,0.9953,0.9938
pro,1024,bf16,op26_r0auto,32,14.801,12.947,0.9935,0.9951
pro,1024,bf16,op26_r0auto,64,15.062,13.039,0.9999,0.9964
pro,1024,bf16,op26_r0auto,128,15.507,13.253,0.998,0.9962
pro,1024,bf16,op26_r0auto,256,16.431,13.740,0.8636,0.8418
pro,1024,bf16,op26_r0auto,512,28.893,24.752,0.872,0.8438
pro,1024,bf16,op26_r0auto,1024,44.909,38.917,0.8695,0.8364
pro,1024,bf16,op26_r0auto,2048,79.307,71.535,0.8494,0.8266
pro,1024,bf16,radix_cutedsl,1,9.278,8.619,0.6347,0.6668
pro,1024,bf16,radix_cutedsl,2,9.379,8.646,0.6453,0.6699
pro,1024,bf16,radix_cutedsl,4,9.462,8.650,0.6363,0.6687
pro,1024,bf16,radix_cutedsl,8,9.513,8.656,0.6487,0.67
pro,1024,bf16,radix_cutedsl,16,9.582,8.654,0.6503,0.6696
pro,1024,bf16,radix_cutedsl,32,9.668,8.715,0.6489,0.6699
pro,1024,bf16,radix_cutedsl,64,9.853,8.759,0.6541,0.6693
pro,1024,bf16,radix_cutedsl,128,10.276,8.886,0.6613,0.6679
pro,1024,bf16,radix_cutedsl,256,18.430,16.261,0.9687,0.9962
pro,1024,bf16,radix_cutedsl,512,34.191,30.948,1.0319,1.055
pro,1024,bf16,radix_cutedsl,1024,58.226,52.923,1.1274,1.1374
pro,1024,bf16,radix_cutedsl,2048,113.724,103.975,1.218,1.2014
pro,1024,bf16,radix_single_cuda,1,19.168,17.797,1.3113,1.3769
pro,1024,bf16,radix_single_cuda,2,19.304,17.848,1.3282,1.3829
pro,1024,bf16,radix_single_cuda,4,19.282,17.852,1.2967,1.3802
pro,1024,bf16,radix_single_cuda,8,19.314,17.875,1.317,1.3837
pro,1024,bf16,radix_single_cuda,16,19.353,17.886,1.3135,1.3839
pro,1024,bf16,radix_single_cuda,32,19.482,17.961,1.3077,1.3805
pro,1024,bf16,radix_single_cuda,64,19.633,18.032,1.3034,1.378
pro,1024,bf16,radix_single_cuda,128,19.944,18.197,1.2836,1.3677
pro,1024,bf16,radix_single_cuda,256,28.302,26.762,1.4875,1.6396
pro,1024,bf16,radix_single_cuda,512,50.135,48.465,1.5131,1.6522
pro,1024,bf16,radix_single_cuda,1024,81.761,79.647,1.583,1.7118
pro,1024,bf16,radix_single_cuda,2048,155.337,152.835,1.6637,1.766
pro,1024,bf16,radix_multi_cuda,1,38.109,35.739,2.6071,2.7649
pro,1024,bf16,radix_multi_cuda,2,38.283,36.043,2.6342,2.7928
pro,1024,bf16,radix_multi_cuda,4,37.835,35.964,2.5443,2.7805
pro,1024,bf16,radix_multi_cuda,8,37.501,35.866,2.5573,2.7763
pro,1024,bf16,radix_multi_cuda,16,37.600,36.095,2.5518,2.7929
pro,1024,bf16,radix_multi_cuda,32,36.225,34.786,2.4315,2.6737
pro,1024,bf16,radix_multi_cuda,64,37.346,35.431,2.4793,2.7076
pro,1024,bf16,radix_multi_cuda,128,44.714,43.679,2.8778,3.2831
pro,1024,bf16,radix_multi_cuda,256,82.956,81.144,4.3601,4.9715
pro,1024,bf16,radix_multi_cuda,512,146.819,144.986,4.4312,4.9426
pro,1024,bf16,radix_multi_cuda,1024,268.797,266.789,5.2044,5.7339
pro,1024,bf16,radix_multi_cuda,2048,530.724,529.846,5.6842,6.1224
pro,1024,fp16,gvr_cutedsl,1,15.239,13.322,1.0,1.0
pro,1024,fp16,gvr_cutedsl,2,15.133,13.298,1.0,1.0
pro,1024,fp16,gvr_cutedsl,4,15.215,13.332,1.0,1.0
pro,1024,fp16,gvr_cutedsl,8,15.286,13.342,1.0,1.0
pro,1024,fp16,gvr_cutedsl,16,15.523,13.684,1.0,1.0
pro,1024,fp16,gvr_cutedsl,32,15.742,13.889,1.0,1.0
pro,1024,fp16,gvr_cutedsl,64,15.928,13.987,1.0,1.0
pro,1024,fp16,gvr_cutedsl,128,16.483,14.274,1.0,1.0
pro,1024,fp16,gvr_cutedsl,256,20.790,18.108,1.0,1.0
pro,1024,fp16,gvr_cutedsl,512,37.214,33.085,1.0,1.0
pro,1024,fp16,gvr_cutedsl,1024,58.318,52.749,1.0,1.0
pro,1024,fp16,gvr_cutedsl,2048,104.502,97.511,1.0,1.0
pro,1024,fp16,op21_legacy,1,16.367,14.320,1.074,1.0749
pro,1024,fp16,op21_legacy,2,16.341,14.288,1.0798,1.0744
pro,1024,fp16,op21_legacy,4,16.495,14.318,1.0841,1.0739
pro,1024,fp16,op21_legacy,8,16.555,14.322,1.083,1.0734
pro,1024,fp16,op21_legacy,16,16.842,14.673,1.085,1.0723
pro,1024,fp16,op21_legacy,32,17.040,14.856,1.0824,1.0696
pro,1024,fp16,op21_legacy,64,17.252,15.080,1.0831,1.0781
pro,1024,fp16,op21_legacy,128,17.797,15.388,1.0797,1.078
pro,1024,fp16,op21_legacy,256,19.374,17.056,0.9319,0.9419
pro,1024,fp16,op21_legacy,512,34.742,30.714,0.9336,0.9284
pro,1024,fp16,op21_legacy,1024,53.934,47.981,0.9248,0.9096
pro,1024,fp16,op21_legacy,2048,93.877,87.643,0.8983,0.8988
pro,1024,fp16,op27_hls,1,16.359,14.312,1.0735,1.0743
pro,1024,fp16,op27_hls,2,16.280,14.299,1.0758,1.0752
pro,1024,fp16,op27_hls,4,16.494,14.321,1.0841,1.0741
pro,1024,fp16,op27_hls,8,16.589,14.322,1.0852,1.0735
pro,1024,fp16,op27_hls,16,16.828,14.675,1.0841,1.0724
pro,1024,fp16,op27_hls,32,16.996,14.847,1.0797,1.069
pro,1024,fp16,op27_hls,64,17.225,15.046,1.0814,1.0757
pro,1024,fp16,op27_hls,128,17.824,15.371,1.0814,1.0769
pro,1024,fp16,op27_hls,256,19.411,17.079,0.9336,0.9432
pro,1024,fp16,op27_hls,512,34.663,30.725,0.9315,0.9287
pro,1024,fp16,op27_hls,1024,53.943,48.034,0.925,0.9106
pro,1024,fp16,op27_hls,2048,93.871,87.562,0.8983,0.898
pro,1024,fp16,gvr_multicta_cutedsl,1,15.252,13.350,1.0009,1.0021
pro,1024,fp16,gvr_multicta_cutedsl,2,15.151,13.339,1.0012,1.0031
pro,1024,fp16,gvr_multicta_cutedsl,4,15.272,13.373,1.0038,1.003
pro,1024,fp16,gvr_multicta_cutedsl,8,15.336,13.374,1.0032,1.0023
pro,1024,fp16,gvr_multicta_cutedsl,16,15.572,13.724,1.0032,1.003
pro,1024,fp16,gvr_multicta_cutedsl,32,15.789,13.922,1.003,1.0023
pro,1024,fp16,gvr_multicta_cutedsl,64,16.006,14.042,1.0049,1.0039
pro,1024,fp16,gvr_multicta_cutedsl,128,16.537,14.320,1.0033,1.0032
pro,1024,fp16,gvr_multicta_cutedsl,256,20.827,18.127,1.0017,1.001
pro,1024,fp16,gvr_multicta_cutedsl,512,37.202,33.114,0.9997,1.0009
pro,1024,fp16,gvr_multicta_cutedsl,1024,58.303,52.768,0.9997,1.0004
pro,1024,fp16,gvr_multicta_cutedsl,2048,104.657,97.810,1.0015,1.0031
pro,1024,fp16,op26_1cta,1,15.246,13.268,1.0005,0.9959
pro,1024,fp16,op26_1cta,2,15.047,13.228,0.9943,0.9947
pro,1024,fp16,op26_1cta,4,15.176,13.267,0.9974,0.9951
pro,1024,fp16,op26_1cta,8,15.207,13.273,0.9948,0.9948
pro,1024,fp16,op26_1cta,16,15.447,13.613,0.9951,0.9948
pro,1024,fp16,op26_1cta,32,15.674,13.812,0.9956,0.9944
pro,1024,fp16,op26_1cta,64,15.911,13.921,0.9989,0.9953
pro,1024,fp16,op26_1cta,128,16.427,14.223,0.9966,0.9965
pro,1024,fp16,op26_1cta,256,17.648,15.012,0.8489,0.829
pro,1024,fp16,op26_1cta,512,32.016,27.479,0.8603,0.8306
pro,1024,fp16,op26_1cta,1024,50.372,43.524,0.8637,0.8251
pro,1024,fp16,op26_1cta,2048,88.037,79.643,0.8424,0.8168
pro,1024,fp16,op26_mc,1,15.303,13.410,1.0042,1.0065
pro,1024,fp16,op26_mc,2,15.147,13.387,1.0009,1.0067
pro,1024,fp16,op26_mc,4,15.333,13.409,1.0077,1.0058
pro,1024,fp16,op26_mc,8,15.409,13.417,1.008,1.0056
pro,1024,fp16,op26_mc,16,15.608,13.766,1.0055,1.006
pro,1024,fp16,op26_mc,32,15.826,13.984,1.0053,1.0068
pro,1024,fp16,op26_mc,64,16.042,14.085,1.0071,1.007
pro,1024,fp16,op26_mc,128,16.604,14.366,1.0074,1.0064
pro,1024,fp16,op26_mc,256,20.937,18.192,1.007,1.0046
pro,1024,fp16,op26_mc,512,37.371,33.266,1.0042,1.0055
pro,1024,fp16,op26_mc,1024,58.334,52.841,1.0003,1.0017
pro,1024,fp16,op26_mc,2048,104.911,98.007,1.0039,1.0051
pro,1024,fp16,op26_r0auto,1,15.241,13.267,1.0001,0.9959
pro,1024,fp16,op26_r0auto,2,15.045,13.230,0.9942,0.9949
pro,1024,fp16,op26_r0auto,4,15.180,13.264,0.9977,0.9949
pro,1024,fp16,op26_r0auto,8,15.207,13.273,0.9948,0.9948
pro,1024,fp16,op26_r0auto,16,15.440,13.612,0.9946,0.9947
pro,1024,fp16,op26_r0auto,32,15.661,13.813,0.9948,0.9945
pro,1024,fp16,op26_r0auto,64,15.899,13.924,0.9982,0.9955
pro,1024,fp16,op26_r0auto,128,16.445,14.223,0.9977,0.9964
pro,1024,fp16,op26_r0auto,256,17.624,15.008,0.8477,0.8288
pro,1024,fp16,op26_r0auto,512,31.980,27.472,0.8593,0.8304
pro,1024,fp16,op26_r0auto,1024,50.350,43.540,0.8634,0.8254
pro,1024,fp16,op26_r0auto,2048,88.087,79.615,0.8429,0.8165
pro,1024,fp16,radix_cutedsl,1,8.822,7.901,0.5789,0.593
pro,1024,fp16,radix_cutedsl,2,8.923,7.937,0.5896,0.5968
pro,1024,fp16,radix_cutedsl,4,9.067,7.969,0.5959,0.5977
pro,1024,fp16,radix_cutedsl,8,9.097,7.982,0.5951,0.5982
pro,1024,fp16,radix_cutedsl,16,9.283,8.340,0.598,0.6095
pro,1024,fp16,radix_cutedsl,32,9.395,8.416,0.5968,0.6059
pro,1024,fp16,radix_cutedsl,64,9.590,8.462,0.6021,0.6049
pro,1024,fp16,radix_cutedsl,128,10.025,8.610,0.6082,0.6032
pro,1024,fp16,radix_cutedsl,256,17.912,15.746,0.8615,0.8696
pro,1024,fp16,radix_cutedsl,512,33.263,29.990,0.8938,0.9064
pro,1024,fp16,radix_cutedsl,1024,56.564,51.281,0.9699,0.9722
pro,1024,fp16,radix_cutedsl,2048,110.278,100.598,1.0553,1.0317
pro,1024,fp16,radix_single_cuda,1,18.889,17.392,1.2395,1.3055
pro,1024,fp16,radix_single_cuda,2,19.039,17.455,1.2581,1.3126
pro,1024,fp16,radix_single_cuda,4,19.087,17.480,1.2545,1.3111
pro,1024,fp16,radix_single_cuda,8,19.142,17.501,1.2523,1.3117
pro,1024,fp16,radix_single_cuda,16,19.315,17.860,1.2443,1.3052
pro,1024,fp16,radix_single_cuda,32,19.430,17.969,1.2343,1.2937
pro,1024,fp16,radix_single_cuda,64,19.604,18.028,1.2308,1.2889
pro,1024,fp16,radix_single_cuda,128,19.945,18.215,1.2101,1.2761
pro,1024,fp16,radix_single_cuda,256,28.262,26.724,1.3594,1.4758
pro,1024,fp16,radix_single_cuda,512,50.066,48.442,1.3454,1.4642
pro,1024,fp16,radix_single_cuda,1024,81.582,79.441,1.3989,1.506
pro,1024,fp16,radix_single_cuda,2048,154.809,152.294,1.4814,1.5618
pro,1024,fp16,radix_multi_cuda,1,37.807,34.433,2.4809,2.5846
pro,1024,fp16,radix_multi_cuda,2,38.098,34.981,2.5175,2.6305
pro,1024,fp16,radix_multi_cuda,4,38.133,35.359,2.5063,2.6521
pro,1024,fp16,radix_multi_cuda,8,38.059,35.531,2.4897,2.663
pro,1024,fp16,radix_multi_cuda,16,38.273,36.040,2.4656,2.6338
pro,1024,fp16,radix_multi_cuda,32,36.892,34.880,2.3435,2.5112
pro,1024,fp16,radix_multi_cuda,64,37.965,35.595,2.3835,2.5448
pro,1024,fp16,radix_multi_cuda,128,45.210,43.667,2.7429,3.0592
pro,1024,fp16,radix_multi_cuda,256,83.328,81.208,4.008,4.4846
pro,1024,fp16,radix_multi_cuda,512,147.314,145.088,3.9586,4.3853
pro,1024,fp16,radix_multi_cuda,1024,269.091,266.640,4.6142,5.0549
pro,1024,fp16,radix_multi_cuda,2048,530.687,529.367,5.0782,5.4288
v32,2048,fp32,gvr_cutedsl,1,21.067,18.953,1.0,1.0
v32,2048,fp32,gvr_cutedsl,2,21.110,18.919,1.0,1.0
v32,2048,fp32,gvr_cutedsl,4,21.189,18.944,1.0,1.0
v32,2048,fp32,gvr_cutedsl,8,21.320,18.932,1.0,1.0
v32,2048,fp32,gvr_cutedsl,16,21.736,19.233,1.0,1.0
v32,2048,fp32,gvr_cutedsl,32,22.399,19.443,1.0,1.0
v32,2048,fp32,gvr_cutedsl,64,23.609,19.665,1.0,1.0
v32,2048,fp32,gvr_cutedsl,128,26.660,20.533,1.0,1.0
v32,2048,fp32,gvr_cutedsl,256,45.864,30.443,1.0,1.0
v32,2048,fp32,gvr_cutedsl,512,102.815,90.660,1.0,1.0
v32,2048,fp32,gvr_cutedsl,1024,160.811,148.587,1.0,1.0
v32,2048,fp32,gvr_cutedsl,2048,269.821,259.342,1.0,1.0
v32,2048,fp32,op21_legacy,1,26.308,24.095,1.2488,1.2713
v32,2048,fp32,op21_legacy,2,26.324,24.250,1.247,1.2818
v32,2048,fp32,op21_legacy,4,26.567,24.632,1.2538,1.3003
v32,2048,fp32,op21_legacy,8,26.725,24.747,1.2536,1.3071
v32,2048,fp32,op21_legacy,16,27.003,24.778,1.2423,1.2883
v32,2048,fp32,op21_legacy,32,27.851,25.329,1.2434,1.3027
v32,2048,fp32,op21_legacy,64,25.450,22.688,1.078,1.1537
v32,2048,fp32,op21_legacy,128,27.306,23.141,1.0242,1.127
v32,2048,fp32,op21_legacy,256,51.950,38.391,1.1327,1.2611
v32,2048,fp32,op21_legacy,512,95.088,85.217,0.9248,0.94
v32,2048,fp32,op21_legacy,1024,173.544,163.844,1.0792,1.1027
v32,2048,fp32,op21_legacy,2048,303.356,293.784,1.1243,1.1328
v32,2048,fp32,op27_hls,1,25.683,23.389,1.2191,1.2341
v32,2048,fp32,op27_hls,2,25.926,23.600,1.2281,1.2474
v32,2048,fp32,op27_hls,4,26.129,24.034,1.2331,1.2687
v32,2048,fp32,op27_hls,8,26.295,24.153,1.2334,1.2758
v32,2048,fp32,op27_hls,16,26.348,24.196,1.2122,1.2581
v32,2048,fp32,op27_hls,32,27.096,24.746,1.2097,1.2728
v32,2048,fp32,op27_hls,64,25.455,22.675,1.0782,1.153
v32,2048,fp32,op27_hls,128,27.192,23.140,1.02,1.127
v32,2048,fp32,op27_hls,256,52.073,37.950,1.1354,1.2466
v32,2048,fp32,op27_hls,512,95.158,85.254,0.9255,0.9404
v32,2048,fp32,op27_hls,1024,173.642,163.801,1.0798,1.1024
v32,2048,fp32,op27_hls,2048,303.445,293.881,1.1246,1.1332
v32,2048,fp32,gvr_multicta_cutedsl,1,19.184,16.910,0.9106,0.8922
v32,2048,fp32,gvr_multicta_cutedsl,2,19.457,17.084,0.9217,0.903
v32,2048,fp32,gvr_multicta_cutedsl,4,19.828,17.438,0.9358,0.9205
v32,2048,fp32,gvr_multicta_cutedsl,8,20.128,17.574,0.9441,0.9283
v32,2048,fp32,gvr_multicta_cutedsl,16,20.451,17.613,0.9409,0.9158
v32,2048,fp32,gvr_multicta_cutedsl,32,21.764,18.748,0.9716,0.9643
v32,2048,fp32,gvr_multicta_cutedsl,64,23.458,19.354,0.9936,0.9841
v32,2048,fp32,gvr_multicta_cutedsl,128,26.558,20.528,0.9962,0.9998
v32,2048,fp32,gvr_multicta_cutedsl,256,43.260,29.427,0.9432,0.9667
v32,2048,fp32,gvr_multicta_cutedsl,512,80.813,68.457,0.786,0.7551
v32,2048,fp32,gvr_multicta_cutedsl,1024,137.678,121.304,0.8561,0.8164
v32,2048,fp32,gvr_multicta_cutedsl,2048,231.397,217.527,0.8576,0.8388
v32,2048,fp32,op26_1cta,1,19.250,17.066,0.9138,0.9005
v32,2048,fp32,op26_1cta,2,19.223,17.045,0.9106,0.9009
v32,2048,fp32,op26_1cta,4,19.283,17.067,0.9101,0.9009
v32,2048,fp32,op26_1cta,8,19.473,17.072,0.9134,0.9017
v32,2048,fp32,op26_1cta,16,19.940,17.344,0.9173,0.9018
v32,2048,fp32,op26_1cta,32,20.571,17.554,0.9184,0.9029
v32,2048,fp32,op26_1cta,64,21.717,17.781,0.9199,0.9042
v32,2048,fp32,op26_1cta,128,24.841,18.634,0.9318,0.9075
v32,2048,fp32,op26_1cta,256,43.632,27.836,0.9513,0.9144
v32,2048,fp32,op26_1cta,512,101.566,88.738,0.9879,0.9788
v32,2048,fp32,op26_1cta,1024,163.144,149.178,1.0145,1.004
v32,2048,fp32,op26_1cta,2048,275.907,267.422,1.0226,1.0312
v32,2048,fp32,op26_mc,1,20.136,17.829,0.9558,0.9407
v32,2048,fp32,op26_mc,2,20.435,18.028,0.968,0.9529
v32,2048,fp32,op26_mc,4,20.820,18.401,0.9826,0.9714
v32,2048,fp32,op26_mc,8,21.120,18.545,0.9907,0.9796
v32,2048,fp32,op26_mc,16,21.398,18.582,0.9844,0.9662
v32,2048,fp32,op26_mc,32,22.668,19.697,1.012,1.0131
v32,2048,fp32,op26_mc,64,24.497,20.363,1.0376,1.0355
v32,2048,fp32,op26_mc,128,28.071,21.789,1.0529,1.0612
v32,2048,fp32,op26_mc,256,45.059,31.229,0.9824,1.0258
v32,2048,fp32,op26_mc,512,84.265,72.148,0.8196,0.7958
v32,2048,fp32,op26_mc,1024,144.465,127.637,0.8983,0.859
v32,2048,fp32,op26_mc,2048,243.079,229.694,0.9009,0.8857
v32,2048,fp32,op26_r0auto,1,19.921,17.612,0.9456,0.9292
v32,2048,fp32,op26_r0auto,2,20.084,17.802,0.9514,0.9409
v32,2048,fp32,op26_r0auto,4,20.368,18.177,0.9612,0.9595
v32,2048,fp32,op26_r0auto,8,20.661,18.305,0.9691,0.9669
v32,2048,fp32,op26_r0auto,16,20.981,18.367,0.9653,0.955
v32,2048,fp32,op26_r0auto,32,22.656,19.935,1.0115,1.0253
v32,2048,fp32,op26_r0auto,64,24.373,20.667,1.0324,1.0509
v32,2048,fp32,op26_r0auto,128,30.204,24.557,1.1329,1.196
v32,2048,fp32,op26_r0auto,256,55.402,39.875,1.208,1.3098
v32,2048,fp32,op26_r0auto,512,133.843,122.782,1.3018,1.3543
v32,2048,fp32,op26_r0auto,1024,212.580,201.984,1.3219,1.3594
v32,2048,fp32,op26_r0auto,2048,367.907,358.181,1.3635,1.3811
v32,2048,fp32,radix_cutedsl,1,16.925,15.852,0.8034,0.8364
v32,2048,fp32,radix_cutedsl,2,18.663,17.757,0.8841,0.9386
v32,2048,fp32,radix_cutedsl,4,19.763,18.815,0.9327,0.9932
v32,2048,fp32,radix_cutedsl,8,19.944,19.008,0.9355,1.004
v32,2048,fp32,radix_cutedsl,16,20.679,19.160,0.9514,0.9962
v32,2048,fp32,radix_cutedsl,32,30.158,28.479,1.3464,1.4647
v32,2048,fp32,radix_cutedsl,64,57.564,55.094,2.4382,2.8016
v32,2048,fp32,radix_cutedsl,128,65.232,60.821,2.4468,2.9622
v32,2048,fp32,radix_cutedsl,256,125.225,117.817,2.7304,3.8701
v32,2048,fp32,radix_cutedsl,512,216.155,212.572,2.1024,2.3447
v32,2048,fp32,radix_cutedsl,1024,425.469,422.200,2.6458,2.8414
v32,2048,fp32,radix_cutedsl,2048,844.948,841.788,3.1315,3.2459
v32,2048,fp32,radix_single_cuda,1,49.486,39.694,2.349,2.0943
v32,2048,fp32,radix_single_cuda,2,51.489,39.949,2.4391,2.1115
v32,2048,fp32,radix_single_cuda,4,51.560,40.051,2.4334,2.1142
v32,2048,fp32,radix_single_cuda,8,51.619,40.174,2.4212,2.122
v32,2048,fp32,radix_single_cuda,16,52.794,40.683,2.4288,2.1153
v32,2048,fp32,radix_single_cuda,32,53.038,40.962,2.3678,2.1068
v32,2048,fp32,radix_single_cuda,64,53.501,41.092,2.2661,2.0896
v32,2048,fp32,radix_single_cuda,128,54.758,41.378,2.0539,2.0152
v32,2048,fp32,radix_single_cuda,256,69.942,54.203,1.525,1.7805
v32,2048,fp32,radix_single_cuda,512,134.538,125.869,1.3085,1.3884
v32,2048,fp32,radix_single_cuda,1024,209.745,201.676,1.3043,1.3573
v32,2048,fp32,radix_single_cuda,2048,376.862,368.598,1.3967,1.4213
v32,2048,fp32,radix_multi_cuda,1,46.722,40.955,2.2178,2.1608
v32,2048,fp32,radix_multi_cuda,2,47.237,41.622,2.2376,2.1999
v32,2048,fp32,radix_multi_cuda,4,47.171,41.868,2.2262,2.2101
v32,2048,fp32,radix_multi_cuda,8,47.225,42.128,2.2151,2.2252
v32,2048,fp32,radix_multi_cuda,16,46.163,42.760,2.1238,2.2233
v32,2048,fp32,radix_multi_cuda,32,53.278,50.928,2.3786,2.6194
v32,2048,fp32,radix_multi_cuda,64,74.864,72.262,3.171,3.6746
v32,2048,fp32,radix_multi_cuda,128,67.209,59.511,2.521,2.8983
v32,2048,fp32,radix_multi_cuda,256,123.982,111.149,2.7033,3.6511
v32,2048,fp32,radix_multi_cuda,512,210.189,205.861,2.0443,2.2707
v32,2048,fp32,radix_multi_cuda,1024,380.850,377.784,2.3683,2.5425
v32,2048,fp32,radix_multi_cuda,2048,742.682,740.109,2.7525,2.8538
v32,2048,fp32,sglang_v2,1,11.593,9.923,0.5503,0.5236
v32,2048,fp32,sglang_v2,2,11.614,10.023,0.5502,0.5298
v32,2048,fp32,sglang_v2,4,11.708,10.410,0.5526,0.5495
v32,2048,fp32,sglang_v2,8,11.924,10.529,0.5593,0.5561
v32,2048,fp32,sglang_v2,16,14.420,13.277,0.6634,0.6903
v32,2048,fp32,sglang_v2,32,24.522,18.990,1.0948,0.9767
v32,2048,fp32,sglang_v2,64,25.116,19.138,1.0638,0.9732
v32,2048,fp32,sglang_v2,128,26.815,19.517,1.0058,0.9505
v32,2048,fp32,sglang_v2,256,38.655,30.694,0.8428,1.0083
v32,2048,fp32,sglang_v2,512,68.925,60.579,0.6704,0.6682
v32,2048,fp32,sglang_v2,1024,113.466,101.940,0.7056,0.6861
v32,2048,fp32,sglang_v2,2048,200.110,189.163,0.7416,0.7294
v32,2048,fp32,flashinfer_topk,1,13.921,12.626,0.6608,0.6661
v32,2048,fp32,flashinfer_topk,2,14.051,12.707,0.6656,0.6716
v32,2048,fp32,flashinfer_topk,4,14.442,13.096,0.6816,0.6913
v32,2048,fp32,flashinfer_topk,8,14.651,13.172,0.6872,0.6957
v32,2048,fp32,flashinfer_topk,16,19.107,17.413,0.879,0.9054
v32,2048,fp32,flashinfer_topk,32,20.292,18.380,0.9059,0.9453
v32,2048,fp32,flashinfer_topk,64,24.382,20.899,1.0327,1.0627
v32,2048,fp32,flashinfer_topk,128,35.268,29.158,1.3229,1.4201
v32,2048,fp32,flashinfer_topk,256,54.396,41.747,1.186,1.3714
v32,2048,fp32,flashinfer_topk,512,98.712,91.465,0.9601,1.0089
v32,2048,fp32,flashinfer_topk,1024,166.059,157.961,1.0326,1.0631
v32,2048,fp32,flashinfer_topk,2048,311.268,303.257,1.1536,1.1693
v32,2048,fp32,gvr29_hbe,1,11.576,9.916,0.5495,0.5232
v32,2048,fp32,gvr29_hbe,2,11.667,10.010,0.5527,0.5291
v32,2048,fp32,gvr29_hbe,4,11.767,10.409,0.5553,0.5495
v32,2048,fp32,gvr29_hbe,8,11.924,10.525,0.5593,0.556
v32,2048,fp32,gvr29_hbe,16,14.481,13.260,0.6662,0.6895
v32,2048,fp32,gvr29_hbe,32,24.589,18.966,1.0978,0.9755
v32,2048,fp32,gvr29_hbe,64,25.114,19.122,1.0637,0.9724
v32,2048,fp32,gvr29_hbe,128,26.762,19.507,1.0038,0.9501
v32,2048,fp32,gvr29_hbe,256,38.623,30.665,0.8421,1.0073
v32,2048,fp32,gvr29_hbe,512,68.988,60.410,0.671,0.6663
v32,2048,fp32,gvr29_hbe,1024,100.830,93.123,0.627,0.6267
v32,2048,fp32,gvr29_hbe,2048,185.435,178.530,0.6872,0.6884
v32,2048,bf16,gvr_cutedsl,1,18.023,16.381,1.0,1.0
v32,2048,bf16,gvr_cutedsl,2,17.986,16.387,1.0,1.0
v32,2048,bf16,gvr_cutedsl,4,18.050,16.406,1.0,1.0
v32,2048,bf16,gvr_cutedsl,8,18.051,16.436,1.0,1.0
v32,2048,bf16,gvr_cutedsl,16,18.412,16.626,1.0,1.0
v32,2048,bf16,gvr_cutedsl,32,18.823,16.720,1.0,1.0
v32,2048,bf16,gvr_cutedsl,64,19.512,16.823,1.0,1.0
v32,2048,bf16,gvr_cutedsl,128,20.711,17.157,1.0,1.0
v32,2048,bf16,gvr_cutedsl,256,31.631,26.417,1.0,1.0
v32,2048,bf16,gvr_cutedsl,512,57.504,46.610,1.0,1.0
v32,2048,bf16,gvr_cutedsl,1024,89.799,83.291,1.0,1.0
v32,2048,bf16,gvr_cutedsl,2048,158.566,152.507,1.0,1.0
v32,2048,bf16,op21_legacy,1,28.716,23.679,1.5933,1.4455
v32,2048,bf16,op21_legacy,2,28.592,23.695,1.5896,1.446
v32,2048,bf16,op21_legacy,4,30.760,25.174,1.7042,1.5344
v32,2048,bf16,op21_legacy,8,29.612,25.702,1.6405,1.5637
v32,2048,bf16,op21_legacy,16,29.604,25.659,1.6079,1.5433
v32,2048,bf16,op21_legacy,32,29.969,26.163,1.5922,1.5648
v32,2048,bf16,op21_legacy,64,26.724,23.759,1.3696,1.4123
v32,2048,bf16,op21_legacy,128,27.684,24.127,1.3366,1.4062
v32,2048,bf16,op21_legacy,256,46.190,40.776,1.4603,1.5435
v32,2048,bf16,op21_legacy,512,84.642,72.497,1.4719,1.5554
v32,2048,bf16,op21_legacy,1024,146.067,151.960,1.6266,1.8244
v32,2048,bf16,op21_legacy,2048,255.898,265.167,1.6138,1.7387
v32,2048,bf16,op27_hls,1,24.422,19.849,1.355,1.2118
v32,2048,bf16,op27_hls,2,24.327,19.863,1.3525,1.2121
v32,2048,bf16,op27_hls,4,26.635,22.527,1.4757,1.3731
v32,2048,bf16,op27_hls,8,26.557,22.974,1.4713,1.3978
v32,2048,bf16,op27_hls,16,26.600,23.048,1.4447,1.3863
v32,2048,bf16,op27_hls,32,26.936,23.633,1.431,1.4135
v32,2048,bf16,op27_hls,64,25.998,23.291,1.3324,1.3845
v32,2048,bf16,op27_hls,128,27.001,23.653,1.3037,1.3786
v32,2048,bf16,op27_hls,256,45.245,39.937,1.4304,1.5118
v32,2048,bf16,op27_hls,512,83.003,70.690,1.4434,1.5166
v32,2048,bf16,op27_hls,1024,133.838,138.250,1.4904,1.6598
v32,2048,bf16,op27_hls,2048,256.160,256.982,1.6155,1.685
v32,2048,bf16,gvr_multicta_cutedsl,1,16.707,14.775,0.927,0.902
v32,2048,bf16,gvr_multicta_cutedsl,2,16.877,14.844,0.9383,0.9058
v32,2048,bf16,gvr_multicta_cutedsl,4,16.957,14.868,0.9395,0.9062
v32,2048,bf16,gvr_multicta_cutedsl,8,17.551,15.304,0.9723,0.9311
v32,2048,bf16,gvr_multicta_cutedsl,16,17.695,15.339,0.961,0.9226
v32,2048,bf16,gvr_multicta_cutedsl,32,18.419,16.251,0.9785,0.972
