model,K,dtype,layer,hit_rate,op,us_cold,us_warm,vdiff,recall,n_neg
flash,512,bf16,16,0.3301,op26_mc,12.523,10.322,0.0,1.0,0
flash,512,bf16,16,0.3301,op26_r0auto,14.259,12.418,0.0,1.0,0
flash,512,bf16,16,0.3301,op27_hls,25.218,20.015,0.0,1.0,0
flash,512,bf16,16,0.3301,radix_cutedsl,14.541,13.142,0.0,1.0,0
flash,512,bf16,16,0.3301,radix_multi_cuda,38.093,33.717,0.0,1.0,0
flash,512,bf16,16,0.3301,radix_single_cuda,21.574,19.233,0.0,1.0,0
flash,512,bf16,18,0.4199,gvr_cutedsl,19.632,16.794,0.0,1.0,0
flash,512,bf16,18,0.4199,gvr_multicta_cutedsl,17.728,14.985,0.0,1.0,0
flash,512,bf16,18,0.4199,op21_legacy,21.445,18.546,0.0,1.0,0
flash,512,bf16,18,0.4199,op26_1cta,18.843,16.587,0.0,1.0,0
flash,512,bf16,18,0.4199,op26_mc,17.326,14.970,0.0,1.0,0
flash,512,bf16,18,0.4199,op26_r0auto,17.334,15.062,0.0,1.0,0
flash,512,bf16,18,0.4199,op27_hls,24.102,18.569,0.0,1.0,0
flash,512,bf16,18,0.4199,radix_cutedsl,14.509,13.359,0.0,1.0,0
flash,512,bf16,18,0.4199,radix_multi_cuda,38.451,34.145,0.0,1.0,0
flash,512,bf16,18,0.4199,radix_single_cuda,22.563,20.079,0.0,1.0,0
flash,512,bf16,20,0.5547,gvr_cutedsl,15.642,13.381,0.0,1.0,0
flash,512,bf16,20,0.5547,gvr_multicta_cutedsl,14.290,12.014,0.0,1.0,0
flash,512,bf16,20,0.5547,op21_legacy,23.379,20.924,0.0,1.0,0
flash,512,bf16,20,0.5547,op26_1cta,15.077,13.235,0.0,1.0,0
flash,512,bf16,20,0.5547,op26_mc,13.928,11.994,0.0,1.0,0
flash,512,bf16,20,0.5547,op26_r0auto,14.205,12.440,0.0,1.0,0
flash,512,bf16,20,0.5547,op27_hls,25.919,21.016,0.0,1.0,0
flash,512,bf16,20,0.5547,radix_cutedsl,14.880,13.391,0.0,1.0,0
flash,512,bf16,20,0.5547,radix_multi_cuda,38.318,34.353,0.0,1.0,0
flash,512,bf16,20,0.5547,radix_single_cuda,21.896,19.451,0.0,1.0,0
flash,512,bf16,22,0.2598,gvr_cutedsl,18.032,15.793,0.0,1.0,0
flash,512,bf16,22,0.2598,gvr_multicta_cutedsl,16.590,14.307,0.0,1.0,0
flash,512,bf16,22,0.2598,op21_legacy,23.053,20.217,0.0,1.0,0
flash,512,bf16,22,0.2598,op26_1cta,17.978,15.761,0.0,1.0,0
flash,512,bf16,22,0.2598,op26_mc,16.614,14.303,0.0,1.0,0
flash,512,bf16,22,0.2598,op26_r0auto,16.661,14.474,0.0,1.0,0
flash,512,bf16,22,0.2598,op27_hls,25.622,20.287,0.0,1.0,0
flash,512,bf16,22,0.2598,radix_cutedsl,14.291,12.952,0.0,1.0,0
flash,512,bf16,22,0.2598,radix_multi_cuda,38.013,33.626,0.0,1.0,0
flash,512,bf16,22,0.2598,radix_single_cuda,22.056,19.771,0.0,1.0,0
flash,512,bf16,24,0.1387,gvr_cutedsl,15.165,12.929,0.0,1.0,0
flash,512,bf16,24,0.1387,gvr_multicta_cutedsl,13.806,11.532,0.0,1.0,0
flash,512,bf16,24,0.1387,op21_legacy,24.490,21.797,0.0,1.0,0
flash,512,bf16,24,0.1387,op26_1cta,15.102,12.908,0.0,1.0,0
flash,512,bf16,24,0.1387,op26_mc,13.645,11.544,0.0,1.0,0
flash,512,bf16,24,0.1387,op26_r0auto,14.629,12.520,0.0,1.0,0
flash,512,bf16,24,0.1387,op27_hls,27.002,21.889,0.0,1.0,0
flash,512,bf16,24,0.1387,radix_cutedsl,14.285,13.266,0.0,1.0,0
flash,512,bf16,24,0.1387,radix_multi_cuda,38.067,33.786,0.0,1.0,0
flash,512,bf16,24,0.1387,radix_single_cuda,22.218,19.810,0.0,1.0,0
flash,512,bf16,26,0.334,gvr_cutedsl,13.811,11.514,0.0,1.0,0
flash,512,bf16,26,0.334,gvr_multicta_cutedsl,12.222,10.075,0.0,1.0,0
flash,512,bf16,26,0.334,op21_legacy,22.522,19.747,0.0,1.0,0
flash,512,bf16,26,0.334,op26_1cta,13.779,11.434,0.0,1.0,0
flash,512,bf16,26,0.334,op26_mc,12.168,10.072,0.0,1.0,0
flash,512,bf16,26,0.334,op26_r0auto,14.595,12.420,0.0,1.0,0
flash,512,bf16,26,0.334,op27_hls,25.022,19.851,0.0,1.0,0
flash,512,bf16,26,0.334,radix_cutedsl,14.816,13.555,0.0,1.0,0
flash,512,bf16,26,0.334,radix_multi_cuda,38.128,34.328,0.0,1.0,0
flash,512,bf16,26,0.334,radix_single_cuda,21.702,19.675,0.0,1.0,0
flash,512,bf16,28,0.5781,gvr_cutedsl,17.448,14.918,0.0,1.0,0
flash,512,bf16,28,0.5781,gvr_multicta_cutedsl,16.090,13.542,0.0,1.0,0
flash,512,bf16,28,0.5781,op21_legacy,24.923,22.223,0.0,1.0,0
flash,512,bf16,28,0.5781,op26_1cta,16.654,14.749,0.0,1.0,0
flash,512,bf16,28,0.5781,op26_mc,15.696,13.542,0.0,1.0,0
flash,512,bf16,28,0.5781,op26_r0auto,15.043,13.187,0.0,1.0,0
flash,512,bf16,28,0.5781,op27_hls,27.242,22.322,0.0,1.0,0
flash,512,bf16,28,0.5781,radix_cutedsl,14.667,13.295,0.0,1.0,0
flash,512,bf16,28,0.5781,radix_multi_cuda,39.035,34.631,0.0,1.0,0
flash,512,bf16,28,0.5781,radix_single_cuda,22.547,20.010,0.0,1.0,0
flash,512,bf16,30,0.2656,gvr_cutedsl,14.459,12.195,0.0,1.0,0
flash,512,bf16,30,0.2656,gvr_multicta_cutedsl,12.976,10.731,0.0,1.0,0
flash,512,bf16,30,0.2656,op21_legacy,22.869,20.264,0.0,1.0,0
flash,512,bf16,30,0.2656,op26_1cta,14.411,12.131,0.0,1.0,0
flash,512,bf16,30,0.2656,op26_mc,12.877,10.744,0.0,1.0,0
flash,512,bf16,30,0.2656,op26_r0auto,15.434,13.370,0.0,1.0,0
flash,512,bf16,30,0.2656,op27_hls,25.491,20.348,0.0,1.0,0
flash,512,bf16,30,0.2656,radix_cutedsl,14.386,13.375,0.0,1.0,0
flash,512,bf16,30,0.2656,radix_multi_cuda,38.299,33.897,0.0,1.0,0
flash,512,bf16,30,0.2656,radix_single_cuda,22.296,20.065,0.0,1.0,0
flash,512,bf16,32,0.3691,gvr_cutedsl,14.051,11.926,0.0,1.0,0
flash,512,bf16,32,0.3691,gvr_multicta_cutedsl,12.590,10.440,0.0,1.0,0
flash,512,bf16,32,0.3691,op21_legacy,22.206,19.432,0.0,1.0,0
