scenario,K,N,arm,us_cold,us_warm
worst,2048,32768,radix_single_cuda,29.2849,25.07716
worst,2048,32768,radix_multi_cuda,43.352050000000006,38.46724
worst,2048,32768,op27_hls,18.3536,16.951060000000002
worst,2048,32768,op26_r0auto,13.21925,11.548200000000001
worst,2048,32768,sglang_v2,12.2624,10.14656
worst,2048,32768,flashinfer_topk,11.72805,11.02082
worst,2048,65536,gvr_cutedsl,18.69925,16.88194
worst,2048,65536,radix_cutedsl,19.37125,18.74242
worst,2048,65536,gvr_multicta_cutedsl,18.008,16.1024
worst,2048,65536,radix_single_cuda,44.96965,36.2266
worst,2048,65536,radix_multi_cuda,44.70885,40.00072
worst,2048,65536,op27_hls,21.9552,20.461479999999998
worst,2048,65536,op26_r0auto,15.664,13.863719999999999
worst,2048,65536,sglang_v2,11.50885,10.48898
worst,2048,65536,flashinfer_topk,12.891200000000001,11.967360000000001
worst,2048,131072,gvr_cutedsl,22.16325,19.85922
worst,2048,131072,radix_cutedsl,20.038400000000003,19.36774
worst,2048,131072,gvr_multicta_cutedsl,16.606450000000002,15.2864
worst,2048,131072,radix_single_cuda,75.44330000000001,58.73482
worst,2048,131072,radix_multi_cuda,48.5361,42.87304
worst,2048,131072,op27_hls,17.272,15.53474
worst,2048,131072,op26_r0auto,16.3232,15.02916
worst,2048,131072,sglang_v2,12.8913,11.525799999999998
worst,2048,131072,flashinfer_topk,15.6304,14.08258
worst,2048,262144,gvr_cutedsl,34.27205,30.9652
worst,2048,262144,radix_cutedsl,20.038400000000003,19.26784
worst,2048,262144,gvr_multicta_cutedsl,21.55845,19.65702
worst,2048,262144,radix_single_cuda,132.23385000000002,98.88654
worst,2048,262144,radix_multi_cuda,56.04815,48.58824
worst,2048,262144,op27_hls,18.232,16.35332
worst,2048,262144,op26_r0auto,20.0224,18.26562
worst,2048,262144,sglang_v2,16.462400000000002,14.30976
worst,2048,262144,flashinfer_topk,21.26245,18.639380000000003
worst,2048,524288,gvr_cutedsl,53.33445,48.24264
worst,2048,524288,radix_cutedsl,19.81605,19.12582
worst,2048,524288,gvr_multicta_cutedsl,25.50885,23.0714
worst,2048,524288,radix_single_cuda,243.06435000000002,177.04666
worst,2048,524288,radix_multi_cuda,69.22245,58.282959999999996
worst,2048,524288,op27_hls,30.83535,28.84288
worst,2048,524288,op26_r0auto,26.153599999999997,24.223419999999997
worst,2048,524288,sglang_v2,24.75205,21.16418
worst,2048,524288,flashinfer_topk,33.56015,28.71816
worst,2048,1048576,gvr_cutedsl,96.71375,88.53388000000001
worst,2048,1048576,radix_cutedsl,20.9776,19.461759999999998
worst,2048,1048576,gvr_multicta_cutedsl,38.9937,35.7479
worst,2048,1048576,radix_single_cuda,464.839,333.32914
worst,2048,1048576,radix_multi_cuda,98.07385000000001,78.87628
worst,2048,1048576,op27_hls,28.32165,25.9482
worst,2048,1048576,op26_r0auto,37.2913,35.066919999999996
worst,2048,1048576,sglang_v2,33.2241,26.830759999999998
worst,2048,1048576,flashinfer_topk,53.132949999999994,44.39818
