scenario,K,dtype,N,BS,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,op21_legacy_cold_us,op21_legacy_warm_us,op21_hls_cold_us,op21_hls_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,speedup_vs_base_op21_legacy,speedup_vs_base_op21_hls,speedup_vs_base_radix_cutedsl,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_sglang_streaming,mc_cluster_size
best,512,fp32,8192,2048,74.783,68.849,73.079,65.95,69.802,63.002,98.379,91.12,87.475,78.254,70.557,64.526,1.0233,1.0714,0.7602,0.8549,1.0599,1
best,512,fp32,16384,1,12.837,11.22,12.208,10.797,12.134,10.869,12.226,11.418,12.872,11.222,11.387,10.156,1.0515,1.0579,1.05,0.9973,1.1273,1
best,512,fp32,16384,2,12.824,11.189,12.4,10.805,12.128,10.838,12.091,11.444,12.764,11.182,11.381,10.131,1.0342,1.0574,1.0606,1.0047,1.1268,1
best,512,fp32,16384,4,12.63,11.181,11.992,10.774,12.005,10.842,12.334,11.444,12.701,11.194,11.133,10.175,1.0532,1.0521,1.024,0.9944,1.1345,1
best,512,fp32,16384,8,12.768,11.2,12.232,10.777,12.214,10.823,12.389,11.482,13.061,11.204,11.134,10.183,1.0438,1.0454,1.0306,0.9776,1.1468,1
best,512,fp32,16384,16,12.878,11.402,12.202,10.988,12.456,11.045,12.461,11.818,12.731,11.413,11.507,10.528,1.0554,1.0339,1.0335,1.0115,1.1191,1
best,512,fp32,16384,32,13.21,11.536,12.638,11.059,12.619,11.075,12.667,11.865,13.172,11.542,11.766,10.607,1.0453,1.0468,1.0429,1.0029,1.1227,1
best,512,fp32,16384,64,13.653,11.617,12.877,11.187,12.965,11.217,13.08,11.922,13.595,11.613,12.238,10.723,1.0603,1.0531,1.0438,1.0043,1.1156,1
best,512,fp32,16384,128,14.502,11.909,13.725,11.474,13.819,11.491,13.88,12.134,14.688,11.915,13.154,11.213,1.0566,1.0494,1.0448,0.9873,1.1025,1
best,512,fp32,16384,256,20.629,16.97,19.158,15.371,19.211,15.377,25.155,22.696,19.26,15.63,18.866,16.232,1.0768,1.0738,0.8201,1.0711,1.0934,1
best,512,fp32,16384,512,39.246,30.326,36.362,27.591,36.407,27.646,47.544,43.632,35.03,30.052,32.363,29.192,1.0793,1.078,0.8255,1.1204,1.2127,1
best,512,fp32,16384,1024,60.587,48.954,54.749,43.163,54.95,43.306,83.231,75.111,63.954,52.963,54.29,49.057,1.1066,1.1026,0.7279,0.9474,1.116,1
best,512,fp32,16384,2048,101.49,95.33,91.923,86.715,92.186,86.787,160.847,155.853,112.194,108.102,101.562,99.586,1.1041,1.1009,0.631,0.9046,0.9993,1
best,512,fp32,32768,1,15.234,13.322,13.371,11.871,13.445,11.93,16.472,15.575,15.051,13.329,16.082,14.895,1.1393,1.1331,0.9248,1.0122,0.9473,1
best,512,fp32,32768,2,15.446,13.359,13.558,11.889,13.675,11.956,16.32,15.497,15.502,13.378,15.965,14.952,1.1393,1.1295,0.9464,0.9964,0.9675,1
best,512,fp32,32768,4,15.088,13.331,13.526,11.872,13.43,11.942,19.914,19.121,14.901,13.321,15.882,14.956,1.1155,1.1235,0.7577,1.0125,0.95,1
best,512,fp32,32768,8,15.098,13.347,13.547,11.851,13.269,11.918,20.52,19.604,15.286,13.348,15.894,14.974,1.1145,1.1378,0.7358,0.9877,0.9499,1
best,512,fp32,32768,16,15.63,13.563,13.744,12.081,13.638,12.143,20.462,19.476,15.728,13.564,16.259,15.333,1.1372,1.1461,0.7639,0.9938,0.9613,1
best,512,fp32,32768,32,15.907,13.706,14.035,12.135,14.002,12.198,21.283,19.77,15.771,13.712,16.642,15.414,1.1334,1.1361,0.7474,1.0086,0.9558,1
