scenario,K,dtype,N,BS,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,op21_legacy_cold_us,op21_legacy_warm_us,op21_hls_cold_us,op21_hls_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,speedup_vs_base_op21_legacy,speedup_vs_base_op21_hls,speedup_vs_base_radix_cutedsl,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_sglang_streaming,mc_cluster_size
best,2048,bf16,32768,1024,80.091,73.139,105.528,85.711,104.64,86.897,107.795,100.75,80.429,74.139,,,0.759,0.7654,0.743,0.9958,,1
best,2048,bf16,32768,2048,146.621,143.358,196.476,190.427,195.402,189.593,210.629,207.659,147.969,145.099,,,0.7463,0.7504,0.6961,0.9909,,1
best,2048,bf16,65536,1,20.581,19.328,19.035,17.531,18.65,17.183,14.605,13.716,18.917,16.97,,,1.0812,1.1035,1.4092,1.088,,4
best,2048,bf16,65536,2,20.374,19.291,19.342,17.638,19.096,17.516,15.635,14.486,18.217,17.006,,,1.0534,1.0669,1.3031,1.1184,,4
best,2048,bf16,65536,4,20.494,19.259,19.384,17.798,19.319,17.807,15.637,14.573,18.698,17.022,,,1.0573,1.0608,1.3106,1.0961,,4
best,2048,bf16,65536,8,20.573,19.263,19.69,18.078,19.526,18.077,15.786,14.843,18.768,17.175,,,1.0448,1.0536,1.3032,1.0962,,4
best,2048,bf16,65536,16,20.686,19.272,19.824,18.07,19.762,18.102,16.142,15.025,18.997,17.221,,,1.0435,1.0468,1.2815,1.0889,,4
best,2048,bf16,65536,32,21.106,19.332,20.81,18.73,20.662,18.797,19.139,17.835,20.343,18.506,,,1.0142,1.0215,1.1028,1.0375,,2
best,2048,bf16,65536,64,21.76,19.533,26.276,24.044,26.152,24.015,25.459,23.761,21.123,18.895,,,0.8281,0.8321,0.8547,1.0302,,2
best,2048,bf16,65536,128,23.264,19.868,27.947,24.412,27.738,24.383,28.855,26.865,23.75,20.442,,,0.8324,0.8387,0.8062,0.9795,,1
best,2048,bf16,65536,256,39.312,32.989,56.063,43.66,55.815,43.429,54.995,51.56,40.26,34.031,,,0.7012,0.7043,0.7148,0.9765,,1
best,2048,bf16,65536,512,69.195,57.527,103.583,80.703,103.144,79.515,108.04,100.979,70.531,59.198,,,0.668,0.6709,0.6405,0.9811,,1
best,2048,bf16,65536,1024,109.736,103.913,166.655,159.823,166.383,159.413,188.461,182.619,112.065,106.77,,,0.6585,0.6595,0.5823,0.9792,,1
best,2048,bf16,65536,2048,197.604,191.705,310.159,303.492,310.1,303.398,368.527,362.341,202.929,197.571,,,0.6371,0.6372,0.5362,0.9738,,1
best,2048,bf16,131072,1,30.36,28.556,15.915,14.13,15.658,13.754,14.573,13.752,20.611,19.115,,,1.9076,1.9389,2.0833,1.473,,4
best,2048,bf16,131072,2,30.152,28.481,15.976,14.22,15.49,13.862,15.086,14.239,20.406,19.194,,,1.8873,1.9465,1.9987,1.4776,,4
best,2048,bf16,131072,4,29.869,28.483,16.04,14.245,15.898,14.038,15.613,14.473,20.445,19.145,,,1.8622,1.8788,1.9131,1.4609,,4
best,2048,bf16,131072,8,29.938,28.486,17.439,15.142,17.224,15.067,15.947,14.675,20.69,19.281,,,1.7167,1.7382,1.8773,1.447,,4
best,2048,bf16,131072,16,30.181,28.497,17.69,15.169,17.61,15.107,18.765,17.496,20.888,19.324,,,1.7061,1.7139,1.6084,1.4449,,4
best,2048,bf16,131072,32,30.73,28.555,18.549,15.688,18.49,15.585,24.698,22.947,26.106,23.75,,,1.6567,1.662,1.2442,1.1771,,2
best,2048,bf16,131072,64,31.84,28.807,30.31,27.536,30.216,27.45,35.954,33.621,27.145,24.214,,,1.0505,1.0537,0.8856,1.173,,2
best,2048,bf16,131072,128,34.39,29.204,32.584,27.9,32.427,27.802,68.48,65.181,35.729,30.225,,,1.0554,1.0605,0.5022,0.9625,,1
best,2048,bf16,131072,256,63.219,52.111,70.935,53.848,70.735,53.75,133.871,127.876,65.843,55.019,,,0.8912,0.8937,0.4722,0.9601,,1
best,2048,bf16,131072,512,133.199,102.606,129.904,120.223,129.247,119.731,232.077,229.611,138.062,107.045,,,1.0254,1.0306,0.5739,0.9648,,1
best,2048,bf16,131072,1024,202.151,184.639,213.759,205.623,212.717,204.846,459.455,456.758,224.599,181.829,,,0.9457,0.9503,0.44,0.9001,,1
best,2048,bf16,131072,2048,353.412,335.179,401.614,393.281,399.887,391.699,912.672,910.395,377.019,341.328,,,0.88,0.8838,0.3872,0.9374,,1
best,2048,bf16,262144,1,46.651,44.556,20.371,18.048,19.987,17.443,14.754,13.883,25.844,23.991,,,2.2901,2.3341,3.1619,1.8051,,4
best,2048,bf16,262144,2,46.059,44.515,20.158,18.009,20.152,17.69,14.981,13.992,25.613,24.028,,,2.2849,2.2856,3.0745,1.7983,,4
best,2048,bf16,262144,4,46.096,44.518,20.466,18.074,20.25,17.839,15.802,14.423,25.813,24.075,,,2.2523,2.2763,2.9171,1.7858,,4
best,2048,bf16,262144,8,46.36,44.524,21.048,18.461,20.621,18.109,18.6,17.226,26.154,24.25,,,2.2026,2.2482,2.4925,1.7726,,4
best,2048,bf16,262144,16,46.744,44.51,23.242,19.884,23.064,19.707,24.197,22.464,26.575,24.297,,,2.0112,2.0267,1.9318,1.7589,,4
best,2048,bf16,262144,32,47.563,44.597,24.442,20.505,24.384,20.424,35.269,33.062,36.082,32.825,,,1.946,1.9506,1.3486,1.3182,,2
best,2048,bf16,262144,64,49.122,44.856,49.522,45.923,49.351,45.922,67.095,63.799,37.977,33.311,,,0.9919,0.9954,0.7321,1.2935,,2
best,2048,bf16,262144,128,55.01,45.414,52.939,46.411,53.143,46.383,122.888,115.189,58.293,47.793,,,1.0391,1.0351,0.4476,0.9437,,1
best,2048,bf16,262144,256,125.938,112.333,123.696,114.688,122.909,114.028,240.38,236.034,137.895,125.122,,,1.0181,1.0246,0.5239,0.9133,,1
best,2048,bf16,262144,512,254.207,216.419,214.392,204.434,213.069,203.499,437.594,434.477,259.129,226.822,,,1.1857,1.1931,0.5809,0.981,,1
best,2048,bf16,262144,1024,410.214,376.467,360.434,350.605,359.097,349.382,832.408,829.366,425.791,389.721,,,1.1381,1.1423,0.4928,0.9634,,1
best,2048,bf16,262144,2048,743.003,727.194,676.333,666.314,674.909,665.055,1659.127,1655.275,777.844,764.109,,,1.0986,1.1009,0.4478,0.9552,,1
best,2048,bf16,524288,2,78.043,75.658,23.744,20.724,23.648,20.334,15.536,14.264,34.734,32.454,,,3.2869,3.3002,5.0234,2.2469,,4
best,2048,bf16,524288,4,77.818,75.599,23.85,20.819,23.973,20.479,18.325,17.046,34.675,32.408,,,3.2628,3.2461,4.2465,2.2442,,4
best,2048,bf16,524288,8,78.133,75.625,24.408,21.106,24.189,20.814,24.31,22.609,35.183,32.599,,,3.2011,3.2301,3.214,2.2208,,4
best,2048,bf16,524288,16,78.439,75.605,39.779,33.948,38.939,33.455,35.47,33.244,35.787,32.647,,,1.9719,2.0144,2.2114,2.1918,,4
best,2048,bf16,524288,32,79.554,75.761,30.443,25.131,30.343,24.922,67.282,64.081,54.177,49.51,,,2.6132,2.6218,1.1824,1.4684,,2
best,2048,bf16,524288,64,83.564,76.002,84.69,79.49,85.053,79.356,131.592,126.044,59.74,49.977,,,0.9867,0.9825,0.635,1.3988,,2
best,2048,bf16,1048576,2,142.189,138.953,26.725,22.599,26.4,22.255,18.192,16.933,52.723,49.723,,,5.3204,5.3859,7.816,2.6969,,4
best,2048,bf16,1048576,4,142.265,138.966,27.048,22.712,27.191,22.338,23.709,21.981,52.802,49.707,,,5.2597,5.2321,6.0005,2.6943,,4
best,2048,bf16,1048576,8,142.329,138.979,27.51,22.965,27.333,22.581,34.739,32.49,53.496,49.892,,,5.1737,5.2072,4.0971,2.6606,,4
best,2048,bf16,1048576,16,142.935,138.991,46.488,37.636,45.493,36.859,66.347,62.956,54.348,49.979,,,3.0747,3.1419,2.1544,2.63,,4
best,2048,bf16,1048576,32,145.221,139.136,66.976,52.986,65.64,51.39,129.808,123.646,92.445,83.597,,,2.1683,2.2124,1.1187,1.5709,,2
best,2048,bf16,1048576,64,164.724,156.435,158.825,156.433,159.057,156.419,255.478,251.901,126.215,114.605,,,1.0371,1.0356,0.6448,1.3051,,2
best,2048,fp16,8192,1,18.325,16.817,12.221,10.816,12.269,10.872,6.448,5.813,18.549,17.224,,,1.4995,1.4936,2.842,0.9879,,1
best,2048,fp16,8192,2,18.075,16.769,11.943,10.769,12.227,10.852,6.726,5.869,18.581,17.175,,,1.5134,1.4783,2.6873,0.9728,,1
best,2048,fp16,8192,4,18.058,16.794,12.21,10.808,12.272,10.863,6.69,5.864,18.443,17.199,,,1.479,1.4715,2.6993,0.9791,,1
best,2048,fp16,8192,8,18.147,16.78,12.205,10.806,12.24,10.846,6.758,5.884,18.54,17.181,,,1.4868,1.4826,2.6853,0.9788,,1
best,2048,fp16,8192,16,18.19,17.018,12.301,11.055,12.395,11.115,6.934,6.248,18.507,17.421,,,1.4787,1.4675,2.6233,0.9829,,1
best,2048,fp16,8192,32,18.395,17.241,12.386,11.226,12.526,11.285,7.016,6.315,18.8,17.67,,,1.4851,1.4685,2.6219,0.9785,,1
best,2048,fp16,8192,64,18.674,17.418,12.656,11.359,12.766,11.425,7.174,6.364,19.105,17.826,,,1.4755,1.4628,2.603,0.9774,,1
best,2048,fp16,8192,128,19.158,17.75,13.123,11.612,13.195,11.694,7.475,6.452,19.563,18.188,,,1.4599,1.4519,2.5629,0.9793,,1
best,2048,fp16,8192,256,24.568,22.839,18.171,15.236,18.203,15.186,13.186,11.571,24.338,22.839,,,1.352,1.3497,1.8632,1.0095,,1
best,2048,fp16,8192,512,43.544,41.29,31.062,27.576,31.04,27.455,24.135,21.737,43.551,41.295,,,1.4018,1.4028,1.8042,0.9998,,1
best,2048,fp16,8192,1024,68.797,66.446,47.383,43.16,47.413,43.007,40.984,37.033,68.861,66.448,,,1.4519,1.451,1.6786,0.9991,,1
best,2048,fp16,8192,2048,129.482,125.499,84.506,79.025,84.298,78.407,79.831,72.379,129.395,125.59,,,1.5322,1.536,1.622,1.0007,,1
best,2048,fp16,16384,1,14.715,13.464,14.734,13.67,15.098,13.672,10.048,9.208,14.537,13.297,,,0.9987,0.9746,1.4645,1.0122,,1
best,2048,fp16,16384,2,14.464,13.36,15.16,13.646,15.083,13.6,10.019,9.247,14.606,13.208,,,0.9541,0.959,1.4437,0.9903,,1
best,2048,fp16,16384,4,14.706,13.397,14.928,13.612,15.133,13.646,10.023,9.234,14.42,13.253,,,0.9851,0.9718,1.4672,1.0198,,1
best,2048,fp16,16384,8,14.683,13.411,14.741,13.609,15.046,13.632,10.042,9.242,14.561,13.29,,,0.9961,0.9759,1.4622,1.0084,,1
best,2048,fp16,16384,16,14.896,13.635,15.059,13.882,15.189,13.894,10.229,9.612,14.723,13.477,,,0.9892,0.9807,1.4563,1.0118,,1
best,2048,fp16,16384,32,15.051,13.851,15.6,14.083,15.298,14.057,10.271,9.67,14.953,13.721,,,0.9648,0.9839,1.4654,1.0066,,1
best,2048,fp16,16384,64,15.282,14.009,15.597,14.197,15.562,14.211,10.518,9.729,15.075,13.873,,,0.9798,0.982,1.4529,1.0137,,1
best,2048,fp16,16384,128,16.046,14.362,16.402,14.506,16.312,14.479,11.082,9.875,15.928,14.199,,,0.9783,0.9837,1.4479,1.0074,,1
best,2048,fp16,16384,256,20.949,18.756,25.779,20.246,25.693,20.167,20.061,18.383,21.045,18.792,,,0.8126,0.8154,1.0443,0.9954,,1
best,2048,fp16,16384,512,37.16,34.368,45.282,36.622,44.755,36.286,37.631,35.228,36.618,33.615,,,0.8206,0.8303,0.9875,1.0148,,1
best,2048,fp16,16384,1024,58.871,54.89,71.183,57.779,70.658,57.175,64.419,60.493,57.805,54.183,,,0.827,0.8332,0.9139,1.0184,,1
best,2048,fp16,16384,2048,108.034,104.958,129.875,124.365,128.964,123.209,125.927,119.39,106.289,103.352,,,0.8318,0.8377,0.8579,1.0164,,1
best,2048,fp16,32768,1,17.174,15.87,18.018,16.916,18.186,16.901,14.829,13.882,17.655,16.344,,,0.9532,0.9444,1.1581,0.9728,,1
best,2048,fp16,32768,2,17.358,15.823,18.219,16.9,17.952,16.868,15.15,14.054,17.893,16.292,,,0.9527,0.9669,1.1457,0.9701,,1
best,2048,fp16,32768,4,16.981,15.822,18.158,16.886,17.997,16.869,15.259,14.245,17.645,16.264,,,0.9352,0.9435,1.1129,0.9624,,1
best,2048,fp16,32768,8,17.005,15.832,18.247,16.908,17.982,16.867,15.669,14.513,17.587,16.293,,,0.9319,0.9457,1.0853,0.9669,,1
best,2048,fp16,32768,16,17.248,16.083,18.453,17.169,18.274,17.129,15.595,14.603,17.754,16.549,,,0.9347,0.9439,1.106,0.9715,,1
best,2048,fp16,32768,32,17.808,16.315,18.61,17.347,18.578,17.321,16.006,14.823,18.385,16.802,,,0.9569,0.9586,1.1126,0.9686,,1
best,2048,fp16,32768,64,18.194,16.485,19.181,17.501,19.223,17.473,15.91,14.897,18.584,16.984,,,0.9485,0.9465,1.1436,0.979,,1
best,2048,fp16,32768,128,19.317,16.86,20.08,17.827,20.141,17.805,16.664,15.112,19.879,17.368,,,0.962,0.9591,1.1592,0.9717,,1
best,2048,fp16,32768,256,28.462,25.085,35.491,26.262,35.24,26.088,30.819,28.647,28.992,25.834,,,0.8019,0.8077,0.9235,0.9817,,1
best,2048,fp16,32768,512,49.09,43.657,63.858,47.336,63.351,47.005,59.0,55.435,49.79,44.475,,,0.7687,0.7749,0.832,0.9859,,1
best,2048,fp16,32768,1024,77.675,71.088,104.88,85.236,104.232,86.012,102.695,95.687,79.148,72.523,,,0.7406,0.7452,0.7564,0.9814,,1
best,2048,fp16,32768,2048,142.706,139.815,194.831,188.975,194.044,188.492,200.633,197.685,145.207,142.207,,,0.7325,0.7354,0.7113,0.9828,,1
best,2048,fp16,65536,1,19.765,18.578,15.178,13.655,15.138,13.708,14.699,13.636,18.266,16.445,,,1.3022,1.3057,1.3446,1.0821,,4
best,2048,fp16,65536,2,20.045,18.593,15.79,14.055,15.595,13.909,15.117,14.168,18.037,16.554,,,1.2695,1.2853,1.326,1.1113,,4
best,2048,fp16,65536,4,19.862,18.587,15.952,14.433,15.995,14.54,15.099,14.156,18.175,16.605,,,1.2451,1.2418,1.3155,1.0928,,4
best,2048,fp16,65536,8,20.019,18.572,16.173,14.627,16.234,14.726,15.506,14.509,18.525,16.743,,,1.2378,1.2332,1.291,1.0806,,4
best,2048,fp16,65536,16,20.211,18.861,16.334,14.669,16.416,14.73,15.826,14.623,18.744,17.014,,,1.2374,1.2312,1.2771,1.0783,,4
best,2048,fp16,65536,32,20.672,19.039,17.048,15.179,17.202,15.266,18.907,17.636,19.947,18.213,,,1.2126,1.2017,1.0934,1.0363,,2
best,2048,fp16,65536,64,21.392,19.206,22.226,20.147,22.331,20.242,24.757,23.063,20.761,18.609,,,0.9625,0.958,0.8641,1.0304,,2
best,2048,fp16,65536,128,22.888,19.587,23.83,20.505,23.826,20.581,27.664,25.737,23.346,20.173,,,0.9605,0.9606,0.8274,0.9804,,1
best,2048,fp16,65536,256,38.166,32.058,50.259,37.585,49.99,37.468,52.784,49.542,39.453,33.219,,,0.7594,0.7635,0.7231,0.9674,,1
best,2048,fp16,65536,512,66.984,55.153,92.736,69.666,92.341,68.672,103.941,97.099,69.091,57.483,,,0.7223,0.7254,0.6444,0.9695,,1
best,2048,fp16,65536,1024,106.306,100.494,148.704,142.143,148.277,141.662,181.541,175.904,109.933,104.115,,,0.7149,0.7169,0.5856,0.967,,1
best,2048,fp16,65536,2048,191.661,185.968,276.452,269.951,276.049,269.386,354.614,348.597,198.649,193.429,,,0.6933,0.6943,0.5405,0.9648,,1
best,2048,fp16,131072,1,29.144,27.649,15.208,13.382,14.794,13.324,14.821,13.981,19.917,18.639,,,1.9164,1.97,1.9664,1.4633,,4
best,2048,fp16,131072,2,29.216,27.67,15.586,13.772,15.118,13.518,14.861,14.0,20.054,18.765,,,1.8745,1.9325,1.966,1.4569,,4
best,2048,fp16,131072,4,29.344,27.66,15.898,14.097,15.715,13.845,15.189,14.161,20.243,18.743,,,1.8458,1.8673,1.9319,1.4496,,4
best,2048,fp16,131072,8,29.565,27.668,17.326,14.993,17.083,14.926,15.731,14.504,20.659,18.903,,,1.7064,1.7307,1.8794,1.4311,,4
best,2048,fp16,131072,16,29.702,27.937,17.552,14.991,17.445,15.019,18.539,17.263,20.677,19.121,,,1.6922,1.7026,1.6021,1.4365,,4
best,2048,fp16,131072,32,30.365,28.177,18.584,15.582,18.392,15.476,24.053,22.321,25.811,23.498,,,1.6339,1.651,1.2624,1.1764,,2
best,2048,fp16,131072,64,31.331,28.357,29.467,26.623,29.549,26.825,34.751,32.436,26.757,23.909,,,1.0633,1.0603,0.9016,1.1709,,2
best,2048,fp16,131072,128,34.035,28.825,31.666,27.045,31.845,27.229,66.243,62.899,35.478,29.794,,,1.0748,1.0688,0.5138,0.9593,,1
best,2048,fp16,131072,256,61.637,50.408,68.807,52.171,68.755,52.032,129.338,123.379,64.586,53.907,,,0.8958,0.8965,0.4766,0.9543,,1
best,2048,fp16,131072,512,131.759,111.9,127.301,117.432,126.64,116.898,223.38,220.699,137.51,116.722,,,1.035,1.0404,0.5898,0.9582,,1
best,2048,fp16,131072,1024,210.665,185.034,209.265,201.171,208.276,200.303,442.105,439.764,236.458,178.417,,,1.0067,1.0115,0.4765,0.8909,,1
best,2048,fp16,131072,2048,348.1,332.734,392.766,384.274,391.348,382.843,878.635,876.177,371.64,334.957,,,0.8863,0.8895,0.3962,0.9367,,1
best,2048,fp16,262144,1,45.458,43.489,16.694,14.401,16.494,14.282,14.698,13.734,25.142,23.282,,,2.723,2.756,3.0928,1.8081,,4
best,2048,fp16,262144,2,45.384,43.411,17.082,14.665,16.605,14.372,14.87,13.924,25.136,23.306,,,2.6568,2.7332,3.0521,1.8055,,4
best,2048,fp16,262144,4,45.384,43.442,17.245,14.991,16.952,14.753,15.072,13.983,25.338,23.383,,,2.6317,2.6772,3.0111,1.7911,,4
best,2048,fp16,262144,8,45.525,43.443,17.811,15.289,17.302,14.933,18.184,16.824,25.584,23.525,,,2.556,2.6312,2.5036,1.7794,,4
best,2048,fp16,262144,16,45.91,43.734,20.046,16.673,19.899,16.522,23.309,21.665,26.087,23.74,,,2.2902,2.3072,1.9696,1.7599,,4
best,2048,fp16,262144,32,47.007,43.994,21.093,17.196,21.078,17.093,33.814,31.644,35.422,32.176,,,2.2286,2.2301,1.3902,1.3271,,2
best,2048,fp16,262144,64,48.541,44.197,44.594,41.205,45.101,41.583,64.426,61.056,37.56,32.627,,,1.0885,1.0763,0.7534,1.2924,,2
best,2048,fp16,262144,128,54.256,44.791,48.374,41.661,48.866,42.045,117.351,109.563,57.206,46.805,,,1.1216,1.1103,0.4623,0.9484,,1
best,2048,fp16,262144,256,127.775,113.965,115.904,107.606,115.26,107.187,230.458,226.379,136.811,123.78,,,1.1024,1.1086,0.5544,0.934,,1
best,2048,fp16,262144,512,251.386,213.445,201.256,192.157,200.447,190.674,417.08,413.603,266.14,224.38,,,1.2491,1.2541,0.6027,0.9446,,1
best,2048,fp16,262144,1024,405.735,375.149,337.116,328.024,335.766,326.683,795.777,792.683,424.976,388.328,,,1.2035,1.2084,0.5099,0.9547,,1
best,2048,fp16,262144,2048,745.887,722.949,630.778,621.519,629.587,620.594,1584.948,1581.901,787.424,761.029,,,1.1825,1.1847,0.4706,0.9472,,1
best,2048,fp16,524288,2,76.687,74.067,19.928,17.205,19.589,16.833,14.92,13.749,33.79,31.452,,,3.8482,3.9148,5.1399,2.2695,,4
best,2048,fp16,524288,4,76.6,74.073,20.283,17.549,19.813,17.137,17.587,16.481,34.02,31.544,,,3.7766,3.8661,4.3555,2.2516,,4
best,2048,fp16,524288,8,76.514,74.09,20.958,17.775,20.637,17.481,23.419,21.689,34.342,31.706,,,3.6508,3.7076,3.2672,2.228,,4
best,2048,fp16,524288,16,77.343,74.376,36.136,30.329,35.352,29.834,33.387,31.279,35.165,31.919,,,2.1403,2.1878,2.3166,2.1994,,4
best,2048,fp16,524288,32,78.536,74.638,26.79,21.521,26.723,21.355,63.282,60.093,53.257,48.483,,,2.9315,2.9389,1.241,1.4747,,2
best,2048,fp16,524288,64,82.387,74.897,78.423,73.018,79.463,73.714,123.621,118.26,58.725,49.019,,,1.0505,1.0368,0.6664,1.4029,,2
best,2048,fp16,1048576,2,139.792,136.645,22.589,18.891,22.214,18.497,17.304,16.075,51.675,48.544,,,6.1885,6.293,8.0786,2.7052,,4
best,2048,fp16,1048576,4,139.738,136.605,23.387,19.26,22.872,18.782,22.738,21.173,51.72,48.589,,,5.975,6.1096,6.1456,2.7018,,4
best,2048,fp16,1048576,8,140.201,136.644,23.832,19.431,23.474,19.052,33.218,31.029,52.514,48.752,,,5.8829,5.9726,4.2206,2.6698,,4
best,2048,fp16,1048576,16,140.908,136.92,42.731,34.013,41.682,33.256,63.477,59.985,53.491,49.038,,,3.2976,3.3805,2.2198,2.6342,,4
best,2048,fp16,1048576,32,143.3,137.211,63.528,49.489,62.048,47.461,124.234,117.708,91.097,82.035,,,2.2557,2.3095,1.1535,1.573,,2
best,2048,fp16,1048576,64,162.332,154.047,150.469,147.993,151.621,149.218,228.082,224.991,125.566,114.275,,,1.0788,1.0706,0.7117,1.2928,,2
best,2048,fp32,8192,1,13.506,12.138,12.525,11.194,12.576,11.229,8.178,7.467,13.574,12.134,,,1.0783,1.074,1.6515,0.995,,1
best,2048,fp32,8192,2,13.499,12.127,12.462,11.18,12.485,11.183,8.234,7.481,13.48,12.123,,,1.0832,1.0812,1.6394,1.0014,,1
best,2048,fp32,8192,4,13.368,12.121,12.467,11.18,12.413,11.225,8.205,7.493,13.3,12.122,,,1.0723,1.0769,1.6293,1.0051,,1
best,2048,fp32,8192,8,13.565,12.118,12.502,11.181,12.522,11.204,8.29,7.508,13.531,12.107,,,1.085,1.0833,1.6363,1.0025,,1
best,2048,fp32,8192,16,13.534,12.314,12.607,11.385,12.651,11.411,8.429,7.843,13.531,12.291,,,1.0735,1.0698,1.6056,1.0002,,1
best,2048,fp32,8192,32,13.734,12.39,12.736,11.475,12.723,11.523,8.536,7.906,13.693,12.376,,,1.0784,1.0795,1.609,1.003,,1
best,2048,fp32,8192,64,13.79,12.488,12.923,11.567,12.901,11.59,8.819,7.954,13.784,12.483,,,1.0671,1.0689,1.5637,1.0004,,1
best,2048,fp32,8192,128,14.594,12.775,13.694,11.82,13.557,11.84,9.434,8.122,14.604,12.792,,,1.0657,1.0765,1.547,0.9993,,1
best,2048,fp32,8192,256,19.755,17.297,17.104,14.772,17.011,14.555,16.509,14.794,17.891,15.904,,,1.155,1.1613,1.1966,1.1042,,1
best,2048,fp32,8192,512,34.562,30.881,31.184,27.631,31.238,27.45,30.861,28.096,33.514,30.468,,,1.1083,1.1064,1.1199,1.0313,,1
best,2048,fp32,8192,1024,54.216,49.299,57.04,50.229,55.869,49.846,52.147,47.928,58.667,53.423,,,0.9505,0.9704,1.0397,0.9241,,1
best,2048,fp32,8192,2048,98.381,94.588,101.709,98.181,101.77,97.729,102.003,93.974,109.107,105.04,,,0.9673,0.9667,0.9645,0.9017,,1
best,2048,fp32,16384,1,16.478,15.189,14.824,13.783,14.787,13.732,12.688,11.895,16.464,15.197,,,1.1116,1.1144,1.2987,1.0009,,1
best,2048,fp32,16384,2,16.44,15.162,15.005,13.756,14.768,13.716,12.722,11.912,16.432,15.172,,,1.0956,1.1132,1.2922,1.0005,,1
best,2048,fp32,16384,4,16.653,15.167,15.03,13.743,15.003,13.725,12.781,11.915,16.634,15.164,,,1.108,1.11,1.3029,1.0011,,1
best,2048,fp32,16384,8,16.661,15.183,14.819,13.756,14.789,13.731,12.688,11.979,16.614,15.18,,,1.1243,1.1266,1.3131,1.0028,,1
best,2048,fp32,16384,16,16.747,15.422,15.091,13.997,15.112,13.957,12.979,12.307,16.694,15.437,,,1.1097,1.1082,1.2903,1.0032,,1
best,2048,fp32,16384,32,16.888,15.461,15.283,14.066,15.277,14.024,13.206,12.371,16.896,15.457,,,1.105,1.1055,1.2788,0.9995,,1
best,2048,fp32,16384,64,17.422,15.604,15.923,14.174,15.826,14.15,13.55,12.424,17.348,15.596,,,1.0941,1.1008,1.2858,1.0043,,1
best,2048,fp32,16384,128,18.378,15.903,16.67,14.45,16.768,14.415,14.317,12.637,18.519,15.905,,,1.1025,1.096,1.2836,0.9924,,1
best,2048,fp32,16384,256,27.451,22.444,23.373,19.509,23.384,19.491,26.173,23.684,24.563,21.13,,,1.1745,1.1739,1.0488,1.1176,,1
best,2048,fp32,16384,512,48.595,41.211,43.31,37.057,43.043,36.956,49.565,45.65,46.033,40.42,,,1.122,1.129,0.9804,1.0557,,1
best,2048,fp32,16384,1024,77.512,66.25,76.856,68.746,77.029,68.139,86.501,78.677,79.287,70.293,,,1.0085,1.0063,0.8961,0.9776,,1
best,2048,fp32,16384,2048,137.922,133.333,137.762,133.592,137.992,133.488,168.816,164.504,143.675,140.554,,,1.0012,0.9995,0.817,0.96,,1
best,2048,fp32,32768,1,18.966,17.29,18.84,17.484,18.861,17.515,19.605,18.933,18.937,17.29,,,1.0067,1.0056,0.9674,1.0015,,1
best,2048,fp32,32768,2,19.045,17.287,18.83,17.477,18.917,17.471,20.224,19.228,19.183,17.271,,,1.0114,1.0068,0.9417,0.9928,,1
best,2048,fp32,32768,4,19.088,17.301,18.922,17.471,18.81,17.441,20.301,19.469,19.228,17.258,,,1.0088,1.0148,0.9402,0.9927,,1
best,2048,fp32,32768,8,19.094,17.311,18.824,17.473,18.829,17.468,20.597,19.736,19.072,17.32,,,1.0143,1.0141,0.927,1.0012,,1
best,2048,fp32,32768,16,19.392,17.516,19.139,17.692,19.12,17.684,21.074,20.096,19.374,17.529,,,1.0132,1.0142,0.9202,1.0009,,1
best,2048,fp32,32768,32,19.842,17.596,19.627,17.769,19.528,17.759,21.742,20.326,19.742,17.621,,,1.011,1.0161,0.9126,1.0051,,1
best,2048,fp32,32768,64,20.523,17.737,20.178,17.881,20.213,17.891,21.322,19.679,20.481,17.751,,,1.0171,1.0153,0.9625,1.0021,,1
best,2048,fp32,32768,128,22.15,18.095,21.805,18.199,21.848,18.211,22.479,19.914,22.14,18.088,,,1.0158,1.0138,0.9854,1.0005,,1
best,2048,fp32,32768,256,37.671,29.195,32.39,25.418,32.368,25.346,42.056,38.102,32.796,27.17,,,1.163,1.1638,0.8957,1.1486,,1
best,2048,fp32,32768,512,73.072,56.508,61.891,49.563,61.994,49.724,82.803,74.37,61.765,52.422,,,1.1807,1.1787,0.8825,1.1831,,1
best,2048,fp32,32768,1024,115.173,106.665,109.269,102.837,108.963,102.494,144.666,137.948,108.428,101.752,,,1.054,1.057,0.7961,1.0622,,1
best,2048,fp32,32768,2048,202.559,194.726,192.847,186.856,192.068,186.272,278.405,272.229,197.708,191.948,,,1.0504,1.0546,0.7276,1.0245,,1
best,2048,fp32,65536,1,23.405,21.668,15.677,13.707,15.52,13.681,19.634,18.82,19.142,17.328,,,1.493,1.5081,1.1921,1.2227,,4
best,2048,fp32,65536,2,23.403,21.726,15.869,13.866,16.0,14.004,20.272,19.396,19.081,17.581,,,1.4748,1.4627,1.1544,1.2265,,4
best,2048,fp32,65536,4,23.514,21.836,16.379,14.218,16.338,14.361,20.181,19.378,19.257,17.6,,,1.4356,1.4392,1.1652,1.2211,,4
