scenario,K,dtype,N,BS,hr,layer,gvr_ms_auto_cold_us,gvr_ms_auto_warm_us,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,op21_cold_speedup_vs_gvr_cutedsl,op21_cold_speedup_vs_gvr_multicta_cutedsl,op21_cold_speedup_vs_radix_cutedsl,op21_cold_speedup_vs_sglang_streaming
best,512,fp32,32768,512,0.9004,36,56.887,42.181,47.512,33.711,42.717,32.953,75.704,67.292,48.2,44.528,0.835,0.751,1.331,0.847
best,512,fp32,32768,1024,0.9004,36,86.474,76.104,72.883,64.258,74.01,66.684,133.007,124.516,80.727,78.868,0.843,0.856,1.538,0.934
best,512,fp32,32768,2048,0.9004,36,143.847,136.673,119.428,111.17,126.936,120.544,254.039,246.253,151.789,149.935,0.83,0.882,1.766,1.055
best,512,fp32,65536,1,0.9004,24,32.373,27.859,35.645,33.754,25.394,23.381,19.891,18.867,25.406,24.407,1.101,0.784,0.614,0.785
best,512,fp32,65536,2,0.9004,24,31.682,27.82,35.687,34.039,25.502,23.503,19.861,19.046,25.442,24.5,1.126,0.805,0.627,0.803
best,512,fp32,65536,4,0.9004,24,31.191,28.053,35.933,34.112,25.722,23.919,20.133,19.174,25.423,24.555,1.152,0.825,0.645,0.815
best,512,fp32,65536,8,0.9004,24,31.151,28.118,36.647,34.592,25.949,23.91,20.299,19.241,25.373,24.587,1.176,0.833,0.652,0.815
best,512,fp32,65536,16,0.9004,24,31.191,28.19,36.909,34.925,26.288,24.076,20.96,19.556,25.811,24.934,1.183,0.843,0.672,0.828
best,512,fp32,65536,32,0.9004,24,31.779,28.821,37.538,35.089,29.179,26.652,24.879,22.991,26.08,25.068,1.181,0.918,0.783,0.821
best,512,fp32,65536,64,0.9004,24,31.603,29.307,38.791,35.315,31.68,28.6,31.912,29.496,26.603,25.238,1.227,1.002,1.01,0.842
best,512,fp32,65536,128,0.9004,24,33.362,31.071,41.416,36.33,41.519,36.355,60.109,56.718,27.878,25.742,1.241,1.244,1.802,0.836
best,512,fp32,65536,256,0.9004,24,55.423,45.451,67.459,54.351,60.734,49.898,116.711,110.902,43.69,40.506,1.217,1.096,2.106,0.788
best,512,fp32,65536,512,0.9004,24,155.202,140.972,232.15,217.408,116.796,105.418,202.374,198.737,79.597,76.753,1.496,0.753,1.304,0.513
best,512,fp32,65536,1024,0.9004,24,242.083,224.415,393.643,389.79,209.496,196.051,398.488,395.178,132.589,129.684,1.626,0.865,1.646,0.548
best,512,fp32,65536,2048,0.9004,24,368.115,348.838,665.218,696.61,366.606,352.58,792.566,788.163,252.91,250.4,1.807,0.996,2.153,0.687
best,512,fp32,131072,1,0.9004,28,27.902,26.469,23.79,21.214,16.12,14.522,19.443,18.717,42.805,42.155,0.853,0.578,0.697,1.534
best,512,fp32,131072,2,0.9004,28,27.893,26.41,23.677,21.213,16.195,14.57,19.474,18.691,42.683,42.188,0.849,0.581,0.698,1.53
best,512,fp32,131072,4,0.9004,28,28.191,26.789,23.856,21.215,16.558,14.953,20.085,19.146,42.682,42.252,0.846,0.587,0.712,1.514
best,512,fp32,131072,8,0.9004,28,28.506,26.903,23.987,21.294,16.907,15.039,20.568,19.215,42.815,42.336,0.841,0.593,0.722,1.502
best,512,fp32,131072,16,0.9004,28,28.853,26.947,24.613,21.639,17.77,15.119,24.074,22.162,43.131,42.691,0.853,0.616,0.834,1.495
best,512,fp32,131072,32,0.9004,28,30.21,27.601,25.392,21.755,21.371,17.8,30.68,28.142,43.523,42.873,0.841,0.707,1.016,1.441
best,512,fp32,131072,64,0.9004,28,35.394,32.903,27.72,22.069,24.952,19.301,57.83,54.335,44.071,42.986,0.783,0.705,1.634,1.245
best,512,fp32,131072,128,0.9004,28,39.122,33.377,36.546,24.003,36.421,23.996,100.842,94.044,47.496,43.507,0.934,0.931,2.578,1.214
best,512,fp32,131072,256,0.9004,28,78.9,68.992,85.507,74.011,81.007,69.39,196.473,191.951,75.453,72.237,1.084,1.027,2.49,0.956
best,512,fp32,131072,512,0.9004,28,149.194,136.042,171.434,152.056,145.669,134.32,353.934,349.609,139.17,135.638,1.149,0.976,2.372,0.933
best,512,fp32,131072,1024,0.9004,28,230.081,217.895,278.959,268.334,266.907,257.937,670.873,665.933,233.524,230.284,1.212,1.16,2.916,1.015
best,512,fp32,131072,2048,0.9004,28,407.168,395.512,508.84,497.195,505.168,499.063,1338.254,1333.349,450.224,446.848,1.25,1.241,3.287,1.106
best,512,fp32,262144,1,0.9004,4,38.824,37.009,37.118,33.479,20.029,18.083,19.408,18.752,77.333,77.262,0.956,0.516,0.5,1.992
best,512,fp32,262144,2,0.9004,4,38.798,37.071,37.168,33.507,20.141,18.124,19.646,18.817,77.226,77.393,0.958,0.519,0.506,1.99
best,512,fp32,262144,4,0.9004,4,39.277,37.327,37.336,33.507,20.562,18.519,20.605,19.155,77.258,77.424,0.951,0.524,0.525,1.967
best,512,fp32,262144,8,0.9004,4,39.37,37.533,37.541,33.651,21.104,18.601,23.92,22.126,77.282,77.525,0.954,0.536,0.608,1.963
best,512,fp32,262144,16,0.9004,4,39.722,37.585,38.381,33.957,22.322,18.754,30.426,28.008,77.616,77.888,0.966,0.562,0.766,1.954
best,512,fp32,262144,32,0.9004,4,41.491,38.341,39.912,34.139,29.815,24.073,57.16,53.905,77.999,78.135,0.962,0.719,1.378,1.88
best,512,fp32,262144,64,0.9004,4,53.832,48.171,49.285,34.621,38.432,26.762,111.133,104.957,79.549,78.296,0.916,0.714,2.064,1.478
best,512,fp32,262144,128,0.9004,4,67.856,62.22,82.14,70.861,82.025,70.98,187.508,181.329,84.373,79.49,1.21,1.209,2.763,1.243
best,512,fp32,262144,256,0.9004,4,124.272,111.783,151.452,136.665,151.991,130.235,331.366,324.417,135.237,131.393,1.219,1.223,2.666,1.088
best,512,fp32,262144,512,0.9004,4,244.652,223.948,309.561,297.645,272.553,255.463,652.038,645.624,253.217,247.918,1.265,1.114,2.665,1.035
best,512,fp32,262144,1024,0.9004,4,400.238,382.839,528.768,512.828,520.298,506.902,1296.342,1290.051,428.325,422.67,1.321,1.3,3.239,1.07
best,512,fp32,262144,2048,0.9004,4,694.726,677.471,964.347,942.403,972.776,954.997,2553.518,2549.859,843.71,826.251,1.388,1.4,3.676,1.214
best,512,fp32,524288,2,0.9004,30,98.941,95.373,139.178,133.605,48.456,45.672,20.581,19.176,148.205,149.473,1.407,0.49,0.208,1.498
best,512,fp32,524288,4,0.9004,30,98.027,95.644,139.475,133.703,49.01,46.026,23.862,22.114,148.229,149.461,1.423,0.5,0.243,1.512
best,512,fp32,524288,8,0.9004,30,98.246,95.891,139.982,133.757,49.888,46.356,30.512,28.088,148.246,149.609,1.425,0.508,0.311,1.509
best,512,fp32,524288,16,0.9004,30,98.683,95.998,140.834,134.132,52.395,46.692,58.334,54.547,148.632,149.891,1.427,0.531,0.591,1.506
best,512,fp32,524288,32,0.9004,30,104.299,97.228,149.547,134.525,84.946,72.575,113.806,106.502,149.291,150.218,1.434,0.814,1.091,1.431
best,512,fp32,524288,64,0.9004,30,168.507,166.989,286.23,274.978,194.354,183.752,198.333,190.545,150.688,149.388,1.699,1.153,1.177,0.894
best,512,fp32,1048576,2,0.9004,36,112.797,110.954,114.282,105.087,38.31,34.568,23.842,21.976,282.96,287.551,1.013,0.34,0.211,2.509
best,512,fp32,1048576,4,0.9004,36,113.445,111.295,114.523,105.085,39.118,34.898,30.275,27.703,282.904,287.579,1.01,0.345,0.267,2.494
best,512,fp32,1048576,8,0.9004,36,114.037,111.676,114.978,105.186,40.426,35.158,57.014,53.342,283.035,287.755,1.008,0.354,0.5,2.482
best,512,fp32,1048576,16,0.9004,36,116.589,111.818,131.906,115.43,47.787,35.414,111.102,104.577,283.667,287.953,1.131,0.41,0.953,2.433
best,512,fp32,1048576,32,0.9004,36,154.939,147.651,177.467,168.051,101.67,90.346,218.275,212.131,284.448,284.314,1.145,0.656,1.409,1.836
best,512,fp32,1048576,64,0.9004,36,194.242,193.356,199.443,184.807,149.018,129.976,427.573,421.603,286.088,284.97,1.027,0.767,2.201,1.473
best,1024,bf16,4096,1,0.9004,52,10.626,9.404,9.528,8.347,9.389,8.277,5.456,4.556,,,0.897,0.884,0.513,
best,1024,bf16,4096,2,0.9004,52,10.557,9.4,9.888,8.343,9.474,8.314,5.469,4.591,,,0.937,0.897,0.518,
best,1024,bf16,4096,4,0.9004,52,10.574,9.404,9.533,8.348,9.494,8.303,5.534,4.608,,,0.902,0.898,0.523,
best,1024,bf16,4096,8,0.9004,52,10.624,9.423,9.618,8.374,9.512,8.323,5.59,4.626,,,0.905,0.895,0.526,
best,1024,bf16,4096,16,0.9004,52,10.792,9.8,9.76,8.767,9.75,8.716,5.734,5.03,,,0.904,0.903,0.531,
best,1024,bf16,4096,32,0.9004,52,10.866,9.87,9.893,8.834,9.806,8.826,5.842,5.066,,,0.91,0.903,0.538,
best,1024,bf16,4096,64,0.9004,52,11.029,9.982,9.939,8.937,9.891,8.873,5.882,5.109,,,0.901,0.897,0.533,
best,1024,bf16,4096,128,0.9004,52,11.266,10.157,10.25,9.121,10.176,9.035,6.282,5.337,,,0.91,0.903,0.558,
