scenario,sweep,K,dtype,N,BS,op,op26_cold_us_local,op26_warm_us_local,anchor_op,anchor_cold_us_local,anchor_warm_us_local,speedup_same_node_cold
best,bs,1024,fp32,8192,2048,op26_1cta,79.175,73.582,gvr_cutedsl,101.333,96.669,1.2799
best,bs,1024,fp32,16384,1,op26_1cta,11.565,10.068,gvr_cutedsl,17.81,16.14,1.54
best,bs,1024,fp32,16384,2,op26_1cta,11.621,10.042,gvr_cutedsl,17.603,16.115,1.5148
best,bs,1024,fp32,16384,4,op26_1cta,11.838,10.3,gvr_cutedsl,18.061,16.416,1.5257
best,bs,1024,fp32,16384,8,op26_1cta,11.891,10.344,gvr_cutedsl,18.027,16.454,1.516
best,bs,1024,fp32,16384,16,op26_1cta,12.016,10.561,gvr_cutedsl,18.211,16.655,1.5156
best,bs,1024,fp32,16384,32,op26_1cta,12.341,10.688,gvr_cutedsl,18.311,16.775,1.4838
best,bs,1024,fp32,16384,64,op26_1cta,12.861,10.761,gvr_cutedsl,18.93,16.88,1.4719
best,bs,1024,fp32,16384,128,op26_1cta,13.574,11.01,gvr_cutedsl,19.757,17.165,1.4555
best,bs,1024,fp32,16384,256,op26_1cta,20.546,16.582,gvr_cutedsl,29.998,26.028,1.46
best,bs,1024,fp32,16384,512,op26_1cta,35.547,28.348,gvr_cutedsl,53.016,46.286,1.4914
best,bs,1024,fp32,16384,1024,op26_1cta,59.424,45.969,gvr_cutedsl,84.624,75.358,1.4241
best,bs,1024,fp32,16384,2048,op26_1cta,99.248,93.045,gvr_cutedsl,151.416,146.683,1.5256
best,bs,1024,fp32,32768,1,op26_1cta,13.795,12.081,gvr_cutedsl,23.29,21.455,1.6883
best,bs,1024,fp32,32768,2,op26_1cta,13.933,12.081,gvr_cutedsl,23.278,21.452,1.6707
best,bs,1024,fp32,32768,4,op26_1cta,14.195,12.319,gvr_cutedsl,23.555,21.753,1.6594
best,bs,1024,fp32,32768,8,op26_1cta,14.221,12.387,gvr_cutedsl,23.594,21.805,1.6591
best,bs,1024,fp32,32768,16,op26_1cta,14.534,12.602,gvr_cutedsl,23.958,21.996,1.6484
best,bs,1024,fp32,32768,32,op26_1cta,14.942,12.724,gvr_cutedsl,24.373,22.152,1.6312
best,bs,1024,fp32,32768,64,op26_1cta,15.645,12.836,gvr_cutedsl,25.054,22.269,1.6014
best,bs,1024,fp32,32768,128,op26_1cta,16.971,13.184,gvr_cutedsl,26.253,22.666,1.5469
best,bs,1024,fp32,32768,256,op26_1cta,27.414,20.943,gvr_cutedsl,38.299,31.759,1.3971
best,bs,1024,fp32,32768,512,op26_1cta,53.29,38.972,gvr_cutedsl,69.155,58.325,1.2977
best,bs,1024,fp32,32768,1024,op26_1cta,80.906,72.183,gvr_cutedsl,107.851,101.798,1.333
best,bs,1024,fp32,32768,2048,op26_1cta,133.667,126.285,gvr_cutedsl,192.095,186.391,1.4371
best,bs,1024,fp32,65536,1,op26_1cta,31.613,29.784,gvr_cutedsl,32.059,30.189,1.0141
best,bs,1024,fp32,65536,2,op26_1cta,31.21,29.581,gvr_cutedsl,31.725,30.04,1.0165
best,bs,1024,fp32,65536,4,op26_1cta,31.878,30.126,gvr_cutedsl,32.4,30.579,1.0164
best,bs,1024,fp32,65536,8,op26_1cta,32.024,30.229,gvr_cutedsl,32.493,30.623,1.0146
