scenario,K,dtype,N,BS,hr,layer,gvr_ms_auto_cold_us,gvr_ms_auto_warm_us,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,op21_cold_speedup_vs_gvr_cutedsl,op21_cold_speedup_vs_gvr_multicta_cutedsl,op21_cold_speedup_vs_radix_cutedsl,op21_cold_speedup_vs_sglang_streaming
real,2048,fp16,65536,1,0.5386,41,15.422,14.113,20.818,19.666,19.298,17.854,14.442,13.572,,,1.35,1.251,0.936,
real,2048,fp16,131072,1,0.6782,21,15.826,14.125,28.613,26.961,19.378,18.085,14.725,14.019,,,1.808,1.224,0.93,
real,2048,fp16,262144,1,0.6538,21,17.37,15.299,51.307,49.502,26.818,25.4,14.656,13.718,,,2.954,1.544,0.844,
real,2048,fp16,524288,1,0.8203,41,147.67,135.283,89.066,86.805,37.974,35.997,14.653,13.628,,,0.603,0.257,0.099,
real,2048,fp16,1048576,1,0.6147,40,23.517,19.832,89.784,86.91,35.119,32.387,15.218,14.042,,,3.818,1.493,0.647,
real,2048,fp32,8192,1,0.6382,21,12.277,10.927,14.29,12.994,14.424,12.995,8.141,7.41,,,1.164,1.175,0.663,
real,2048,fp32,16384,1,0.6646,20,14.963,13.709,15.227,13.809,15.259,13.815,12.757,11.878,,,1.018,1.02,0.853,
real,2048,fp32,32768,1,0.6016,22,19.786,18.021,16.602,14.619,16.615,14.619,17.877,16.806,,,0.839,0.84,0.904,
real,2048,fp32,65536,1,0.5386,41,16.163,13.903,24.309,22.344,20.328,18.384,17.787,16.696,,,1.504,1.258,1.1,
real,2048,fp32,131072,1,0.6782,21,17.71,15.708,34.816,32.396,21.936,20.468,19.57,18.774,,,1.966,1.239,1.105,
real,2048,fp32,262144,1,0.6538,21,18.349,16.074,53.123,49.628,28.782,26.838,19.418,18.711,,,2.895,1.569,1.058,
real,2048,fp32,524288,1,0.8203,41,118.79,114.8,86.306,81.016,35.965,33.438,19.742,18.702,,,0.727,0.303,0.166,
real,2048,fp32,1048576,1,0.6147,40,28.603,25.942,93.339,84.798,34.866,31.332,20.789,19.162,,,3.263,1.219,0.727,
