scenario,sweep,K,dtype,N,BS,op,radix_cold_us_local,radix_warm_us_local,base_cold_us_local,base_warm_us_local,speedup_same_node_cold
best,bs,1024,fp32,8192,64,radix_multi_cuda,36.601,33.869,14.505,12.994,0.3963
best,bs,1024,fp32,8192,128,radix_multi_cuda,43.836,41.97,15.133,13.171,0.3452
best,bs,1024,fp32,8192,256,radix_multi_cuda,80.445,77.525,20.23,17.883,0.2515
best,bs,1024,fp32,8192,512,radix_multi_cuda,141.801,139.845,35.476,32.056,0.2502
best,bs,1024,fp32,8192,1024,radix_multi_cuda,259.149,257.254,55.421,51.361,0.2139
best,bs,1024,fp32,8192,2048,radix_multi_cuda,512.888,512.276,101.346,96.468,0.1976
best,bs,1024,fp32,16384,1,radix_multi_cuda,37.347,34.251,17.965,16.485,0.481
best,bs,1024,fp32,16384,2,radix_multi_cuda,36.991,34.821,18.16,16.464,0.4909
best,bs,1024,fp32,16384,4,radix_multi_cuda,37.501,34.875,18.062,16.483,0.4816
best,bs,1024,fp32,16384,8,radix_multi_cuda,37.299,34.902,18.12,16.502,0.4858
best,bs,1024,fp32,16384,16,radix_multi_cuda,37.701,35.53,18.317,16.738,0.4858
best,bs,1024,fp32,16384,32,radix_multi_cuda,37.111,34.425,18.35,16.784,0.4945
best,bs,1024,fp32,16384,64,radix_multi_cuda,39.086,35.647,18.864,16.918,0.4826
best,bs,1024,fp32,16384,128,radix_multi_cuda,46.827,44.242,19.758,17.143,0.4219
best,bs,1024,fp32,16384,256,radix_multi_cuda,85.831,82.253,29.894,26.041,0.3483
best,bs,1024,fp32,16384,512,radix_multi_cuda,151.062,147.101,52.196,46.476,0.3455
best,bs,1024,fp32,16384,1024,radix_multi_cuda,271.711,271.425,85.351,75.361,0.3141
best,bs,1024,fp32,16384,2048,radix_multi_cuda,544.325,543.976,151.509,146.669,0.2783
best,bs,1024,fp32,32768,1,radix_multi_cuda,39.362,36.639,23.923,21.805,0.6078
best,bs,1024,fp32,32768,2,radix_multi_cuda,40.746,37.507,23.566,21.786,0.5784
