scenario,K,dtype,N,BS,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,op21_legacy_cold_us,op21_legacy_warm_us,op21_hls_cold_us,op21_hls_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,op25_hls_cold_us,op25_hls_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,op26_1cta_cold_us,op26_1cta_warm_us,op26_mc_cold_us,op26_mc_warm_us,op27_hls_cold_us,op27_hls_warm_us,op26_r0auto_cold_us,op26_r0auto_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,speedup_vs_base_op21_legacy,speedup_vs_base_op21_hls,speedup_vs_base_radix_cutedsl,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_op25_hls,speedup_vs_base_radix_single_cuda,speedup_vs_base_radix_multi_cuda,speedup_vs_base_op26_1cta,speedup_vs_base_op26_mc,speedup_vs_base_op27_hls,speedup_vs_base_sglang_streaming,speedup_vs_base_op26_r0auto,mc_cluster_size,op25_ms_path,op26_mc_cluster_size,op27_ms_path
best,1024,fp32,131072,1,27.246,24.869,16.133,14.557,15.2,13.667,19.451,18.579,19.209,17.899,15.742,13.931,74.162,57.096,43.958,39.641,25.448,22.955,21.733,20.455,14.542,13.288,17.086,15.717,44.765,44.115,1.6888,1.7925,1.4008,1.4184,1.7308,0.3674,0.6198,1.0707,1.2537,1.8736,0.6086,1.5946,4,msc_C8,4,msc_C8
best,1024,fp32,262144,1,42.099,38.568,19.254,17.519,18.096,16.432,19.531,18.763,24.461,22.731,16.838,15.158,131.899,97.423,50.395,43.832,36.704,32.863,23.08,21.404,16.165,14.721,24.001,22.186,79.968,80.031,2.1865,2.3264,2.1555,1.7211,2.5002,0.3192,0.8354,1.147,1.824,2.6043,0.5264,1.7541,4,msc_C8,4,msc_C8
best,1024,fp32,524288,1,69.471,64.367,25.23,23.402,24.223,22.589,19.48,18.559,32.369,30.247,20.498,18.862,244.884,177.287,64.242,54.419,62.242,57.052,33.213,31.119,19.561,19.403,28.017,25.851,150.653,152.077,2.7535,2.868,3.5663,2.1462,3.3892,0.2837,1.0814,1.1161,2.0917,3.5515,0.4611,2.4796,4,msc_C8,4,msc_C8
best,1024,fp32,1048576,1,121.096,112.266,37.387,35.333,36.2,34.161,20.515,18.965,44.257,41.037,26.484,24.58,473.04,337.891,89.976,72.196,112.751,103.796,41.733,38.548,26.011,23.17,40.041,36.67,288.524,292.282,3.239,3.3452,5.9028,2.7362,4.5724,0.256,1.3459,1.074,2.9017,4.6556,0.4197,3.0243,4,msc_C8,4,msc_C8
best,2048,bf16,8192,1,14.446,13.064,12.459,11.359,12.534,11.322,7.094,6.361,14.313,13.179,12.462,11.279,16.158,15.298,25.324,22.614,14.383,13.149,15.632,14.518,12.499,11.407,12.84,11.577,,,1.1595,1.1525,2.0364,1.0093,1.1592,0.894,0.5704,1.0044,0.9241,1.1558,,1.1251,1,ms_1cta,1,ms_1cta
best,2048,bf16,16384,1,15.146,14.063,15.403,14.132,16.314,14.221,10.493,9.777,15.06,13.824,15.795,14.196,19.524,18.179,28.529,25.919,15.946,14.047,16.026,14.945,17.102,14.63,16.537,13.36,,,0.9833,0.9284,1.4434,1.0057,0.9589,0.7758,0.5309,0.9498,0.9451,0.8856,,0.9159,1,ms_1cta,1,ms_1cta
best,2048,bf16,32768,1,17.616,16.547,19.298,17.448,18.794,17.452,14.917,14.101,18.222,16.91,18.747,17.495,25.687,23.683,43.337,40.179,18.051,16.387,18.394,17.082,19.545,17.896,16.749,14.45,,,0.9128,0.9373,1.1809,0.9667,0.9397,0.6858,0.4065,0.9759,0.9577,0.9013,,1.0518,1,ms_1cta,1,ms_1cta
best,2048,bf16,65536,1,20.525,19.281,19.182,17.514,19.158,17.366,14.618,13.718,18.618,16.913,18.695,17.141,37.0,33.293,45.252,41.78,20.677,19.248,21.923,20.144,19.624,18.095,18.358,16.988,,,1.07,1.0714,1.4041,1.1024,1.0979,0.5547,0.4536,0.9926,0.9362,1.0459,,1.118,4,msc_C8,4,msc_C8
best,2048,bf16,131072,1,29.866,28.494,16.074,14.193,15.454,13.784,14.648,13.76,20.297,19.056,15.202,13.575,57.545,50.436,47.609,44.243,29.574,28.299,21.44,20.169,15.962,14.368,18.536,16.999,,,1.858,1.9326,2.0389,1.4714,1.9646,0.519,0.6273,1.0099,1.393,1.8711,,1.6112,4,msc_C8,4,msc_C8
best,2048,bf16,262144,1,46.592,44.559,20.254,18.008,19.819,17.466,14.822,13.907,25.615,23.956,20.045,17.226,97.372,82.924,53.824,49.397,47.088,45.006,29.267,27.66,22.649,18.887,22.778,21.182,,,2.3004,2.3509,3.1434,1.8189,2.3244,0.4785,0.8656,0.9895,1.592,2.0571,,2.0455,4,msc_C8,4,msc_C8
best,2048,bf16,524288,1,77.799,75.623,23.334,20.636,23.277,20.394,15.019,14.034,34.352,32.33,22.292,19.958,175.814,146.679,62.641,56.666,76.88,74.775,40.4,38.481,24.102,21.475,33.598,31.762,,,3.3341,3.3423,5.18,2.2648,3.49,0.4425,1.242,1.012,1.9257,3.2279,,2.3156,4,msc_C8,4,msc_C8
best,2048,bf16,1048576,1,142.119,138.977,26.819,22.486,26.536,22.046,15.939,14.631,52.299,49.593,25.263,21.63,336.491,278.376,81.318,72.803,140.258,137.235,61.9,59.232,26.633,22.77,43.146,40.71,,,5.2992,5.3557,8.9164,2.7174,5.6256,0.4224,1.7477,1.0133,2.2959,5.3362,,3.2939,4,msc_C8,4,msc_C8
best,2048,fp16,8192,1,18.319,16.813,12.258,10.817,12.318,10.87,6.408,5.809,18.494,17.217,12.219,10.82,15.726,14.748,24.987,21.63,15.79,14.592,14.999,14.038,12.259,10.911,15.388,14.129,,,1.4945,1.4872,2.8588,0.9905,1.4992,1.1649,0.7331,1.1602,1.2213,1.4943,,1.1905,1,ms_1cta,1,ms_1cta
best,2048,fp16,16384,1,14.741,13.436,14.774,13.633,14.928,13.664,9.755,9.18,14.527,13.18,15.105,13.803,18.596,17.726,27.325,24.976,14.836,13.407,16.412,14.85,15.214,13.873,14.834,12.68,,,0.9978,0.9875,1.5111,1.0147,0.9759,0.7927,0.5395,0.9936,0.8982,0.9689,,0.9937,1,ms_1cta,1,ms_1cta
best,2048,fp16,32768,1,17.184,15.882,18.067,16.911,18.224,16.904,14.821,14.061,17.817,16.303,17.962,17.03,24.837,23.144,40.958,38.549,18.137,15.802,17.924,16.372,18.355,17.282,17.332,14.401,,,0.9511,0.9429,1.1594,0.9645,0.9567,0.6919,0.4196,0.9475,0.9587,0.9362,,0.9915,1,ms_1cta,1,ms_1cta
best,2048,fp16,65536,1,19.862,18.624,15.158,13.665,15.186,13.693,14.574,13.763,18.042,16.433,15.543,14.004,36.523,33.596,43.367,40.438,19.921,18.609,21.254,19.636,15.062,13.599,17.17,15.888,,,1.3103,1.3079,1.3628,1.1009,1.2779,0.5438,0.458,0.997,0.9345,1.3187,,1.1568,4,msc_C8,4,msc_C8
best,2048,fp16,131072,1,29.482,27.729,15.163,13.398,15.139,13.31,14.694,13.935,20.117,18.684,15.44,13.575,58.886,51.737,46.909,43.071,29.43,27.621,21.117,19.669,15.032,13.291,17.517,16.253,,,1.9443,1.9474,2.0064,1.4655,1.9095,0.5007,0.6285,1.0018,1.3961,1.9613,,1.6831,4,msc_C8,4,msc_C8
best,2048,fp16,262144,1,45.603,43.471,16.608,14.434,16.653,14.287,14.739,13.772,24.976,23.231,16.561,14.353,97.014,84.302,52.518,47.81,45.411,43.375,28.843,27.098,16.662,14.476,21.768,20.146,,,2.7458,2.7384,3.094,1.8259,2.7536,0.4701,0.8683,1.0042,1.5811,2.7369,,2.095,4,msc_C8,4,msc_C8
best,2048,fp16,524288,1,76.413,74.125,19.71,16.931,19.515,16.77,15.117,14.1,33.576,31.415,19.352,16.772,176.105,152.259,61.09,55.824,75.907,73.676,39.595,37.384,19.094,16.578,32.317,30.511,,,3.8769,3.9156,5.0548,2.2758,3.9486,0.4339,1.2508,1.0067,1.9299,4.0019,,2.3645,4,msc_C8,4,msc_C8
best,2048,fp16,1048576,1,139.918,136.645,22.202,18.537,22.219,18.339,15.762,14.461,51.36,48.443,22.074,18.213,335.844,287.548,80.1,71.398,139.011,135.745,60.758,57.932,21.941,18.142,41.509,39.186,,,6.302,6.2972,8.8769,2.7243,6.3386,0.4166,1.7468,1.0065,2.3029,6.377,,3.3708,4,msc_C8,4,msc_C8
best,2048,fp32,8192,1,13.475,12.146,12.534,11.197,12.517,11.234,8.189,7.466,13.648,12.137,12.526,11.276,16.807,15.224,24.566,21.838,11.688,10.391,16.31,14.792,12.868,10.029,16.375,15.099,,,1.0751,1.0765,1.6455,0.9873,1.0758,0.8017,0.5485,1.1529,0.8262,1.0472,,0.8229,1,ms_1cta,1,ms_1cta
best,2048,fp32,16384,1,16.757,15.221,15.155,13.8,14.995,13.756,12.699,11.914,16.793,15.214,15.124,13.812,21.275,18.5,28.001,25.153,13.304,11.851,16.377,14.852,15.991,12.303,15.239,13.923,,,1.1057,1.1175,1.3196,0.9979,1.108,0.7876,0.5984,1.2595,1.0232,1.0479,,1.0996,1,ms_1cta,1,ms_1cta
best,2048,fp32,32768,1,19.046,17.267,18.942,17.478,18.87,17.498,19.666,18.954,19.018,17.27,18.913,17.549,30.141,25.523,42.39,38.767,20.064,18.094,18.876,17.265,18.046,15.047,16.876,15.142,,,1.0055,1.0093,0.9685,1.0015,1.007,0.6319,0.4493,0.9493,1.009,1.0554,,1.1286,1,ms_1cta,1,ms_1cta
best,2048,fp32,65536,1,23.438,21.716,15.736,13.729,15.814,13.846,19.573,18.761,19.155,17.353,16.157,14.225,48.03,38.838,45.03,41.055,22.012,20.246,23.067,21.303,15.684,15.771,19.299,17.709,,,1.4895,1.4821,1.1975,1.2236,1.4506,0.488,0.5205,1.0648,1.0161,1.4944,,1.2145,4,msc_C4,4,msc_C4
best,2048,fp32,131072,1,30.533,28.172,16.92,14.925,16.914,15.139,20.229,19.253,19.609,18.179,17.566,15.567,77.493,60.204,48.314,43.584,29.787,27.523,20.956,19.591,17.32,16.713,19.396,17.973,,,1.8046,1.8052,1.5094,1.5571,1.7382,0.394,0.632,1.025,1.457,1.7629,,1.5742,4,msc_C4,4,msc_C4
best,2048,fp32,262144,1,45.613,42.627,17.462,15.478,17.578,15.801,19.723,18.953,24.965,23.238,17.976,16.126,134.176,101.197,55.141,49.243,43.911,40.966,27.356,25.739,17.89,14.758,22.858,21.519,,,2.6121,2.5949,2.3127,1.8271,2.5374,0.3399,0.8272,1.0388,1.6674,2.5496,,1.9955,4,msc_C8,4,msc_C8
best,2048,fp32,524288,1,75.232,70.25,21.6,19.355,21.866,19.648,19.986,19.017,31.885,29.646,22.401,19.964,250.704,184.167,71.225,61.472,74.347,69.497,33.493,31.276,21.991,18.468,30.839,28.799,,,3.483,3.4406,3.7642,2.3595,3.3584,0.3001,1.0563,1.0119,2.2462,3.421,,2.4395,4,msc_C8,4,msc_C8
best,2048,fp32,1048576,1,136.312,128.259,27.507,25.175,27.906,25.509,21.339,19.853,47.562,44.313,28.402,25.841,475.439,342.133,97.504,80.408,135.325,126.953,50.08,46.985,28.091,25.399,43.609,40.84,,,4.9555,4.8847,6.3879,2.866,4.7994,0.2867,1.398,1.0073,2.7219,4.8525,,3.1258,4,msc_C8,4,msc_C8
real,512,bf16,4096,1,12.691,11.4,8.627,7.568,8.589,7.609,5.139,4.45,12.69,11.669,9.344,8.359,13.694,13.044,35.247,31.117,12.302,11.29,12.36,11.69,9.327,8.352,8.857,7.632,,,1.4711,1.4776,2.4695,1.0001,1.3582,0.9268,0.3601,1.0316,1.0268,1.3607,,1.4329,1,ms_1cta,1,ms_1cta
real,512,bf16,8192,1,11.018,9.808,10.682,8.813,10.086,8.824,6.576,5.723,11.27,10.066,10.917,9.779,15.467,14.885,35.037,32.166,10.971,9.806,11.293,10.031,10.851,9.735,11.571,10.32,,,1.0315,1.0924,1.6755,0.9776,1.0093,0.7124,0.3145,1.0043,0.9756,1.0154,,0.9522,1,ms_1cta,1,ms_1cta
real,512,bf16,16384,1,14.138,12.337,11.456,9.302,11.131,9.313,9.526,8.768,13.564,12.057,13.972,12.108,18.448,16.781,35.7,31.769,14.076,12.276,13.575,12.058,13.935,12.071,10.628,8.99,,,1.2341,1.2701,1.4841,1.0423,1.0119,0.7664,0.396,1.0044,1.0415,1.0146,,1.3303,1,ms_1cta,1,ms_1cta
real,512,bf16,32768,1,16.592,15.091,12.939,10.568,12.741,10.566,15.029,13.754,17.092,15.46,14.539,12.68,22.683,20.769,36.406,33.206,16.617,15.1,17.324,15.463,14.608,12.713,12.053,10.625,,,1.2823,1.3023,1.104,0.9707,1.1412,0.7315,0.4557,0.9985,0.9577,1.1358,,1.3766,1,ms_1cta,1,ms_1cta
real,512,bf16,65536,1,27.149,25.694,40.173,25.374,19.4,16.005,14.858,13.474,23.411,21.617,12.723,11.041,32.756,29.145,38.329,34.611,27.219,25.751,23.437,21.617,12.853,11.194,13.219,11.477,,,0.6758,1.3994,1.8272,1.1597,2.1339,0.8288,0.7083,0.9974,1.1584,2.1123,,2.0538,4,msc_C8,4,msc_C8
real,512,bf16,131072,1,24.038,22.367,48.328,34.124,23.136,16.668,14.605,13.737,16.999,15.624,13.039,11.232,53.394,45.282,41.059,36.796,24.027,22.44,17.183,15.637,13.212,11.367,14.135,12.71,,,0.4974,1.039,1.6459,1.4141,1.8435,0.4502,0.5855,1.0005,1.3989,1.8194,,1.7006,4,msc_C8,4,msc_C8
real,512,bf16,262144,1,35.869,33.945,13.955,11.995,13.957,11.939,14.554,13.752,19.548,17.984,13.902,12.192,93.906,78.674,44.747,39.996,36.074,34.124,19.52,17.993,14.086,12.296,18.315,16.773,,,2.5703,2.57,2.4645,1.8349,2.5801,0.382,0.8016,0.9943,1.8376,2.5464,,1.9584,4,msc_C8,4,msc_C8
real,512,bf16,524288,1,60.797,58.435,15.398,13.152,15.165,13.097,14.522,13.577,26.4,24.535,15.392,12.969,175.64,146.316,51.142,45.211,61.15,58.87,26.554,24.533,15.771,13.177,24.125,22.287,,,3.9484,4.009,4.1865,2.3029,3.9499,0.3461,1.1888,0.9942,2.2896,3.855,,2.5201,4,msc_C8,4,msc_C8
real,512,bf16,1048576,1,113.225,109.668,180.8,168.759,35.23,29.86,15.43,14.162,42.837,39.855,18.772,15.509,340.759,280.775,69.308,59.936,114.188,110.488,42.962,39.923,18.884,15.632,36.614,34.342,,,0.6262,3.2139,7.338,2.6432,6.0316,0.3323,1.6336,0.9916,2.6355,5.9958,,3.0924,4,msc_C8,4,msc_C8
real,512,fp16,4096,1,11.71,10.019,9.226,7.921,9.243,7.956,5.606,4.774,11.59,10.213,9.874,8.71,14.627,13.613,37.832,32.479,11.783,10.059,11.323,10.237,9.896,8.661,9.667,8.405,,,1.2692,1.2669,2.0888,1.0104,1.1859,0.8006,0.3095,0.9938,1.0342,1.1833,,1.2113,1,ms_1cta,1,ms_1cta
real,512,fp16,8192,1,10.997,9.557,10.403,9.17,10.554,9.183,6.646,6.036,11.303,9.725,11.536,10.237,16.313,15.596,36.908,33.617,11.033,9.581,11.386,9.72,11.453,10.192,13.847,12.486,,,1.0571,1.042,1.6547,0.9729,0.9533,0.6741,0.298,0.9967,0.9658,0.9602,,0.7942,1,ms_1cta,1,ms_1cta
real,512,fp16,16384,1,16.069,14.426,11.096,9.642,11.455,9.701,9.355,8.819,15.368,14.043,13.951,12.291,18.603,17.365,35.853,32.87,16.188,14.374,15.338,14.032,13.792,12.26,13.848,12.331,,,1.4482,1.4028,1.7177,1.0456,1.1518,0.8638,0.4482,0.9926,1.0477,1.1651,,1.1604,1,ms_1cta,1,ms_1cta
real,512,fp16,32768,1,17.28,15.332,13.291,10.979,13.515,11.007,14.045,13.191,17.771,15.654,15.427,12.888,24.155,21.532,38.445,34.096,17.497,15.323,17.638,15.644,15.299,12.901,12.608,10.812,,,1.3001,1.2786,1.2303,0.9724,1.1201,0.7154,0.4495,0.9876,0.9797,1.1295,,1.3706,1,ms_1cta,1,ms_1cta
real,512,fp16,65536,1,28.702,27.28,42.011,27.965,21.611,16.935,13.981,13.078,25.188,23.63,12.946,11.349,33.069,30.07,38.725,35.185,28.93,27.49,25.108,23.632,12.797,11.229,14.275,12.568,,,0.6832,1.3281,2.0529,1.1395,2.2171,0.8679,0.7412,0.9921,1.1431,2.2429,,2.0106,4,msc_C8,4,msc_C8
real,512,fp16,131072,1,24.051,22.337,46.815,34.525,21.523,16.503,13.965,13.145,17.118,15.829,13.636,11.625,53.771,46.921,41.609,37.516,24.092,22.49,16.881,15.819,13.635,11.471,14.206,12.815,,,0.5137,1.1175,1.7222,1.405,1.7638,0.4473,0.578,0.9983,1.4247,1.7639,,1.693,4,msc_C8,4,msc_C8
real,512,fp16,262144,1,35.379,33.386,14.509,12.403,14.496,12.313,14.082,13.123,19.519,18.073,14.234,12.464,94.475,81.761,44.997,40.533,35.69,33.723,19.615,18.071,14.02,12.29,18.374,16.651,,,2.4384,2.4406,2.5124,1.8125,2.4855,0.3745,0.7863,0.9913,1.8037,2.5235,,1.9255,4,msc_C8,4,msc_C8
real,512,fp16,524288,1,61.741,58.719,16.17,13.648,16.202,13.551,14.192,13.196,28.468,26.106,15.639,13.167,178.637,152.107,51.809,45.551,61.896,58.978,28.391,26.17,15.53,13.09,24.4,22.035,,,3.8182,3.8107,4.3504,2.1688,3.9479,0.3456,1.1917,0.9975,2.1747,3.9756,,2.5304,4,msc_C8,4,msc_C8
real,512,fp16,1048576,1,113.108,109.451,177.154,165.329,35.647,30.082,14.768,13.532,45.385,42.252,18.726,15.553,341.255,292.06,69.422,60.403,113.524,109.896,45.409,42.239,18.773,15.544,36.029,33.488,,,0.6385,3.173,7.659,2.4922,6.0402,0.3314,1.6293,0.9963,2.4909,6.025,,3.1394,4,msc_C8,4,msc_C8
real,512,fp32,4096,1,11.554,10.208,9.587,8.628,9.662,8.606,6.394,5.56,11.379,10.157,10.468,9.465,13.435,12.907,33.282,29.973,9.005,7.778,11.616,10.207,10.341,9.61,8.978,7.903,7.277,6.159,1.2052,1.1958,1.807,1.0154,1.1037,0.86,0.3472,1.2831,0.9947,1.1173,1.5877,1.2869,1,ms_1cta,1,ms_1cta
real,512,fp32,8192,1,11.974,10.412,10.733,9.222,10.544,9.268,7.771,7.236,11.849,10.409,11.459,10.248,16.616,14.795,35.616,30.866,9.598,7.969,11.715,10.408,11.131,10.399,12.125,10.829,8.597,7.29,1.1156,1.1356,1.5409,1.0105,1.0449,0.7206,0.3362,1.2476,1.0221,1.0757,1.3928,0.9875,1,ms_1cta,1,ms_1cta
real,512,fp32,16384,1,15.099,13.482,11.464,10.017,11.448,10.012,12.134,11.356,15.101,13.478,13.486,12.142,20.162,17.305,35.314,30.981,11.778,9.739,14.849,13.466,13.557,12.304,12.434,10.873,11.354,10.084,1.3171,1.3189,1.2444,0.9999,1.1196,0.7489,0.4276,1.282,1.0168,1.1137,1.3298,1.2143,1,ms_1cta,1,ms_1cta
real,512,fp32,32768,1,17.474,15.414,13.197,11.436,13.33,11.482,15.974,15.001,17.5,15.432,14.078,12.46,27.315,22.904,37.911,33.008,14.28,12.213,17.466,15.428,14.297,12.624,13.485,11.044,16.054,14.806,1.3241,1.3109,1.0939,0.9985,1.2412,0.6397,0.4609,1.2237,1.0005,1.2222,1.0885,1.2958,1,ms_1cta,1,ms_1cta
real,512,fp32,65536,1,33.333,31.5,32.453,27.8,19.488,17.727,16.227,15.292,23.436,21.677,13.157,11.658,43.179,34.379,40.635,35.554,31.136,29.177,23.545,21.688,13.132,11.51,14.413,12.597,25.598,24.403,1.0271,1.7104,2.0542,1.4223,2.5335,0.772,0.8203,1.0706,1.4157,2.5383,1.3022,2.3127,4,msc_C4,4,msc_C4
real,512,fp32,131072,1,25.272,22.756,36.906,34.515,21.426,19.643,18.608,18.053,17.535,16.113,14.232,12.582,70.355,53.505,42.693,36.837,24.381,21.995,17.559,16.134,13.524,12.201,14.557,13.011,43.491,42.475,0.6848,1.1795,1.3581,1.4412,1.7757,0.3592,0.5919,1.0365,1.4393,1.8687,0.5811,1.7361,4,msc_C8,4,msc_C8
real,512,fp32,262144,1,39.381,35.645,18.429,16.674,17.71,16.098,19.056,18.382,21.974,20.275,15.965,14.553,127.846,94.348,48.273,41.014,36.303,32.504,21.973,20.297,17.752,16.769,18.923,17.007,78.083,77.777,2.1369,2.2237,2.0666,1.7922,2.4667,0.308,0.8158,1.0848,1.7922,2.2184,0.5043,2.0811,4,msc_C8,4,msc_C8
real,512,fp32,524288,1,63.219,57.548,24.083,22.333,23.49,22.106,19.112,18.245,26.452,24.017,18.82,17.446,240.793,174.652,61.604,50.976,61.228,55.587,26.4,24.016,18.593,19.064,24.325,22.048,148.195,149.147,2.625,2.6913,3.3078,2.39,3.3591,0.2625,1.0262,1.0325,2.3947,3.4002,0.4266,2.5989,4,msc_C8,4,msc_C8
real,512,fp32,1048576,1,118.456,108.644,175.909,171.157,59.149,57.113,20.182,18.897,43.027,39.324,25.295,23.648,470.195,336.125,86.249,67.844,112.496,103.183,43.065,39.292,25.494,21.893,36.053,32.549,288.206,290.667,0.6734,2.0027,5.8694,2.7531,4.683,0.2519,1.3734,1.053,2.7506,4.6464,0.411,3.2856,4,msc_C8,4,msc_C8
real,1024,bf16,4096,1,9.915,8.47,9.498,8.332,9.53,8.381,5.37,4.525,9.656,8.387,9.864,8.726,15.07,14.247,37.307,32.841,9.615,8.36,9.394,8.399,9.822,8.713,9.286,8.185,,,1.0439,1.0404,1.8464,1.0268,1.0052,0.6579,0.2658,1.0312,1.0555,1.0095,,1.0677,1,ms_1cta,1,ms_1cta
real,1024,bf16,8192,1,12.926,11.521,10.598,9.164,10.579,9.204,6.702,5.955,13.016,11.475,11.493,10.176,16.295,15.172,37.473,33.337,10.511,9.086,10.699,9.165,11.227,10.155,10.653,9.298,,,1.2197,1.2219,1.9287,0.9931,1.1247,0.7932,0.3449,1.2298,1.2082,1.1513,,1.2134,1,ms_1cta,1,ms_1cta
real,1024,bf16,16384,1,12.598,11.188,11.926,10.466,11.987,10.518,9.798,9.052,12.059,10.861,12.74,11.292,19.263,17.767,38.646,34.799,12.466,11.096,13.429,12.144,12.605,11.255,11.155,9.781,,,1.0563,1.051,1.2858,1.0447,0.9889,0.654,0.326,1.0106,0.9381,0.9994,,1.1294,1,ms_1cta,1,ms_1cta
real,1024,bf16,32768,1,15.01,13.355,30.104,19.877,21.016,16.739,13.285,12.068,15.614,13.764,14.672,12.578,24.574,22.164,39.861,36.339,15.534,13.861,16.155,14.448,13.758,12.584,12.861,11.561,,,0.4986,0.7142,1.1298,0.9613,1.023,0.6108,0.3766,0.9663,0.9291,1.091,,1.1671,1,ms_1cta,1,ms_1cta
real,1024,bf16,65536,1,23.826,22.372,13.48,11.902,13.405,11.788,12.954,11.771,20.582,18.843,13.535,12.049,34.046,30.478,40.253,36.639,19.808,18.396,19.076,17.361,13.019,13.279,15.68,14.108,,,1.7675,1.7774,1.8393,1.1576,1.7603,0.6998,0.5919,1.2028,1.249,1.8301,,1.5195,4,msc_C8,4,msc_C8
real,1024,bf16,131072,1,25.144,23.464,46.261,35.505,22.672,18.843,14.053,13.078,17.588,16.252,14.0,12.359,55.761,47.167,43.825,39.365,24.842,23.21,21.381,20.185,16.058,15.444,16.196,14.984,,,0.5435,1.109,1.7892,1.4296,1.796,0.4509,0.5737,1.0122,1.176,1.5658,,1.5525,4,msc_C8,4,msc_C8
real,1024,bf16,262144,1,36.141,34.333,12.446,10.387,12.288,10.269,14.131,13.329,19.488,17.978,14.625,12.593,93.265,79.252,47.283,42.712,35.731,33.97,19.794,18.27,14.782,14.264,18.817,17.196,,,2.9038,2.9412,2.5576,1.8545,2.4712,0.3875,0.7644,1.0115,1.8259,2.4449,,1.9207,4,msc_C8,4,msc_C8
real,1024,bf16,524288,1,62.651,60.37,16.394,13.839,16.221,13.738,14.094,13.146,27.889,25.628,16.761,14.383,173.627,144.982,54.431,48.966,62.149,59.69,28.171,26.176,16.55,15.009,25.085,23.396,,,3.8216,3.8623,4.4452,2.2464,3.7379,0.3608,1.151,1.0081,2.224,3.7856,,2.4975,4,msc_C8,4,msc_C8
real,1024,bf16,1048576,1,115.896,112.407,19.87,16.277,19.736,16.16,14.957,13.708,43.753,40.702,20.991,17.377,339.289,279.153,73.615,64.043,114.796,111.153,57.358,54.251,21.802,16.782,38.259,35.741,,,5.8327,5.8723,7.7486,2.6489,5.5212,0.3416,1.5744,1.0096,2.0206,5.3158,,3.0292,4,msc_C8,4,msc_C8
real,1024,fp16,4096,1,10.547,9.012,10.928,9.896,11.013,9.909,5.53,4.88,10.233,9.06,11.525,10.468,15.73,14.98,38.625,34.593,10.134,9.02,11.555,10.822,12.153,10.366,9.885,8.82,,,0.9651,0.9577,1.9072,1.0307,0.9151,0.6705,0.2731,1.0408,0.9128,0.8679,,1.067,1,ms_1cta,1,ms_1cta
real,1024,fp16,8192,1,15.368,14.352,11.75,10.861,11.725,10.864,6.787,6.198,15.424,14.411,12.65,11.654,16.407,15.68,37.417,34.327,11.112,10.113,11.427,10.283,12.682,11.66,10.484,9.464,,,1.3079,1.3107,2.2643,0.9964,1.2149,0.9367,0.4107,1.383,1.3449,1.2118,,1.4659,1,ms_1cta,1,ms_1cta
real,1024,fp16,16384,1,14.043,12.775,12.731,11.383,12.637,11.397,9.669,9.117,13.372,12.275,13.198,11.977,19.647,18.427,39.245,36.196,14.015,12.778,14.032,13.027,13.261,12.036,11.444,10.191,,,1.1031,1.1113,1.4524,1.0502,1.064,0.7148,0.3578,1.002,1.0008,1.059,,1.2271,1,ms_1cta,1,ms_1cta
real,1024,fp16,32768,1,17.375,15.93,33.286,22.954,23.19,19.118,14.49,13.773,17.89,16.19,15.306,13.388,24.975,22.962,40.39,37.401,17.938,16.31,18.287,16.432,14.855,13.399,13.901,12.715,,,0.522,0.7492,1.1991,0.9712,1.1352,0.6957,0.4302,0.9686,0.9501,1.1696,,1.2499,1,ms_1cta,1,ms_1cta
real,1024,fp16,65536,1,20.21,19.072,13.757,12.335,13.978,12.65,14.73,13.765,17.295,15.785,14.292,13.006,33.868,31.477,40.035,37.344,21.036,19.898,18.86,17.292,14.418,11.199,16.191,14.93,,,1.4691,1.4458,1.372,1.1685,1.4141,0.5967,0.5048,0.9607,1.0716,1.4017,,1.2482,4,msc_C8,4,msc_C8
real,1024,fp16,131072,1,25.781,23.728,47.32,36.98,21.474,19.198,14.541,13.533,18.117,16.492,15.295,13.37,57.301,49.041,44.859,40.159,25.918,23.799,23.366,21.508,13.034,13.293,16.581,15.072,,,0.5448,1.2006,1.773,1.423,1.6856,0.4499,0.5747,0.9947,1.1034,1.978,,1.5549,4,msc_C8,4,msc_C8
real,1024,fp16,262144,1,37.445,35.867,39.037,36.276,26.339,23.683,14.538,13.649,21.1,19.669,15.431,13.47,94.181,82.694,47.54,43.375,37.807,36.04,20.794,19.384,16.002,13.77,19.531,18.031,,,0.9592,1.4217,2.5757,1.7746,2.4266,0.3976,0.7877,0.9904,1.8008,2.34,,1.9172,4,msc_C8,4,msc_C8
real,1024,fp16,524288,1,61.845,59.528,16.539,14.094,16.976,14.545,14.587,13.576,27.802,25.626,17.437,15.021,175.341,151.224,54.483,49.312,61.975,59.589,29.324,26.938,16.213,16.647,24.95,23.064,,,3.7393,3.6431,4.2397,2.2245,3.5468,0.3527,1.1351,0.9979,2.109,3.8145,,2.4788,4,msc_C8,4,msc_C8
