scenario,K,dtype,N,BS,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,op21_legacy_cold_us,op21_legacy_warm_us,op21_hls_cold_us,op21_hls_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,op25_hls_cold_us,op25_hls_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,op26_1cta_cold_us,op26_1cta_warm_us,op26_mc_cold_us,op26_mc_warm_us,op27_hls_cold_us,op27_hls_warm_us,op26_r0auto_cold_us,op26_r0auto_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,speedup_vs_base_op21_legacy,speedup_vs_base_op21_hls,speedup_vs_base_radix_cutedsl,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_op25_hls,speedup_vs_base_radix_single_cuda,speedup_vs_base_radix_multi_cuda,speedup_vs_base_op26_1cta,speedup_vs_base_op26_mc,speedup_vs_base_op27_hls,speedup_vs_base_sglang_streaming,speedup_vs_base_op26_r0auto,mc_cluster_size,op25_ms_path,op26_mc_cluster_size,op27_ms_path
best,512,fp16,131072,1,24.85,23.192,13.237,11.479,12.725,11.134,14.326,13.55,18.233,16.985,14.219,12.326,52.654,46.029,40.479,36.675,25.01,23.379,18.059,16.953,14.06,12.061,15.358,14.07,,,1.8773,1.9528,1.7346,1.3629,1.7477,0.4719,0.6139,0.9936,1.376,1.7674,,1.618,4,msc_C8,4,msc_C8
best,512,fp16,262144,1,35.234,33.291,14.576,11.897,13.901,11.654,14.478,13.56,19.643,18.288,13.991,12.265,92.686,80.669,44.204,39.855,35.706,33.613,19.558,18.282,13.742,12.053,17.968,16.204,,,2.4173,2.5346,2.4336,1.7937,2.5183,0.3801,0.7971,0.9868,1.8015,2.564,,1.9609,4,msc_C8,4,msc_C8
best,512,fp16,524288,1,60.579,58.003,16.155,13.256,15.41,13.041,14.427,13.53,27.918,25.802,15.46,13.128,175.207,150.8,51.201,45.148,60.84,58.268,27.764,25.821,15.309,12.93,25.256,23.128,,,3.7499,3.9311,4.199,2.1699,3.9184,0.3458,1.1832,0.9957,2.1819,3.9571,,2.3986,4,msc_C8,4,msc_C8
best,512,fp16,1048576,1,109.198,105.426,19.07,15.441,18.654,15.218,14.816,13.576,41.411,38.27,19.132,15.8,340.438,291.188,69.241,60.124,109.618,105.785,41.271,38.251,18.893,15.683,36.201,33.67,,,5.7262,5.8539,7.3703,2.6369,5.7076,0.3208,1.5771,0.9962,2.6459,5.7798,,3.0164,4,msc_C8,4,msc_C8
best,512,fp32,4096,1,10.858,9.327,10.414,9.288,10.397,9.236,6.448,5.626,10.674,9.272,11.143,10.108,14.154,13.221,34.301,30.777,9.408,8.052,10.766,9.299,11.271,10.179,10.364,9.075,7.301,6.175,1.0426,1.0443,1.6839,1.0172,0.9744,0.7671,0.3166,1.1541,1.0085,0.9634,1.4872,1.0477,1,ms_1cta,1,ms_1cta
best,512,fp32,8192,1,11.134,9.447,10.859,9.327,10.637,9.316,7.79,7.257,11.097,9.438,12.033,10.587,16.847,15.221,35.28,31.751,9.994,8.198,10.935,9.438,12.057,10.67,10.01,8.449,8.68,7.367,1.0253,1.0467,1.4293,1.0033,0.9253,0.6609,0.3156,1.1141,1.0182,0.9234,1.2827,1.1123,1,ms_1cta,1,ms_1cta
best,512,fp32,16384,1,12.774,11.21,12.208,10.804,12.333,10.875,12.272,11.413,12.75,11.22,14.665,13.364,20.45,17.764,35.159,31.669,11.006,9.043,12.509,11.194,14.497,13.376,13.326,11.853,11.406,10.113,1.0464,1.0358,1.0409,1.0019,0.8711,0.6246,0.3633,1.1606,1.0212,0.8811,1.1199,0.9586,1,ms_1cta,1,ms_1cta
best,512,fp32,32768,1,15.838,13.404,13.802,11.885,13.762,11.957,16.102,15.178,15.867,13.417,15.454,13.455,28.827,23.462,38.305,33.614,13.648,11.287,15.905,13.419,15.507,13.583,14.069,11.605,16.213,14.949,1.1475,1.1509,0.9836,0.9982,1.0248,0.5494,0.4135,1.1605,0.9958,1.0213,0.9769,1.1257,1,ms_1cta,1,ms_1cta
best,512,fp32,65536,1,28.573,26.616,13.734,11.951,13.011,11.226,16.389,15.463,20.945,19.167,14.187,12.544,43.546,34.357,39.582,35.185,22.798,20.769,21.079,19.174,13.957,12.469,14.62,12.791,25.637,24.537,2.0805,2.1961,1.7434,1.3642,2.014,0.6562,0.7219,1.2533,1.3555,2.0472,1.1145,1.9544,4,msc_C4,4,msc_C4
best,512,fp32,131072,1,25.749,23.254,15.214,13.776,14.674,13.214,18.787,18.133,18.012,16.642,15.079,13.386,71.981,54.383,42.505,37.134,24.972,22.432,18.054,16.638,14.697,13.043,15.659,14.148,43.568,42.588,1.6925,1.7547,1.3706,1.4295,1.7076,0.3577,0.6058,1.0311,1.4262,1.752,0.591,1.6444,4,msc_C8,4,msc_C8
