model,isl,dtype,BS,N,hit,gvr_base,gvr_pr,op26_r0auto,radix_cutedsl,sglang_v2,flashinfer_topk
flash,128k,fp16,512,32771,0.701171875,38.772349999999996,30.31975,41.8672,51.70725,,35.7617
flash,128k,fp16,1024,32771,0.701171875,61.186800000000005,48.599599999999995,66.56269999999999,89.7921,,60.592349999999996
flash,128k,fp32,1,32771,0.701171875,15.755049999999999,11.75975,13.67325,19.6672,8.312,12.163200000000002
flash,128k,fp32,2,32771,0.701171875,15.946950000000001,11.97575,13.66695,19.5408,8.1184,12.1344
flash,128k,fp32,4,32771,0.701171875,15.5854,11.6511,13.4846,19.68805,8.624,12.3728
flash,128k,fp32,8,32771,0.701171875,15.7678,11.8511,13.7087,19.736,8.6464,12.654399999999999
flash,128k,fp32,16,32771,0.701171875,15.92775,11.958200000000001,13.868799999999998,20.4592,11.304,14.7232
flash,128k,fp32,32,32771,0.701171875,16.16625,12.284799999999999,14.1279,24.358400000000003,11.8352,16.5488
flash,128k,fp32,64,32771,0.701171875,16.88935,12.96455,14.8575,30.5888,12.3584,17.2368
flash,128k,fp32,128,32771,0.701171875,17.817400000000003,13.79955,15.771,20.686400000000003,13.044799999999999,21.2592
flash,128k,fp32,256,32771,0.701171875,25.33245,19.24295,25.46045,38.489650000000005,17.6848,25.854400000000002
flash,128k,fp32,512,32771,0.701171875,47.168800000000005,35.65725,51.156099999999995,75.34085,33.344,46.766400000000004
flash,128k,fp32,1024,32771,0.701171875,82.87075,61.6712,78.30135,131.4305,57.4176,78.8784
flash,16k,bf16,1,4099,0.34375,8.0991,8.192,8.0015,6.1903999999999995,,6.4048
flash,16k,bf16,2,4099,0.34375,7.7359,8.0015,7.700699999999999,6.292800000000001,,6.5488
flash,16k,bf16,4,4099,0.34375,7.8575,7.98225,7.87515,6.3599499999999995,,6.5728
flash,16k,bf16,8,4099,0.34375,7.8095,7.99355,7.7535,6.4064,,6.6432
flash,16k,bf16,16,4099,0.34375,8.29275,8.44795,8.265450000000001,6.3536,,6.688
flash,16k,bf16,32,4099,0.34375,8.39035,8.53915,8.35035,6.4176,,6.68
flash,16k,bf16,64,4099,0.34375,8.543899999999999,8.72475,8.4238,6.496,,6.7936000000000005
flash,16k,bf16,128,4099,0.34375,8.88955,9.14535,8.8399,6.8288,,6.936
flash,16k,bf16,256,4099,0.34375,10.50065,10.321299999999999,9.3535,11.625549999999999,,8.8304
flash,16k,bf16,512,4099,0.34375,18.12785,18.1678,16.003049999999998,21.1728,,15.9568
flash,16k,bf16,1024,4099,0.34375,27.57095,27.1885,24.367849999999997,35.860699999999994,,27.03035
flash,16k,fp16,1,4099,0.34375,10.91835,7.9055,10.93425,6.081600000000001,,6.07835
flash,16k,fp16,2,4099,0.34375,11.1359,8.2399,11.100700000000002,6.2016,,6.3472
flash,16k,fp16,4,4099,0.34375,10.9679,8.00145,10.90875,6.2592,,6.34555
flash,16k,fp16,8,4099,0.34375,11.05905,8.09585,11.05275,6.2576,,6.344
flash,16k,fp16,16,4099,0.34375,11.04635,8.04,11.105450000000001,6.2303500000000005,,6.424
flash,16k,fp16,32,4099,0.34375,11.17755,8.231950000000001,11.16785,6.284800000000001,,6.454350000000001
flash,16k,fp16,64,4099,0.34375,11.38395,8.3279,11.3583,6.376,,6.5616
flash,16k,fp16,128,4099,0.34375,11.64955,8.615950000000002,11.59665,6.6896,,6.7008
flash,16k,fp16,256,4099,0.34375,13.988700000000001,10.25275,9.222299999999999,11.40315,,8.503950000000001
flash,16k,fp16,512,4099,0.34375,24.4143,17.8622,15.92465,20.846400000000003,,15.088
flash,16k,fp16,1024,4099,0.34375,37.2896,27.030099999999997,23.85745,35.1695,,25.7055
flash,16k,fp32,1,4099,0.34375,11.07355,8.66385,7.92785,7.1903500000000005,5.456,7.24315
flash,16k,fp32,2,4099,0.34375,10.998299999999999,8.65265,8.23505,7.0848,5.20155,7.3199499999999995
flash,16k,fp32,4,4099,0.34375,11.0976,8.8144,8.1279,7.2048000000000005,5.2432,7.2639499999999995
flash,16k,fp32,8,4099,0.34375,11.01235,8.65915,8.02065,7.30715,5.2512,7.55355
flash,16k,fp32,16,4099,0.34375,11.22315,8.8352,8.0591,7.50075,5.3904,7.6592
flash,16k,fp32,32,4099,0.34375,11.328,8.911850000000001,8.25255,7.58875,5.414350000000001,7.8064
flash,16k,fp32,64,4099,0.34375,11.376,8.9616,8.270299999999999,7.7536000000000005,5.6192,7.9632
flash,16k,fp32,128,4099,0.34375,11.71035,9.2829,8.53275,8.251149999999999,5.8784,8.19035
flash,16k,fp32,256,4099,0.34375,13.635,10.7856,10.78525,14.52315,7.2976,11.103950000000001
flash,16k,fp32,512,4099,0.34375,25.050849999999997,19.486150000000002,18.97575,26.921599999999998,12.50705,19.8128
flash,16k,fp32,1024,4099,0.34375,45.0346,34.8219,28.484450000000002,45.745400000000004,20.58395,33.5487
