model,isl,L,K,npad,h,onepass6,onepass8,best_c
pro,1024k,56,1024,262144,0.624,1,1,1030
pro,1024k,58,1024,262144,0.679,1,1,1288
pro,1024k,60,1024,262144,0.876,1,1,3194
pro,128k,2,1024,32832,0.939,1,1,1513
pro,128k,4,1024,32832,0.863,1,1,1049
pro,128k,6,1024,32832,0.870,1,1,1031
pro,128k,8,1024,32832,0.928,1,1,1617
pro,128k,10,1024,32832,0.899,1,1,3594
pro,128k,12,1024,32832,0.849,1,1,1099
pro,128k,14,1024,32832,0.812,1,1,1176
pro,128k,16,1024,32832,0.665,1,1,1321
pro,128k,18,1024,32832,0.688,1,1,1217
pro,128k,20,1024,32832,0.782,1,1,1304
pro,128k,22,1024,32832,0.433,1,1,1351
pro,128k,24,1024,32832,0.683,1,1,1276
pro,128k,26,1024,32832,0.454,1,1,1262
pro,128k,28,1024,32832,0.728,1,1,1098
pro,128k,30,1024,32832,0.326,1,1,1303
pro,128k,32,1024,32832,0.430,1,1,1512
pro,128k,34,1024,32832,0.612,1,1,1073
pro,128k,36,1024,32832,0.346,1,1,1222
pro,128k,38,1024,32832,0.627,1,1,1783
pro,128k,40,1024,32832,0.415,1,1,1456
pro,128k,42,1024,32832,0.506,1,1,1658
pro,128k,44,1024,32832,0.395,1,1,1490
pro,128k,46,1024,32832,0.609,1,1,1080
pro,128k,48,1024,32832,0.346,1,1,1306
pro,128k,50,1024,32832,0.589,1,1,1148
pro,128k,52,1024,32832,0.544,1,1,1342
pro,128k,54,1024,32832,0.683,1,1,1287
pro,128k,56,1024,32832,0.527,1,1,1478
pro,128k,58,1024,32832,0.685,1,1,1257
pro,128k,60,1024,32832,0.872,1,1,1028
pro,256k,2,1024,65600,0.923,1,1,1569
pro,256k,4,1024,65600,0.877,1,1,2624
pro,256k,6,1024,65600,0.908,1,1,1758
pro,256k,8,1024,65600,0.927,1,1,2125
pro,256k,10,1024,65600,0.883,0,0,9805
pro,256k,12,1024,65600,0.826,1,1,1142
pro,256k,14,1024,65600,0.799,1,1,1245
pro,256k,16,1024,65600,0.629,1,1,1493
pro,256k,18,1024,65600,0.608,1,1,1080
pro,256k,20,1024,65600,0.740,1,1,1051
pro,256k,22,1024,65600,0.355,1,1,1116
pro,256k,24,1024,65600,0.606,1,1,1101
pro,256k,26,1024,65600,0.463,1,1,1273
pro,256k,28,1024,65600,0.641,1,1,1424
pro,256k,30,1024,65600,0.358,1,1,1113
pro,256k,32,1024,65600,0.489,1,1,1078
pro,256k,34,1024,65600,0.551,1,1,1386
pro,256k,36,1024,65600,0.417,1,1,1409
pro,256k,38,1024,65600,0.266,1,1,2279
pro,256k,40,1024,65600,0.549,1,1,1295
pro,256k,42,1024,65600,0.751,1,1,1484
pro,256k,44,1024,65600,0.465,1,1,1139
pro,256k,46,1024,65600,0.709,1,1,1162
pro,256k,48,1024,65600,0.466,1,1,1162
pro,256k,50,1024,65600,0.456,1,1,1259
pro,256k,52,1024,65600,0.517,1,1,1463
pro,256k,54,1024,65600,0.702,1,1,1195
pro,256k,56,1024,65600,0.568,1,1,1229
pro,256k,58,1024,65600,0.737,1,1,1069
pro,256k,60,1024,65600,0.858,1,1,1066
pro,512k,2,1024,131136,0.939,1,1,1419
pro,512k,4,1024,131136,0.873,1,1,1026
pro,512k,6,1024,131136,0.921,1,1,1532
