cell,BS,champ_us,pr_us,speedup,exact
v32_16k_L14,64,15.368,15.0015,0.9762,OK
v32_16k_L14,128,16.454,15.702200000000001,0.9543,OK
v32_16k_L14,256,16.464,19.95025,1.2117,OK
v32_16k_L14,512,16.69,37.148300000000006,2.2257,OK
v32_16k_L14,1024,17.383,66.16555,3.8062,OK
v32_16k_L34,1,15.542,13.833450000000001,0.8901,OK
v32_16k_L34,2,15.663,13.96625,0.8917,OK
v32_16k_L34,4,15.72,13.70065,0.8716,OK
v32_16k_L34,8,15.852,13.8575,0.8742,OK
v32_16k_L34,16,15.803,13.9454,0.8825,OK
v32_16k_L34,32,16.022,14.16615,0.8842,OK
v32_16k_L34,64,16.435,14.55975,0.8859,OK
v32_16k_L34,128,17.33,15.3758,0.8872,OK
v32_16k_L34,256,17.467,20.302400000000002,1.1624,OK
v32_16k_L34,512,17.78,37.6443,2.1172,OK
v32_16k_L34,1024,18.473,68.81830000000001,3.7254,OK
v32_16k_L54,1,14.022,14.10375,1.0058,OK
v32_16k_L54,2,14.157,13.93745,0.9845,OK
v32_16k_L54,4,14.201,14.1919,0.9993,OK
v32_16k_L54,8,14.488,13.999799999999999,0.9663,OK
v32_16k_L54,16,14.721,14.39505,0.9779,OK
v32_16k_L54,32,14.972,14.755,0.9855,OK
v32_16k_L54,64,15.387,15.1806,0.9866,OK
v32_16k_L54,128,15.758,16.09105,1.0211,OK
v32_16k_L54,256,16.06,20.3789,1.2689,OK
v32_16k_L54,512,16.287,38.36425,2.3556,OK
v32_16k_L54,1024,17.024,68.8887,4.0466,OK
v32_256k_L14,1,24.29,21.593349999999997,0.889,OK
v32_256k_L14,2,24.361,21.95015,0.901,OK
v32_256k_L14,4,24.56,22.17415,0.9029,OK
v32_256k_L14,8,29.392,24.7885,0.8434,OK
v32_256k_L14,16,30.017,25.31805,0.8435,OK
v32_256k_L14,32,25.886,26.8796,1.0384,OK
v32_256k_L14,64,26.031,32.8204,1.2608,OK
v32_256k_L14,128,25.996,49.689,1.9114,OK
v32_256k_L14,256,26.119,103.25795,3.9533,OK
v32_256k_L14,512,26.384,187.82175,7.1189,OK
v32_256k_L14,1024,27.062,340.7911,12.5929,OK
v32_256k_L34,1,17.781,21.8669,1.2298,OK
v32_256k_L34,2,18.073,22.094,1.2225,OK
v32_256k_L34,4,18.553,22.2765,1.2007,OK
v32_256k_L34,8,22.328,23.7007,1.0615,OK
v32_256k_L34,16,22.803,24.282799999999998,1.0649,OK
v32_256k_L34,32,19.529,25.8349,1.3229,OK
v32_256k_L34,64,19.592,29.754849999999998,1.5187,OK
v32_256k_L34,128,19.705,45.28915,2.2983,OK
v32_256k_L34,256,19.835,82.0758,4.138,OK
v32_256k_L34,512,20.011,148.78375,7.435,OK
v32_256k_L34,1024,20.738,265.80940000000004,12.8173,OK
v32_256k_L54,1,18.196,19.6621,1.0806,OK
v32_256k_L54,2,18.291,19.92935,1.0896,OK
v32_256k_L54,4,18.806,20.350150000000003,1.0821,OK
v32_256k_L54,8,22.547,21.844450000000002,0.9688,OK
v32_256k_L54,16,23.015,22.4045,0.9735,OK
v32_256k_L54,32,19.712,23.87975,1.2114,OK
v32_256k_L54,64,19.754,28.812450000000002,1.4586,OK
v32_256k_L54,128,19.743,44.75305,2.2668,OK
v32_256k_L54,256,19.886,79.6614,4.0059,OK
v32_256k_L54,512,20.189,143.9821,7.1316,OK
v32_256k_L54,1024,20.829,257.2125,12.349,OK
v32_32k_L14,1,15.243,17.4206,1.1428,OK
v32_32k_L14,2,15.409,17.1438,1.1126,OK
v32_32k_L14,4,15.52,17.318150000000003,1.1158,OK
v32_32k_L14,8,15.553,17.258950000000002,1.1097,OK
v32_32k_L14,16,16.056,17.252650000000003,1.0745,OK
v32_32k_L14,32,16.46,17.6334,1.0713,OK
v32_32k_L14,64,16.793,18.043,1.0744,OK
v32_32k_L14,128,17.017,19.08935,1.1218,OK
v32_32k_L14,256,17.237,25.5245,1.4808,OK
v32_32k_L14,512,17.54,48.09075,2.7417,OK
v32_32k_L14,1024,18.209,82.9222,4.5539,OK
v32_32k_L34,1,17.159,16.98205,0.9897,OK
v32_32k_L34,2,17.229,16.63655,0.9656,OK
v32_32k_L34,4,17.271,16.70055,0.967,OK
v32_32k_L34,8,17.458,16.91345,0.9688,OK
v32_32k_L34,16,17.552,16.77735,0.9558,OK
v32_32k_L34,32,17.822,17.24425,0.9676,OK
v32_32k_L34,64,18.386,17.56945,0.9556,OK
v32_32k_L34,128,18.873,18.86215,0.9994,OK
v32_32k_L34,256,19.119,26.2093,1.3708,OK
v32_32k_L34,512,19.291,48.8715,2.5334,OK
v32_32k_L34,1024,20.09,85.80375,4.271,OK
v32_32k_L54,1,16.21,16.89905,1.0425,OK
v32_32k_L54,2,16.3,16.5917,1.0179,OK
v32_32k_L54,4,16.268,16.74225,1.0291,OK
v32_32k_L54,8,16.367,16.9533,1.0358,OK
v32_32k_L54,16,16.448,17.4894,1.0633,OK
v32_32k_L54,32,16.722,17.9198,1.0716,OK
v32_32k_L54,64,17.14,18.38375,1.0726,OK
v32_32k_L54,128,17.967,19.670099999999998,1.0948,OK
v32_32k_L54,256,18.036,25.956400000000002,1.4391,OK
v32_32k_L54,512,18.291,48.988150000000005,2.6783,OK
v32_32k_L54,1024,19.038,84.94460000000001,4.4619,OK
v32_4k_L14,1,8.97,11.95505,1.3328,OK
v32_4k_L14,2,8.925,11.931149999999999,1.3369,OK
v32_4k_L14,4,8.83,11.803049999999999,1.3367,OK
v32_4k_L14,8,9.003,11.732700000000001,1.3032,OK
v32_4k_L14,16,9.452,11.767850000000001,1.245,OK
v32_4k_L14,32,9.497,11.7935,1.2418,OK
v32_4k_L14,64,9.702,11.98715,1.2355,OK
v32_4k_L14,128,10.013,12.3758,1.2359,OK
v32_4k_L14,256,19.075,14.83985,0.778,OK
v32_4k_L14,512,11.041,27.2894,2.4717,OK
v32_4k_L14,1024,11.731,48.8506,4.1642,OK
v32_4k_L34,1,8.862,11.8943,1.3422,OK
v32_4k_L34,2,9.371,11.862200000000001,1.2658,OK
v32_4k_L34,4,9.213,11.8111,1.282,OK
v32_4k_L34,8,9.338,11.63025,1.2455,OK
v32_4k_L34,16,9.686,11.63995,1.2017,OK
v32_4k_L34,32,9.828,11.7615,1.1967,OK
v32_4k_L34,64,10.029,11.9311,1.1897,OK
v32_4k_L34,128,10.209,12.3261,1.2074,OK
v32_4k_L34,256,19.068,14.81425,0.7769,OK
v32_4k_L34,512,11.23,27.134,2.4162,OK
v32_4k_L34,1024,11.982,48.54825,4.0518,OK
v32_4k_L54,1,9.488,11.3376,1.195,OK
v32_4k_L54,2,9.569,11.17235,1.1675,OK
v32_4k_L54,4,9.589,11.1328,1.161,OK
v32_4k_L54,8,9.58,11.30695,1.1803,OK
v32_4k_L54,16,9.764,11.4841,1.1761,OK
v32_4k_L54,32,9.796,11.70715,1.1951,OK
v32_4k_L54,64,9.93,11.97225,1.2057,OK
v32_4k_L54,128,10.21,12.52785,1.227,OK
v32_4k_L54,256,19.296,15.0622,0.7806,OK
v32_4k_L54,512,11.691,27.551650000000002,2.3567,OK
v32_4k_L54,1024,12.384,49.812050000000006,4.0223,OK
v32_64k_L14,1,17.497,19.315,1.1039,OK
v32_64k_L14,2,17.702,19.5422,1.104,OK
v32_64k_L14,4,18.128,19.62695,1.0827,OK
v32_64k_L14,8,18.511,19.889400000000002,1.0745,OK
v32_64k_L14,16,18.816,20.3277,1.0803,OK
v32_64k_L14,32,19.445,21.1102,1.0856,OK
v32_64k_L14,64,23.061,23.6525,1.0256,OK
v32_64k_L14,128,19.366,23.42375,1.2095,OK
v32_64k_L14,256,19.506,37.0032,1.897,OK
v32_64k_L14,512,19.764,69.64395,3.5237,OK
v32_64k_L14,1024,20.459,115.17885000000001,5.6298,OK
v32_64k_L34,1,20.966,20.5581,0.9805,OK
v32_64k_L34,2,21.143,20.763,0.982,OK
v32_64k_L34,4,21.453,20.7677,0.9681,OK
v32_64k_L34,8,21.767,21.1182,0.9702,OK
v32_64k_L34,16,22.059,21.4142,0.9708,OK
v32_64k_L34,32,22.757,22.29725,0.9798,OK
v32_64k_L34,64,27.035,25.294150000000002,0.9356,OK
v32_64k_L34,128,22.575,24.313200000000002,1.077,OK
v32_64k_L34,256,22.822,38.748400000000004,1.6978,OK
v32_64k_L34,512,23.104,73.77664999999999,3.1932,OK
v32_64k_L34,1024,23.877,122.63369999999999,5.136,OK
v32_64k_L54,1,18.477,18.980700000000002,1.0272,OK
v32_64k_L54,2,18.562,19.299049999999998,1.0397,OK
v32_64k_L54,4,18.684,19.59505,1.0488,OK
v32_64k_L54,8,18.945,19.83015,1.0467,OK
v32_64k_L54,16,19.325,20.332549999999998,1.0522,OK
v32_64k_L54,32,20.046,21.0892,1.052,OK
v32_64k_L54,64,23.526,24.242900000000002,1.0305,OK
v32_64k_L54,128,20.391,25.0285,1.2274,OK
v32_64k_L54,256,20.336,39.21705,1.9285,OK
v32_64k_L54,512,20.647,74.431,3.605,OK
v32_64k_L54,1024,21.384,121.88155,5.6996,OK
v32_8k_L14,1,13.396,12.6334,0.943,OK
v32_8k_L14,2,13.473,12.60155,0.9354,OK
v32_8k_L14,4,13.584,12.6766,0.9332,OK
v32_8k_L14,8,13.613,12.499049999999999,0.9182,OK
v32_8k_L14,16,13.666,12.5518,0.9185,OK
v32_8k_L14,32,13.842,12.55665,0.9072,OK
v32_8k_L14,64,14.044,12.87505,0.9168,OK
v32_8k_L14,128,14.539,13.40955,0.9223,OK
v32_8k_L14,256,19.933,16.3486,0.8202,OK
v32_8k_L14,512,15.586,30.3325,1.9461,OK
v32_8k_L14,1024,16.314,54.852199999999996,3.3623,OK
v32_8k_L34,1,11.721,13.849450000000001,1.1815,OK
v32_8k_L34,2,12.139,13.6846,1.1273,OK
v32_8k_L34,4,12.123,13.9341,1.1494,OK
v32_8k_L34,8,12.211,13.831700000000001,1.1327,OK
v32_8k_L34,16,12.537,13.63185,1.0873,OK
v32_8k_L34,32,12.64,13.900649999999999,1.0997,OK
v32_8k_L34,64,13.008,14.1052,1.0844,OK
v32_8k_L34,128,13.519,14.703899999999999,1.0876,OK
v32_8k_L34,256,18.249,18.47275,1.0122,OK
v32_8k_L34,512,14.141,34.041199999999996,2.4072,OK
v32_8k_L34,1024,14.836,60.361,4.0685,OK
v32_8k_L54,1,13.308,12.1967,0.9165,OK
v32_8k_L54,2,13.58,12.35025,0.9094,OK
v32_8k_L54,4,13.609,12.136,0.8917,OK
v32_8k_L54,8,13.679,12.14545,0.8879,OK
v32_8k_L54,16,14.087,12.5008,0.8874,OK
v32_8k_L54,32,14.13,12.84605,0.9091,OK
v32_8k_L54,64,14.379,13.0911,0.9104,OK
v32_8k_L54,128,14.832,13.84765,0.9336,OK
v32_8k_L54,256,20.677,16.9757,0.821,OK
v32_8k_L54,512,15.434,31.31155,2.0287,OK
v32_8k_L54,1024,16.279,57.0056,3.5018,OK
