cell,BS,champ_us,pr_us,speedup,exact
pro_128k_L30,4,14.308,12.84125,0.8975,OK
pro_128k_L30,8,14.431,12.6589,0.8772,OK
pro_128k_L30,16,14.929,13.0398,0.8735,OK
pro_128k_L30,32,15.233,13.402899999999999,0.8799,OK
pro_128k_L30,64,15.737,14.118049999999998,0.8971,OK
pro_128k_L30,128,15.689,15.15985,0.9663,OK
pro_128k_L30,256,15.936,20.974,1.3162,OK
pro_128k_L30,512,15.978,39.23955,2.4559,OK
pro_128k_L30,1024,16.331,68.30455,4.1824,OK
pro_128k_L46,1,19.73,14.1615,0.7178,OK
pro_128k_L46,2,19.755,14.2463,0.7212,OK
pro_128k_L46,4,19.86,13.9871,0.7043,OK
pro_128k_L46,8,19.928,13.7391,0.6894,OK
pro_128k_L46,16,20.358,14.16625,0.6959,OK
pro_128k_L46,32,20.688,14.51825,0.7018,OK
pro_128k_L46,64,21.143,15.2127,0.7195,OK
pro_128k_L46,128,21.506,16.08955,0.7482,OK
pro_128k_L46,256,21.458,22.27665,1.0382,OK
pro_128k_L46,512,21.733,41.846,1.9255,OK
pro_128k_L46,1024,21.985,73.11460000000001,3.3257,OK
pro_16k_L14,1,8.203,9.6383,1.175,OK
pro_16k_L14,2,8.178,9.5183,1.1639,OK
pro_16k_L14,4,8.324,9.4719,1.1379,OK
pro_16k_L14,8,8.353,9.739049999999999,1.1659,OK
pro_16k_L14,16,8.694,9.539,1.0972,OK
pro_16k_L14,32,8.855,9.671850000000001,1.0923,OK
pro_16k_L14,64,9.004,9.8479,1.0937,OK
pro_16k_L14,128,9.314,10.12945,1.0875,OK
pro_16k_L14,256,17.101,11.913450000000001,0.6966,OK
pro_16k_L14,512,10.306,21.59655,2.0955,OK
pro_16k_L14,1024,10.387,39.46515,3.7995,OK
pro_16k_L30,1,8.163,9.1775,1.1243,OK
pro_16k_L30,2,8.295,9.20305,1.1095,OK
pro_16k_L30,4,8.317,9.3567,1.125,OK
pro_16k_L30,8,8.345,9.196549999999998,1.1021,OK
pro_16k_L30,16,8.585,9.56465,1.1141,OK
pro_16k_L30,32,8.81,9.7503,1.1068,OK
pro_16k_L30,64,8.953,9.883149999999999,1.1039,OK
pro_16k_L30,128,9.268,10.19195,1.0997,OK
pro_16k_L30,256,17.374,11.9982,0.6906,OK
pro_16k_L30,512,10.188,21.730900000000002,2.133,OK
pro_16k_L30,1024,10.538,39.783449999999995,3.7754,OK
pro_16k_L46,1,8.409,9.0335,1.0743,OK
pro_16k_L46,2,8.739,8.9871,1.0284,OK
pro_16k_L46,4,8.618,9.2095,1.0686,OK
pro_16k_L46,8,8.687,8.9743,1.0331,OK
pro_16k_L46,16,8.774,9.377450000000001,1.0688,OK
pro_16k_L46,32,8.891,9.5039,1.0689,OK
pro_16k_L46,64,9.023,9.70075,1.0752,OK
pro_16k_L46,128,9.271,10.007950000000001,1.0795,OK
pro_16k_L46,256,17.16,11.73915,0.6841,OK
pro_16k_L46,512,10.409,21.17105,2.0338,OK
pro_16k_L46,1024,10.85,38.906949999999995,3.586,OK
