cfg,K,N,mean_ns
op33_dispatch,512,8192,10382.2
op33_dispatch,512,32768,12248.3
op33_dispatch,512,65536,12213.7
op33_dispatch,1024,8192,10649.5
op33_dispatch,1024,32768,12899.0
op33_dispatch,1024,65536,13789.6
op33_dispatch,2048,8192,12499.0
op33_dispatch,2048,32768,19806.8
op33_dispatch,2048,65536,16343.8
