cfg,K,N,mean_ns
d3_qbins128,512,8192,12002.0
d3_qbins64,512,8192,12412.7
d3_qbins128,512,32768,14547.1
d3_qbins64,512,32768,14863.8
d3_qbins128,512,65536,13110.3
d3_qbins64,512,65536,13609.4
d3_qbins64,1024,8192,12554.5
d3_qbins128,1024,8192,12541.7
d3_qbins64,1024,32768,14818.5
d3_qbins128,1024,32768,14910.8
