  scen     K        N   BS |   anchor    rival     hbec      off | rv/hbec  rv/off
  best  1024   131072   16 |    27.89    14.22    14.51    14.26 |   0.980   0.997
  best  1024   131072   64 |    30.69    33.64    33.57    33.59 |   1.002   1.002
  best  1024   131072  256 |    91.31    60.04    59.82    59.84 |   1.004   1.003
  best  1024   131072  512 |   186.63   105.43   105.42   105.53 |   1.000   0.999
  best  1024   262144    1 |    41.26    13.73    13.07    13.84 |   1.050   0.992
  best  1024   262144   16 |    42.88    17.92    16.16    17.82 |   1.109   1.006
  best  1024   262144   64 |    53.80    87.67    88.24    88.28 |   0.994   0.993
  best  1024   262144  256 |   159.80   103.62   103.51   103.59 |   1.001   1.000
  best  1024   262144  512 |   327.43   191.07   191.34   191.17 |   0.999   1.000
  best  1024   524288    1 |    68.43    21.08    19.19    21.17 |   1.099   0.996
  best  1024   524288   16 |    70.96    27.82    23.23    27.78 |   1.198   1.001
  best  1024   524288   64 |   115.30   148.56   133.27   148.87 |   1.115   0.998
  best  1024   524288  256 |   290.51   474.89   373.96   474.71 |   1.270   1.000
  best  1024   524288  512 |   621.07   902.06   703.98   902.90 |   1.281   0.999
  best  1024  1048576    1 |   119.17    30.74    25.54    30.93 |   1.203   0.994
  best  1024  1048576   16 |   138.48    42.90    33.57    42.79 |   1.278   1.003
  best  1024  1048576   64 |   204.87   268.80   189.85   268.33 |   1.416   1.002
  best  1024  1048576  256 |   531.68   834.22   549.78   836.65 |   1.517   0.997
  best  1024  1048576  512 |  1173.55  1606.00  1068.83  1603.35 |   1.503   1.002
  best  2048   131072    1 |    30.06    13.39    14.76    13.36 |   0.907   1.002
  best  2048   131072   16 |    31.19    17.57    18.54    17.59 |   0.947   0.999
  best  2048   131072   64 |    34.09    36.38    36.26    36.38 |   1.003   1.000
  best  2048   131072  256 |   118.11    61.40    61.26    61.27 |   1.002   1.002
  best  2048   131072  512 |   224.88   110.63   110.57   110.78 |   1.001   0.999
  best  2048   262144    1 |    45.22    16.67    17.31    16.71 |   0.963   0.998
  best  2048   262144   16 |    46.83    21.96    21.73    21.98 |   1.010   0.999
  best  2048   262144   64 |    54.34   105.77   102.26   105.74 |   1.034   1.000
  best  2048   262144  256 |   209.14   106.80   106.73   106.83 |   1.001   1.000
  best  2048   262144  512 |   423.04   198.44   197.83   198.18 |   1.003   1.001
  best  2048   524288    1 |    74.65    22.95    22.79    22.95 |   1.007   1.000
  best  2048   524288   16 |    76.76    30.83    30.12    30.87 |   1.024   0.999
  best  2048   524288   64 |   121.43   159.78   144.93   159.81 |   1.102   1.000
  best  2048   524288  256 |   378.02   527.41   484.87   527.67 |   1.088   0.999
  best  2048   524288  512 |   842.69  1013.46   934.25  1000.93 |   1.085   1.013
  best  2048  1048576    1 |   135.72    32.95    29.87    33.07 |   1.103   0.996
  best  2048  1048576   16 |   141.11    45.91    40.61    46.00 |   1.130   0.998
  best  2048  1048576   64 |   223.85   277.07   204.66   277.10 |   1.354   1.000
  best  2048  1048576  256 |   710.84   876.29   612.98   875.77 |   1.430   1.001
  best  2048  1048576  512 |  1595.27  1671.59  1147.49  1670.86 |   1.457   1.000
 worst   512   131072    1 |    19.26    10.50    11.38    10.54 |   0.923   0.997
 worst   512   131072   16 |    20.09    13.75    14.26    13.70 |   0.964   1.003
 worst   512   131072   64 |    23.16    32.32    32.34    32.39 |   1.000   0.998
 worst   512   131072  256 |    64.24    59.82    59.81    59.41 |   1.000   1.007
 worst   512   131072  512 |   130.07   104.51   104.53   104.28 |   1.000   1.002
 worst   512   262144    1 |    29.91    15.20    15.48    14.71 |   0.982   1.034
 worst   512   262144   16 |    30.81    18.91    20.37    18.82 |   0.929   1.005
 worst   512   262144   64 |    40.33    93.48    96.21    93.45 |   0.972   1.000
 worst   512   262144  256 |   110.27   103.54   103.68   103.77 |   0.999   0.998
 worst   512   262144  512 |   230.39   191.88   191.42   191.84 |   1.002   1.000
 worst   512   524288    1 |    51.00    20.89    19.12    20.92 |   1.093   0.999
 worst   512   524288   16 |    52.75    27.14    23.18    27.12 |   1.171   1.001
 worst   512   524288   64 |    79.96   147.52   134.46   147.34 |   1.097   1.001
 worst   512   524288  256 |   203.34   464.30   371.06   461.81 |   1.251   1.005
 worst   512   524288  512 |   420.27   880.25   702.65   881.29 |   1.253   0.999
 worst   512  1048576    1 |    91.09    31.74    27.22    31.73 |   1.166   1.000
 worst   512  1048576   16 |    98.30    43.72    34.80    43.70 |   1.256   1.001
 worst   512  1048576   64 |   142.02   275.84   196.99   275.20 |   1.400   1.002
 worst   512  1048576  256 |   371.26   852.00   564.09   854.57 |   1.510   0.997
 worst   512  1048576  512 |   798.61  1640.66  1091.86  1637.63 |   1.503   1.002
 worst  1024   131072    1 |    20.51    11.66    13.06    11.71 |   0.893   0.996
 worst  1024   131072   16 |    21.45    14.95    16.56    15.00 |   0.902   0.996
 worst  1024   131072   64 |    24.27    33.80    33.73    33.82 |   1.002   0.999
 worst  1024   131072  256 |    67.33    59.80    59.90    59.88 |   0.998   0.999
 worst  1024   131072  512 |   138.67   105.82   105.55   105.95 |   1.003   0.999
 worst  1024   262144    1 |    30.58    15.39    14.50    14.89 |   1.062   1.033
 worst  1024   262144   16 |    31.80    19.16    17.95    19.27 |   1.068   0.994
 worst  1024   262144   64 |    40.38    95.83    94.56    95.98 |   1.013   0.998
 worst  1024   262144  256 |   113.52   104.08   104.10   104.03 |   1.000   1.000
 worst  1024   262144  512 |   237.58   191.38   191.51   191.27 |   0.999   1.001
 worst  1024   524288    1 |    50.80    21.11    19.59    21.16 |   1.077   0.998
 worst  1024   524288   16 |    52.85    27.73    23.69    27.67 |   1.171   1.002
 worst  1024   524288   64 |    80.38   149.63   135.64   150.38 |   1.103   0.995
 worst  1024   524288  256 |   205.65   476.99   392.18   477.97 |   1.216   0.998
 worst  1024   524288  512 |   428.09   908.18   732.69   907.32 |   1.240   1.001
 worst  1024  1048576    1 |    90.92    31.74    26.72    31.81 |   1.188   0.998
 worst  1024  1048576   16 |    98.32    43.80    34.59    43.72 |   1.266   1.002
 worst  1024  1048576   64 |   142.14   274.31   196.67   274.18 |   1.395   1.000
 worst  1024  1048576  256 |   373.61   852.74   563.58   854.18 |   1.513   0.998
 worst  1024  1048576  512 |   805.69  1640.17  1093.86  1643.15 |   1.499   0.998
 worst  2048   131072    1 |    22.73    13.24    14.85    13.27 |   0.891   0.997
 worst  2048   131072   16 |    23.50    17.41    18.73    17.48 |   0.929   0.996
 worst  2048   131072   64 |    26.45    36.40    36.26    36.28 |   1.004   1.003
