scenario,K,N,BS,hit_rate,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,sglang_v2_cold_us,sglang_v2_warm_us,flashinfer_topk_cold_us,flashinfer_topk_warm_us,flashinfer_topk_i32_cold_us,flashinfer_topk_i32_warm_us,sglang_v2_cold_span_us,sglang_v2_warm_span_us,anchor_ratio,rr_op21_hls_cold_us_adj,rr_op25_hls_cold_us_adj,rr_op26_r0auto_cold_us_adj,rr_gvr_multicta_cutedsl_cold_us_adj,rr_radix_single_cuda_cold_us_adj,rr_radix_multi_cuda_cold_us_adj
worst,1024,8192,1,0.0498046875,9.766,8.474,8.246,7.739,8.642,7.683,5.602,4.945,11.419,10.737,11.072,10.434,5.602,4.945,1.0056,15.932,12.166,15.005,9.752,16.678,34.854
worst,1024,16384,1,0.0498046875,14.118,12.82,12.65,12.041,11.685,10.876,7.749,6.894,12.462,11.465,12.438,12.23,7.749,6.894,0.9779,13.701,13.259,13.267,14.089,21.446,37.672
worst,1024,32768,1,0.0498046875,16.251,14.475,19.778,19.073,16.637,15.761,11.941,9.871,11.45,10.775,11.198,10.522,11.941,9.871,0.9867,20.389,15.487,16.943,16.292,29.527,39.616
worst,1024,65536,1,0.0498046875,23.424,22.794,20.11,19.314,26.547,25.767,10.198,9.259,13.033,12.141,12.885,11.836,10.198,9.259,0.8508,26.686,16.794,20.976,21.724,53.718,48.719
worst,1024,131072,1,0.0498046875,20.944,18.602,20.124,19.181,45.047,44.523,11.633,10.34,15.04,13.477,14.838,13.311,11.633,10.34,0.9856,22.716,15.461,18.417,15.106,74.797,44.125
worst,1024,262144,1,0.0498046875,30.897,27.644,19.848,19.078,80.743,80.892,14.798,12.737,19.856,17.226,19.947,17.126,14.798,12.737,0.9956,28.167,16.76,20.237,17.646,131.584,49.97
worst,1024,524288,1,0.0498046875,51.279,46.117,20.178,19.264,151.69,152.727,21.078,17.577,29.841,25.229,30.667,25.277,21.078,17.577,0.9962,43.74,20.378,27.154,23.057,245.958,64.639
worst,1024,1048576,1,0.0498046875,91.532,82.838,20.608,19.188,291.45,294.716,31.603,25.388,39.644,30.768,41.689,31.198,31.603,25.388,0.997,61.117,26.523,39.601,33.117,471.868,89.694
worst,2048,8192,1,0.0498046875,16.323,15.07,8.36,7.874,,,6.122,5.174,12.013,11.332,11.466,10.873,6.122,5.174,0.9642,16.985,16.5,15.169,16.448,17.215,25.213
worst,2048,16384,1,0.0498046875,14.241,12.913,12.925,12.302,,,8.643,7.583,12.165,11.09,11.755,10.783,8.643,7.583,0.9621,17.278,17.262,14.02,14.303,21.514,28.328
worst,2048,32768,1,0.0498046875,18.171,17.801,20.371,19.636,,,13.128,10.784,11.955,11.272,11.563,10.999,13.128,10.784,0.8288,21.441,21.312,20.594,18.128,35.336,49.995
worst,2048,65536,1,0.0498046875,20.477,18.723,20.278,19.511,,,11.793,10.52,13.11,12.173,12.87,11.832,11.793,10.52,0.9724,22.8,22.517,20.253,18.9,49.064,46.284
worst,2048,131072,1,0.0498046875,23.344,20.836,20.425,19.499,,,13.497,11.876,15.757,14.211,15.377,13.887,13.497,11.876,0.9713,26.008,24.75,19.744,16.98,78.859,49.359
worst,2048,262144,1,0.0498046875,35.159,31.934,20.032,19.291,,,16.76,14.501,21.47,18.853,21.321,18.61,16.76,14.501,0.9794,27.803,26.464,23.846,21.546,134.983,55.659
worst,2048,524288,1,0.0498046875,54.03,49.143,20.253,19.416,,,23.2,19.455,35.225,30.437,35.473,29.954,23.2,19.455,0.9861,32.03,32.126,28.659,26.007,252.766,71.879
worst,2048,1048576,1,0.0498046875,95.461,86.945,21.723,20.163,,,33.158,26.789,53.998,45.328,55.604,45.495,33.158,26.789,0.9882,43.191,42.819,42.604,37.236,479.236,98.268
