cell,Npad,BS,prod_us,best_cfg,best_us,pr_local,pr_report,x_best_vs_replocal,x_best_vs_report,anchor_drift
flash_1024k_L34,262144,32,35.46,"1024,4,0,8,1",31.14,1042.08,26.02,33.469,0.836,40.053
flash_1024k_L34,262144,128,68.48,prod,68.48,72.45,62.27,1.058,0.909,1.163
flash_1024k_L34,262144,256,122.56,prod,122.56,118.18,108.21,0.964,0.883,1.092
flash_1024k_L34,262144,512,227.2,"1024,2,0,4,2",217.06,209.31,198.41,0.964,0.914,1.055
flash_1024k_L34,262144,1024,407.07,"1024,2,0,4,2",405.44,387.49,374.58,0.956,0.924,1.034
flash_256k_L34,65600,128,27.49,"1024,1,0,4,2",26.43,30.62,20.24,1.159,0.766,1.513
flash_256k_L34,65600,256,38.82,prod,38.82,41.41,31.56,1.067,0.813,1.312
flash_256k_L34,65600,512,65.79,prod,65.79,68.7,59.46,1.044,0.904,1.156
pro_128k_L30,32832,256,29.5,prod,29.5,30.66,20.97,1.039,0.711,1.462
pro_128k_L30,32832,512,47.1,prod,47.1,49.31,39.24,1.047,0.833,1.257
pro_32k_L46,8256,256,20.35,"512,1,0,6,2",18.56,22.98,13.02,1.238,0.701,1.765
pro_32k_L46,8256,512,32.38,"512,1,0,6,4",28.35,33.34,23.62,1.176,0.833,1.412
pro_32k_L46,8256,1024,53.82,"512,1,0,6,2",44.8,51.97,42.79,1.16,0.955,1.214
v32_32k_L14,32832,256,33.44,prod,33.44,32.51,25.52,0.972,0.763,1.274
v32_32k_L14,32832,512,54.59,prod,54.59,52.38,48.09,0.96,0.881,1.089
