cell,Npad,BS,prod_us,best_cfg,best_us,pr_local,pr_report,x_best_vs_replocal,x_best_vs_report,anchor_drift
flash_128k_L34,32832,256,27.62,prod,27.62,30.08,19.7,1.089,0.713,1.527
flash_64k_L10,16448,256,21.92,"512,1,0,4,2",21.44,24.96,15.29,1.164,0.713,1.633
pro_16k_L30,4160,256,18.34,prod,18.34,21.31,12.0,1.162,0.654,1.776
pro_512k_L46,131136,16,24.67,"1024,4,9,6,2",21.44,1160.96,17.9,54.149,0.835,64.867
pro_512k_L46,131136,32,32.54,"1024,4,9,6,2",23.49,1078.34,19.28,45.91,0.821,55.921
pro_512k_L46,131136,64,35.01,"1024,2,0,6,2",30.56,1195.42,24.5,39.117,0.802,48.795
pro_512k_L46,131136,128,48.93,"1024,1,0,4,4",39.23,42.78,32.89,1.091,0.838,1.301
pro_512k_L46,131136,256,88.26,"1024,1,0,4,4",69.73,75.52,66.18,1.083,0.949,1.141
pro_512k_L46,131136,512,162.91,"1024,1,0,4,4",123.2,125.12,116.68,1.016,0.947,1.072
pro_512k_L46,131136,1024,279.87,"1024,1,0,4,4",210.08,216.86,209.24,1.032,0.996,1.036
v32_64k_L14,65600,128,31.23,"1024,1,0,4,2",28.9,31.97,23.42,1.106,0.811,1.365
v32_64k_L14,65600,256,43.74,prod,43.74,44.54,37.0,1.018,0.846,1.204
v32_64k_L14,65600,512,75.1,prod,75.1,75.46,69.64,1.005,0.927,1.083
