model,npad,BS,cfg,min_gain,gm_gain,n_layers
flash,131136,16,"1024,4,9,6,1",1.066,1.118,3
pro,65600,32,"1024,4,0,8,1",1.045,1.051,3
v32,131136,32,"1024,4,9,6,2",1.117,1.181,3
