cell,Npad,BS,prod_us,best_cfg,best_us,pr_local,pr_report,x_best_vs_replocal,x_best_vs_report,anchor_drift
flash_1024k_L10,262144,32,35.49,"1024,4,0,8,1",31.81,1053.47,27.13,33.12,0.853,38.829
flash_256k_L10,65600,16,21.25,"512,4,0,8,1",18.88,1098.56,14.99,58.186,0.794,73.292
flash_256k_L10,65600,32,22.05,"512,4,0,8,1",20.19,1082.98,15.85,53.634,0.785,68.308
flash_256k_L10,65600,64,24.0,"1024,2,0,4,2",23.07,1131.26,18.22,49.032,0.79,62.076
flash_256k_L10,65600,128,28.77,"1024,1,0,4,4",27.23,31.04,20.36,1.14,0.748,1.525
flash_256k_L10,65600,256,39.46,prod,39.46,43.17,31.73,1.094,0.804,1.361
flash_256k_L10,65600,512,68.35,prod,68.35,71.97,60.22,1.053,0.881,1.195
flash_256k_L10,65600,1024,106.53,prod,106.53,113.6,100.51,1.066,0.944,1.13
pro_1024k_L46,262144,16,30.56,"1024,4,0,8,1",29.89,1127.17,23.77,37.713,0.795,47.427
pro_1024k_L46,262144,32,39.46,"1024,4,0,8,1",32.06,1114.94,27.11,34.772,0.846,41.119
pro_1024k_L46,262144,128,91.07,"1024,1,0,4,1",70.5,75.07,63.27,1.065,0.897,1.187
pro_1024k_L46,262144,256,169.25,"1024,1,0,4,1",125.6,120.32,111.54,0.958,0.888,1.079
pro_1024k_L46,262144,512,318.02,"1024,1,0,4,1",232.22,211.97,204.17,0.913,0.879,1.038
pro_1024k_L46,262144,1024,575.84,"1024,1,0,4,1",423.62,392.16,384.35,0.926,0.907,1.02
pro_256k_L30,65600,16,21.79,"512,4,0,8,1",20.61,1105.89,14.82,53.663,0.719,74.603
pro_256k_L30,65600,32,22.21,"1024,4,0,8,1",21.06,1098.91,15.84,52.19,0.752,69.357
pro_256k_L30,65600,128,31.23,"1024,1,0,4,4",27.9,30.4,20.58,1.089,0.738,1.477
pro_256k_L30,65600,256,43.55,"512,1,0,4,2",43.33,42.5,32.31,0.981,0.746,1.315
pro_256k_L30,65600,512,74.78,prod,74.78,71.07,61.35,0.95,0.82,1.158
pro_256k_L30,65600,1024,116.93,prod,116.93,112.8,101.7,0.965,0.87,1.109
v32_128k_L34,131136,16,28.54,"1024,4,9,6,1",22.94,1086.94,20.21,47.374,0.881,53.793
v32_128k_L34,131136,512,125.47,"1024,1,0,4,4",125.18,131.68,120.09,1.052,0.959,1.096
