model,npad,BS,cfg,min_gain,gm_gain,n_layers
flash,262144,512,"1024,2,0,4,2",1.046,1.046,3
pro,131136,16,"1024,4,9,6,2",1.133,1.145,3
pro,262144,32,"1024,4,0,8,1",1.212,1.223,3
v32,65600,128,"1024,1,0,6,4",1.059,1.129,3
