cell,Npad,BS,prod_us,best_cfg,best_us,pr_local,pr_report,x_best_vs_replocal,x_best_vs_report,anchor_drift
flash_1024k_L22,262144,32,35.84,"1024,4,0,8,1",31.65,1037.86,27.16,32.794,0.858,38.206
flash_256k_L22,65600,16,20.48,"1024,4,0,8,1",20.35,1107.39,14.05,54.412,0.69,78.803
flash_256k_L22,65600,32,21.73,"512,4,0,8,1",20.99,1110.37,14.98,52.895,0.714,74.12
flash_256k_L22,65600,128,31.17,"1024,1,0,4,4",28.67,30.43,19.81,1.061,0.691,1.536
flash_256k_L22,65600,256,42.21,prod,42.21,41.7,31.06,0.988,0.736,1.343
flash_256k_L22,65600,512,74.43,"512,1,0,6,4",73.6,69.47,58.87,0.944,0.8,1.18
flash_256k_L22,65600,1024,116.32,"512,1,0,6,4",115.84,111.23,98.39,0.96,0.849,1.13
pro_128k_L14,32832,256,29.54,"512,1,0,4,2",29.15,30.56,20.25,1.048,0.695,1.509
pro_128k_L14,32832,512,46.08,prod,46.08,48.03,38.15,1.042,0.828,1.259
pro_256k_L46,65600,128,28.77,"1024,1,0,4,1",27.52,30.72,20.75,1.116,0.754,1.48
pro_256k_L46,65600,256,40.45,prod,40.45,42.34,32.69,1.047,0.808,1.295
pro_256k_L46,65600,512,68.54,prod,68.54,71.49,62.48,1.043,0.912,1.144
v32_256k_L54,163776,32,30.72,"1024,4,0,8,1",29.12,1125.44,23.88,38.648,0.82,47.129
v32_256k_L54,163776,256,87.04,prod,87.04,157.02,79.66,1.804,0.915,1.971
v32_256k_L54,163776,512,154.37,prod,154.37,282.85,143.98,1.832,0.933,1.964
