cell,Npad,BS,prod_us,best_cfg,best_us,pr_local,pr_report,x_best_vs_replocal,x_best_vs_report,anchor_drift
flash_16k_L34,4160,256,17.95,prod,17.95,20.7,10.96,1.153,0.61,1.89
flash_16k_L34,4160,512,26.34,prod,26.34,28.96,19.79,1.1,0.751,1.463
flash_16k_L34,4160,1024,44.58,prod,44.58,46.05,35.56,1.033,0.798,1.295
pro_1024k_L30,262144,16,32.32,"1024,4,0,8,1",31.01,1144.35,23.02,36.905,0.742,49.71
pro_1024k_L30,262144,32,41.09,"1024,4,0,8,1",33.28,1240.03,26.44,37.261,0.795,46.895
pro_1024k_L30,262144,256,123.49,prod,123.49,119.17,110.33,0.965,0.893,1.08
pro_1024k_L30,262144,512,228.0,prod,228.0,209.34,201.76,0.918,0.885,1.038
pro_1024k_L30,262144,1024,409.34,prod,409.34,388.32,380.03,0.949,0.928,1.022
pro_256k_L14,65600,16,21.98,"512,4,0,8,1",19.07,1099.23,15.33,57.636,0.804,71.7
pro_256k_L14,65600,32,22.05,"512,4,0,8,1",20.51,1172.32,16.18,57.153,0.789,72.445
pro_256k_L14,65600,128,30.59,"1024,1,0,4,2",28.93,31.49,20.87,1.088,0.721,1.509
pro_256k_L14,65600,256,41.44,prod,41.44,42.18,32.54,1.018,0.785,1.296
pro_256k_L14,65600,512,72.42,prod,72.42,70.72,61.89,0.977,0.855,1.143
pro_256k_L14,65600,1024,111.97,prod,111.97,112.74,103.77,1.007,0.927,1.086
v32_128k_L14,131136,16,34.66,"1024,4,9,6,2",23.01,1001.34,23.08,43.522,1.003,43.386
v32_128k_L14,131136,32,30.78,"1024,4,9,6,2",23.94,1007.74,24.35,42.102,1.018,41.377
v32_128k_L14,131136,512,129.44,prod,129.44,128.86,121.26,0.996,0.937,1.063
v32_64k_L54,65600,128,36.19,"1024,1,0,6,1",30.5,31.65,25.03,1.038,0.821,1.264
v32_64k_L54,65600,256,52.16,"512,1,0,6,4",46.4,44.54,39.22,0.96,0.845,1.136
v32_64k_L54,65600,512,90.78,"512,1,0,6,4",80.06,75.01,74.43,0.937,0.93,1.008
v32_64k_L54,65600,1024,145.66,"512,1,0,6,4",125.86,119.94,121.88,0.953,0.968,0.984
