cell,Npad,BS,prod_us,best_cfg,best_us,pr_local,pr_report,x_best_vs_replocal,x_best_vs_report,anchor_drift
flash_128k_L10,32832,256,27.26,prod,27.26,31.49,20.93,1.155,0.768,1.504
flash_32k_L10,8256,256,20.1,"512,1,0,6,4",19.9,23.33,12.38,1.172,0.622,1.885
flash_32k_L10,8256,512,29.95,"512,1,0,6,4",28.83,32.9,22.1,1.141,0.766,1.489
flash_32k_L10,8256,1024,48.35,"512,1,0,6,4",44.83,50.21,39.53,1.12,0.882,1.27
pro_128k_L46,32832,256,32.0,"512,1,0,4,2",29.5,33.12,22.28,1.123,0.755,1.487
pro_128k_L46,32832,512,51.04,"512,1,0,4,2",47.14,52.16,41.85,1.107,0.888,1.246
pro_512k_L14,131136,16,25.28,"1024,4,9,6,2",22.59,1181.09,17.75,52.279,0.786,66.54
pro_512k_L14,131136,32,27.84,"1024,4,9,6,2",24.45,1105.41,19.0,45.215,0.777,58.195
pro_512k_L14,131136,128,40.7,prod,40.7,44.16,33.03,1.085,0.812,1.337
pro_512k_L14,131136,512,127.36,prod,127.36,124.54,115.71,0.978,0.909,1.076
pro_512k_L14,131136,1024,215.97,prod,215.97,216.32,207.6,1.002,0.961,1.042
v32_32k_L34,32832,256,35.04,"512,1,0,6,2",33.18,35.78,26.21,1.078,0.79,1.365
v32_32k_L34,32832,512,57.79,"512,1,0,6,2",51.71,58.72,48.87,1.136,0.945,1.202
v32_32k_L34,32832,1024,92.48,"512,1,0,6,2",80.0,95.04,85.8,1.188,1.073,1.108
