cell,Npad,BS,prod_us,best_cfg,best_us,pr_local,pr_report,x_best_vs_replocal,x_best_vs_report,anchor_drift
flash_128k_L22,32832,256,26.27,prod,26.27,30.85,19.75,1.174,0.752,1.562
flash_512k_L34,131136,16,24.67,"1024,4,9,6,1",22.72,1173.82,17.21,51.665,0.757,68.215
flash_512k_L34,131136,32,28.06,"1024,4,9,6,2",23.33,1125.31,18.31,48.239,0.785,61.458
flash_512k_L34,131136,128,40.48,prod,40.48,44.03,32.41,1.088,0.801,1.359
flash_512k_L34,131136,256,71.07,prod,71.07,74.5,63.64,1.048,0.895,1.171
flash_512k_L34,131136,512,125.82,prod,125.82,125.95,113.49,1.001,0.902,1.11
flash_512k_L34,131136,1024,213.12,prod,213.12,215.87,202.43,1.013,0.95,1.066
pro_16k_L14,4160,256,18.56,prod,18.56,22.27,11.91,1.2,0.642,1.869
pro_512k_L30,131136,16,26.59,"1024,4,9,8,2",24.45,1128.0,18.42,46.139,0.754,61.232
pro_512k_L30,131136,32,26.59,"1024,4,9,6,2",25.22,1204.13,19.73,47.753,0.782,61.036
pro_512k_L30,131136,512,125.63,prod,125.63,128.8,117.75,1.025,0.937,1.094
v32_32k_L54,32832,256,33.82,"512,1,0,4,2",32.8,33.66,25.96,1.026,0.791,1.297
