family,sweep,scenario,model,op,K,dtype,N,BS,isl,cr,hit,us,us_span,exact
real,bs,,flash,gvr_base,512,bf16,2051,2,8k,4,0.333984375,8.814200000000001,8.814200000000001,True
real,bs,,flash,gvr_pr,512,bf16,2051,2,8k,4,0.333984375,7.74065,7.74065,True
real,bs,,flash,op26_r0auto,512,bf16,2051,2,8k,4,0.333984375,8.36635,8.36635,
real,bs,,flash,radix_cutedsl,512,bf16,2051,2,8k,4,0.333984375,5.268800000000001,5.268800000000001,True
real,bs,,flash,flashinfer_topk,512,bf16,2051,4,8k,4,0.333984375,6.3024,6.3024,True
real,bs,,flash,gvr_base,512,bf16,2051,4,8k,4,0.333984375,8.8911,8.8911,True
real,bs,,flash,gvr_pr,512,bf16,2051,4,8k,4,0.333984375,7.78075,7.78075,True
real,bs,,flash,op26_r0auto,512,bf16,2051,4,8k,4,0.333984375,8.60625,8.60625,
real,bs,,flash,radix_cutedsl,512,bf16,2051,4,8k,4,0.333984375,5.296,5.296,True
real,bs,,flash,flashinfer_topk,512,bf16,2051,8,8k,4,0.333984375,6.3552,6.3552,True
real,bs,,flash,gvr_base,512,bf16,2051,8,8k,4,0.333984375,8.71515,8.71515,True
real,bs,,flash,gvr_pr,512,bf16,2051,8,8k,4,0.333984375,7.66875,7.66875,True
real,bs,,flash,op26_r0auto,512,bf16,2051,8,8k,4,0.333984375,8.42715,8.42715,
real,bs,,flash,radix_cutedsl,512,bf16,2051,8,8k,4,0.333984375,5.3456,5.3456,True
real,bs,,flash,flashinfer_topk,512,bf16,2051,16,8k,4,0.333984375,6.528,6.528,True
real,bs,,flash,gvr_base,512,bf16,2051,16,8k,4,0.333984375,9.1375,9.1375,True
real,bs,,flash,gvr_pr,512,bf16,2051,16,8k,4,0.333984375,8.0495,8.0495,True
real,bs,,flash,op26_r0auto,512,bf16,2051,16,8k,4,0.333984375,8.74235,8.74235,
real,bs,,flash,radix_cutedsl,512,bf16,2051,16,8k,4,0.333984375,5.3712,5.3712,True
real,bs,,flash,flashinfer_topk,512,bf16,2051,32,8k,4,0.333984375,6.5712,6.5712,True
real,bs,,flash,gvr_base,512,bf16,2051,32,8k,4,0.333984375,9.1488,9.1488,True
real,bs,,flash,gvr_pr,512,bf16,2051,32,8k,4,0.333984375,8.1679,8.1679,True
real,bs,,flash,op26_r0auto,512,bf16,2051,32,8k,4,0.333984375,8.780700000000001,8.780700000000001,
real,bs,,flash,radix_cutedsl,512,bf16,2051,32,8k,4,0.333984375,5.4687,5.4687,True
real,bs,,flash,flashinfer_topk,512,bf16,2051,64,8k,4,0.333984375,6.6352,6.6352,True
real,bs,,flash,gvr_base,512,bf16,2051,64,8k,4,0.333984375,9.2464,9.2464,True
real,bs,,flash,gvr_pr,512,bf16,2051,64,8k,4,0.333984375,8.1935,8.1935,True
real,bs,,flash,op26_r0auto,512,bf16,2051,64,8k,4,0.333984375,8.88795,8.88795,
real,bs,,flash,radix_cutedsl,512,bf16,2051,64,8k,4,0.333984375,5.5744,5.5744,True
real,bs,,flash,flashinfer_topk,512,bf16,2051,128,8k,4,0.333984375,6.7824,6.7824,True
real,bs,,flash,gvr_base,512,bf16,2051,128,8k,4,0.333984375,9.54075,9.54075,True
real,bs,,flash,gvr_pr,512,bf16,2051,128,8k,4,0.333984375,8.409600000000001,8.409600000000001,True
