model,isl,L,dtype,N,cs,BS,hit,base,pr,op26,pr_vs_base,op26_vs_pr,pr_exact
v32,4k,34,bf16,4111,1,32,0.72705078125,14.71475,10.787049999999999,14.53275,1.364,1.347,True
v32,4k,34,bf16,4111,1,64,0.72705078125,14.71665,10.8974,14.63505,1.35,1.343,True
v32,4k,34,bf16,4111,1,128,0.72705078125,15.0848,11.2095,14.85735,1.346,1.325,True
v32,4k,34,bf16,4111,1,256,0.72705078125,18.1422,12.98225,16.95155,1.397,1.306,True
v32,4k,34,bf16,4111,1,512,0.72705078125,32.4588,22.89105,30.11645,1.418,1.316,True
v32,4k,34,bf16,4111,1,1024,0.72705078125,51.30015,35.292449999999995,47.36745,1.454,1.342,True
v32,4k,34,fp16,4111,1,1,0.7294921875,13.67495,10.172649999999999,13.34385,1.344,1.312,True
v32,4k,34,fp16,4111,1,2,0.7294921875,13.291049999999998,10.019,13.17405,1.327,1.315,True
v32,4k,34,fp16,4111,1,4,0.7294921875,13.30375,10.12305,13.15185,1.314,1.299,True
v32,4k,34,fp16,4111,1,8,0.7294921875,13.283,10.1582,13.140649999999999,1.308,1.294,True
v32,4k,34,fp16,4111,1,16,0.7294921875,13.55665,10.46535,13.427,1.295,1.283,True
v32,4k,34,fp16,4111,1,32,0.7294921875,13.966299999999999,10.727799999999998,13.79655,1.302,1.286,True
v32,4k,34,fp16,4111,1,64,0.7294921875,14.0831,10.771049999999999,13.930950000000001,1.307,1.293,True
v32,4k,34,fp16,4111,1,128,0.7294921875,14.7374,11.2399,14.49105,1.311,1.289,True
v32,4k,34,fp16,4111,1,256,0.7294921875,17.7501,12.95495,16.5038,1.37,1.274,True
v32,4k,34,fp16,4111,1,512,0.7294921875,31.56115,22.8045,29.2283,1.384,1.282,True
v32,4k,34,fp16,4111,1,1024,0.7294921875,50.17215,35.11645,46.1144,1.429,1.313,True
v32,4k,34,fp32,4111,1,1,0.7294921875,14.86225,10.0895,12.0606,1.473,1.195,True
v32,4k,34,fp32,4111,1,2,0.7294921875,14.913450000000001,10.11035,12.19665,1.475,1.206,True
v32,4k,34,fp32,4111,1,4,0.7294921875,14.9231,10.07355,11.98235,1.481,1.189,True
v32,4k,34,fp32,4111,1,8,0.7294921875,15.1006,10.3007,12.1294,1.466,1.178,True
v32,4k,34,fp32,4111,1,16,0.7294921875,15.24315,10.431899999999999,12.17425,1.461,1.167,True
v32,4k,34,fp32,4111,1,32,0.7294921875,15.61425,10.72,12.65725,1.457,1.181,True
v32,4k,34,fp32,4111,1,64,0.7294921875,15.833350000000001,10.8414,12.90225,1.46,1.19,True
v32,4k,34,fp32,4111,1,128,0.7294921875,16.39665,11.25585,13.348600000000001,1.457,1.186,True
v32,4k,34,fp32,4111,1,256,0.7294921875,20.491049999999998,13.291,17.23175,1.542,1.296,True
v32,4k,34,fp32,4111,1,512,0.7294921875,38.388349999999996,24.3581,30.56445,1.576,1.255,True
v32,4k,34,fp32,4111,1,1024,0.7294921875,67.06160000000001,45.18675,47.84105,1.484,1.059,True
v32,8k,34,bf16,8207,1,1,0.84130859375,12.057549999999999,11.7374,11.9936,1.027,1.022,True
v32,8k,34,bf16,8207,1,2,0.84130859375,11.87825,11.503950000000001,11.99025,1.033,1.042,True
v32,8k,34,bf16,8207,1,4,0.84130859375,11.99995,11.67835,11.916649999999999,1.028,1.02,True
v32,8k,34,bf16,8207,1,8,0.84130859375,11.99985,11.6575,11.89425,1.029,1.02,True
v32,8k,34,bf16,8207,1,16,0.84130859375,11.860700000000001,11.59025,11.81425,1.023,1.019,True
v32,8k,34,bf16,8207,1,32,0.84130859375,11.92155,11.587,11.932799999999999,1.029,1.03,True
v32,8k,34,bf16,8207,1,64,0.84130859375,12.188649999999999,11.81275,12.070350000000001,1.032,1.022,True
v32,8k,34,bf16,8207,1,128,0.84130859375,12.439950000000001,12.06395,12.43175,1.031,1.03,True
v32,8k,34,bf16,8207,1,256,0.84130859375,14.611049999999999,14.489450000000001,14.5503,1.008,1.004,True
v32,8k,34,bf16,8207,1,512,0.84130859375,25.28605,25.2253,25.1328,1.002,0.996,True
v32,8k,34,bf16,8207,1,1024,0.84130859375,39.444300000000005,38.8523,38.92895,1.015,1.002,True
v32,8k,34,fp16,8207,1,1,0.841796875,15.282950000000001,11.291049999999998,15.1247,1.354,1.34,True
v32,8k,34,fp16,8207,1,2,0.841796875,15.1006,11.1887,15.0334,1.35,1.344,True
v32,8k,34,fp16,8207,1,4,0.841796875,15.19665,11.2254,15.10855,1.354,1.346,True
v32,8k,34,fp16,8207,1,8,0.841796875,15.19185,11.2495,15.10385,1.35,1.343,True
v32,8k,34,fp16,8207,1,16,0.841796875,15.401399999999999,11.5166,15.267149999999999,1.337,1.326,True
v32,8k,34,fp16,8207,1,32,0.841796875,15.729299999999999,11.83015,15.6061,1.33,1.319,True
v32,8k,34,fp16,8207,1,64,0.841796875,15.85905,11.9662,15.77735,1.325,1.318,True
v32,8k,34,fp16,8207,1,128,0.841796875,16.4255,12.38225,16.3982,1.327,1.324,True
